Date,Open,High,Low,Close,Volume
2025-07-11,4.01,4.145,3.8622,3.87,139573.0
2025-07-14,3.86,3.93,3.731,3.805,122207.0
2025-07-15,3.8,4.12,3.66,4.01,393284.0
2025-07-16,4.08,4.2742,3.93,4.21,470395.0
2025-07-17,4.28,4.95,4.28,4.7,1057418.0
2025-07-18,5.09,5.09,4.4341,4.55,785835.0
2025-07-21,4.53,4.699,4.1712,4.22,397222.0
2025-07-22,4.3755,4.81,4.01,4.77,600960.0
2025-07-23,4.8,5.2,4.77,4.785,657808.0
2025-07-24,4.84,5.3817,4.65,5.01,560218.0
2025-07-25,5.09,5.15,4.64,4.74,278499.0
2025-07-28,4.63,4.71,4.3,4.43,335986.0
2025-07-29,4.44,4.4645,3.8,3.88,545134.0
2025-07-30,3.92,4.0679,3.5634,3.65,430410.0
2025-07-31,3.62,3.8017,3.58,3.69,183828.0
2025-08-01,3.62,3.79,3.485,3.69,281861.0
2025-08-04,3.951,4.18,3.8,4.1,527181.0
2025-08-05,4.24,4.2812,4.03,4.18,206096.0
2025-08-06,4.1,4.14,4.0,4.04,134093.0
2025-08-07,4.04,4.1181,3.9523,4.01,88967.0
2025-08-08,4.03,4.21,3.84,4.19,202170.0
2025-08-11,3.89,4.2799,3.89,4.15,287952.0
2025-08-12,4.17,4.22,4.01,4.05,134665.0
2025-08-13,3.97,4.39,3.92,4.3,350683.0
2025-08-14,4.19,4.2899,3.92,4.19,459409.0
2025-08-15,4.2,4.2,3.92,3.94,241781.0
2025-08-18,3.98,4.04,3.72,3.82,236884.0
2025-08-19,3.86,3.865,3.6201,3.68,167548.0
2025-08-20,3.68,3.88,3.55,3.81,165349.0
2025-08-21,3.55,3.98,3.55,3.65,325581.0
2025-08-22,3.68,3.94,3.635,3.86,161883.0
2025-08-25,3.78,3.9,3.67,3.79,212695.0
2025-08-26,3.83,4.0663,3.7512,3.88,192040.0
2025-08-27,4.1,4.3,3.87,4.16,1402743.0
2025-08-28,4.06,4.32,4.0101,4.21,382715.0
2025-08-29,4.29,4.2948,3.9828,4.04,176660.0
2025-09-02,3.86,3.98,3.75,3.96,192385.0
2025-09-03,4.0,4.01,3.835,3.91,130026.0
2025-09-04,3.69,3.82,3.63,3.73,358125.0
2025-09-05,3.73,3.8496,3.615,3.76,137832.0
2025-09-08,3.8,3.8,3.66,3.72,104522.0
2025-09-09,3.66,3.89,3.66,3.89,147096.0
2025-09-10,3.89,3.92,3.78,3.88,102994.0
2025-09-11,3.85,4.17,3.77,4.08,268361.0
2025-09-12,4.05,4.1199,3.87,3.89,117872.0
2025-09-15,3.9,4.25,3.895,4.15,313504.0
2025-09-16,4.16,4.16,4.0,4.12,161736.0
2025-09-17,4.54,4.82,3.68,3.76,19940893.0
2025-09-18,3.86,4.04,3.82,3.92,748447.0
2025-09-19,3.91,4.32,3.9,4.14,1007390.0
2025-09-22,4.06,4.43,4.01,4.34,573897.0
2025-09-23,4.34,4.596,4.165,4.31,1559254.0
2025-09-24,4.44,4.8296,4.36,4.43,1469960.0
2025-09-25,4.24,4.5,4.05,4.2,871863.0
2025-09-26,4.16,4.63,4.03,4.515,805642.0
2025-09-29,4.61,4.7399,4.41,4.69,362588.0
2025-09-30,4.69,4.78,4.31,4.38,447868.0
2025-10-01,4.47,4.67,4.43,4.53,312723.0
2025-10-02,4.6,4.75,4.45,4.54,376399.0
2025-10-03,4.52,5.36,4.51,4.94,2490321.0
2025-10-06,5.325,5.56,4.87,5.11,16112134.0
2025-10-07,5.26,5.2876,4.64,4.67,2129939.0
2025-10-08,4.67,4.8975,4.67,4.89,1013819.0
2025-10-09,5.0,5.1282,4.52,4.57,1308996.0
2025-10-10,4.62,4.95,4.42,4.48,2020969.0
2025-10-13,4.72,7.43,4.65,5.94,20446347.0
2025-10-14,6.415,6.78,5.5567,6.34,9142984.0
2025-10-15,6.61,6.78,5.11,5.74,5756469.0
2025-10-16,5.68,5.68,4.84,4.94,2900850.0
