Date,Open,High,Low,Close,Volume
2024-01-02,2.65,2.76,2.65,2.72,17980
2024-01-03,2.67,2.76,2.59,2.76,16171
2024-01-04,2.61,2.71,2.59,2.62,25071
2024-01-05,2.7,2.8076,2.7,2.75,122942
2024-01-08,2.75,2.9255,2.75,2.89,75610
2024-01-09,2.85,3.01,2.8,2.84,80318
2024-01-10,2.85,2.97,2.82,2.91,28497
2024-01-11,2.94,2.97,2.78,2.94,31454
2024-01-12,2.96,2.96,2.82,2.85,12101
2024-01-16,2.82,2.84,2.75,2.75,13917
2024-01-17,2.75,2.88,2.75,2.87,6624
2024-01-18,2.92,2.92,2.83,2.9,22591
2024-01-19,2.89,2.97,2.86,2.9,15167
2024-01-22,2.87,2.94,2.8665,2.9,35417
2024-01-23,2.9,2.98,2.9,2.91,28809
2024-01-24,2.95,3.0,2.91,2.95,36994
2024-01-25,2.94,3.0,2.94,2.98,27843
2024-01-26,2.98,3.01,2.96,3.0,36736
2024-01-29,3.0,3.01,2.96,2.97,10173
2024-01-30,2.96,3.0,2.91,2.93,10080
2024-01-31,2.99,3.0,2.9,2.9,6375
2024-02-01,2.94,2.98,2.93,2.96,21142
2024-02-02,2.93,2.97,2.8638,2.94,10177
2024-02-05,2.91,2.97,2.8514,2.93,65040
2024-02-06,2.89,2.97,2.89,2.95,39245
2024-02-07,2.95,2.95,2.9,2.95,17403
2024-02-08,2.93,3.02,2.92,3.0,25023
2024-02-09,3.03,3.1,3.03,3.07,58500
2024-02-12,3.08,3.08,3.05,3.05,13786
2024-02-13,3.04,3.04,2.88,2.88,18333
2024-02-14,2.95,3.02,2.95,2.98,20073
2024-02-15,2.98,3.04,2.96,2.97,16436
2024-02-16,3.0,3.0194,2.96,2.99,37358
2024-02-20,2.96,3.0109,2.95,2.95,20579
2024-02-21,3.0,3.005,2.9,2.93,20614
2024-02-22,2.97,2.99,2.78,2.88,25886
2024-02-23,2.92,3.0,2.9009,2.99,34384
2024-02-26,2.98,3.0,2.85,2.96,53096
2024-02-27,2.92,3.0,2.92,2.94,50102
2024-02-28,2.91,2.9856,2.8,2.85,22944
2024-02-29,2.85,2.91,2.85,2.87,15615
2024-03-01,2.84,2.99,2.84,2.9,15913
2024-03-04,2.86,3.0,2.86,2.98,48309
2024-03-05,2.99,3.0,2.904,2.91,15649
2024-03-06,3.0,3.02,2.87,2.96,54422
2024-03-07,2.9159,2.99,2.9,2.94,7469
2024-03-08,2.92,2.99,2.92,2.97,9891
2024-03-11,2.99,3.0,2.91,2.91,6903
2024-03-12,2.9998,2.9998,2.91,2.945,8291
2024-03-13,2.948,2.9602,2.93,2.95,22042
2024-03-14,2.94,2.98,2.938,2.98,19251
2024-03-15,2.99,3.02,2.93,3.0,30250
2024-03-18,3.01,3.01,2.95,2.95,106352
2024-03-19,2.9938,3.01,2.92,2.92,12483
2024-03-20,2.98,2.98,2.9201,2.97,66313
2024-03-21,2.98,2.98,2.91,2.93,6518
2024-03-22,2.91,2.95,2.91,2.95,17602
2024-03-25,2.96,3.01,2.91,2.91,9725
2024-03-26,2.9393,3.01,2.9,2.91,21105
2024-03-27,2.91,2.94,2.85,2.9,44133
2024-03-28,2.86,3.137,2.86,3.08,69480
2024-04-01,3.12,3.2,3.0258,3.2,24761
2024-04-02,3.18,3.65,3.18,3.48,177549
2024-04-03,3.48,3.9437,3.38,3.77,126847
2024-04-04,3.77,3.8702,3.33,3.37,45199
2024-04-05,3.32,3.58,3.32,3.5,13963
2024-04-08,3.5,3.635,3.47,3.635,7513
2024-04-09,3.57,3.7598,3.57,3.74,12341
2024-04-10,3.72,3.75,3.67,3.67,12974
2024-04-11,3.57,3.75,3.57,3.72,13110
