Date,Open,High,Low,Close,Volume
2024-01-02,3.3,4.2776,3.3,3.625,367979
2024-01-03,3.73,3.7316,3.3,3.53,216613
2024-01-04,3.76,3.76,3.5297,3.64,142833
2024-01-05,3.62,3.75,3.55,3.75,115538
2024-01-08,3.81,3.961,3.56,3.92,261118
2024-01-09,3.88,3.9,3.58,3.73,117558
2024-01-10,3.74,3.7418,3.24,3.49,162060
2024-01-11,3.46,3.6234,3.2979,3.4,91888
2024-01-12,3.36,3.6398,3.36,3.49,43041
2024-01-16,3.59,3.78,3.5,3.65,115111
2024-01-17,3.58,3.64,3.17,3.215,87197
2024-01-18,3.25,3.4899,3.25,3.36,42704
2024-01-19,3.38,3.4396,3.18,3.33,49685
2024-01-22,3.35,3.44,3.1903,3.42,88086
2024-01-23,3.36,3.51,3.3,3.35,25020
2024-01-24,3.41,3.42,3.21,3.27,83522
2024-01-25,3.31,3.55,3.25,3.545,92074
2024-01-26,3.54,3.8983,3.54,3.75,110492
2024-01-29,3.76,4.08,3.76,3.99,233721
2024-01-30,3.99,4.0198,3.71,3.87,149744
2024-01-31,3.96,3.99,3.8,3.87,102570
2024-02-01,3.91,3.945,3.7,3.77,57163
2024-02-02,3.77,3.97,3.63,3.94,70889
2024-02-05,3.98,4.5,3.8333,4.39,286440
2024-02-06,4.37,4.7,4.26,4.47,230886
2024-02-07,4.57,5.33,4.39,4.75,1451538
2024-02-08,4.89,5.19,4.6101,4.84,575718
2024-02-09,4.96,5.3,4.91,5.04,586502
2024-02-12,5.16,5.2999,4.76,4.78,233339
2024-02-13,4.76,4.8399,4.5,4.51,149405
2024-02-14,4.51,4.75,4.51,4.73,141302
2024-02-15,4.81,4.91,4.65,4.8,102748
2024-02-16,4.78,4.9226,4.62,4.82,98042
2024-02-20,4.78,4.89,4.6607,4.67,80182
2024-02-21,4.67,4.75,4.39,4.42,128219
2024-02-22,4.38,4.4999,4.0978,4.44,196216
2024-02-23,4.39,4.64,4.36,4.55,61314
2024-02-26,4.52,4.7499,4.4179,4.5,65845
2024-02-27,4.57,4.695,4.4,4.63,104707
2024-02-28,4.64,4.8,4.46,4.46,71139
2024-02-29,4.53,4.62,4.44,4.49,63103
2024-03-01,4.64,4.7,4.52,4.68,103245
2024-03-04,4.74,5.19,4.7,4.72,348386
2024-03-05,4.5,4.8,4.172,4.66,696815
2024-03-06,4.64,4.7756,4.6,4.71,70479
2024-03-07,4.68,4.75,4.58,4.6,76807
2024-03-08,4.66,4.8,4.64,4.73,44774
2024-03-11,4.7,4.74,4.65,4.67,26441
2024-03-12,4.7,4.74,4.39,4.56,104316
2024-03-13,4.65,4.65,4.385,4.54,58829
2024-03-14,4.4799,4.4799,4.2,4.28,145820
2024-03-15,4.34,4.4318,4.215,4.29,183567
2024-03-18,4.32,4.5,4.25,4.36,70799
2024-03-19,4.38,4.38,4.2,4.25,44212
2024-03-20,4.28,4.35,4.09,4.26,78321
2024-03-21,4.28,4.63,4.21,4.37,214889
2024-03-22,4.37,4.445,3.8,4.06,246921
2024-03-25,4.1,4.1,3.55,3.65,210378
2024-03-26,3.65,3.9583,3.57,3.8,145673
2024-03-27,3.84,3.8952,3.6001,3.73,114019
2024-03-28,3.69,3.95,3.68,3.77,102217
2024-04-01,4.0,4.0,3.57,3.83,129119
2024-04-02,4.0,4.0,3.82,3.89,92070
2024-04-03,3.82,4.04,3.74,3.99,58740
2024-04-04,4.04,4.04,3.4501,3.58,177370
2024-04-05,3.57,3.72,3.49,3.56,105241
2024-04-08,3.57,3.6377,3.31,3.43,76272
2024-04-09,3.41,3.53,3.3,3.38,63783
2024-04-10,3.31,3.39,3.1,3.34,79671
2024-04-11,3.34,3.405,3.25,3.36,47628
2024-04-12,3.2615,3.3232,3.01,3.15,124939
2024-04-15,3.1,3.2299,3.02,3.09,81897
2024-04-16,3.1,3.19,2.925,3.16,111460
2024-04-17,3.16,3.2712,3.1,3.18,80646
2024-04-18,3.19,3.32,3.1,3.15,78261
2024-04-19,3.11,3.26,3.0,3.18,71340
2024-04-22,3.27,3.43,3.12,3.17,53675
2024-04-23,3.13,3.39,3.0701,3.39,66437
2024-04-24,3.54,3.65,3.12,3.19,146812
2024-04-25,3.1,3.2,2.95,3.07,142421
2024-04-26,3.09,3.18,2.887,3.03,179297
2024-04-29,3.01,3.03,2.8901,3.0,38570
2024-04-30,2.97,3.0,2.88,2.93,34758
2024-05-01,2.97,3.06,2.9109,2.97,57800
2024-05-02,3.01,3.059,2.87,2.93,121739
2024-05-03,3.0,3.02,2.87,2.96,96022
2024-05-06,2.99,3.025,2.82,2.85,131742
2024-05-07,2.9,3.14,2.78,2.9,164588
2024-05-08,2.86,2.98,2.65,2.68,202533
2024-05-09,2.65,2.9727,2.48,2.54,239414
2024-05-10,2.7,2.7,2.41,2.51,106802
2024-05-13,2.59,2.59,2.3601,2.42,54674
2024-05-14,2.57,2.5799,2.34,2.34,240365
2024-05-15,2.45,2.6499,2.4,2.62,151643
2024-05-16,2.62,2.83,2.58,2.69,128638
2024-05-17,2.68,2.8,2.5301,2.63,59339
2024-05-20,2.62,2.76,2.41,2.51,79604
2024-05-21,2.63,2.75,2.44,2.5,43457
2024-05-22,2.46,2.49,2.37,2.43,83078
2024-05-23,2.41,2.59,2.385,2.45,80455
2024-05-24,2.43,2.571,2.41,2.42,43303
2024-05-28,2.45,2.5984,2.35,2.41,52079
2024-05-29,2.36,2.4892,2.36,2.38,71774
2024-05-30,2.61,2.8687,2.46,2.51,441945
2024-05-31,2.61,2.67,2.48,2.55,192223
2024-06-03,2.58,2.7,2.35,2.47,263025
2024-06-04,2.47,2.5539,2.3512,2.45,77459
2024-06-05,2.47,2.59,2.45,2.5,130138
2024-06-06,2.46,2.5,2.2874,2.34,194094
2024-06-07,2.28,2.4679,2.16,2.2,102867
2024-06-10,2.2,2.57,2.03,2.09,213889
2024-06-11,2.08,2.44,2.07,2.43,137853
2024-06-12,2.43,2.43,2.07,2.11,339103
2024-06-13,2.14,2.176,1.8,1.89,541780
2024-06-14,1.46,1.46,1.23,1.24,3085061
2024-06-17,1.28,1.38,1.27,1.32,1024400
2024-06-18,1.31,1.36,1.26,1.28,455473
2024-06-20,1.28,1.3,1.2,1.3,568826
2024-06-21,1.31,1.3191,1.23,1.29,380744
2024-06-24,1.3,1.32,1.24,1.29,270347
2024-06-25,1.29,1.34,1.26,1.3,587078
2024-06-26,1.27,1.3,1.2519,1.27,239508
2024-06-27,1.29,1.3,1.23,1.25,325115
2024-06-28,1.2,1.32,1.2,1.28,551544
2024-07-01,1.26,1.265,1.11,1.12,625155
2024-07-02,1.2,1.2,1.12,1.195,267227
2024-07-03,1.19,1.2,1.13,1.16,157635
2024-07-05,1.19,1.2097,1.15,1.2,119034
2024-07-08,1.17,1.19,1.11,1.12,200010
2024-07-09,1.16,1.18,1.12,1.18,413477
2024-07-10,1.19,1.22,1.16,1.2,302524
2024-07-11,1.21,1.4,1.21,1.36,787195
2024-07-12,1.37,1.3902,1.34,1.38,273476
2024-07-15,1.33,1.3699,1.22,1.25,286994
2024-07-16,1.26,1.3,1.25,1.3,120285
2024-07-17,1.3,1.32,1.26,1.27,111970
2024-07-18,1.25,1.29,1.22,1.22,201998
2024-07-19,1.21,1.23,1.21,1.21,82717
2024-07-22,1.23,1.2357,1.15,1.16,119466
2024-07-23,1.2,1.2,1.05,1.12,542042
2024-07-24,1.13,1.13,1.06,1.08,273704
2024-07-25,1.08,1.08,1.02,1.04,258163
2024-07-26,1.08,1.1,1.03,1.05,231879
2024-07-29,1.06,1.13,1.05,1.13,159248
2024-07-30,1.13,1.1402,1.09,1.11,193066
2024-07-31,1.09,1.14,1.06,1.08,127382
2024-08-01,1.08,1.15,1.04,1.06,150988
2024-08-02,1.05,1.065,0.94,1.05,291348
2024-08-05,0.9529,0.9975,0.92,0.9788,175999
2024-08-06,1.08,1.08,0.95,1.0,215588
2024-08-07,1.01,1.01,0.9511,0.9525,60120
2024-08-08,0.96,1.0099,0.92,0.967,243000
2024-08-09,0.98,1.07,0.967,0.9814,184066
2024-08-12,0.9707,0.98,0.9255,0.9385,271619
2024-08-13,0.95,0.96,0.89,0.9361,587931
2024-08-14,0.9508,1.15,0.95,1.12,593895
2024-08-15,1.15,1.26,1.14,1.23,393831
2024-08-16,1.26,1.39,1.23,1.32,443888
2024-08-19,1.33,1.54,1.32,1.46,798595
2024-08-20,1.48,1.49,1.33,1.36,327474
2024-08-21,1.34,1.38,1.29,1.35,207228
2024-08-22,1.37,1.37,1.2901,1.31,109338
2024-08-23,1.3,1.4199,1.28,1.29,153705
2024-08-26,1.28,1.35,1.22,1.35,123615
2024-08-27,1.36,1.36,1.26,1.31,95877
2024-08-28,1.3,1.345,1.26,1.34,111389
2024-08-29,1.33,1.34,1.03,1.07,4459324
2024-08-30,1.09,1.27,1.08,1.09,556331
2024-09-03,1.07,1.13,0.95,1.04,330593
2024-09-04,1.04,1.06,1.01,1.04,142765
2024-09-05,1.04,1.11,1.02,1.085,105209
2024-09-06,1.07,1.1,1.0,1.05,246642
2024-09-09,1.04,1.18,1.0001,1.16,294856
2024-09-10,1.16,1.43,1.1327,1.27,418991
2024-09-11,1.33,1.56,1.33,1.49,647166
2024-09-12,1.48,1.5,1.37,1.47,143959
2024-09-13,1.44,1.53,1.4,1.465,123836
2024-09-16,1.45,1.5391,1.4101,1.48,167430
2024-09-17,1.49,1.5,1.42,1.495,201261
2024-09-18,1.5,1.5,1.36,1.48,237841
2024-09-19,1.5,1.55,1.464,1.495,174603
2024-09-20,1.52,1.55,1.43,1.43,385092
2024-09-23,1.47,1.78,1.4502,1.55,314412
2024-09-24,1.55,1.64,1.5402,1.62,241853
2024-09-25,1.68,1.85,1.6319,1.78,599232
2024-09-26,1.85,1.85,1.538,1.845,404064
2024-09-27,1.85,2.0,1.82,1.99,622834
2024-09-30,1.99,1.99,1.63,1.78,610153
2024-10-01,1.81,1.81,1.541,1.64,400891
2024-10-02,1.66,1.665,1.58,1.64,144729
2024-10-03,1.69,1.765,1.58,1.72,286450
2024-10-04,1.73,1.84,1.705,1.82,304800
2024-10-07,1.9,2.14,1.826,2.135,598162
2024-10-08,2.16,2.16,1.87,1.98,296581
2024-10-09,2.08,2.08,1.9,2.04,235029
2024-10-10,2.05,2.05,1.91,1.97,177363
2024-10-11,1.99,2.08,1.94,2.07,195201
2024-10-14,2.06,2.36,2.05,2.35,583647
2024-10-15,2.35,2.52,2.1723,2.4,683821
2024-10-16,2.42,3.14,2.35,2.92,1201771
2024-10-17,2.99,3.19,2.7,2.77,775979
2024-10-18,2.8,2.9,2.4539,2.7,424766
2024-10-21,2.71,2.8237,2.63,2.79,218233
2024-10-22,2.8,2.81,2.53,2.69,230135
2024-10-23,2.8,2.8,2.55,2.68,219552
2024-10-24,2.75,2.75,2.6,2.68,239699
2024-10-25,2.66,2.735,2.57,2.65,259072
2024-10-28,2.68,2.7492,2.6001,2.65,140503
2024-10-29,2.63,2.67,2.27,2.57,359437
2024-10-30,2.55,2.58,2.12,2.18,500180
2024-10-31,2.15,2.56,2.15,2.5,479025
2024-11-01,2.53,2.5522,2.3,2.32,351319
2024-11-04,2.29,2.3899,2.07,2.07,398533
2024-11-05,2.06,2.3,2.0201,2.22,191973
2024-11-06,2.24,2.31,2.2,2.27,224176
2024-11-07,2.29,2.34,2.19,2.23,165108
2024-11-08,2.23,2.28,2.1,2.215,156005
2024-11-11,2.2,2.25,2.05,2.17,198019
2024-11-12,2.14,2.1899,2.02,2.08,192367
2024-11-13,2.1,2.19,1.94,2.03,223740
2024-11-14,2.03,2.03,1.64,1.745,438485
2024-11-15,1.66,1.9,1.66,1.845,450962
2024-11-18,1.87,2.0,1.625,1.69,407483
2024-11-19,1.69,1.77,1.63,1.72,190383
2024-11-20,1.68,1.75,1.61,1.66,141972
2024-11-21,1.65,1.75,1.56,1.62,194627
2024-11-22,1.6,1.78,1.5609,1.72,205127
2024-11-25,1.79,1.895,1.76,1.82,239451
2024-11-26,1.83,1.85,1.72,1.73,76788
2024-11-27,1.79,1.8616,1.71,1.74,258523
2024-11-29,1.85,1.8787,1.68,1.86,213516
2024-12-02,1.84,1.85,1.68,1.75,333291
2024-12-03,1.78,1.8199,1.57,1.585,356888
2024-12-04,1.59,1.85,1.59,1.84,524675
2024-12-05,1.82,1.86,1.68,1.71,241676
2024-12-06,1.8,1.87,1.66,1.79,226015
2024-12-09,1.8,1.8485,1.8,1.83,141421
2024-12-10,1.82,1.8281,1.7,1.7,91699
2024-12-11,1.71,1.77,1.7,1.76,157208
2024-12-12,1.78,1.8177,1.66,1.67,92931
2024-12-13,1.67,1.7,1.59,1.63,182222
2024-12-16,1.62,1.69,1.6,1.66,120984
2024-12-17,1.64,1.7,1.6089,1.68,108908
2024-12-18,1.64,1.67,1.5017,1.54,344497
2024-12-19,1.55,1.73,1.51,1.57,230285
2024-12-20,1.55,1.7,1.5,1.56,150758
2024-12-23,1.59,1.64,1.56,1.57,116348
2024-12-24,1.59,1.61,1.54,1.59,111397
2024-12-26,1.6,1.6577,1.571,1.6,188368
2024-12-27,1.58,1.88,1.55,1.76,559830
2024-12-30,1.86,2.19,1.84,2.18,531274
2024-12-31,2.26,2.2882,1.97,2.16,443299
2025-01-02,2.15,2.6496,2.14,2.32,675068
2025-01-03,2.38,2.53,2.2523,2.43,360031
2025-01-06,2.53,2.53,2.2764,2.44,183339
2025-01-07,2.42,2.5,2.13,2.27,208380
2025-01-08,2.4,2.5,2.2275,2.44,262588
2025-01-10,2.47,2.4713,2.16,2.3,235885
2025-01-13,2.36,2.36,2.15,2.19,137506
2025-01-14,2.2,2.28,2.06,2.08,87645
2025-01-15,2.15,2.2,2.09,2.14,88793
2025-01-16,2.19,2.39,2.1501,2.37,108482
2025-01-17,2.44,2.47,2.2,2.28,272752
2025-01-21,2.25,2.25,2.0339,2.18,134278
2025-01-22,2.2,2.25,2.06,2.13,119756
2025-01-23,2.14,2.25,2.0,2.23,208799
2025-01-24,2.22,2.3,2.16,2.2,71013
2025-01-27,2.15,2.22,1.96,2.14,317025
2025-01-28,2.12,2.1699,2.0334,2.08,111600
2025-01-29,2.08,2.14,2.01,2.09,192070
2025-01-30,2.1,2.26,2.045,2.2,266079
2025-01-31,2.19,2.29,2.1,2.13,112407
2025-02-03,2.06,2.169,1.975,2.16,248920
2025-02-04,2.2,2.25,2.1,2.21,109465
2025-02-05,2.24,2.45,2.2,2.44,255822
2025-02-06,2.53,2.7025,2.42,2.64,490724
2025-02-07,2.68,2.75,2.4346,2.61,357456
2025-02-10,2.6,2.6,2.4,2.51,200697
2025-02-11,2.52,2.575,2.385,2.41,129980
2025-02-12,2.35,2.52,2.3,2.51,116075
2025-02-13,2.57,2.5704,2.436,2.56,121275
2025-02-14,2.61,2.78,2.545,2.73,257120
2025-02-18,2.81,2.81,2.47,2.51,350425
2025-02-19,2.49,2.64,2.3,2.42,168669
2025-02-20,2.4,2.48,2.25,2.34,320127
2025-02-21,2.599,2.599,2.1601,2.27,175792
2025-02-24,2.28,2.4,2.0,2.05,472217
2025-02-25,2.06,2.1396,1.84,1.92,496927
2025-02-26,1.94,2.06,1.89,2.0,238828
2025-02-27,2.0,2.05,1.9,1.9,258640
2025-02-28,2.0,2.1452,1.91,2.13,109558
2025-03-03,2.12,2.13,1.92,1.95,201861
2025-03-04,1.86,2.05,1.67,1.94,368422
2025-03-05,1.965,1.9893,1.5445,1.85,310428
2025-03-06,1.8,1.8893,1.78,1.8,114557
2025-03-07,1.97,1.97,1.81,1.88,127820
2025-03-10,1.9,1.9999,1.78,1.86,245556
2025-03-11,1.86,1.95,1.81,1.95,162459
2025-03-12,1.95,2.1646,1.92,2.11,169514
2025-03-13,2.14,2.21,2.07,2.2,246017
2025-03-14,2.25,2.2899,2.1,2.11,333506
2025-03-17,2.14,2.41,2.1365,2.4,643864
2025-03-18,2.4,2.44,2.3,2.38,193620
2025-03-19,2.45,2.53,2.3348,2.47,300975
2025-03-20,2.44,2.44,2.25,2.29,330835
2025-03-21,2.3,2.43,2.3,2.34,126185
2025-03-24,2.36,2.36,2.23,2.32,196809
2025-03-25,2.31,2.4339,2.25,2.28,138526
2025-03-26,2.23,2.27,1.995,2.09,322358
2025-03-27,2.11,2.13,2.0,2.07,159144
2025-03-28,2.02,2.1,1.86,1.89,405530
2025-03-31,1.95,1.99,1.82,1.91,247764
2025-04-01,1.93,1.9599,1.8,1.81,303769
2025-04-02,1.78,1.94,1.765,1.89,270491
2025-04-03,1.83,1.86,1.735,1.79,208004
2025-04-04,1.72,1.8004,1.56,1.65,455255
2025-04-07,1.65,1.74,1.575,1.65,326398
2025-04-08,1.79,1.8,1.56,1.58,238005
2025-04-09,1.59,1.75,1.4801,1.65,330225
2025-04-10,1.68,1.714,1.53,1.58,191940
2025-04-11,1.62,1.71,1.54,1.683,317741
2025-04-14,1.74,1.89,1.69,1.87,497623
2025-04-15,1.83,1.8895,1.77,1.8,193595
2025-04-16,1.8,1.8168,1.64,1.74,176909
2025-04-17,1.75,1.82,1.7,1.8,149571
2025-04-21,1.77,1.81,1.67,1.74,205550
2025-04-22,1.78,1.87,1.72,1.85,206520
2025-04-23,1.88,1.9878,1.81,1.85,287114
2025-04-24,1.87,1.8949,1.82,1.88,188348
2025-04-25,1.88,1.949,1.8384,1.895,247931
2025-04-28,1.89,1.96,1.84,1.91,310804
2025-04-29,1.9,1.94,1.88,1.88,440978
2025-04-30,1.89,2.09,1.838,2.05,599186
2025-05-01,2.1,2.25,2.0101,2.18,929482
2025-05-02,2.25,2.27,2.03,2.06,398670
2025-05-05,2.06,2.17,1.9974,2.03,257452
2025-05-06,2.03,2.0491,1.85,1.89,328958
2025-05-07,1.9,1.985,1.88,1.95,163640
2025-05-08,1.95,2.07,1.94,2.025,220739
2025-05-09,2.02,2.062,1.92,1.94,94601
2025-05-12,1.99,1.9964,1.88,1.92,228993
2025-05-13,2.0,2.0,1.84,1.93,137615
2025-05-14,1.97,1.97,1.8,1.86,431680
2025-05-15,1.85,1.89,1.735,1.81,360737
2025-05-16,1.83,2.06,1.7639,2.01,472289
2025-05-19,1.95,2.0225,1.83,1.96,251447
2025-05-20,1.96,1.96,1.8,1.91,173348
2025-05-21,1.88,1.8981,1.81,1.81,225900
2025-05-22,1.82,1.86,1.7844,1.795,124071
2025-05-23,1.801,1.84,1.74,1.8,76491
2025-05-27,1.83,1.845,1.74,1.77,157078
2025-05-28,1.78,1.82,1.75,1.8,215798
2025-05-29,1.8,1.85,1.79,1.795,82119
2025-05-30,1.78,1.825,1.76,1.77,122318
2025-06-02,1.78,1.93,1.7592,1.93,150385
2025-06-03,1.96,2.08,1.91,2.01,382364
2025-06-04,2.01,2.047,1.87,1.99,194133
2025-06-05,1.98,2.07,1.86,1.885,265876
2025-06-06,1.9,2.0,1.85,1.92,222826
2025-06-09,1.95,1.9922,1.86,1.91,208757
2025-06-10,1.91,1.95,1.88,1.89,271871
2025-06-11,1.91,1.91,1.75,1.79,491431
2025-06-12,1.77,1.82,1.75,1.8,214583
2025-06-13,1.78,1.7977,1.66,1.73,221052
2025-06-16,1.77,1.81,1.66,1.74,111710
2025-06-17,1.72,1.8,1.66,1.71,292751
2025-06-18,1.71,1.82,1.71,1.79,356601
2025-06-20,1.79,1.83,1.62,1.77,784231
2025-06-23,1.72,1.79,1.67,1.69,313127
2025-06-24,1.7,1.79,1.65,1.79,184967
2025-06-25,1.82,1.9758,1.67,1.95,329075
2025-06-26,1.92,2.044,1.8903,1.99,377611
2025-06-27,1.95,2.02,1.85,1.97,282981
2025-06-30,1.94,1.966,1.8,1.8,411717
2025-07-01,1.75,1.75,1.56,1.57,599981
2025-07-02,1.55,1.6592,1.55,1.635,302349
2025-07-03,1.66,1.79,1.62,1.69,244351
2025-07-07,1.71,1.7256,1.6,1.6,133628
2025-07-08,1.6,1.72,1.6,1.68,246446
2025-07-09,1.69,1.78,1.66,1.77,139143
2025-07-10,1.79,1.84,1.7195,1.77,320627
2025-07-11,1.78,1.8094,1.7,1.73,238097
2025-07-14,1.73,1.9349,1.7101,1.86,389921
2025-07-15,1.85,1.86,1.6501,1.7,438913
2025-07-16,1.57,1.6723,1.5251,1.62,937011
2025-07-17,1.62,1.66,1.59,1.61,195630
2025-07-18,1.61,1.64,1.565,1.585,209997
2025-07-21,1.62,1.62,1.55,1.58,250414
2025-07-22,1.59,1.9,1.56,1.62,371744
2025-07-23,1.61,1.6994,1.6,1.68,178927
2025-07-24,1.68,1.72,1.66,1.68,134884
2025-07-25,1.69,1.69,1.65,1.69,63727
2025-07-28,1.68,1.69,1.62,1.62,162459
2025-07-29,1.64,1.64,1.55,1.57,186962
2025-07-30,1.6,1.6,1.46,1.5,341092
2025-07-31,1.5,1.53,1.43,1.46,337886
2025-08-01,1.46,1.52,1.41,1.44,246306
2025-08-04,1.46,1.5,1.4137,1.47,171202
2025-08-05,1.45,1.67,1.43,1.67,366572
2025-08-06,1.68,1.68,1.535,1.545,266207
2025-08-07,1.55,1.56,1.47,1.49,285468
2025-08-08,1.5,1.53,1.4622,1.48,133360
