Date,Open,High,Low,Close,Volume
2025-06-05,19.5,23.1,16.65,22.95,133034.46673318392
2025-06-06,21.45,24.6,19.956,22.8,66612.66669997301
2025-06-09,22.95,22.95,19.8,20.7,9443.9333380553
2025-06-10,21.0,21.75,19.65,20.775,23643.4666784884
2025-06-11,20.55,20.7,19.95,19.95,3319.2666683263
2025-06-12,19.95,20.25,18.78,19.35,4375.1333355209
2025-06-13,18.771,19.2,17.4,18.375,5923.2000029616
2025-06-16,19.95,20.7885,18.3,18.3,12769.333339718
2025-06-17,18.15,19.041,17.25,18.45,7351.4666703424
2025-06-18,19.05,20.745,17.7,18.45,14964.000007482
2025-06-20,18.3,19.05,17.88,18.0,8007.333337337001
2025-06-23,18.597,18.597,17.25,17.7885,4705.0000023525
2025-06-24,18.15,18.2985,14.85,18.15,15619.1333411429
2025-06-25,18.3,18.4455,15.15,17.1,9689.2666715113
2025-06-26,16.65,17.1705,16.05,16.8,2605.7333346362
2025-06-27,16.5,18.45,15.9,16.65,113934.3333903005
2025-06-30,22.2,25.8015,7.665,13.8,832368.8670828511
2025-07-01,13.0515,16.2,11.55,15.6,81274.8667073041
2025-07-02,16.2,18.75,15.75,18.4425,101867.333384267
2025-07-03,18.3,19.95,17.2515,18.975,96873.6667151035
2025-07-07,17.7,25.5,17.7,21.3,220949.93344380832
2025-07-08,21.75,24.7485,15.9,19.35,140864.8000704324
2025-07-09,19.35,22.5,15.75,18.45,148828.3334077475
2025-07-10,18.3,20.7,14.7015,20.4,170385.2667518593
2025-07-11,19.35,20.25,18.45,19.05,68246.000034123
2025-07-14,19.05,19.8,16.5,18.3,51618.2666924758
2025-07-15,18.0,18.3,16.95,17.7,92178.1333794224
2025-07-16,17.7,17.7,16.5,17.4,24093.4666787134
2025-07-17,17.25,18.15,12.6585,15.45,112726.46672302992
2025-07-18,14.6355,15.75,13.5,13.6785,29923.7333482952
2025-07-21,14.55,14.7,9.915,10.5015,158736.3334127015
2025-07-22,11.355,11.37,7.2015,9.378,165267.7334159672
2025-07-23,9.675,10.0455,8.5485,8.775,78968.1333728174
2025-07-24,9.0,9.3,8.25,8.25,25821.4666795774
2025-07-25,8.4,8.754,3.3,8.1,102579.9333846233
2025-07-28,7.5735,8.15998,6.0,7.2,89599.1333781329
2025-07-29,7.2,9.1485,6.75,7.575,225090.000112545
2025-07-30,7.65,8.1,6.59997,7.551,73786.7333702267
2025-07-31,7.5,7.8,7.044,7.6515,55491.8000277459
2025-08-01,7.6515,8.25,7.03779,8.133,33287.333349977
2025-08-04,7.9575,8.8485,7.38915,8.5515,70425.9333685463
2025-08-05,8.7315,9.75,8.25,9.75,25983.0666796582
2025-08-06,9.3,10.7205,7.749,9.0,43319.8666883266
2025-08-07,8.7765,10.1835,2.4,6.7575,214821.0001074105
2025-08-08,6.7575,7.34998,5.25,5.475,38414.0666858737
2025-08-11,5.982,6.4485,5.25,6.447,35676.2666845048
2025-08-12,6.5205,6.5205,5.7,6.225,9077.2000045386
2025-08-13,6.225,7.5,6.087,7.332,27867.7333472672
2025-08-14,7.29,7.29,6.009,6.522,18499.5333425831
2025-08-15,6.2625,6.504,6.0,6.504,8226.600004113301
2025-08-18,6.333,6.504,6.15,6.504,2700.9333346838
2025-08-19,6.45,6.6,5.7675,6.018,6309.333336488
2025-08-20,6.267,6.525,5.55,5.553,13137.8666732356
2025-08-21,5.91,5.964,4.974,5.238,132766.7333997167
2025-08-22,5.1,6.15,5.1,5.9955,20417.5333435421
2025-08-25,5.8155,6.67726,5.775,6.4245,13848.8666735911
2025-08-26,6.4935,6.4935,5.62801,5.7375,12278.3333394725
2025-08-27,5.61,7.2,5.37,7.2,129627.2000648136
2025-08-28,5.07,7.47,5.07,7.44,172203.0
2025-08-29,6.7,8.69,6.4,8.11,47058.0
2025-09-02,7.79,8.55,7.095,7.815,32780.0
2025-09-03,7.81,8.3108,7.6,7.82,4238.0
2025-09-04,7.5,7.82,7.5,7.8,8352.0
2025-09-05,7.52,7.61,7.51,7.51,2037.0
2025-09-08,7.51,7.8257,7.4351,7.4397,11889.0
2025-09-09,7.5238,8.0,7.48,7.55,6100.0
2025-09-10,7.83,7.83,7.6,7.67,1952.0
2025-09-11,7.6763,7.85,7.67,7.85,1843.0
2025-09-12,7.64,7.68,7.5001,7.56,2836.0
2025-09-15,7.51,7.99,7.4,7.5,6429.0
2025-09-16,7.68,7.7,7.5,7.5,11950.0
2025-09-17,7.65,8.0,7.5654,7.7736,7329.0
2025-09-18,7.6,7.64,7.5801,7.5801,2402.0
2025-09-19,7.52,8.16,7.52,7.74,10572.0
2025-09-22,7.63,7.9854,7.63,7.956,2715.0
2025-09-23,7.52,7.8,7.45,7.5,3265.0
2025-09-24,7.7151,7.83,6.806,7.545,13758.0
2025-09-25,7.5,7.5,7.5,7.5,4198.0
2025-09-26,7.55,7.7025,7.5145,7.6291,2069.0
2025-09-29,7.718,7.718,7.5,7.5025,2066.0
2025-09-30,7.5875,8.134,7.3,7.5001,69444.0
2025-10-01,7.75,7.75,7.1453,7.51,12808.0
2025-10-02,7.405,7.51,7.4,7.47,36116.0
2025-10-03,7.4802,7.49,7.3,7.46,36041.0
2025-10-06,7.5,7.5,7.4,7.4,11035.0
2025-10-07,7.5,7.54,6.36,7.465,41542.0
2025-10-08,7.45,7.72,7.25,7.4401,29680.0
2025-10-09,7.79,7.79,7.38,7.54,58970.0
2025-10-10,7.48,7.54,7.3,7.42,26184.0
2025-10-13,7.3,7.77,7.3,7.45,43509.0
2025-10-14,7.45,7.6,6.98,7.42,27243.0
2025-10-15,7.685,7.7,6.5,7.42,139852.0
2025-10-16,7.42,7.6077,5.9,6.56,90165.0
2025-10-17,6.39,6.4,5.7,5.9,29731.0
2025-10-20,5.95,5.95,5.4,5.54,10846.0
2025-10-21,5.53,5.53,5.4,5.4,23496.0
2025-10-22,5.625,5.7651,5.24,5.37,139587.0
2025-10-23,5.11,5.4999,4.6001,4.77,196964.0
2025-10-24,4.73,5.5,4.36,5.22,108933.0
2025-10-27,5.31,5.31,4.5,4.67,111450.0
2025-10-28,4.56,5.0,4.31,4.43,92556.0
2025-10-29,4.3,4.67,4.2501,4.32,144635.0
2025-10-30,4.265,4.3,4.01,4.11,20994.0
2025-10-31,3.7001,4.01,3.7001,4.01,2889.0
2025-11-03,4.2512,4.2512,4.0,4.01,6461.0
2025-11-04,3.95,4.0796,3.9,3.99,7936.0
2025-11-05,4.0,4.07,4.0,4.07,1532.0
2025-11-06,4.1,4.12,4.0,4.06,4277.0
2025-11-07,4.0,4.165,3.85,3.92,9393.0
2025-11-10,4.21,4.21,4.01,4.18,6280.0
2025-11-11,3.96,4.3,3.96,4.27,5054.0
2025-11-12,4.32,4.48,4.23,4.35,53011.0
2025-11-13,4.51,4.51,4.51,4.51,1665.0
2025-11-14,4.44,4.51,4.05,4.23,6241.0
2025-11-17,4.2,4.785,4.11,4.61,20343.0
2025-11-18,4.97,4.97,3.69,4.52,44004.0
2025-11-19,4.35,5.2,4.35,4.61,28551.0
2025-11-20,4.6,4.63,3.9406,4.6,19660.0
2025-11-21,4.2,4.69,4.2,4.6,4313.0
2025-11-24,4.55,4.6,4.28,4.5,11314.0
2025-11-25,4.35,4.89,4.28,4.53,42351.0
2025-11-26,4.3,4.43,4.07,4.07,9251.0
2025-11-28,4.1,4.4525,4.1,4.21,2046.0
2025-12-01,4.1,4.19,4.09,4.09,1340.0
2025-12-02,4.0947,4.18,4.01,4.01,2651.0
2025-12-03,4.2,4.3,4.0,4.0,1426.0
2025-12-04,3.95,3.95,3.95,3.95,863.0
2025-12-05,4.04,4.3684,3.97,3.97,2127.0
2025-12-08,3.9412,3.9412,3.9412,3.9412,740.0
2025-12-09,4.0,4.0,3.6556,3.765,7196.0
2025-12-10,3.82,3.99,2.598,2.84,24763.0
2025-12-11,3.66,4.5,2.75,3.03,81546.0
2025-12-12,2.95,3.0299,2.667,2.753,25033.0
2025-12-15,2.73,3.06,2.5639,2.84,21745.0
2025-12-16,2.84,3.0845,2.7315,2.81,2157.0
2025-12-17,2.94,2.94,2.94,2.94,1070.0
2025-12-18,2.71,2.7105,2.71,2.7105,1581.0
2025-12-19,2.71,2.7101,2.5215,2.6534,4384.0
2025-12-22,2.6536,2.7082,2.65,2.66,1829.0
2025-12-23,2.646,2.69,2.52,2.52,2351.0
2025-12-24,2.6,2.75,2.6,2.6316,4413.0
2025-12-26,2.5514,2.575,2.4101,2.45,12830.0
2025-12-29,2.47,2.47,2.32,2.32,5007.0
2025-12-30,2.3,2.3,2.02,2.02,6396.0
2025-12-31,2.0941,2.0941,1.83,1.9065,4679.0
2026-01-02,1.8799,1.88,1.84,1.84,3551.0
2026-01-05,2.02,2.02,1.8501,1.98,4967.0
2026-01-06,2.02,2.065,2.02,2.065,1039.0
2026-01-07,2.15,2.15,2.08,2.08,1995.0
2026-01-08,2.18,2.6,2.0501,2.29,63562.0
2026-01-09,2.4137,2.4137,2.04,2.19,11084.0
2026-01-12,2.21,2.53,2.1,2.1,16684.0
2026-01-13,2.2,2.21,2.1273,2.21,6697.0
2026-01-14,2.28,2.28,2.1,2.21,19111.0
2026-01-15,2.1999,2.1999,2.1,2.145,6630.0
2026-01-16,2.11,2.225,2.06,2.06,6479.0
2026-01-20,2.05,2.16,1.94,2.12,8613.0
2026-01-21,1.94,2.1527,1.82,2.05,33217.0
2026-01-22,2.0101,2.27,1.997,2.02,15957.0
2026-01-23,2.05,2.05,2.02,2.02,2793.0
2026-01-26,2.09,2.1442,1.935,2.0527,17587.0
2026-01-27,2.1,2.19,2.1,2.19,1038.0
2026-01-29,2.045,2.045,1.92,2.01,1755.0
2026-01-30,1.97,1.995,1.93,1.995,3757.0
2026-02-02,1.99,2.2259,1.84,2.0,13258.0
2026-02-03,2.0,2.1127,1.96,2.1127,5742.0
2026-02-04,2.1899,2.2125,2.12,2.1368,5107.0
2026-02-05,1.95,1.95,1.95,1.95,1341.0
2026-02-06,2.1838,2.1838,2.1838,2.1838,954.0
2026-02-09,2.03,2.2,2.03,2.12,2350.0
2026-02-10,1.983,2.075,1.983,2.075,1562.0
2026-02-11,1.84,2.07,1.84,2.07,5525.0
2026-02-12,1.89,2.0,1.89,1.89,5731.0
2026-02-13,1.9761,2.1286,1.95,2.06,7934.0
2026-02-17,2.07,2.13,1.9,1.9,4667.0
2026-02-18,1.8,1.92,1.71,1.891,8658.0
2026-02-19,1.89,1.98,1.805,1.98,7866.0
2026-02-20,1.93,2.2,1.85,2.2,23451.0
2026-02-23,2.22,2.3825,1.77,1.9,41857.0
2026-02-24,1.9,2.03,1.8,1.8,9729.0
2026-02-25,1.75,1.96,1.56,1.9411,30723.0
2026-02-26,1.9,1.97,1.73,1.8,5105.0
2026-02-27,1.7201,1.83,1.72,1.8,4371.0
2026-03-02,1.75,1.8,1.73,1.8,3324.0
2026-03-03,1.72,1.852569,1.72,1.82,3318.0
2026-03-04,1.72,1.97,1.72,1.97,1471.0
2026-03-05,1.89,1.89,1.7805,1.7805,3351.0
2026-03-06,1.82,1.88,1.78,1.8,3659.0
2026-03-09,1.77,1.8718,1.77,1.7701,2703.0
2026-03-10,1.9,1.9,1.825,1.825,1797.0
2026-03-11,1.95,1.95,1.95,1.95,329.0
2026-03-12,1.78,1.94,1.78,1.94,542.0
2026-03-13,1.9489,1.9489,1.8498,1.8498,2014.0
2026-03-16,1.87,1.89,1.87,1.89,1026.0
2026-03-17,1.86,1.87,1.8,1.87,1645.0
2026-03-18,1.89,1.89,1.8,1.83,1358.0
