Date,Open,High,Low,Close,Volume
2024-01-02,6.13,6.13,5.45,5.62,4378187
2024-01-03,5.535,5.54,5.31,5.37,2237656
2024-01-04,5.3,5.755,5.27,5.7,2113718
2024-01-05,5.66,5.665,5.46,5.49,1034858
2024-01-08,5.45,5.68,5.45,5.6,1322136
2024-01-09,5.52,5.775,5.4801,5.71,1502813
2024-01-10,6.42,6.68,6.16,6.47,7809067
2024-01-11,6.48,6.665,6.3818,6.57,2525228
2024-01-12,6.67,7.0282,6.6007,6.64,3011851
2024-01-16,6.54,6.565,6.19,6.3,2706054
2024-01-17,6.1,6.34,6.0,6.33,1418607
2024-01-18,6.39,6.62,6.265,6.5,1736492
2024-01-19,6.54,6.59,6.24,6.43,1177531
2024-01-22,6.5,6.75,6.47,6.57,669159
2024-01-23,6.64,6.725,6.37,6.69,2082505
2024-01-24,6.87,6.92,6.5801,6.7,1060876
2024-01-25,6.79,6.79,6.425,6.51,1216109
2024-01-26,6.47,6.6075,6.44,6.49,761934
2024-01-29,6.49,6.525,6.36,6.46,759505
2024-01-30,6.41,6.485,6.15,6.16,636192
2024-01-31,6.11,6.215,5.99,6.0,1186226
2024-02-01,6.06,6.15,5.92,6.13,1322679
2024-02-02,6.04,6.26,5.93,6.2,1201220
2024-02-05,6.17,6.17,5.91,6.01,743028
2024-02-06,5.98,6.09,5.91,6.07,606472
2024-02-07,6.07,6.32,5.98,6.22,1099836
2024-02-08,6.18,6.55,6.0808,6.53,1141411
2024-02-09,6.55,6.6,6.455,6.51,626078
2024-02-12,6.5,6.8792,6.48,6.63,1476695
2024-02-13,6.3,6.5,6.1468,6.39,782511
2024-02-14,6.52,6.63,6.33,6.62,1007072
2024-02-15,6.68,6.76,6.56,6.73,843807
2024-02-16,6.6,6.635,6.44,6.45,538059
2024-02-20,6.3,6.49,6.2495,6.43,762648
2024-02-21,6.36,6.58,6.265,6.54,1543051
2024-02-22,6.61,6.638,6.44,6.54,1488054
