Date,Open,High,Low,Close,Volume
2025-06-09,1.61,1.6182,1.5,1.54,105465
2025-06-10,1.55,1.55,1.34,1.47,409008
2025-06-11,1.47,1.4802,1.44,1.45,53311
2025-06-12,1.4,1.5,1.4,1.47,77888
2025-06-13,1.43,1.53,1.31,1.35,361825
2025-06-16,1.36,1.42,1.3308,1.4,61104
2025-06-17,1.4,1.42,1.37,1.4,38669
2025-06-18,1.4,1.41,1.38,1.4,40447
2025-06-20,1.38,1.41,1.32,1.38,101212
2025-06-23,1.36,1.39,1.28,1.32,71833
2025-06-24,1.3,1.3499,1.29,1.33,47496
2025-06-25,1.34,1.34,1.24,1.25,77216
2025-06-26,1.25,1.34,1.22,1.33,81774
2025-06-27,1.31,1.35,1.26,1.3,56413
2025-06-30,1.3,1.3793,1.295,1.36,70714
2025-07-01,1.31,1.35,1.21,1.29,176668
2025-07-02,1.3,1.3507,1.26,1.33,127186
2025-07-03,1.34,1.3696,1.3149,1.35,20186
2025-07-07,1.34,1.54,1.31,1.47,401978
2025-07-08,1.51,1.54,1.43,1.44,104099
2025-07-09,1.42,1.4994,1.4,1.47,159610
2025-07-10,1.44,1.5,1.39,1.43,87012
2025-07-11,1.39,1.68,1.39,1.6,540033
2025-07-14,1.6,1.78,1.54,1.67,477000
2025-07-15,1.66,1.67,1.49,1.495,13536258
2025-07-16,1.4,1.53,1.34,1.44,735466
2025-07-17,1.42,1.5,1.37,1.47,370827
2025-07-18,1.45,1.58,1.43,1.54,369337
2025-07-21,1.59,1.72,1.56,1.66,884044
2025-07-22,1.64,1.6499,1.5221,1.59,451232
2025-07-23,1.57,1.63,1.53,1.59,152286
2025-07-24,1.57,1.6497,1.53,1.6,173315
2025-07-25,1.64,1.64,1.55,1.6,112622
2025-07-28,1.6,1.765,1.56,1.72,335305
2025-07-29,1.75,1.75,1.55,1.6,372789
2025-07-30,1.57,1.575,1.43,1.44,194619
2025-07-31,1.45,1.53,1.45,1.49,132114
2025-08-01,1.44,1.47,1.34,1.405,316727
2025-08-04,1.42,1.465,1.38,1.41,86654
2025-08-05,1.41,1.45,1.4,1.4,49906
2025-08-06,1.41,1.47,1.37,1.455,104498
2025-08-07,1.46,1.46,1.38,1.39,78372
2025-08-08,1.38,1.39,1.31,1.33,185236
2025-08-11,1.32,1.39,1.25,1.25,274458
2025-08-12,1.26,1.3599,1.26,1.33,121005
2025-08-13,1.3,1.36,1.3,1.34,61768
2025-08-14,1.33,1.34,1.3,1.33,47437
2025-08-15,1.33,1.35,1.3,1.33,50288
2025-08-18,1.33,1.45,1.28,1.42,210782
2025-08-19,1.41,1.4177,1.315,1.34,167508
2025-08-20,1.34,1.3891,1.27,1.32,288294
2025-08-21,1.3,1.35,1.28,1.32,52382
2025-08-22,1.31,1.4036,1.29,1.4,118656
2025-08-25,1.38,1.45,1.33,1.34,79358
2025-08-26,1.34,1.43,1.33,1.38,86683
