Date,Open,High,Low,Close,Volume
2025-06-09,28.0,32.0,28.0,29.5,52626.880000000005
2025-06-10,33.0,33.0,30.0,30.5,25735.2
2025-06-11,31.0,31.0875,28.25,28.5,19116.6
2025-06-12,28.25,29.625,27.5,28.5,13336.24
2025-06-13,27.75,28.075,25.75,25.75,8436.32
2025-06-16,29.0,34.75,27.5,33.0,96661.24
2025-06-17,33.25,34.25,22.25,22.5,105577.04
2025-06-18,26.25,30.75,23.0,23.1175,521302.76
2025-06-20,24.875,24.875,23.2975,23.6,116704.12
2025-06-23,23.955,24.5,21.87,21.87,57625.880000000005
2025-06-24,22.3525,23.25,21.25,22.55,60177.44
2025-06-25,23.0,23.0,21.33,22.42,27903.08
2025-06-26,22.28,23.9975,21.5525,23.75,30956.28
2025-06-27,23.42,24.1175,22.9625,24.0,29731.72
2025-06-30,24.0,24.5,21.5,21.6425,41614.64
2025-07-01,14.2,14.5275,10.75,12.125,638879.0
2025-07-02,12.0325,12.94,10.825,11.92,156642.24
2025-07-03,12.25,12.415,11.8,12.0025,47501.2
2025-07-07,12.12,12.555,11.75,12.555,68261.44
2025-07-08,12.625,16.875,12.5,16.2,241242.2
2025-07-09,17.25,19.13,16.25,16.3475,179685.04
2025-07-10,16.3225,17.0,14.9975,16.6725,109444.08
2025-07-11,16.75,17.495,15.75,16.8925,81810.72
2025-07-14,17.025,17.4925,16.775,17.1275,47086.8
2025-07-15,17.4425,17.995,16.875,17.2525,54628.04
2025-07-16,17.395,19.05,17.3,18.3625,101470.44
2025-07-17,18.5,18.75,17.75,18.265,44421.84
2025-07-18,18.5,19.45,18.25,19.125,40463.4
2025-07-21,19.5,23.1,19.4,20.5,190425.6
2025-07-22,21.0,21.25,19.525,20.5,43354.28
2025-07-23,20.5,21.75,20.275,21.2725,41427.44
2025-07-24,21.975,22.0,20.0175,20.3125,62617.0
2025-07-25,20.3125,20.64,19.25,19.75,54822.0
2025-07-28,20.0,20.2775,17.9325,18.5,82674.52
2025-07-29,20.0,20.0,18.0025,18.7875,64925.880000000005
2025-07-30,19.5,20.625,18.875,19.1275,76663.84
2025-07-31,19.0,19.25,17.875,18.0075,33757.56
