Date,Open,High,Low,Close,Volume
2024-01-02,5.79899,6.28,5.712,6.28,537.1
2024-01-03,6.49,6.8,6.03,6.1,2249.8
2024-01-04,6.4,6.8,6.216,6.599,1492.0
2024-01-05,6.5,6.79,6.40001,6.40101,359.2
2024-01-08,6.7,6.7,5.9,5.9,2504.5
2024-01-09,5.95051,5.95051,5.801,5.9,484.2
2024-01-10,5.7,6.2,5.7,6.0,909.1
2024-01-11,6.12,6.12,5.8,6.01,1037.4
2024-01-12,6.01,6.1,5.85101,6.001,1298.4
2024-01-16,5.89751,5.99,5.8,5.811,763.2
2024-01-17,5.8,5.8,5.511,5.6,1966.0
2024-01-18,6.0,6.0,5.69,5.7,1886.6
2024-01-19,5.7,5.999,5.7,5.7,2508.8
2024-01-22,5.81,6.2,5.81,5.932,4576.1
2024-01-23,5.756,6.3,5.756,5.9,3880.7
2024-01-24,6.11,8.5,6.05,7.53999,71554.8
2024-01-25,8.084,8.61,7.391,7.552,15004.6
2024-01-26,7.5,7.75,6.685,6.881,7779.1
2024-01-29,6.881,7.0,6.6,6.784,3988.1
2024-01-30,7.0,8.0,6.6,7.02,8420.7
2024-01-31,7.40101,7.9,7.324,7.486,6715.1
2024-02-01,7.6,8.1,7.6,7.9,9087.9
2024-02-02,7.9,11.2,7.61,9.736,95517.4
2024-02-05,10.3,10.3,8.455,10.2,25412.9
2024-02-06,9.79,10.2,9.4,10.1,21100.1
2024-02-07,9.9,10.2,9.385,10.1,27273.5
2024-02-08,10.0,10.5,9.8,10.3,24469.6
2024-02-09,9.3,10.5,9.3,10.2,153875.3
2024-02-12,9.8,10.2,9.67,10.2,30079.3
2024-02-13,9.701,10.4,9.701,10.2,13274.8
2024-02-14,10.1,10.2,9.751,10.0,17957.7
2024-02-15,10.0,10.1,9.201,10.0,37696.2
2024-02-16,9.75,10.2,9.337,10.1,18653.8
2024-02-20,10.1,10.1,8.1,8.5,19859.0
2024-02-21,8.1,8.51,7.421,7.511,2371.3
2024-02-22,7.489,7.5,6.801,6.999,6111.8
2024-02-23,6.799,6.969,6.301,6.96,13791.1
2024-02-26,6.751,7.19,6.56001,7.19,2832.5
2024-02-27,6.803,7.705,6.803,7.4,2365.2
2024-02-28,6.901,7.2,6.527,6.8,6937.1
2024-02-29,6.664,7.49799,6.66001,6.801,1077.1
2024-03-01,7.005,7.2,6.512,7.0,2548.7
2024-03-04,6.828,7.2,6.5,7.0,4349.5
2024-03-05,6.7685,7.6,6.538,7.3,6484.9
2024-03-06,7.208,7.208,6.60099,6.98,5418.2
2024-03-07,6.9,7.09,6.6,6.996,7529.9
2024-03-08,6.8,7.072,6.6601,6.71,676.6
2024-03-11,6.8,6.994,6.5,6.5,1573.2
2024-03-12,6.619,6.619,5.028,5.5,39558.8
2024-03-13,5.56,5.7999,5.2,5.23,2249.9
2024-03-14,5.21,5.7,5.21,5.33,1918.7
2024-03-15,5.175,5.99,5.175,5.99,1425.2
2024-03-18,6.056,6.6,5.9,6.1,5858.1
2024-03-19,6.3,6.3,5.7,5.888,2633.4
2024-03-20,6.3,6.3,5.596,5.88,822.2
2024-03-21,6.174,6.174,5.5,5.5,959.8
2024-03-22,5.28,6.0,5.28,5.36,3795.7
2024-03-25,5.545,5.8,5.38,5.38,1014.3
2024-03-26,5.0,6.0,5.0,5.01,7116.6
2024-03-27,5.2,5.399,5.044,5.2,1971.8
2024-03-28,5.219,5.46,4.72101,4.81,3135.5
2024-04-01,5.27,5.27,4.512,4.6,5346.9
2024-04-02,4.701,5.0,4.4,4.4,3282.3
2024-04-03,4.6,5.0,4.212,4.4075,6438.3
2024-04-04,4.7,4.9,4.3,4.799,5479.3
2024-04-05,4.8,4.8,4.5,4.599,2317.4
2024-04-08,4.6,4.65,3.99,4.189,17389.9
