Date,Open,High,Low,Close,Volume
2024-01-02,2.54,2.66,2.4428,2.535,24597
2024-01-03,2.54,2.59,2.438,2.5,24261
2024-01-04,2.5,2.5728,2.42,2.48,23240
2024-01-05,2.56,2.57,2.42,2.46,19412
2024-01-08,2.56,2.56,2.39,2.39,29435
2024-01-09,2.42,2.645,2.41,2.45,26821
2024-01-10,2.44,2.484,2.4301,2.46,39698
2024-01-11,2.479,2.49,2.36,2.4,24897
2024-01-12,2.4897,2.635,2.46,2.53,49755
2024-01-16,2.45,2.55,2.38,2.4,17284
2024-01-17,2.43,2.54,2.41,2.52,11151
2024-01-18,2.558,2.558,2.47,2.49,14284
2024-01-19,2.5,2.59,2.49,2.53,18071
2024-01-22,2.55,2.68,2.5464,2.58,51704
2024-01-23,2.66,2.75,2.5915,2.62,19922
2024-01-24,2.721,2.721,2.47,2.5,28215
2024-01-25,2.48,2.575,2.46,2.52,16327
2024-01-26,2.581,2.581,2.525,2.53,18069
2024-01-29,2.48,2.6,2.48,2.6,16808
2024-01-30,2.6131,2.62,2.5149,2.55,26100
2024-01-31,2.55,2.5569,2.45,2.47,19191
2024-02-01,2.575,2.575,2.425,2.44,22245
2024-02-02,2.455,2.47,2.42,2.47,16083
2024-02-05,2.47,2.4899,2.43,2.47,33363
2024-02-06,2.46,2.47,2.36,2.41,22770
2024-02-07,2.45,2.46,2.36,2.4,22876
2024-02-08,2.35,2.4,2.35,2.38,14102
2024-02-09,2.38,2.3999,2.33,2.38,24946
2024-02-12,2.36,2.47,2.355,2.47,35837
2024-02-13,2.41,2.465,2.39,2.41,22025
2024-02-14,2.39,2.47,2.37,2.47,20124
2024-02-15,2.46,2.46,2.425,2.45,6966
2024-02-16,2.41,2.5,2.4047,2.41,17040
2024-02-20,2.36,2.39,2.32,2.33,9377
2024-02-21,2.32,2.36,2.32,2.32,6745
2024-02-22,2.3172,2.38,2.19,2.19,41683
2024-02-23,2.18,2.35,2.18,2.33,44952
2024-02-26,2.36,2.49,2.33,2.46,43097
2024-02-27,2.38,2.4401,2.38,2.38,20292
2024-02-28,2.35,2.4101,2.35,2.37,12532
2024-02-29,2.37,2.41,2.26,2.3,34714
2024-03-01,2.3,2.44,2.3,2.37,78316
2024-03-04,2.4,2.55,2.4,2.51,41959
2024-03-05,2.5,2.69,2.47,2.6,24194
2024-03-06,2.58,2.69,2.58,2.6,11531
2024-03-07,2.58,2.64,2.56,2.61,15309
2024-03-08,2.66,2.66,2.58,2.66,6477
2024-03-11,2.6496,2.695,2.53,2.53,54012
2024-03-12,2.51,2.61,2.51,2.57,13330
2024-03-13,2.54,2.6199,2.525,2.61,32702
2024-03-14,2.58,2.6999,2.53,2.68,19703
2024-03-15,2.64,2.69,2.64,2.66,34161
2024-03-18,2.6,2.67,2.55,2.63,16995
2024-03-19,2.59,2.62,2.53,2.57,17934
2024-03-20,2.59,2.5942,2.58,2.58,8566
2024-03-21,2.56,2.7,2.55,2.62,11671
2024-03-22,2.55,2.565,2.49,2.54,8570
2024-03-25,2.53,2.605,2.51,2.59,6361
2024-03-26,2.61,2.61,2.46,2.47,10926
2024-03-27,2.4998,2.6158,2.49,2.56,28502
2024-03-28,2.59,2.59,2.47,2.47,14698
2024-04-01,2.46,2.57,2.4584,2.57,11797
2024-04-02,2.4801,2.5351,2.45,2.48,12610
2024-04-03,2.4665,2.5712,2.4598,2.55,7761
2024-04-04,2.51,2.565,2.5,2.54,6820
2024-04-05,2.5389,2.6,2.52,2.55,11336
2024-04-08,2.52,2.555,2.465,2.47,27680
2024-04-09,2.47,2.58,2.47,2.54,9818
2024-04-10,2.51,2.57,2.51,2.565,18996
2024-04-11,2.5799,2.6152,2.5248,2.57,11938
2024-04-12,2.575,2.5923,2.5201,2.59,10678
2024-04-15,2.6,2.6,2.52,2.53,12496
2024-04-16,2.52,2.5625,2.46,2.47,14039
2024-04-17,2.495,2.52,2.45,2.52,10936
2024-04-18,2.5,2.51,2.37,2.44,64464
2024-04-19,2.4923,2.54,2.48,2.54,15445
2024-04-22,2.54,2.5898,2.53,2.57,10737
2024-04-23,2.59,2.64,2.56,2.64,11104
2024-04-24,2.55,2.63,2.55,2.61,7929
2024-04-25,2.56,2.7542,2.56,2.74,19317
2024-04-26,2.7,2.8647,2.7,2.79,14797
2024-04-29,2.79,2.79,2.73,2.78,6423
2024-04-30,2.76,2.76,2.64,2.67,16327
2024-05-01,2.62,2.75,2.62,2.75,9580
2024-05-02,2.7,2.75,2.67,2.68,13645
2024-05-03,2.66,2.7499,2.63,2.68,31275
2024-05-06,2.71,2.75,2.6427,2.7,17034
2024-05-07,2.7,2.87,2.6999,2.71,20976
2024-05-08,2.68,2.9,2.68,2.85,32190
2024-05-09,2.85,2.98,2.7966,2.88,33688
2024-05-10,2.8681,2.95,2.81,2.81,18921
2024-05-13,2.81,2.914,2.75,2.76,19358
2024-05-14,2.7698,2.8093,2.65,2.65,34437
2024-05-15,2.6385,2.775,2.6385,2.68,17275
2024-05-16,2.6897,2.7904,2.6801,2.73,28523
2024-05-17,2.74,2.82,2.7097,2.75,25193
2024-05-20,2.72,2.82,2.65,2.68,16305
2024-05-21,2.68,2.71,2.6015,2.7,15258
2024-05-22,2.658,2.7245,2.65,2.67,10069
2024-05-23,2.67,2.75,2.66,2.67,13053
2024-05-24,2.74,2.75,2.7,2.72,9977
2024-05-28,2.67,2.69,2.6201,2.65,11776
2024-05-29,2.62,2.65,2.5737,2.61,6563
2024-05-30,2.61,2.6999,2.58,2.58,13671
2024-05-31,2.56,2.615,2.44,2.47,21177
2024-06-03,2.47,2.62,2.45,2.53,15709
2024-06-04,2.62,2.62,2.45,2.45,3763
2024-06-05,2.46,2.55,2.43,2.43,11750
2024-06-06,2.47,2.5499,2.44,2.44,11849
2024-06-07,2.45,2.5212,2.45,2.48,5970
2024-06-10,2.485,2.52,2.46,2.46,9588
2024-06-11,2.43,2.5,2.3902,2.48,16115
2024-06-12,2.49,2.5,2.42,2.45,6582
2024-06-13,2.41,2.49,2.41,2.49,4192
2024-06-14,2.4199,2.52,2.4199,2.52,19810
2024-06-17,2.5,2.61,2.5,2.6,8642
2024-06-18,2.52,2.639,2.5,2.59,15385
2024-06-20,2.57,2.63,2.5,2.57,10423
2024-06-21,2.58,2.67,2.5399,2.67,19829
2024-06-24,2.6,2.672,2.57,2.65,8470
