Date,Open,High,Low,Close,Volume
2024-01-02,16.5,17.1,16.5,17.05,1199.1
2024-01-03,17.2,17.2,16.35,16.555,665.5
2024-01-04,17.0,17.0,16.027,16.6,611.6
2024-01-05,17.0,17.0,16.5,16.7,189.2
2024-01-08,16.9,16.9,16.23,16.4,464.9
2024-01-09,15.6,16.6,15.5,16.15,2463.5
2024-01-10,16.5,16.6,16.25,16.4,548.7
2024-01-11,15.9,16.382,15.0,15.6,1054.8
2024-01-12,16.2,16.4,15.723,16.2,1218.8
2024-01-16,15.3,16.3,15.3,16.1,2184.0
2024-01-17,15.9,16.1,15.701,15.9,533.5
2024-01-18,15.8,15.8,15.3,15.5,114.9
2024-01-19,15.3,15.6,15.3,15.6,586.0
2024-01-22,13.0,15.2,8.536,11.5,21947.1
2024-01-23,11.3,13.0,10.3,11.7,5721.1
2024-01-24,12.0,13.0,12.0,13.0,2403.6
2024-01-25,13.4,13.4,12.298,12.9,908.0
2024-01-26,12.9,12.9,11.504,12.2,892.5
2024-01-29,12.3,12.9,12.0,12.3,383.7
2024-01-30,11.7,12.7,11.7,12.7,234.1
2024-01-31,12.1,12.5,12.0,12.0,238.6
2024-02-01,12.263,12.553,12.1,12.2,908.4
2024-02-02,12.3,12.422,11.199,11.7,1859.7
2024-02-05,11.6,12.35,11.5,12.3,1130.3
2024-02-06,12.1,12.6,12.0,12.6,916.2
2024-02-07,11.768,12.0,11.768,12.0,164.6
2024-02-08,12.0,12.5,11.5,12.2,862.4
2024-02-09,11.558,12.6,11.558,12.3,358.7
2024-02-12,11.6,12.6,11.6,12.2,514.9
2024-02-13,11.7,12.2,11.7,12.0,643.0
2024-02-14,12.3,12.4,11.973,12.4,468.6
2024-02-15,11.95,14.8,11.95,13.3,7737.9
2024-02-16,12.9,14.186,12.8,14.186,5753.3
2024-02-20,14.2,14.2,13.1,13.5,3327.1
2024-02-21,12.953,14.1,12.801,14.0,3120.7
2024-02-22,13.5,13.9,13.3,13.9,2279.4
2024-02-23,13.0,13.9,13.0,13.8,2212.7
2024-02-26,13.3,13.8,13.215,13.3,505.0
2024-02-27,12.9,13.6,12.9,13.5,1196.0
2024-02-28,13.5,13.601,13.3,13.5,2134.5
2024-02-29,13.2,13.6,13.0,13.0,2701.6
2024-03-01,12.9,14.2,12.5,14.0,2309.4
2024-03-04,14.0,14.1,13.9,13.9,1167.2
2024-03-05,13.601,14.0,13.318,13.7,208.9
2024-03-06,13.7,13.8,13.301,13.301,510.8
2024-03-07,14.0,14.0,13.5,13.799,320.4
2024-03-08,13.3,14.0,13.3,13.8,878.5
2024-03-11,13.3,13.9,13.3,13.8,1091.4
2024-03-12,13.8,13.8,12.9,13.0,1713.0
2024-03-13,13.6,13.6,12.371,13.6,3721.1
2024-03-14,13.2,13.5,12.4,12.6,761.5
2024-03-15,12.9,12.9,11.801,12.3,1112.6
2024-03-18,11.5,11.5,10.909,11.5,3813.8
2024-03-19,11.5,12.3,11.0,12.3,8314.1
2024-03-20,12.1,12.883,11.8,11.8,201.5
2024-03-21,11.7,12.5,11.7,12.4,498.0
2024-03-22,12.3,12.4,11.3,12.4,998.9
2024-03-25,12.5,13.7,12.3,13.5,5896.4
2024-03-26,13.5,14.4,13.5,14.3,3205.5
2024-03-27,14.4,15.0,14.0,14.9,4817.7
2024-03-28,14.8,15.6,13.6,14.8,2781.2
2024-04-01,14.8,14.8,13.8,14.3,494.3
2024-04-02,14.199,15.6,13.8,14.3,2404.6
2024-04-03,14.4,14.4,13.901,14.4,926.5
2024-04-04,15.0,15.0,13.0,13.9,1727.3
2024-04-05,13.6,14.75,13.6,13.8,1797.5
2024-04-08,13.8,14.6,13.7,13.8,1508.4
2024-04-09,14.0,14.5,13.8,13.9,152.3
2024-04-10,13.5,14.3,13.5,13.8,299.3
2024-04-11,14.4,14.4,13.4,13.9,2183.3
2024-04-12,13.8,14.4,13.8,14.2,1623.5
2024-04-15,13.7,14.05,13.3,13.5,2802.6
2024-04-16,13.3,13.8,13.1,13.1,4144.7
2024-04-17,13.5,13.85,12.9,13.598,2580.8
2024-04-18,13.2,14.5,13.0,13.85,5052.7
2024-04-19,13.75,13.9,13.6,13.9,251.2
2024-04-22,13.3,14.2,13.3,13.631,2386.2
2024-04-23,13.9,14.65,13.8,14.45,4099.7
2024-04-24,14.8,14.95,14.6,14.75,3097.1
2024-04-25,15.0,15.4,14.65,15.358,1953.5
2024-04-26,15.9,16.151,14.9,15.2,19847.4
2024-04-29,15.3,15.811,15.3,15.4,2146.2
2024-04-30,15.75,16.016,15.2,15.2,1656.8
2024-05-01,15.7,15.71,14.5,15.011,9477.9
2024-05-02,14.9,15.6,14.2,14.784,2624.3
2024-05-03,14.9,15.4,14.2,15.4,4114.9
2024-05-06,15.2,15.44,14.3,15.0,342.1
2024-05-07,14.444,15.4,14.0,14.0,12326.1
2024-05-08,14.2,14.7,13.8,14.4,1786.7
2024-05-09,14.042,14.7,13.9,14.2,248.6
2024-05-10,14.9,15.0,14.1,14.7,907.8
2024-05-13,15.1,15.4,14.6,15.0,1655.6
2024-05-14,14.8,15.2,14.5,15.2,18152.2
2024-05-15,15.2,16.227,15.2,15.8,3690.3
2024-05-16,16.4,16.5,15.7,16.0,858.4
2024-05-17,15.8,16.3,15.1,16.106,307.5
2024-05-20,15.876,16.1,15.3,15.5,681.2
2024-05-21,15.7,16.4,15.7,16.2,93.9
2024-05-22,15.75,16.0,14.6,15.1,14613.0
2024-05-23,15.8,16.0,14.55,14.8,9303.7
2024-05-24,14.5,15.8,14.5,15.4,1352.1
2024-05-28,14.8,16.2,14.8,16.1,4224.7
2024-05-29,16.2,16.9,16.0,16.829,3181.8
2024-05-30,16.8,17.9,16.3,16.8,6243.9
2024-05-31,16.1,17.7,14.7,17.3,8731.7
2024-06-03,17.0,17.5,16.3,16.8,390.2
2024-06-04,15.9,17.553,15.7,17.196,3141.6
2024-06-05,16.9,17.1,15.7,16.301,1934.9
2024-06-06,16.3,17.5,16.2,16.787,2648.2
2024-06-07,16.001,16.9,15.501,16.5,587.6
2024-06-10,16.0,16.834,15.2,16.0,1573.0
2024-06-11,15.8,15.9,15.2,15.799,1932.4
2024-06-12,15.8,16.6,15.282,16.0,6085.1
2024-06-13,15.502,15.874,15.5,15.7,570.5
2024-06-14,15.5,15.8,14.3,14.7,11165.7
2024-06-17,14.55,14.55,13.005,13.005,4475.2
2024-06-18,13.0,13.1,12.0,12.9,5338.7
2024-06-20,13.0,13.1,12.1,12.3,9355.1
2024-06-21,12.55,12.9,12.55,12.9,47.1
2024-06-24,12.4,12.4,10.8,10.9,7545.8
2024-06-25,10.7,10.8,8.55,8.55,6826.0
2024-06-26,9.02,11.6,9.02,10.55,6272.3
2024-06-27,10.3,11.0,10.255,10.3,2282.3
2024-06-28,10.3,10.89,10.2,10.3,900.3
2024-07-01,10.6,11.419,10.45,10.9,1598.2
2024-07-02,11.142,12.0,10.9,12.0,2909.3
2024-07-03,13.5,16.5,12.0,12.15,378549.0
2024-07-05,11.9,11.9,9.596,11.6,27696.6
2024-07-08,10.6,11.1,10.5,10.9,5865.5
2024-07-09,10.7,13.8,10.7,13.0,11785.1
2024-07-10,13.0,13.1,12.0,12.3,4480.8
2024-07-11,12.242,12.8,12.2,12.6,1549.4
2024-07-12,12.001,12.6,11.2,11.9,3857.6
2024-07-15,11.9,12.0,11.602,12.0,956.8
2024-07-16,12.0,12.0,11.4,11.8,1928.7
2024-07-17,11.8,11.9,11.5,11.8,782.5
2024-07-18,11.8,11.8,11.6,11.8,152.1
2024-07-19,11.5,11.5,11.1,11.15,314.7
2024-07-22,11.1,11.12,10.9,11.1,1097.4
2024-07-23,11.1,11.4,10.9,11.2,634.5
2024-07-24,10.7,11.0,10.6,10.8,2797.3
2024-07-25,10.95,11.2,10.7,10.8,462.1
2024-07-26,10.7,11.0,10.7,10.9,183.6
2024-07-29,11.0,11.0,10.8,10.85,454.6
2024-07-30,10.9,11.1,10.1,10.787,1530.9
2024-07-31,10.5,11.099,10.2,10.8,1340.0
2024-08-01,10.3,10.667,10.2,10.6,174.3
2024-08-02,10.2,10.798,10.2,10.5,100.5
2024-08-05,10.55,11.1,10.3,10.95,608.4
2024-08-06,10.3,11.0,10.3,10.913,444.4
2024-08-07,10.3,10.8,10.2,10.35,424.8
2024-08-08,10.632,10.801,10.3,10.798,321.2
2024-08-09,10.4,10.6,10.3,10.55,444.3
