Date,Open,High,Low,Close,Volume
2025-06-02,1.77,1.77,1.77,1.77,531.0
2025-06-03,1.73,1.76,1.73,1.76,899.0
2025-06-05,1.76,1.8099,1.73,1.73,27914.0
2025-06-06,1.74,1.785,1.74,1.75,2276.0
2025-06-09,1.84,1.84,1.84,1.84,530.0
2025-06-10,1.85,1.85,1.755,1.802,66455.0
2025-06-11,1.85,1.85,1.76,1.76,1099.0
2025-06-12,1.77,1.77,1.77,1.77,511.0
2025-06-16,1.75,1.805,1.75,1.805,3782.0
2025-06-17,1.75,1.75,1.73,1.75,3068.0
2025-06-18,1.69,1.73,1.655,1.73,18531.0
2025-06-23,1.64,1.72,1.64,1.72,1217.0
2025-06-24,1.6598,1.73,1.6598,1.72,6834.0
2025-06-25,1.765,1.765,1.71,1.71,1305.0
2025-06-26,1.69,1.73,1.69,1.71,20726.0
2025-06-30,1.75,1.75,1.71,1.73,51820.0
2025-07-01,1.72,1.72,1.6367,1.65,13583.0
2025-07-02,1.67,1.67,1.64,1.64,3860.0
2025-07-03,1.56,1.64,1.56,1.63,5539.0
2025-07-07,1.69,1.69,1.5501,1.59,12161.0
2025-07-08,1.62,1.6395,1.62,1.63,2787.0
2025-07-09,1.625,1.63,1.62,1.63,4302.0
2025-07-10,1.6399,1.64,1.62,1.64,3782.0
2025-07-11,1.64,1.66,1.622,1.63,4296.0
2025-07-14,1.61,1.61,1.6,1.6,755.0
2025-07-15,1.61,1.61,1.57,1.57,6097.0
2025-07-16,1.58,1.6184,1.57,1.57,5831.0
2025-07-17,1.55,1.6394,1.55,1.63,7920.0
2025-07-18,1.55,1.69,1.55,1.69,2568.0
2025-07-21,1.6715,1.6715,1.63,1.67,14058.0
2025-07-22,1.65,1.65,1.65,1.65,1053.0
2025-07-23,1.635,1.67,1.62,1.63,20381.0
2025-07-24,1.625,1.67,1.625,1.66,4187.0
2025-07-25,1.6795,1.6795,1.6592,1.6614,2457.0
2025-07-28,1.66,1.66,1.66,1.66,247.0
2025-07-29,1.63,1.65,1.63,1.6436,3698.0
