Date,Open,High,Low,Close,Volume
2025-07-11,2.37,2.405,2.35,2.35,229308
2025-07-14,2.33,2.41,2.3,2.4,261931
2025-07-15,2.41,2.41,2.32,2.32,191455
2025-07-16,2.32,2.44,2.2899,2.43,357466
2025-07-17,2.42,2.52,2.42,2.5,379505
2025-07-18,2.5,2.5,2.44,2.45,197018
2025-07-21,2.45,2.47,2.39,2.39,305348
2025-07-22,2.39,2.41,2.37,2.4,294276
2025-07-23,2.39,2.43,2.3801,2.41,301031
2025-07-24,2.44,2.44,2.36,2.37,200912
2025-07-25,2.35,2.35,2.285,2.31,263479
2025-07-28,2.28,2.31,2.2209,2.27,266810
2025-07-29,2.27,2.27,2.15,2.15,364516
2025-07-30,2.16,2.185,2.12,2.12,194744
2025-07-31,2.15,2.2,2.135,2.19,286376
2025-08-01,2.18,2.22,2.13,2.17,243950
2025-08-04,2.16,2.21,2.13,2.2,181839
2025-08-05,2.19,2.215,2.17,2.2,145220
2025-08-06,2.2,2.2194,2.15,2.18,218675
2025-08-07,2.18,2.19,2.14,2.18,259072
2025-08-08,2.2,2.21,2.16,2.17,313332
2025-08-11,2.31,2.405,2.25,2.39,843091
2025-08-12,2.44,2.47,2.3208,2.36,506402
2025-08-13,2.32,2.48,2.2901,2.46,602506
2025-08-14,2.55,2.6,2.49,2.55,1227293
2025-08-15,2.55,2.695,2.55,2.66,1050521
2025-08-18,2.76,3.0,2.75,2.98,1808844
2025-08-19,2.98,3.11,2.91,3.06,845970
2025-08-20,3.05,3.09,2.92,3.08,728904
2025-08-21,3.1,3.39,3.05,3.36,1673427
2025-08-22,3.35,3.655,3.25,3.57,3686433
2025-08-25,3.61,3.64,3.41,3.49,1202870
2025-08-26,3.5,3.54,3.325,3.49,1727136
2025-08-27,3.5,3.625,3.45,3.6,859798
2025-08-28,3.59,3.6,3.47,3.57,872596
2025-08-29,3.61,3.616,3.51,3.595,777497
2025-09-02,3.5,3.515,3.27,3.33,1142050
2025-09-03,3.33,3.37,3.2311,3.26,582937
2025-09-04,3.28,3.28,3.155,3.17,479841
2025-09-05,3.16,3.48,3.15,3.44,837863
2025-09-08,3.43,3.43,3.27,3.28,453435
2025-09-09,3.29,3.38,3.28,3.3,288812
2025-09-10,3.3,3.37,3.24,3.28,371776
2025-09-11,3.26,3.425,3.26,3.38,580850
2025-09-12,3.49,3.5,3.36,3.43,692565
