Date,Open,High,Low,Close,Volume
2024-01-02,9.0,9.55,8.99,9.205,831373
2024-01-03,9.21,9.35,8.97,9.24,446829
2024-01-04,9.37,9.75,9.36,9.45,486138
2024-01-05,9.42,9.53,9.26,9.28,276972
2024-01-08,9.19,9.19,8.7,8.9,416914
2024-01-09,8.91,9.08,8.703,8.8,587355
2024-01-10,8.79,8.79,8.47,8.57,396660
2024-01-11,8.56,8.59,8.1745,8.39,419434
2024-01-12,8.49,8.68,8.24,8.41,259617
2024-01-16,8.27,8.34,8.1,8.18,347702
2024-01-17,8.08,8.44,7.95,8.42,339763
2024-01-18,8.42,8.79,8.34,8.73,276491
2024-01-19,8.75,9.0551,8.68,8.89,208574
2024-01-22,8.9,8.9728,8.74,8.76,203774
2024-01-23,8.77,8.8,8.69,8.71,180751
2024-01-24,8.85,9.18,8.8195,9.09,340287
2024-01-25,9.18,9.2,8.75,8.83,239599
2024-01-26,8.86,8.9796,8.57,8.73,275558
2024-01-29,8.87,9.1,8.61,8.63,259449
2024-01-30,8.62,8.96,8.505,8.92,244725
2024-01-31,8.96,9.03,8.51,8.53,222098
2024-02-01,8.63,8.79,8.48,8.72,233165
2024-02-02,8.85,8.85,8.26,8.26,152765
2024-02-05,8.22,8.22,7.64,7.67,392188
2024-02-06,7.65,7.6599,7.26,7.3,312141
2024-02-07,7.3,7.45,7.165,7.39,385920
2024-02-08,7.35,7.62,7.19,7.56,223772
2024-02-09,7.55,7.55,7.23,7.43,191041
2024-02-12,7.4,7.73,7.39,7.66,270080
2024-02-13,7.57,7.57,7.149,7.2,269706
2024-02-14,7.25,7.38,7.07,7.32,188087
2024-02-15,7.38,7.5231,7.32,7.47,238393
2024-02-16,7.58,7.58,7.31,7.47,220116
2024-02-20,7.48,7.5,7.26,7.34,225026
2024-02-21,7.3,7.525,7.3,7.47,198216
2024-02-22,7.47,7.65,7.33,7.4,273828
2024-02-23,7.31,7.435,7.2,7.21,209695
2024-02-26,7.12,7.12,6.85,7.04,289538
2024-02-27,7.09,7.46,7.09,7.35,249148
2024-02-28,7.31,7.35,7.15,7.28,219189
2024-02-29,7.38,7.63,7.325,7.6,620497
2024-03-01,7.64,7.88,7.61,7.82,317731
2024-03-04,7.82,8.229,7.78,7.95,330951
2024-03-05,7.94,8.32,7.94,8.23,386447
2024-03-06,8.36,8.63,8.19,8.44,454252
2024-03-07,8.49,9.0,8.44,8.81,238796
2024-03-08,8.85,8.9318,8.252,8.39,388610
2024-03-11,8.43,8.43,7.93,7.94,329777
2024-03-12,7.97,7.97,7.65,7.77,298277
2024-03-13,7.86,8.03,7.75,7.82,281049
2024-03-14,7.56,8.0,6.3,7.3,680879
2024-03-15,7.26,7.29,6.05,6.54,1051453
2024-03-18,6.5,6.5,5.78,5.86,701865
2024-03-19,5.79,5.8,5.42,5.49,667962
2024-03-20,5.4,5.42,5.08,5.33,603909
2024-03-21,5.34,5.6,5.24,5.41,508637
2024-03-22,5.41,5.41,5.05,5.05,419098
2024-03-25,5.05,5.06,4.5,4.91,778891
2024-03-26,5.11,5.5999,4.97,5.04,841582
2024-03-27,5.04,5.317,4.9496,5.21,538623
2024-03-28,5.22,5.5,5.22,5.33,342611
2024-04-01,5.34,5.37,4.78,4.8,450337
2024-04-02,4.76,4.8999,4.7264,4.775,339774
2024-04-03,4.83,5.185,4.765,5.1,417666
2024-04-04,5.13,5.2,4.87,4.9,409625
2024-04-05,4.91,5.125,4.7501,5.08,412193
2024-04-08,4.92,5.2,4.87,4.93,352439
2024-04-09,4.92,4.99,4.82,4.91,229790
2024-04-10,4.84,4.84,4.63,4.82,335449
2024-04-11,4.77,4.94,4.74,4.77,228254
2024-04-12,4.77,4.98,4.68,4.71,219172
2024-04-15,4.71,4.71,4.49,4.54,248187
2024-04-16,4.5,4.6,4.45,4.56,193698
2024-04-17,4.58,4.8715,4.48,4.51,240130
2024-04-18,4.51,4.6,4.332,4.6,238654
2024-04-19,4.6,4.86,4.5953,4.81,226374
2024-04-22,4.8,5.11,4.7,4.985,337542
2024-04-23,4.96,4.96,4.725,4.84,262693
2024-04-24,4.79,4.96,4.72,4.82,244285
2024-04-25,4.81,4.84,4.59,4.825,188021
2024-04-26,4.83,5.29,4.808,5.17,349804
2024-04-29,5.28,5.32,5.16,5.21,474062
2024-04-30,5.18,5.21,5.0,5.11,304416
2024-05-01,5.13,5.24,5.03,5.1,255488
2024-05-02,5.13,5.32,5.1,5.12,175919
2024-05-03,5.17,5.25,5.09,5.17,245982
2024-05-06,5.22,5.5399,5.07,5.1,356823
2024-05-07,5.1,5.9923,5.09,5.47,759987
2024-05-08,5.42,5.75,5.32,5.73,311790
2024-05-09,5.77,6.46,5.632,6.19,620859
2024-05-10,6.2,6.56,6.11,6.27,547455
2024-05-13,6.28,6.6,6.13,6.4,469310
2024-05-14,6.46,6.53,6.02,6.05,901560
2024-05-15,6.08,6.19,5.95,6.04,355556
2024-05-16,6.03,6.03,5.82,5.84,231288
2024-05-17,5.84,6.19,5.68,6.07,440764
2024-05-20,6.04,6.07,5.87,6.06,459269
2024-05-21,6.05,6.19,5.99,6.11,424210
2024-05-22,6.1,6.19,5.956,6.1,360222
2024-05-23,6.32,6.9,6.3,6.835,1282932
