Date,Open,High,Low,Close,Volume
2024-01-02,8.86,8.86,8.175,8.18,290486
2024-01-03,8.15,8.29,7.78,8.12,415869
2024-01-04,7.98,8.33,7.77,7.93,863295
2024-01-05,8.01,8.275,7.95,8.09,660933
2024-01-08,8.0,8.0,7.56,7.78,606205
2024-01-09,7.72,8.1,7.63,7.85,378352
2024-01-10,7.86,7.881,7.54,7.64,240128
2024-01-11,7.8,8.44,7.64,8.2,1228951
2024-01-12,8.3,8.35,7.68,7.71,439864
2024-01-16,7.71,7.93,7.1,7.29,524104
2024-01-17,7.2,7.42,6.92,7.07,631646
2024-01-18,7.09,7.2751,6.9601,7.03,273787
2024-01-19,7.0,7.39,6.61,7.17,639093
2024-01-22,7.0,7.258,6.53,6.56,654705
2024-01-23,6.75,7.01,6.58,6.68,501858
2024-01-24,7.02,7.07,6.4,6.45,742181
2024-01-25,6.47,6.57,6.3,6.48,279836
2024-01-26,6.38,6.5485,6.25,6.29,197230
2024-01-29,6.26,6.71,6.18,6.7,241110
2024-01-30,6.61,6.68,6.25,6.29,517192
2024-01-31,6.22,6.2472,5.79,5.83,539184
2024-02-01,5.08,5.1385,4.0,4.02,4228116
2024-02-02,4.04,4.2,3.28,4.15,4850252
2024-02-05,3.98,4.1482,3.52,3.795,1552135
2024-02-06,4.02,4.4,3.9125,4.29,772798
2024-02-07,4.16,4.19,3.88,3.95,590986
2024-02-08,4.08,4.165,3.8,3.97,423970
2024-02-09,3.99,4.06,3.88,4.03,271179
2024-02-12,4.08,4.28,4.04,4.12,496121
2024-02-13,4.07,4.07,3.89,4.02,204740
2024-02-14,4.1,4.12,3.85,3.88,290786
2024-02-15,3.87,4.02,3.84,3.95,202155
2024-02-16,4.03,4.0718,3.91,3.93,241608
2024-02-20,3.97,3.97,3.73,3.8,319159
2024-02-21,3.86,3.95,3.8,3.88,140927
2024-02-22,3.91,3.93,3.8,3.89,218965
2024-02-23,3.9,3.9,3.64,3.64,292055
2024-02-26,3.76,3.861,3.57,3.62,350567
2024-02-27,3.76,4.03,3.65,3.81,902906
2024-02-28,3.76,3.84,3.7,3.74,323172
2024-02-29,3.77,3.8181,3.64,3.69,318453
2024-03-01,3.8,4.62,3.66,4.44,1786407
2024-03-04,4.598,5.06,4.545,4.9,2169089
2024-03-05,4.77,5.1599,4.64,4.67,1891280
2024-03-06,4.99,5.94,4.88,5.46,2224236
2024-03-07,5.63,5.76,5.22,5.67,1276094
2024-03-08,5.72,6.01,5.45,5.76,2011512
2024-03-11,6.0,6.0744,5.3,5.37,2845385
2024-03-12,5.29,5.37,4.73,5.16,2003463
2024-03-13,5.12,5.214,4.65,4.655,1115660
2024-03-14,4.71,4.82,4.35,4.39,1543509
2024-03-15,4.42,4.71,4.42,4.64,938475
2024-03-18,4.79,5.15,4.61,4.65,788074
2024-03-19,4.6,5.17,4.51,5.1,926391
2024-03-20,5.15,5.35,4.91,5.08,831881
2024-03-21,5.05,5.29,4.77,5.07,994383
2024-03-22,4.89,4.9,4.68,4.71,711870
2024-03-25,4.77,5.03,4.56,4.57,734015
2024-03-26,4.65,4.73,4.58,4.63,228012
2024-03-27,4.58,4.75,4.3445,4.68,741448
2024-03-28,4.77,5.465,4.77,5.06,2054510
2024-04-01,5.2,5.47,4.94,5.23,1011178
2024-04-02,5.13,5.18,4.97,5.03,387071
2024-04-03,4.99,5.36,4.99,5.18,565197
2024-04-04,5.22,5.34,5.01,5.04,477261
2024-04-05,5.0,5.105,4.93,4.99,292201
2024-04-08,4.95,5.22,4.95,4.965,415381
2024-04-09,4.98,5.35,4.98,5.345,835410
2024-04-10,5.2,5.2571,5.0,5.06,557605
2024-04-11,5.17,5.2,4.97,5.17,290050
2024-04-12,5.01,5.05,4.51,4.52,875584
2024-04-15,4.64,4.72,4.4,4.465,418782
2024-04-16,4.45,4.45,4.11,4.11,653202
2024-04-17,4.21,4.35,4.1801,4.305,625866
2024-04-18,4.38,4.41,4.24,4.28,281626
2024-04-19,4.25,4.37,3.95,3.97,318463
2024-04-22,3.97,4.14,3.84,4.04,387047
2024-04-23,4.02,4.3484,4.0,4.24,297727
2024-04-24,4.3,4.4,4.18,4.28,264599
2024-04-25,4.18,4.21,4.08,4.17,234706
2024-04-26,4.26,4.4664,4.09,4.395,543155
2024-04-29,4.55,4.75,4.55,4.745,675585
