Date,Open,High,Low,Close,Volume
2025-06-09,6.4275,6.5475,6.25,6.26,27921.52
2025-06-10,6.25,6.5425,5.765,5.9925,33975.4
2025-06-11,5.855,6.62,5.81,6.4925,30543.48
2025-06-12,6.3275,6.62,5.8425,5.95,59276.72
2025-06-13,5.8825,6.145,5.2775,5.4725,177596.4
2025-06-16,5.265,5.5,5.0125,5.3875,44132.36
2025-06-17,5.3525,5.49748,4.86,4.94625,226804.0
2025-06-18,5.75,7.0,5.0,5.125,506480.76
2025-06-20,5.29,5.405,5.0025,5.2475,118827.92
2025-06-23,5.0,5.5,5.0,5.13,70613.6
2025-06-24,5.0425,5.27,5.03,5.27,50027.24
2025-06-25,5.2,5.325,5.1325,5.14,16974.68
2025-06-26,5.10675,5.315,4.8025,4.8175,39530.08
2025-06-27,4.94375,5.225,4.8525,4.89,34872.36
2025-06-30,5.0925,5.2475,4.55,4.615,39256.24
2025-07-01,4.575,4.8775,4.55,4.69502,33359.520000000004
2025-07-02,4.745,5.2275,4.74,5.0625,46189.96
2025-07-03,5.0625,5.44248,5.0625,5.1875,20586.0
2025-07-07,5.4325,5.6675,5.25,5.625,42890.6
2025-07-08,5.455,5.74975,5.275,5.57,19521.56
2025-07-09,5.5,5.5375,5.4275,5.4475,31788.28
2025-07-10,5.4525,5.9175,5.425,5.7725,24241.12
2025-07-11,5.9975,5.9975,5.7725,5.915,15415.44
2025-07-14,5.9275,6.09,5.385,5.425,24480.12
2025-07-15,6.2475,6.2475,5.4161,5.8375,21307.84
2025-07-16,6.0,6.0,5.47,5.59,10694.6
2025-07-17,5.0125,5.7275,5.0,5.6,38320.2
2025-07-18,5.42,5.5225,5.25,5.25,37065.04
2025-07-21,5.05,5.625,5.0,5.45,41199.92
2025-07-22,5.5225,6.9,5.5225,6.9,131508.28
2025-07-23,6.775,7.60725,6.4175,6.615,39165.56
2025-07-24,6.585,6.585,5.8725,5.9775,28184.04
2025-07-25,6.06,6.3425,5.305,5.84,11286.24
2025-07-28,5.7175,6.335,5.7175,6.29,16063.84
2025-07-29,6.3825,6.5375,6.14752,6.5275,18563.48
2025-07-30,6.445,7.26,6.375,7.25,30906.24
2025-07-31,7.5,8.25,7.09,8.055,76382.24
2025-08-01,7.5725,8.75,6.0,8.2525,78331.28
2025-08-04,8.25,8.4925,7.85752,7.875,14274.28
2025-08-05,7.25,7.875,6.8975,7.305,22980.44
2025-08-06,7.085,7.745,7.0025,7.575,12676.76
2025-08-07,7.0,7.94,7.0,7.595,30620.08
2025-08-08,8.14,8.8517,5.945,7.21,138248.0
2025-08-11,7.59,7.59,6.07,6.45,50631.0
2025-08-12,6.51,6.93,6.34,6.6765,22133.0
2025-08-13,6.458,6.5,6.0212,6.27,22742.0
2025-08-14,6.438,6.55,5.92,6.04,38132.0
2025-08-15,6.235,6.2705,6.2,6.25,11057.0
2025-08-18,6.2,6.46,6.12,6.22,20972.0
2025-08-19,6.28,6.6,6.215,6.59,27430.0
2025-08-20,6.59,7.5,6.59,7.4235,44662.0
2025-08-21,7.42,7.87,7.11,7.24,30011.0
2025-08-22,7.15,7.9999,7.06,7.895,81707.0
2025-08-25,7.92,10.39,7.91,10.13,250248.0
2025-08-26,10.02,11.5499,10.0,11.54,69240.0
2025-08-27,11.23,11.8972,10.23,11.74,122225.0
2025-08-28,12.66,12.95,11.11,11.26,90215.0
2025-08-29,10.92,11.0916,8.68,9.2768,122579.0
2025-09-02,9.1,9.11,7.415,7.69,60386.0
2025-09-03,7.73,7.985,7.14,7.65,52615.0
2025-09-04,7.99,8.32,7.2005,7.66,33435.0
2025-09-05,7.875,7.875,7.29,7.33,11781.0
