Date,Open,High,Low,Close,Volume
2025-06-09,4.34,4.6959,4.3,4.41,413533.0
2025-06-10,4.48,4.4899,4.05,4.23,348156.0
2025-06-11,4.24,4.35,4.1165,4.28,258683.0
2025-06-12,3.27,3.48,3.115,3.4,2887628.0
2025-06-13,3.41,3.42,3.08,3.095,1019172.0
2025-06-16,3.11,3.15,2.96,3.08,920379.0
2025-06-17,3.06,3.25,3.01,3.15,711067.0
2025-06-18,3.3,3.38,3.08,3.11,1061971.0
2025-06-20,3.17,3.44,3.07,3.35,1540446.0
2025-06-23,3.43,3.55,3.16,3.22,1668443.0
2025-06-24,3.2,3.2899,3.03,3.19,862386.0
2025-06-25,3.16,3.3962,3.15,3.28,793197.0
2025-06-26,3.29,3.3669,3.165,3.21,691893.0
2025-06-27,3.21,3.24,3.05,3.09,570724.0
2025-06-30,3.11,3.18,3.02,3.13,436286.0
2025-07-01,3.16,3.2795,3.08,3.14,523216.0
2025-07-02,3.15,3.2,3.08,3.14,556808.0
2025-07-03,3.13,3.175,3.04,3.14,421836.0
2025-07-07,3.11,3.2,2.93,3.2,683294.0
2025-07-08,3.22,3.23,3.12,3.19,365906.0
2025-07-09,3.17,3.5,3.17,3.48,684744.0
2025-07-10,3.48,3.6749,3.41,3.65,712175.0
2025-07-11,3.71,3.99,3.65,3.92,1153540.0
2025-07-14,3.91,4.14,3.85,3.92,736733.0
2025-07-15,3.94,3.965,3.71,3.75,594308.0
2025-07-16,3.75,3.89,3.65,3.82,667662.0
2025-07-17,3.81,3.89,3.74,3.82,405667.0
2025-07-18,3.85,3.895,3.62,3.67,373576.0
2025-07-21,3.76,4.0,3.745,3.81,547919.0
2025-07-22,3.85,4.1,3.84,4.09,661267.0
2025-07-23,4.1,4.1132,3.9301,3.97,423688.0
2025-07-24,3.95,3.9501,3.66,3.69,518011.0
2025-07-25,3.65,3.6908,3.52,3.58,325685.0
2025-07-28,3.55,3.565,3.45,3.47,261736.0
2025-07-29,3.5,3.55,3.4121,3.49,281656.0
2025-07-30,3.41,3.47,3.3201,3.35,331496.0
2025-07-31,3.3,3.36,3.22,3.26,432800.0
2025-08-01,3.28,3.51,3.24,3.47,614788.0
2025-08-04,3.5,3.65,3.46,3.62,435454.0
2025-08-05,3.58,3.7399,3.54,3.72,571220.0
2025-08-06,3.71,3.7219,3.48,3.485,439861.0
2025-08-07,3.56,3.62,3.4,3.46,296341.0
2025-08-08,3.47,3.48,3.34,3.46,397953.0
2025-08-11,3.39,3.58,3.34,3.54,399447.0
2025-08-12,3.54,3.57,3.435,3.5,380754.0
2025-08-13,3.52,3.86,3.49,3.79,845374.0
2025-08-14,3.8,3.87,3.67,3.77,778372.0
2025-08-15,3.75,3.92,3.71,3.81,1842819.0
2025-08-18,3.82,3.84,3.73,3.79,224891.0
2025-08-19,3.74,3.825,3.6101,3.63,260842.0
2025-08-20,3.63,3.72,3.6,3.69,150776.0
2025-08-21,3.68,4.05,3.6783,4.02,698657.0
2025-08-22,4.03,4.275,3.93,4.25,849858.0
2025-08-25,4.25,4.3599,3.995,4.04,706305.0
2025-08-26,4.09,4.18,4.0246,4.09,486071.0
2025-08-27,4.08,4.24,4.02,4.17,460094.0
2025-08-28,4.24,4.42,4.13,4.24,724246.0
2025-08-29,4.28,4.56,4.2,4.55,845117.0
2025-09-02,4.66,5.49,4.58,5.45,3103365.0
2025-09-03,5.48,5.49,4.97,5.19,1258597.0
2025-09-04,5.2,5.56,5.14,5.51,1182001.0
2025-09-05,5.66,5.77,5.3959,5.5,861936.0
2025-09-08,5.63,5.88,5.48,5.75,879945.0
2025-09-09,5.79,5.98,5.66,5.71,838167.0
2025-09-10,5.7,5.9,5.65,5.8,931663.0
2025-09-11,5.72,5.93,5.3,5.92,1732597.0
2025-09-12,6.01,6.7492,5.97,6.39,2571236.0
2025-09-15,6.61,6.61,6.11,6.19,1322692.0
2025-09-16,6.34,6.47,5.95,6.03,898380.0
2025-09-17,5.85,6.49,5.81,6.08,1100603.0
2025-09-18,6.08,6.1499,5.69,5.77,786309.0
2025-09-19,5.81,6.5,5.81,6.46,1421107.0
2025-09-22,6.775,7.18,6.6,6.7,1411633.0
2025-09-23,6.79,6.88,6.3,6.32,994678.0
2025-09-24,6.31,6.4499,6.06,6.13,785810.0
2025-09-25,6.25,6.62,6.1469,6.43,943316.0
2025-09-26,6.46,6.46,5.98,6.06,1353326.0
2025-09-29,6.3,6.56,6.28,6.33,819335.0
2025-09-30,6.16,6.3353,6.02,6.2,432538.0
2025-10-01,6.29,6.93,6.25,6.55,984462.0
2025-10-02,6.6,6.6903,5.92,6.21,1079737.0
2025-10-03,6.25,6.55,6.22,6.24,657514.0
2025-10-06,6.37,6.85,6.37,6.41,896329.0
2025-10-07,6.4,6.64,6.28,6.5,746895.0
2025-10-08,6.62,7.25,6.51,7.16,2020534.0
2025-10-09,7.01,7.7,6.7,7.55,4996149.0
2025-10-10,7.63,7.75,7.27,7.45,3657130.0
2025-10-13,7.77,8.15,7.59,7.8,1342679.0
2025-10-14,7.95,8.0925,7.63,7.89,1646311.0
2025-10-15,8.04,8.8,7.975,8.58,2069178.0
2025-10-16,9.0,9.7492,8.7201,8.84,3431024.0
2025-10-17,8.98,9.0,7.6802,7.8,2511673.0
2025-10-20,8.23,8.7,8.13,8.7,1385590.0
2025-10-21,7.87,7.87,7.1801,7.34,2172234.0
2025-10-22,7.05,7.67,6.93,7.61,1685188.0
2025-10-23,7.76,7.83,7.13,7.45,1517010.0
2025-10-24,7.4,7.6045,6.94,6.96,1010422.0
2025-10-27,6.86,6.93,6.48,6.75,1716559.0
2025-10-28,6.82,8.19,6.8,8.01,2554923.0
2025-10-29,8.255,8.32,7.658,7.82,1293953.0
2025-10-30,7.75,8.06,7.73,7.93,634877.0
2025-10-31,7.97,7.986,7.441,7.6,1690026.0
2025-11-03,7.6,8.18,7.55,8.06,1480888.0
2025-11-04,7.84,8.02,7.55,7.66,857350.0
2025-11-05,7.77,7.84,7.2,7.38,1132287.0
2025-11-06,7.52,7.84,7.215,7.24,657789.0
2025-11-07,7.29,7.65,7.07,7.65,785700.0
2025-11-10,7.99,8.127,7.83,7.88,1061637.0
2025-11-11,8.03,8.19,7.6914,8.1,1396289.0
2025-11-12,8.18,9.14,8.16,9.07,2592695.0
2025-11-13,8.99,9.65,8.83,9.14,2113669.0
2025-11-14,8.48,9.383,8.45,9.06,1092606.0
2025-11-17,9.38,10.9899,9.3201,10.53,3696749.0
2025-11-18,10.45,10.97,10.16,10.57,1862648.0
2025-11-19,10.835,11.18,10.54,10.73,1425476.0
2025-11-20,10.92,10.99,9.75,9.78,1614774.0
2025-11-21,9.52,9.925,9.1901,9.6,2500274.0
2025-11-24,9.55,9.89,9.495,9.73,1218244.0
2025-11-25,9.55,10.13,9.55,9.98,1224885.0
2025-11-26,10.18,10.59,10.1,10.51,1639442.0
2025-11-28,10.67,11.85,10.66,11.7,1622357.0
2025-12-01,12.385,12.5,11.7,11.81,2150654.0
2025-12-02,11.81,11.9399,10.835,11.59,1414375.0
2025-12-03,11.81,12.06,11.35,11.44,801104.0
2025-12-04,11.345,12.15,11.1,11.97,943200.0
2025-12-05,12.2,12.39,11.41,11.45,1287194.0
2025-12-08,12.08,12.5,11.03,11.28,1210237.0
2025-12-09,11.2,11.92,11.19,11.68,1887933.0
2025-12-10,11.68,11.779,11.21,11.66,1103892.0
2025-12-11,11.77,13.0,11.45,12.36,2174872.0
2025-12-12,13.11,13.7402,12.32,13.4,2649811.0
2025-12-15,14.31,14.34,12.55,13.07,2547287.0
2025-12-16,12.995,13.4082,12.43,13.23,1599433.0
2025-12-17,13.94,15.49,13.8105,14.0,2895248.0
2025-12-18,13.92,15.42,13.61,15.36,1856711.0
2025-12-19,15.5,16.9499,15.28,16.42,4823350.0
2025-12-22,20.935,26.25,20.15,24.52,20310236.0
2025-12-23,25.9,29.8,24.79,27.14,15863467.0
2025-12-24,26.45,26.5,24.03,24.96,6470663.0
2025-12-26,26.41,26.7,24.1301,25.01,5143887.0
2025-12-29,22.81,24.09,21.2,23.26,7696066.0
2025-12-30,23.91,24.9,22.75,23.48,4019732.0
2025-12-31,23.16,24.65,23.06,23.77,3990359.0
2026-01-02,24.525,24.72,22.35,24.4,3367882.0
2026-01-05,25.1,28.99,25.04,28.15,6654074.0
2026-01-06,29.15,30.33,28.0,28.57,4073236.0
2026-01-07,27.34,29.99,26.8,29.74,2808926.0
2026-01-08,28.77,28.77,25.03,26.18,4836277.0
2026-01-09,26.69,27.75,26.02,27.13,2516251.0
2026-01-12,29.04,34.168,28.3,33.0,6926639.0
2026-01-13,34.01,35.71,32.65,33.84,5102726.0
2026-01-14,35.44,35.78,31.65,34.24,4935485.0
2026-01-15,33.37,35.9,32.8001,34.59,2941988.0
2026-01-16,34.12,35.3586,32.95,34.63,3069324.0
2026-01-20,37.325,43.0235,36.09,42.77,7319070.0
2026-01-21,45.505,45.505,37.8801,39.57,8872914.0
2026-01-22,39.55,47.18,38.6301,46.69,7006655.0
2026-01-23,47.57,51.47,45.795,50.65,7029289.0
2026-01-26,54.18,58.7299,49.14,49.59,10743661.0
2026-01-27,47.34,55.45,45.55,54.85,7419819.0
2026-01-28,55.04,56.87,49.3501,51.69,5335490.0
2026-01-29,53.53,53.81,44.1,45.73,7852819.0
2026-01-30,36.29,43.49,36.1,37.35,9015707.0
2026-02-02,37.35,40.42,34.82,35.21,5749930.0
2026-02-03,39.99,42.15,36.395,42.07,6081519.0
2026-02-04,43.46,44.2,36.7501,39.31,3998693.0
2026-02-05,33.84,37.06,33.04,33.72,5331003.0
2026-02-06,33.42,34.96,31.18,34.59,3983042.0
2026-02-09,35.23,38.85,34.23,38.76,3558076.0
2026-02-10,36.71,38.55,35.27,36.65,3582548.0
2026-02-11,38.59,38.6,34.14,35.93,2268535.0
2026-02-12,35.25,38.66,33.01,33.1,3334691.0
2026-02-13,33.69,38.5,33.5,35.55,3668493.0
2026-02-17,34.12,34.8,30.81,33.6,4196259.0
2026-02-18,35.8,43.71,35.09,40.68,6538476.0
2026-02-19,39.84,43.44,39.65,42.15,3932939.0
2026-02-20,41.56,46.26,41.06,41.07,7053248.0
2026-02-23,42.21,43.34,41.3001,42.05,3389230.0
2026-02-24,41.02,47.47,39.2,46.93,4133900.0
2026-02-25,49.4,52.28,48.23,48.54,5108712.0
2026-02-26,47.38,50.3,45.5001,49.87,4348038.0
2026-02-27,50.15,51.25,45.22,50.38,5825151.0
2026-03-02,50.17,55.75,48.5,55.74,6017906.0
2026-03-03,49.99,50.05,45.31,48.51,5793090.0
2026-03-04,50.31,50.48,45.55,47.7,3449659.0
2026-03-05,46.63,46.63,39.31,41.06,5392414.0
2026-03-06,41.1,43.078,38.4,38.78,4075333.0
2026-03-09,37.89,41.48,36.89,40.58,3889363.0
2026-03-10,41.85,46.66,41.79,44.88,4924576.0
2026-03-11,42.94,44.6999,41.3,42.57,2479511.0
2026-03-12,42.41,42.41,39.5115,40.12,2176042.0
2026-03-13,39.75,40.62,36.9624,37.93,3292361.0
2026-03-16,39.02,41.18,37.76,39.32,3553278.0
2026-03-17,39.9,41.68,38.6559,40.28,2670828.0
2026-03-18,37.66,38.0599,35.65,36.24,4497363.0
2026-03-19,33.16,34.0,29.85,31.76,7301076.0
2026-03-20,32.05,32.0714,29.21,30.0,11744046.0
2026-03-23,30.51,32.83,29.577,32.17,4190252.0
2026-03-24,31.525,34.13,31.0,33.22,2467033.0
2026-03-25,36.36,36.9699,34.12,34.47,3128494.0
2026-03-26,32.44,34.33,31.085,31.18,2153708.0
2026-03-27,30.71,33.81,30.62,33.05,2243256.0
2026-03-30,33.4418,34.268,29.81,30.47,2844458.0
2026-03-31,31.6,35.2999,31.51,35.2,3443107.0
2026-04-01,36.4,36.5,34.5,35.05,2407002.0
2026-04-02,32.47,37.67,32.4,36.01,2581859.0
2026-04-06,35.9,36.7999,34.6,35.99,1996723.0
2026-04-07,35.04,36.84,33.88,36.57,1874351.0
2026-04-08,40.76,41.65,36.57,37.0,2968630.0
2026-04-09,37.18,39.645,35.61,38.97,2452105.0
2026-04-10,38.81,40.96,37.24,37.5,2494148.0
2026-04-13,37.19,39.77,37.1,39.56,1674509.0
2026-04-14,41.43,42.7499,40.95,41.7,2454746.0
2026-04-15,41.29,42.2,39.93,40.33,1578421.0
2026-04-16,41.34,42.01,39.9,40.72,1474506.0
2026-04-17,42.24,45.799,42.1,44.17,2836366.0
2026-04-20,43.09,44.8299,42.4501,43.97,1860924.0
2026-04-21,43.415,43.439,38.34,39.41,3616245.0
2026-04-22,41.12,41.56,40.3901,40.545,1572981.0
2026-04-23,39.445,39.94,36.16,37.86,2362002.0
2026-04-24,38.42,39.15,36.8001,38.04,1409274.0
2026-04-27,37.39,38.34,36.3001,38.12,1099494.0
2026-04-28,37.5,37.74,35.16,35.66,2017579.0
2026-04-29,35.2,35.2463,33.235,34.21,2269754.0
2026-04-30,36.2,36.7999,35.06,36.46,1547546.0
2026-05-01,36.46,38.86,36.2,38.73,2085536.0
2026-05-04,37.4,37.83,35.83,36.09,1469949.0
2026-05-05,36.78,37.51,35.02,35.37,1454721.0
2026-05-06,37.58,39.9,36.7031,39.76,2043731.0
2026-05-07,41.82,43.1999,38.65,38.88,3015524.0
2026-05-08,39.63,41.2065,37.8601,38.44,1604407.0
2026-05-11,39.94,45.64,39.94,43.71,4212513.0
