Date,Open,High,Low,Close,Volume
2024-01-02,4.99,5.24,4.85,5.24,3224158
2024-01-03,5.18,5.18,4.71,4.725,3860610
2024-01-04,4.86,5.02,4.7,4.83,2442953
2024-01-05,4.79,4.82,4.35,4.41,3366827
2024-01-08,4.42,4.48,4.09,4.47,3989178
2024-01-09,4.38,4.45,4.15,4.24,3115661
2024-01-10,4.2,4.32,4.12,4.19,2274897
2024-01-11,4.19,4.19,3.9,3.97,3441706
2024-01-12,3.98,4.41,3.81,3.85,3806889
2024-01-16,3.8,3.85,3.66,3.77,2424682
2024-01-17,3.7,3.795,3.58,3.65,3230123
2024-01-18,3.7,3.77,3.43,3.63,3509433
2024-01-19,3.65,3.66,3.46,3.6,2494650
2024-01-22,3.69,3.944,3.505,3.65,4316072
2024-01-23,3.69,3.8,3.2101,3.36,4652765
2024-01-24,3.38,3.489,3.22,3.225,2982481
2024-01-25,3.24,3.33,3.12,3.3,2679593
2024-01-26,3.36,3.55,3.245,3.29,2208452
2024-01-29,3.29,3.66,3.17,3.65,3018422
2024-01-30,3.66,3.66,3.45,3.52,2881931
2024-01-31,3.46,3.74,3.34,3.36,4580227
2024-02-01,3.5,3.65,3.385,3.65,4081384
2024-02-02,3.53,4.37,3.53,4.14,4360974
2024-02-05,4.06,4.115,3.76,4.04,5167743
2024-02-06,4.02,4.3,3.93,4.22,3709932
2024-02-07,4.22,4.37,4.075,4.14,2599757
2024-02-08,4.15,4.32,4.01,4.31,2487519
2024-02-09,4.33,4.63,4.29,4.58,3306342
2024-02-12,4.65,4.8072,4.49,4.74,3556830
2024-02-13,4.575,4.62,4.18,4.23,3692760
2024-02-14,4.34,4.61,4.3296,4.58,2507444
2024-02-15,4.67,4.83,4.58,4.78,3164425
2024-02-16,4.75,4.92,4.65,4.85,2226370
2024-02-20,4.81,4.87,4.39,4.73,4270810
2024-02-21,4.79,4.805,4.49,4.68,2409878
2024-02-22,4.77,5.25,4.7005,5.24,5320496
2024-02-23,5.19,5.21,3.37,3.5,15544530
2024-02-26,4.06,4.49,3.75,4.19,10418948
2024-02-27,4.14,4.59,3.92,4.59,5256840
2024-02-28,4.5,4.71,4.295,4.55,4090839
2024-02-29,4.67,4.99,4.59,4.73,4553641
2024-03-01,4.89,5.02,4.69,4.71,3215542
2024-03-04,4.8,5.1,4.49,5.07,3910053
2024-03-05,5.0,5.33,4.82,4.82,3663662
2024-03-06,5.02,5.15,4.9,5.08,3617979
2024-03-07,5.05,5.24,4.89,5.05,3252063
2024-03-08,5.16,5.55,4.94,5.49,4259778
2024-03-11,5.45,5.54,5.11,5.14,3639208
2024-03-12,5.21,5.31,5.05,5.05,2528472
2024-03-13,5.07,5.255,4.95,5.08,3012801
2024-03-14,5.04,5.2,4.86,4.91,2769686
