Date,Open,High,Low,Close,Volume
2024-01-02,23.4,24.84,22.92,23.88,24079.1
2024-01-03,24.24,24.48,23.28,23.76,6746.58
2024-01-04,23.88,24.36,23.4,23.76,6031.66
2024-01-05,23.52,23.64,21.36,21.84,6038.74
2024-01-08,21.96,24.36,21.96,23.88,8638.16
2024-01-09,23.28,24.12,22.92,23.4,5461.33
2024-01-10,23.64,24.12,22.68,24.0,3515.41
2024-01-11,23.22,23.52,21.96,22.56,4302.66
2024-01-12,22.92,24.3,21.6,21.84,25305.4
2024-01-16,21.84,22.32,20.76,21.48,6058.99
2024-01-17,20.76,21.24,19.8,20.76,5921.08
2024-01-18,20.52,20.76,19.44,19.68,3039.58
2024-01-19,20.4,21.36,17.52,18.24,18397.2
2024-01-22,18.48,19.152,17.4012,18.84,16019.4
2024-01-23,19.32,19.38,16.2,16.8,36983.8
2024-01-24,16.68,17.28,16.44,16.74,10816.5
2024-01-25,17.16,17.52,15.12,15.48,74721.1
2024-01-26,15.6,16.56,15.48,16.08,33552.4
2024-01-29,15.96,16.32,15.6,16.2,22938.2
2024-01-30,16.2,16.56,15.84,16.2,32580.4
2024-01-31,15.84,16.44,15.6,16.08,50885.1
2024-02-01,16.32,16.8,15.72,16.32,58672.4
2024-02-02,16.2,17.04,15.96,16.32,24825.4
2024-02-05,16.44,16.68,15.96,16.32,19235.5
2024-02-06,16.32,17.46,16.32,17.16,21933.6
2024-02-07,17.28,17.4,16.44,16.8,13814.2
2024-02-08,16.8,17.16,16.32,16.8,11798.9
2024-02-09,16.8,17.04,16.32,16.8,8419.08
2024-02-12,16.92,17.04,16.44,16.44,15232.3
2024-02-13,16.44,16.8,14.88,15.24,29193.8
2024-02-14,14.88,15.48,14.64,15.36,24403.1
2024-02-15,15.36,17.88,15.24,17.52,167099.0
2024-02-16,17.4,17.8788,16.32,16.44,41087.5
2024-02-20,16.44,18.48,16.44,16.68,85841.4
2024-02-21,16.68,16.7988,15.36,15.96,40325.0
2024-02-22,16.32,17.04,15.84,15.96,42777.1
2024-02-23,15.96,16.44,15.6,15.96,23427.7
2024-02-26,15.96,18.6,15.96,18.24,251034.0
2024-02-27,18.48,18.72,17.16,18.12,70765.8
2024-02-28,18.12,19.4352,18.0012,18.12,37424.3
2024-02-29,18.48,18.48,16.32,17.16,64503.1
2024-03-01,17.16,18.2388,17.1,17.64,28685.9
2024-03-04,17.88,18.24,17.28,17.64,17946.6
2024-03-05,17.52,18.12,17.28,17.64,21658.1
2024-03-06,17.64,19.56,17.64,18.96,40406.4
2024-03-07,19.2,19.8,18.36,18.84,35570.2
2024-03-08,18.96,19.68,18.6,19.2,12520.1
2024-03-11,19.32,19.7988,17.16,17.52,27739.8
2024-03-12,17.28,18.0,16.3212,16.68,33331.4
2024-03-13,16.8,17.16,16.56,16.92,30293.1
2024-03-14,16.92,18.0,16.92,17.52,34759.6
2024-03-15,17.4,19.26,17.28,18.84,47599.2
2024-03-18,18.96,18.96,17.88,18.0,12113.0
2024-03-19,18.36,18.72,17.4,18.0,15423.2
2024-03-20,18.24,18.72,17.28,18.66,16426.3
2024-03-21,18.72,19.2,17.28,18.0,122819.0
2024-03-22,18.0,18.24,17.52,17.76,36391.0
2024-03-25,17.76,17.88,17.16,17.28,24678.4
2024-03-26,17.4,17.7528,16.56,16.68,21596.4
2024-03-27,16.8,17.04,16.44,16.68,23325.6
2024-03-28,16.8,17.52,16.68,17.04,13026.5
2024-04-01,17.04,17.3712,16.56,16.68,16004.1
2024-04-02,16.2,17.16,15.0,16.02,25173.4
2024-04-03,16.2,17.52,15.72,16.02,22789.9
2024-04-04,16.68,17.28,15.96,16.32,22960.4
2024-04-05,16.44,17.04,15.96,16.2,10968.7
2024-04-08,17.16,17.28,15.24,15.84,37026.2
2024-04-09,15.84,16.56,15.6,15.96,22681.2
2024-04-10,16.2,16.2,14.64,15.12,20153.9
2024-04-11,15.48,16.68,15.12,16.56,24186.0
2024-04-12,16.68,16.68,15.72,15.96,19175.1
2024-04-15,16.32,16.32,15.12,15.36,15896.4
2024-04-16,15.24,16.5588,15.0,15.24,17091.8
2024-04-17,15.36,15.84,14.76,14.88,14460.9
2024-04-18,14.88,15.48,14.64,15.12,15384.5
2024-04-19,15.0,15.96,15.0,15.96,27832.2
2024-04-22,15.72,16.56,15.24,15.6,19945.0
2024-04-23,15.72,17.04,15.6,16.2,21994.1
2024-04-24,16.68,16.68,15.24,15.48,12834.7
2024-04-25,15.36,16.32,15.36,15.72,11538.4
2024-04-26,15.6,16.0368,15.36,15.6,10178.4
2024-04-29,15.6,15.96,15.36,15.96,12497.6
2024-04-30,15.72,16.2,15.72,15.84,6367.74
2024-05-01,16.08,16.2,15.42,15.6,11281.9
2024-05-02,16.08,16.08,15.36,15.84,26597.9
2024-05-03,16.2,16.56,15.6,15.84,30754.7
2024-05-06,16.08,16.2,15.48,15.72,19644.5
2024-05-07,15.84,17.16,15.7308,16.92,32665.9
2024-05-08,16.8,17.04,15.96,16.44,10328.6
2024-05-09,15.9996,16.56,15.84,16.2,7420.24
2024-05-10,16.08,16.32,15.36,15.48,13140.9
2024-05-13,15.84,16.68,15.48,15.84,22441.6
2024-05-14,16.2,16.2,15.72,15.96,18266.6
2024-05-15,16.08,16.68,15.96,16.02,12464.6
