Date,Open,High,Low,Close,Volume
2024-01-02,41.1,42.0,39.0,39.6,4767.4666618992
2024-01-03,39.0,39.3,36.6,37.2,4248.0999957519
2024-01-04,37.2,41.997,37.2,41.7,4593.933328739399
2024-01-05,41.7,43.755,40.551,41.7,4337.1999956628
2024-01-08,40.2,46.881,40.2,45.0,6701.999993297999
2024-01-09,46.2,52.5,45.54,50.7,12978.4666536882
2024-01-10,50.1,57.9,49.2,49.8,13662.7999863372
2024-01-11,51.9,51.9,43.5,46.2,9082.5999909174
2024-01-12,48.0,48.0,44.403,45.6,2087.3999979125997
2024-01-16,46.5,48.3,42.3,43.8,5318.7333280145995
2024-01-17,43.485,45.9,42.6,45.6,3749.366662917299
2024-01-18,45.6,45.6,42.597,43.2,4562.7999954372
2024-01-19,42.6,42.6,38.4,40.2,7614.666659051999
2024-01-22,40.2,41.1,39.6,39.9,3226.5666634400995
2024-01-23,40.5,41.7,39.3,40.2,3230.1999967698
2024-01-24,40.5,42.297,38.697,39.3,7394.4333259388995
2024-01-25,40.2,40.5,38.703,39.0,2478.9666641876997
2024-01-26,39.0,39.0,38.4,39.0,1306.6666653599998
2024-01-29,39.6,40.8,39.6,40.8,2762.9666639036996
2024-01-30,40.8,41.7,40.014,40.5,3522.5666631440995
2024-01-31,41.7,42.0,38.082,39.0,7305.133326028199
2024-02-01,39.0,39.114,35.7,36.0,20645.733312687596
2024-02-02,38.4,40.8,36.0,39.3,5986.366660680299
2024-02-05,38.1,39.0,36.3,37.5,1442.333331891
2024-02-06,37.5,37.8,36.3,36.9,3671.5666629951
2024-02-07,36.9,37.797,36.3,36.6,1480.2666651864
2024-02-08,36.3,36.9,35.7,36.6,2604.9333307283996
2024-02-09,37.2,37.59,34.5,36.3,5047.999994952
2024-02-12,36.3,37.17,35.4,36.0,2209.8666644568
2024-02-13,35.988,36.3,34.8,36.0,958.6333323747
2024-02-14,36.3,38.4,33.3,33.6,15167.166651499498
2024-02-15,34.8,34.8,32.4,33.0,7015.1333263182
2024-02-16,34.5,34.5,32.403,33.3,1444.7999985552
2024-02-20,33.9,33.9,30.9,31.35,2679.6666639869995
2024-02-21,32.1,32.1,30.3,30.9,3953.4999960465
2024-02-22,30.3,30.9,30.0,30.3,2964.0333303692996
2024-02-23,30.6,30.621,28.062,28.59,7125.999992873999
2024-02-26,29.4,30.3,28.5,29.538,8552.6999914473
2024-02-27,29.1,34.2,29.1,33.3,8475.933324857398
