Date,Open,High,Low,Close,Volume
2024-01-02,7.86,7.89,6.75,6.8,7081748
2024-01-03,6.25,6.84,6.0301,6.54,5020773
2024-01-04,6.75,7.13,6.5633,6.74,3334129
2024-01-05,6.79,6.8,6.12,6.19,3925120
2024-01-08,6.36,6.72,5.78,6.42,7622655
2024-01-09,6.28,6.4,6.07,6.08,3431501
2024-01-10,5.97,6.68,5.78,6.45,3890450
2024-01-11,7.0,7.14,5.76,6.04,7566157
2024-01-12,5.82,5.85,5.13,5.15,6151881
2024-01-16,5.12,5.12,4.685,4.81,6836763
2024-01-17,4.81,4.87,4.52,4.71,3818039
2024-01-18,4.81,4.875,4.295,4.33,5916026
2024-01-19,4.38,4.5,4.01,4.32,6039420
2024-01-22,4.25,4.61,4.07,4.3,5215584
2024-01-23,4.17,4.27,4.07,4.15,5351437
2024-01-24,4.25,4.45,3.98,4.0,6693367
2024-01-25,4.0,4.11,3.92,4.06,3700147
2024-01-26,4.3,4.36,4.19,4.27,6878426
2024-01-29,4.36,4.6,4.22,4.48,8988993
2024-01-30,4.47,4.621,4.2301,4.33,6025143
2024-01-31,4.17,4.24,3.88,3.92,9094994
2024-02-01,3.95,3.96,3.64,3.75,6767335
2024-02-02,3.71,3.9299,3.65,3.79,3375280
2024-02-05,3.8,3.87,3.56,3.65,3333234
2024-02-06,3.66,3.89,3.5901,3.84,2841955
2024-02-07,3.87,4.18,3.76,4.12,5962066
2024-02-08,4.47,5.11,4.4,5.1,10389718
2024-02-09,5.79,6.045,5.5,5.94,14629793
2024-02-12,6.07,7.15,6.04,6.93,16093673
2024-02-13,6.39,7.0,5.97,6.92,11642325
2024-02-14,8.16,8.37,7.7,8.3,18108618
2024-02-15,8.45,8.6935,7.41,7.74,19022331
2024-02-16,7.0,7.37,6.3723,6.81,19096403
2024-02-20,7.16,7.33,6.4619,6.87,9950454
2024-02-21,6.55,6.91,6.5,6.64,5323938
2024-02-22,6.76,7.0,6.5,6.63,7829151
2024-02-23,6.35,6.37,6.0,6.18,6919543
2024-02-26,6.15,7.2,6.07,6.91,16933808
2024-02-27,7.32,7.33,6.69,6.77,12409438
2024-02-28,6.99,6.99,5.94,6.05,16399096
2024-02-29,6.245,6.3,5.55,5.9,8949470
2024-03-01,5.95,6.01,5.5525,5.99,5294842
2024-03-04,6.1,6.21,5.46,5.7,13895184
2024-03-05,5.54,5.74,5.07,5.09,10345799
2024-03-06,5.28,5.56,5.085,5.4,7237471
2024-03-07,5.4,5.46,5.2702,5.36,5198940
2024-03-08,5.36,5.82,5.15,5.35,10447870
2024-03-11,5.68,5.78,5.07,5.08,11824254
2024-03-12,5.13,5.1488,4.815,4.93,12479692
2024-03-13,4.91,5.2,4.874,4.9,6034851
2024-03-14,4.86,4.87,4.48,4.56,5863555
2024-03-15,4.36,4.75,4.36,4.6,7967563
2024-03-18,4.65,4.68,4.44,4.61,7181541
2024-03-19,4.5,4.64,4.29,4.49,9467902
2024-03-20,4.59,5.72,4.535,5.67,14608367
2024-03-21,5.7,6.14,5.475,5.65,14550048
2024-03-22,5.37,5.42,5.0,5.05,9827514
2024-03-25,5.15,5.83,5.14,5.58,12520513
2024-03-26,5.68,5.95,5.46,5.69,9636947
2024-03-27,5.91,5.94,5.28,5.37,13623097
2024-03-28,5.47,5.945,5.33,5.4,13643612
2024-04-01,5.6,6.65,5.32,6.47,23245869
2024-04-02,5.97,6.23,5.52,5.89,17037416
2024-04-03,5.91,6.18,5.55,5.56,9240866
2024-04-04,5.92,6.35,5.71,5.76,16047557
2024-04-05,5.65,5.85,5.52,5.6,9606161
2024-04-08,6.08,6.33,5.295,5.41,15120935
2024-04-09,5.35,5.57,4.94,5.01,13462419
2024-04-10,4.94,5.26,4.81,4.9,10425328
2024-04-11,4.91,5.0,4.745,4.97,5593651
2024-04-12,4.92,4.92,4.57,4.65,6524341
2024-04-15,4.57,4.74,4.31,4.33,5426600
2024-04-16,4.28,4.51,4.16,4.35,4793522
2024-04-17,4.35,4.665,4.3,4.5,5451842
2024-04-18,4.55,4.92,4.44,4.68,6689645
2024-04-19,4.71,5.02,4.66,4.95,7318805
2024-04-22,5.19,5.59,4.87,5.51,17710497
2024-04-23,5.44,5.695,5.35,5.58,10954053
2024-04-24,5.55,5.63,5.2,5.25,8222805
2024-04-25,4.92,5.22,4.85,5.17,5587878
2024-04-26,5.12,5.3012,5.0,5.08,4530705
2024-04-29,4.86,4.95,4.61,4.69,7656505
2024-04-30,4.54,4.63,4.29,4.34,7841887
2024-05-01,4.29,4.63,4.15,4.33,6280147
2024-05-02,4.535,4.6185,4.36,4.57,4161005
2024-05-03,4.77,4.99,4.68,4.73,4580626
2024-05-06,4.88,5.43,4.8371,5.3,8589851
2024-05-07,5.23,5.37,4.96,5.07,5384036
2024-05-08,4.91,5.165,4.82,5.13,3849735
2024-05-09,5.13,5.315,4.97,5.11,4448599
2024-05-10,5.15,5.255,4.765,4.79,4914691
2024-05-13,4.93,5.07,4.8,4.85,6830820
2024-05-14,4.78,4.9601,4.65,4.87,6504798
2024-05-15,5.06,5.23,4.84,5.2,8449078
2024-05-16,5.06,5.91,4.95,5.83,18799684
2024-05-17,5.9,6.32,5.74,6.02,14717908
2024-05-20,6.06,6.655,5.91,6.36,14816437
2024-05-21,6.42,7.84,6.39,7.4,22107758
2024-05-22,7.28,8.1,7.27,7.76,13820380
2024-05-23,7.78,7.8398,7.06,7.07,10447711
2024-05-24,7.11,8.16,7.05,7.83,18558431
2024-05-28,7.99,8.14,7.64,7.89,11335487
2024-05-29,7.58,7.8008,7.24,7.74,7620580
2024-05-30,7.8,7.96,7.28,7.41,10238128
2024-05-31,7.54,7.92,7.35,7.79,8612059
2024-06-03,8.245,9.09,7.96,8.0,17610092
2024-06-04,8.25,9.39,8.0219,8.89,24881272
2024-06-05,9.07,9.25,8.55,9.06,18461860
2024-06-06,9.05,10.5098,8.8742,10.27,21610932
2024-06-07,10.25,11.495,10.2,10.53,25330956
2024-06-10,10.35,11.08,10.12,10.31,16391922
2024-06-11,10.014,12.47,9.781,12.35,28005232
2024-06-12,13.01,13.69,12.34,13.55,37372579
2024-06-13,13.63,14.95,12.94,13.7,38754065
2024-06-14,13.47,13.79,12.51,13.22,20570001
2024-06-17,12.91,14.74,12.87,14.45,21179863
2024-06-18,14.06,14.255,13.52,13.95,14750931
2024-06-20,14.05,14.31,13.29,13.9,14197198
2024-06-21,13.37,13.45,12.7,13.28,18106648
2024-06-24,12.45,13.44,12.135,12.63,17260730
2024-06-25,13.0,13.99,12.69,12.99,19953320
2024-06-26,12.84,13.4,12.18,12.27,13644669
2024-06-27,12.42,12.56,11.41,11.79,14004586
2024-06-28,11.84,11.84,11.21,11.29,8332320
2024-07-01,11.59,12.88,11.52,12.62,15295520
2024-07-02,12.44,14.51,12.18,14.39,20070388
2024-07-03,13.94,14.95,13.46,14.35,16561498
2024-07-05,13.313,15.04,13.19,15.03,17739960
2024-07-08,15.418,15.75,14.23,14.63,20079235
2024-07-09,14.76,15.14,12.64,12.82,20147996
2024-07-10,13.55,13.86,12.81,12.9,17002403
2024-07-11,13.23,13.91,10.235,11.2,48327781
2024-07-12,11.07,12.48,10.87,12.31,17891808
2024-07-15,12.95,13.14,11.85,11.995,29952336
2024-07-16,12.3,12.7912,11.58,12.34,29612335
2024-07-17,11.99,12.92,11.07,11.26,22730214
2024-07-18,11.54,11.59,10.11,10.23,17682194
2024-07-19,10.47,11.47,10.23,11.3,15062230
2024-07-22,11.5,12.03,10.84,11.58,16282793
2024-07-23,11.2093,11.86,10.86,10.89,17630934
2024-07-24,11.24,11.49,10.175,10.205,16663535
2024-07-25,9.99,10.15,9.39,9.43,21595574
2024-07-26,9.9,10.18,9.47,9.54,11678830
2024-07-29,9.84,10.34,9.42,9.72,12869934
2024-07-30,9.73,9.9,8.92,9.38,11997509
2024-07-31,9.83,10.535,9.83,10.07,16315039
2024-08-01,10.09,10.29,9.264,9.29,8168220
2024-08-02,9.05,9.41,8.43,8.62,14920175
2024-08-05,6.25,8.47,6.0302,8.38,21751166
2024-08-06,8.625,8.66,7.66,7.92,17593767
2024-08-07,7.94,8.09,6.7102,6.76,19385606
2024-08-08,7.05,7.7597,6.74,7.6,15100529
2024-08-09,7.48,7.61,7.26,7.51,8051394
2024-08-12,7.35,7.695,7.1,7.58,7488010
2024-08-13,7.57,7.71,7.3115,7.35,8877511
2024-08-14,7.43,7.59,7.24,7.25,7438070
2024-08-15,7.4,7.8,7.34,7.47,11441791
2024-08-16,7.43,7.99,7.43,7.97,9127608
2024-08-19,8.06,8.31,7.78,8.12,10854725
2024-08-20,8.36,8.5498,7.83,8.13,8931494
2024-08-21,8.23,8.75,8.134,8.68,11121301
2024-08-22,8.6,8.74,8.055,8.1,11218707
2024-08-23,8.11,8.64,8.0,8.62,13611570
2024-08-26,8.5,8.57,8.03,8.13,12423723
2024-08-27,7.92,8.12,7.59,7.86,10886084
2024-08-28,7.7,7.92,7.34,7.42,12007488
2024-08-29,8.28,9.2,8.24,8.52,27835291
2024-08-30,8.55,8.665,7.88,7.91,13744593
2024-09-03,7.78,7.79,6.84,6.9,18314863
