Date,Open,High,Low,Close,Volume
2024-01-02,8.41,8.61,8.41,8.45,10871
2024-01-03,8.35,8.44,8.25,8.29,7982
2024-01-04,8.26,8.38,8.06,8.27,21446
2024-01-05,8.408,8.408,8.07,8.1,18667
2024-01-08,8.1,8.154,8.02,8.08,11180
2024-01-09,8.06,8.06,7.8775,7.97,10203
2024-01-10,7.985,8.05,7.95,8.02,6736
2024-01-11,7.93,8.36,7.92,8.2,22821
2024-01-12,8.21,8.25,7.995,8.19,15148
2024-01-16,8.2,8.45,8.02,8.13,8808
2024-01-17,8.04,8.19,8.01,8.18,11619
2024-01-18,8.18,8.4,8.02,8.12,23734
2024-01-19,8.2,8.29,8.12,8.12,11059
2024-01-22,8.14,8.295,8.1,8.14,25593
2024-01-23,8.17,8.35,8.1,8.1,18047
2024-01-24,8.16,8.375,8.05,8.07,9973
2024-01-25,8.19,8.215,8.0328,8.09,3686
2024-01-26,8.0901,8.175,8.05,8.09,17492
2024-01-29,8.15,8.22,8.1,8.21,9877
2024-01-30,8.12,8.2,8.1003,8.14,5398
2024-01-31,8.14,8.2,8.0736,8.14,14277
2024-02-01,8.2,8.26,8.1,8.19,19247
2024-02-02,8.2,8.2874,8.15,8.19,36936
2024-02-05,8.28,8.3,8.0,8.07,59877
2024-02-06,8.05,8.293,8.05,8.24,69295
2024-02-07,8.25,8.25,8.12,8.19,18655
2024-02-08,8.18,8.25,8.12,8.24,9389
2024-02-09,8.16,8.2499,8.04,8.19,29683
2024-02-12,8.19,8.2355,8.06,8.06,41854
2024-02-13,8.0,8.5,8.0,8.145,265389
2024-02-14,8.375,8.6,8.102,8.15,108293
2024-02-15,8.2,8.3,8.0475,8.14,90307
2024-02-16,8.17,8.29,8.13,8.14,62056
2024-02-20,8.27,8.69,8.25,8.48,141093
2024-02-21,8.54,8.69,8.21,8.3,82850
2024-02-22,8.34,8.349,8.12,8.12,50496
2024-02-23,8.12,8.31,8.1,8.2,42874
2024-02-26,8.2,8.2,8.095,8.2,65994
2024-02-27,8.17,8.2,8.09,8.18,33590
2024-02-28,8.19,8.19,8.065,8.14,18480
2024-02-29,8.12,8.2,8.06,8.13,26684
2024-03-01,8.2,8.2,8.1265,8.15,24129
2024-03-04,8.2,8.265,8.1201,8.2,62882
2024-03-05,8.28,8.4,8.18,8.3,71580
2024-03-06,8.3,8.3,8.19,8.24,37933
2024-03-07,8.25,8.25,8.14,8.25,33512
2024-03-08,8.29,8.29,8.1501,8.24,8232
2024-03-11,8.16,8.26,8.16,8.2,37892
2024-03-12,8.14,8.2,8.1049,8.15,42467
2024-03-13,8.21,8.21,8.1,8.13,37777
2024-03-14,8.16,8.19,8.1,8.1,21036
2024-03-15,8.13,8.13,7.6,7.61,228621
2024-03-18,7.75,7.82,7.65,7.7,60309
2024-03-19,7.73,7.77,7.53,7.53,38230
2024-03-20,7.55,7.5999,7.38,7.53,48903
2024-03-21,7.6199,7.62,7.49,7.52,15427
2024-03-22,7.48,7.49,7.3,7.42,24846
2024-03-25,7.43,7.4793,6.98,7.1,75908
2024-03-26,7.03,7.29,7.0,7.24,62492
2024-03-27,7.3,7.3,7.08,7.1,30951
2024-03-28,7.18,7.36,7.13,7.32,24252
2024-04-01,7.35,7.46,7.18,7.42,53563
2024-04-02,7.34,7.6,7.28,7.6,47963
2024-04-03,7.6,7.6,7.4,7.44,36282
2024-04-04,7.48,7.51,7.34,7.36,45929
2024-04-05,7.38,7.38,7.21,7.28,18392
2024-04-08,7.06,7.27,7.03,7.06,50015
2024-04-09,7.13,7.14,7.01,7.14,22311
2024-04-10,7.08,7.09,6.66,6.69,54506
2024-04-11,6.8,6.8,6.57,6.61,34130
2024-04-12,6.61,6.79,6.61,6.73,21866
2024-04-15,6.68,6.68,6.36,6.42,31226
2024-04-16,6.42,6.5,6.34,6.5,18760
2024-04-17,6.52,6.75,6.4302,6.52,21400
2024-04-18,6.72,6.8,6.55,6.67,39015
2024-04-19,6.66,6.66,6.48,6.51,15570
