Date,Open,High,Low,Close,Volume
2025-07-11,2.98,3.0,2.8919,2.98,60915.0
2025-07-14,2.99,3.25,2.99,3.2,149798.0
2025-07-15,3.18,3.2982,3.05,3.29,54809.0
2025-07-16,3.25,3.49,3.2,3.31,139672.0
2025-07-17,3.31,3.52,3.3001,3.415,95097.0
2025-07-18,3.42,3.51,3.331,3.331,43127.0
2025-07-21,3.44,3.8484,3.38,3.75,364930.0
2025-07-22,3.81,4.1,3.76,3.9,230585.0
2025-07-23,3.95,4.09,3.81,4.09,119152.0
2025-07-24,4.04,4.13,3.9201,4.1,92951.0
2025-07-25,4.1,4.2,3.91,3.94,165491.0
2025-07-28,4.039,4.04,3.76,3.95,60159.0
2025-07-29,3.97,4.07,3.74,3.78,133577.0
2025-07-30,3.71,3.8063,3.52,3.55,63527.0
2025-07-31,3.56,3.8699,3.56,3.73,83246.0
2025-08-01,3.7,3.785,3.545,3.71,55599.0
2025-08-04,3.62,4.02,3.62,3.97,78133.0
2025-08-05,3.98,4.02,3.6725,3.69,47115.0
2025-08-06,3.66,3.66,3.5,3.6,58629.0
2025-08-07,3.55,3.875,3.55,3.85,53270.0
2025-08-08,3.81,3.91,3.72,3.76,40335.0
2025-08-11,3.74,3.865,3.58,3.73,62912.0
2025-08-12,3.73,3.915,3.6562,3.86,119553.0
2025-08-13,3.88,3.88,3.5,3.62,180241.0
2025-08-14,3.66,3.95,3.525,3.95,115352.0
2025-08-15,3.94,4.25,3.73,4.2,218442.0
2025-08-18,4.18,4.3499,4.1757,4.275,171966.0
2025-08-19,4.39,4.39,4.1399,4.22,130675.0
2025-08-20,4.13,4.23,4.041108,4.2,52645.0
2025-08-21,4.21,4.38,4.12,4.29,86904.0
2025-08-22,4.32,4.34,4.11,4.22,97725.0
2025-08-25,4.23,4.23,4.1062,4.17,49657.0
2025-08-26,4.14,4.17,4.1,4.135,26670.0
2025-08-27,4.1,4.23,4.0101,4.18,54942.0
2025-08-28,4.19,4.24,3.97,4.14,56505.0
2025-08-29,4.1,4.1,3.71,3.78,162174.0
2025-09-02,3.78,3.9699,3.64,3.94,109539.0
2025-09-03,3.95,4.02,3.5,3.59,177021.0
2025-09-04,3.61,3.7391,3.5,3.62,111556.0
2025-09-05,3.68,3.83,3.4608,3.57,200735.0
2025-09-08,3.6,3.93,3.6,3.72,167969.0
2025-09-09,3.7,3.7413,3.56,3.58,21472.0
2025-09-10,3.56,3.8134,3.56,3.71,52453.0
2025-09-11,3.71,3.895,3.51,3.55,116814.0
2025-09-12,3.54,3.81,3.5387,3.67,70654.0
2025-09-15,3.65,3.7991,3.6,3.6,38593.0
2025-09-16,3.59,3.7655,3.5,3.57,81133.0
2025-09-17,3.6,3.6684,3.4,3.55,120914.0
2025-09-18,3.59,3.66,3.5,3.575,180946.0
2025-09-19,3.6,4.14,3.6,4.08,261072.0
2025-09-22,4.02,4.24,3.86,3.86,79783.0
2025-09-23,3.59,3.96,3.5,3.8,103261.0
2025-09-24,3.8,3.92,3.73,3.79,16176.0
2025-09-25,3.76,3.9499,3.7119,3.75,35411.0
2025-09-26,3.74,3.9381,3.74,3.78,56730.0
2025-09-29,3.82,4.0,3.76,3.93,68492.0
2025-09-30,3.91,3.93,3.71,3.72,67577.0
2025-10-01,3.64,3.72,3.56,3.62,114622.0
2025-10-02,3.64,3.91,3.6202,3.91,63798.0
2025-10-03,3.88,4.0,3.82,3.85,72964.0
