Date,Open,High,Low,Close,Volume
2024-01-02,0.7499,0.8644,0.715601,0.732,38526.0
2024-01-03,0.7058,0.7058,0.7058,0.7058,745.0
2024-01-04,0.79,0.855,0.79,0.85,20011.0
2024-01-05,0.828101,0.828101,0.828101,0.828101,848.0
2024-01-08,0.828,0.85,0.828,0.85,1031.0
2024-01-09,0.855,0.855,0.855,0.855,915.0
2024-01-10,0.8381,0.845226,0.7101,0.8,37052.0
2024-01-12,0.799899,0.799899,0.77,0.77,1260.0
2024-01-16,0.75,0.825,0.71261,0.799,2561.0
2024-01-17,0.775,0.775,0.775,0.775,318.0
2024-01-18,0.720001,0.731,0.720001,0.731,523.0
2024-01-19,0.735571,0.8,0.72,0.8,1746.0
2024-01-22,0.7215,0.758951,0.7215,0.758951,1587.0
2024-01-23,0.7588,0.7588,0.7588,0.7588,260.0
2024-01-24,0.72,0.758,0.72,0.758,1710.0
2024-01-25,0.720379,0.75,0.72,0.72,3365.0
2024-01-26,0.756,0.756,0.71,0.71,6159.0
2024-01-29,0.755001,0.755001,0.71,0.71,1067.0
2024-01-30,0.73,0.73,0.6304,0.636907,13751.0
2024-02-01,0.68,0.6801,0.65,0.65,8420.0
2024-02-02,0.65,0.65,0.6306,0.6306,1413.0
2024-02-05,0.6306,0.64,0.6306,0.64,1289.0
2024-02-06,0.6697,0.7,0.6306,0.7,1410.0
2024-02-07,0.6106,0.67,0.6106,0.65,623.0
2024-02-08,0.6935,0.72,0.66,0.682001,15864.0
2024-02-09,0.6553,0.73,0.601414,0.73,341316.0
2024-02-12,0.7794,0.84,0.650701,0.799,100366.0
2024-02-13,0.753,0.8,0.671,0.8,24364.0
2024-02-14,0.721,0.88,0.72,0.88,27705.0
2024-02-15,0.8183,0.9,0.8171,0.879,31115.0
2024-02-16,0.85,0.9018,0.805,0.9,40376.0
2024-02-20,0.9,0.9,0.801,0.8255,10328.0
2024-02-21,0.7587,0.9,0.7587,0.8358,5397.0
2024-02-22,0.7958,0.8358,0.795204,0.7959,10898.0
2024-02-23,0.799,0.799,0.632,0.632,1933.0
2024-02-26,0.7061,0.8,0.668,0.767,105211.0
2024-02-27,0.6844,0.79,0.684,0.79,10449.0
2024-02-28,0.744999,0.7501,0.744999,0.7501,3751.0
2024-02-29,0.755,0.8,0.751,0.7877,5756.0
2024-03-01,0.8,0.8,0.7501,0.8,2005.0
2024-03-04,0.8,0.82,0.789999,0.81,9929.0
2024-03-05,0.7696,0.899899,0.7696,0.835,5842.0
2024-03-06,0.75,0.8,0.75,0.8,5099.0
2024-03-07,0.8,0.83,0.798339,0.83,5510.0
2024-03-08,0.815,0.815,0.7387,0.7387,27759.0
2024-03-11,0.6997,0.779999,0.6997,0.75,10948.0
2024-03-12,0.751,0.765001,0.6438,0.7004,16071.0
2024-03-13,0.7004,0.76,0.7004,0.73,8006.0
2024-03-14,0.73,0.73,0.72,0.72,2328.0
2024-03-15,0.76,0.76,0.74,0.76,1326.0
2024-03-18,0.779,0.82,0.7493,0.7493,4678.0
2024-03-19,0.82,0.82,0.82,0.82,201.0
2024-03-20,0.829999,0.829999,0.829999,0.829999,116.0
2024-03-21,0.7763,0.82,0.725,0.725,2017.0
2024-03-22,0.7202,0.775,0.7201,0.7201,1970.0
2024-03-25,0.72,0.7599,0.7021,0.73,16044.0
2024-03-26,0.85,0.85,0.7401,0.7401,1726.0
2024-03-28,0.73,0.8,0.7002,0.72,16941.0
2024-04-01,0.72,0.7999,0.72,0.7999,2708.0
2024-04-02,0.7301,0.7988,0.7301,0.730345,1962.0
2024-04-03,0.79,0.815,0.7,0.7299,13117.0
2024-04-04,0.82,0.82,0.705,0.7077,25484.0
2024-04-05,0.779,0.779,0.69,0.69,8520.0
2024-04-08,0.7051,0.8049,0.6973,0.6973,17788.0
2024-04-09,0.72,0.789,0.72,0.777,11393.0
2024-04-10,0.774,0.797,0.69,0.749,14958.0
2024-04-11,0.711,0.785,0.71,0.711,6300.0
2024-04-12,0.764,0.785,0.716,0.716,2439.0
2024-04-15,0.78,0.78,0.708,0.708,1051.0
2024-04-16,0.718,0.7799,0.68,0.725,18349.0
2024-04-17,0.73,0.73,0.73,0.73,1016.0
2024-04-18,0.76,0.76,0.76,0.76,1134.0
2024-04-19,0.7286,0.749999,0.7071,0.7071,5476.0
2024-04-23,0.71,0.76,0.71,0.76,492.0
2024-04-24,0.75,0.78,0.744495,0.78,6346.0
2024-04-25,0.78,0.78,0.78,0.78,743.0
2024-04-26,0.707,0.72,0.6799,0.72,15758.0
2024-04-29,0.700101,0.797,0.700101,0.79,12324.0
2024-04-30,0.7835,0.785,0.7835,0.785,499.0
2024-05-01,0.797,0.8424,0.7,0.7301,13317.0
2024-05-06,0.8424,0.8424,0.7201,0.79,7671.0
2024-05-07,0.73,0.7301,0.720001,0.720001,2373.0
2024-05-08,0.74,0.74,0.695,0.7075,15654.0
2024-05-09,0.6902,0.7235,0.6902,0.7235,654.0
2024-05-10,0.736251,0.736251,0.736251,0.736251,435.0
2024-05-14,0.7351,0.75,0.6901,0.75,1110.0
2024-05-15,0.7485,0.7485,0.7484,0.7484,4831.0
2024-05-16,0.7612,0.78,0.74,0.74,6303.0
2024-05-17,0.7102,0.78,0.6701,0.7142,45234.0
2024-05-20,0.68,0.7762,0.68,0.75,12647.0
2024-05-21,0.75,0.78,0.68,0.720001,6909.0
2024-05-22,0.75,0.75,0.75,0.75,500.0
2024-05-23,0.78,0.78,0.6928,0.7002,5453.0
2024-05-24,0.7352,0.7352,0.7001,0.7001,1845.0
2024-05-28,0.7031,0.7696,0.7031,0.7696,1735.0
2024-05-29,0.703,0.7633,0.703,0.71,9855.0
2024-05-30,0.7651,1.8,0.7651,1.3,43013518.0
2024-05-31,1.18,1.27,1.06,1.13,1398308.0
2024-06-03,1.13,1.5,0.8944,1.21,1132249.0
2024-06-04,1.12,1.162,1.04,1.14,122031.0
2024-06-05,1.05,1.15,1.0262,1.15,65374.0
2024-06-06,1.15,1.17,1.11,1.16,47988.0
2024-06-07,1.12,1.2132,1.11,1.21,54085.0
2024-06-10,1.16,1.16,1.04,1.05,43542.0
2024-06-11,1.05,1.05,0.905,0.9196,66802.0
2024-06-12,0.8626,0.94,0.8626,0.92,5512.0
2024-06-13,0.92,0.959899,0.8752,0.891,4129.0
2024-06-14,0.92995,0.9366,0.8788,0.92,7163.0
2024-06-17,0.92,0.92,0.8801,0.8908,2270.0
2024-06-18,0.914,0.914,0.8671,0.8671,15289.0
2024-06-20,0.926951,0.9818,0.872,0.9089,32157.0
2024-06-21,0.9068,0.935251,0.9,0.92,3686.0
2024-06-24,0.92,0.9799,0.9,0.9005,5174.0
2024-06-25,0.913,0.97495,0.8905,0.8907,12850.0
2024-06-26,0.9212,0.95,0.8751,0.8751,9299.0
2024-06-27,0.9109,0.9549,0.8669,0.9101,3127.0
2024-06-28,0.9039,0.91,0.8801,0.8821,2896.0
2024-07-01,0.88,0.88,0.8556,0.8556,901.0
2024-07-02,0.85,0.875,0.85,0.8501,6553.0
2024-07-03,0.8999,0.9177,0.8502,0.862,13573.0
2024-07-05,0.99,0.99,0.86,0.9302,17512.0
2024-07-08,0.9299,0.9299,0.8813,0.8813,2028.0
2024-07-09,0.9253,0.9253,0.86,0.8601,3575.0
2024-07-10,0.879899,0.879899,0.761,0.783,6261.0
2024-07-11,0.7831,0.8687,0.7831,0.7851,6443.0
2024-07-12,0.7851,0.81,0.722001,0.775,3208.0
2024-07-15,0.7795,0.78,0.7,0.7,22951.0
2024-07-16,0.77,0.796,0.71,0.73,9098.0
2024-07-17,0.73,0.74,0.71,0.74,25183.0
2024-07-18,0.7605,1.08,0.753,1.02,2795456.0
2024-07-19,1.01,1.28,0.8166,1.23,408017.0
2024-07-22,1.15,1.161,1.05,1.05,50594.0
2024-07-23,1.1,1.12,0.85,1.04,1123906.0
2024-07-24,0.97,1.27,0.92,1.15,124901.0
2024-07-25,1.12,1.2,1.1,1.18,40083.0
2024-07-26,1.22,1.26,1.0901,1.26,44469.0
2024-07-29,1.3,1.3098,1.15,1.15,13066.0
2024-07-30,1.3,1.34,1.15,1.22,28821.0
2024-07-31,1.26,1.26,1.21,1.2523,7325.0
2024-08-01,1.25,1.3,1.15,1.27,9691.0
2024-08-02,1.17,1.25,1.15,1.24,4322.0
2024-08-05,1.17,1.2181,1.161,1.2181,3854.0
2024-08-06,1.1799,1.26,1.15,1.24,14921.0
2024-08-07,1.1501,1.23,1.15,1.2201,2902.0
2024-08-08,1.15,1.2806,1.15,1.19,18932.0
2024-08-09,1.21,1.21,1.16,1.19,3679.0
2024-08-12,1.16,1.22,1.16,1.2,1446.0
2024-08-13,1.2,1.24,1.2,1.22,1104.0
2024-08-14,1.22,1.23,1.18,1.23,2212.0
2024-08-15,1.27,1.2899,1.2001,1.22,8313.0
2024-08-16,1.24,1.24,1.17,1.17,2845.0
2024-08-19,1.24,1.24,0.9732,0.985,14625.0
2024-08-20,1.062,1.2,1.062,1.2,2607.0
2024-08-21,1.17,1.17,1.04,1.065,8681.0
2024-08-22,1.02,1.176,1.02,1.03,2516.0
2024-08-23,1.07,1.12,1.06,1.06,4846.0
2024-08-26,1.1,1.14,1.1,1.125,4807.0
2024-08-27,1.15,1.15,1.1,1.105,1649.0
2024-08-28,1.1001,1.14,1.1001,1.11,1528.0
2024-08-29,1.14,1.15,1.1001,1.11,24618.0
2024-08-30,1.15,1.16,1.15,1.15,598.0
2024-09-03,1.15,1.15,1.11,1.14,2940.0
