Date,Open,High,Low,Close,Volume
2025-08-06,572.5,617.5,510.0,520.0,1111
2025-08-07,540.0,570.0,404.5,472.5,1223
2025-08-08,470.0,495.0,415.0,425.0,980
2025-08-11,425.0,449.0,407.5,440.0,1075
2025-08-12,437.5,473.75,395.0,435.0,1176
2025-08-13,422.5,475.0,422.5,475.0,265
2025-08-14,470.0,506.25,462.5,487.5,1009
2025-08-15,460.0,500.0,417.5,465.0,959
2025-08-18,470.0,479.75,455.0,457.5,284
2025-08-19,456.75,480.0,442.5,467.5,217
2025-08-20,466.25,487.5,452.5,477.5,32
2025-08-21,442.5,470.0,442.5,468.75,400
2025-08-22,467.5,481.25,452.5,460.0,190
2025-08-25,460.0,486.25,460.0,485.0,156
2025-08-26,480.0,495.0,465.0,490.0,95
2025-08-27,482.5,505.0,475.0,480.25,207
2025-08-28,464.5,477.5,442.5,442.5,100
2025-08-29,451.75,465.0,442.5,452.5,189
2025-09-02,445.0,447.5,430.0,445.75,122
2025-09-03,432.5,475.0,428.5,457.5,108
2025-09-04,447.5,532.5,432.0,510.75,2196
2025-09-05,475.0,475.0,425.0,440.0,629
2025-09-08,430.0,570.0,412.5,450.0,2276
2025-09-09,462.5,522.5,440.0,517.5,1013
2025-09-10,510.0,550.0,487.5,527.5,950
2025-09-11,557.5,575.0,515.0,537.5,1978
2025-09-12,527.5,547.5,507.5,517.5,466
2025-09-15,511.25,545.0,507.5,522.5,218
2025-09-16,544.25,544.25,507.5,522.5,228
2025-09-17,527.5,545.0,525.0,542.5,130
2025-09-18,515.0,537.5,515.0,537.5,121
2025-09-19,542.5,542.5,467.5,506.25,225
2025-09-22,492.5,505.0,487.5,503.75,94
2025-09-23,502.5,522.5,490.0,490.0,1366
2025-09-24,487.5,490.0,457.5,457.5,322
2025-09-25,457.5,467.5,423.75,457.5,354
2025-09-26,457.5,457.5,437.5,452.5,172
2025-09-29,452.5,485.0,442.5,485.0,2146
2025-09-30,467.5,482.5,445.0,452.5,198
2025-10-01,452.5,472.5,437.75,457.5,193
2025-10-02,457.75,470.0,457.5,465.0,80
2025-10-03,465.0,473.5,460.0,470.0,87
2025-10-06,470.0,470.0,447.5,462.5,74
2025-10-07,462.5,470.0,450.0,457.5,67
2025-10-08,455.0,460.0,447.5,458.75,482
2025-10-09,462.5,470.0,455.0,470.0,255
2025-10-10,457.5,470.0,432.5,441.25,147
2025-10-13,440.0,470.0,432.75,470.0,151
2025-10-14,645.0,787.5,570.0,750.0,178205
2025-10-15,652.5,655.0,542.5,595.0,3103
2025-10-16,522.5,540.0,437.75,455.0,1449
2025-10-17,452.5,480.0,442.5,447.5,432
2025-10-20,442.5,472.5,440.0,467.5,769
2025-10-21,462.5,477.5,430.25,457.5,286
2025-10-22,480.0,506.25,450.0,485.0,2018
2025-10-23,467.75,510.0,467.75,497.5,304
2025-10-24,482.5,510.0,480.25,488.75,234
2025-10-27,505.0,518.5,488.75,500.0,242
2025-10-28,492.5,505.0,492.5,492.5,92
2025-10-29,482.5,512.5,482.5,502.5,185
2025-10-30,491.5,500.0,473.0,473.75,172
2025-10-31,475.0,525.0,475.0,510.0,400
2025-11-03,490.0,502.5,470.0,485.0,153
2025-11-04,470.0,477.5,462.5,472.5,26
2025-11-05,462.75,487.5,462.75,487.5,29
2025-11-06,477.5,485.0,467.5,470.0,30
2025-11-07,469.5,470.0,462.5,470.0,35
2025-11-10,465.0,475.0,465.0,465.0,68
2025-11-11,470.0,485.0,470.0,485.0,41
2025-11-12,475.0,481.25,455.0,457.5,92
2025-11-13,457.5,457.5,400.0,432.5,186
2025-11-14,422.5,425.0,417.75,418.75,46
2025-11-17,410.0,410.0,365.0,370.0,107
2025-11-18,365.0,367.5,322.5,342.5,161
2025-11-19,347.5,348.75,340.0,345.0,31
2025-11-20,350.0,350.0,320.0,325.0,44
2025-11-21,330.0,347.5,297.25,347.5,36
2025-11-24,347.5,347.5,315.0,330.0,62
2025-11-25,335.25,350.75,335.0,350.0,56
2025-11-26,350.0,370.0,350.0,362.5,38
2025-11-28,383.5,385.0,367.5,382.5,44
2025-12-01,385.0,385.0,337.5,384.75,64
2025-12-02,375.0,375.0,356.25,365.0,15
2025-12-03,350.0,362.5,337.5,362.5,24
2025-12-04,362.5,382.5,342.5,377.5,41
2025-12-05,392.5,392.5,352.5,357.5,56
2025-12-08,365.0,372.5,355.0,362.5,44
2025-12-09,355.0,355.0,342.5,355.0,20
2025-12-10,352.5,355.0,340.0,345.0,58
2025-12-11,345.0,350.0,330.0,350.0,48
2025-12-12,327.5,347.25,302.5,335.0,64
2025-12-15,332.5,332.5,305.0,305.0,42
2025-12-16,305.0,312.5,295.0,303.75,48
2025-12-17,320.0,320.0,280.0,290.0,43
2025-12-18,294.75,295.0,277.5,277.5,42
2025-12-19,287.5,287.5,276.75,277.5,27
2025-12-22,292.5,292.5,248.75,248.75,264
2025-12-23,250.0,250.0,217.5,237.5,167
2025-12-24,225.0,236.0,225.0,225.0,54
