Date,Open,High,Low,Close,Volume
2025-07-10,9.5,9.63,9.35,9.47,16574.04
2025-07-11,9.5,9.5,9.18,9.1975,18047.32
2025-07-14,9.175,9.43,9.0,9.085,25448.96
2025-07-15,9.215,9.3,9.035,9.10005,18235.42
2025-07-16,9.07,9.185,9.05,9.1,19267.68
2025-07-17,9.1,9.305,8.9,9.05,39638.62
2025-07-18,8.78,9.24,8.78,8.95,21627.66
2025-07-21,8.925,10.49,8.8,9.95,81188.8
2025-07-22,10.5,11.5,9.955,11.5,71109.3
2025-07-23,11.55,11.55,11.05,11.545,39078.44
2025-07-24,11.55,12.6426,11.115,11.695,71623.62
2025-07-25,10.825,11.725,10.825,11.14,21672.64
2025-07-28,10.75,11.5,10.75,11.0,24650.94
2025-07-29,11.5,11.5,10.7775,10.92,14355.76
2025-07-30,10.75,10.8895,10.25,10.31,18695.12
2025-07-31,10.06,10.24,9.25,9.555,29850.48
2025-08-01,9.45,9.495,9.08,9.235,12330.98
2025-08-04,9.91,9.91,9.5,9.64,8446.28
2025-08-05,9.65,9.88995,9.5,9.58,6563.16
2025-08-06,10.25,10.25,9.46505,9.7,8039.54
2025-08-07,10.25,10.25,9.8,9.83,4304.54
2025-08-08,9.845,9.9995,9.75,9.93,4976.06
2025-08-11,9.165,10.0,9.165,9.85,13765.7
2025-08-12,9.77505,9.935,9.65,9.65,12685.1
2025-08-13,9.65,9.805,9.65,9.665,5292.46
2025-08-14,9.65,9.8025,9.2,9.4,14781.44
2025-08-15,10.0,10.0,9.285,9.39325,6604.1
2025-08-18,9.305,9.655,9.155,9.28,5971.08
2025-08-19,9.46,9.5,9.205,9.34505,9417.38
2025-08-20,9.2,9.2012,9.0,9.05,13715.92
2025-08-21,8.95,9.5,8.625,9.045,9059.22
2025-08-22,8.925,9.35,8.905,9.345,13244.46
2025-08-25,9.065,9.66,9.065,9.435,10011.08
2025-08-26,9.0,9.35505,8.94,9.0,11129.04
2025-08-27,8.915,8.915,8.53,8.825,9326.52
2025-08-28,9.0,9.0,8.8,8.925,4773.58
2025-08-29,8.84,8.84,8.65,8.72,11999.58
2025-09-02,8.8,8.8,8.26,8.35,12620.88
2025-09-03,8.335,8.85,8.165,8.1775,16953.56
2025-09-04,8.02,8.145,7.3,7.535,18851.5
2025-09-05,7.95,9.0,7.545,8.485,39689.32
2025-09-08,7.975,8.325,7.5,7.725,19081.56
2025-09-09,7.5,8.455,7.5,8.195,12254.32
2025-09-10,6.135,7.175,6.135,7.0,86810.2
2025-09-11,6.5,7.0,6.275,6.995,19744.84
2025-09-12,6.91,7.065,6.86,6.9,13519.82
2025-09-15,7.25,7.25,6.605,6.695,16607.36
2025-09-16,7.0,7.845,6.95,7.19,28052.52
2025-09-17,7.5,7.5,7.065,7.125,15872.18
2025-09-18,7.095,7.315,6.9,6.95,16993.0
2025-09-19,7.2,8.0,6.91,7.285,28282.54
2025-09-22,7.11,9.93,6.995,8.795,175788.12
2025-09-23,8.225,8.6,7.8,8.3,48445.3
2025-09-24,7.25,7.72,7.015,7.66,1030513.94
2025-09-25,7.05,7.75,7.05,7.275,70276.96
2025-09-26,7.25,7.595,7.005,7.11,33306.58
2025-09-29,7.09,7.24,6.625,7.15,23648.72
2025-09-30,6.785,7.23,6.785,6.875,20056.7
2025-10-01,7.13,8.0,7.05,7.64,106457.82
2025-10-02,7.725,7.75,7.35,7.665,47870.7
2025-10-03,6.145,7.195,6.05,7.195,160666.16
2025-10-06,6.5,7.0,6.5,6.95,36032.64
2025-10-07,6.615,6.915,6.505,6.85,29198.22
2025-10-08,6.615,6.75,6.5,6.75,30265.46
2025-10-09,7.0,7.32,6.575,6.805,81685.1
2025-10-10,6.825,6.825,6.10505,6.665,61644.6
2025-10-13,6.06,6.33,4.622,5.8,134084.0
2025-10-14,5.67,6.8493,5.5,6.56,179987.0
2025-10-15,6.45,6.6,5.54,5.8,110810.0
2025-10-16,5.7,5.7,5.0,5.07,62481.0
2025-10-17,4.96,5.5,4.88,5.33,39486.0
2025-10-20,5.25,5.58,5.2,5.33,30087.0
2025-10-21,5.31,5.6433,5.2805,5.43,103064.0
2025-10-22,5.3707,5.49,4.91,4.91,210605.0
2025-10-23,4.88,5.19,4.8112,4.86,58808.0
2025-10-24,4.87,5.0625,4.85,4.85,25569.0
2025-10-27,5.02,5.19,4.795,4.89,120906.0
2025-10-28,4.89,4.89,4.7,4.74,21011.0
2025-10-29,4.7817,4.84,4.65,4.65,32059.0
2025-10-30,4.65,4.8718,4.65,4.72,20055.0
2025-10-31,4.9,5.19,4.73,5.08,481641.0
2025-11-03,4.86,4.9732,4.3,4.3,53393.0
2025-11-04,4.3,4.5444,3.8001,4.07,26085.0
2025-11-05,4.28,4.71,4.0,4.29,430987.0
2025-11-06,4.28,4.28,3.77,3.9,61953.0
2025-11-07,3.81,3.95,3.61,3.76,25931.0
2025-11-10,3.63,3.74,3.53,3.53,51860.0
2025-11-11,3.5,3.69,3.4121,3.47,20796.0
2025-11-12,3.43,3.4875,3.25,3.31,81764.0
2025-11-13,3.58,3.58,3.13,3.17,80910.0
2025-11-14,3.11,3.1984,2.9701,3.05,27798.0
2025-11-17,3.07,3.25,2.864,2.94,233219.0
2025-11-18,2.95,3.15,2.71,3.0,191759.0
2025-11-19,2.98,3.3155,2.85,3.02,302891.0
2025-11-20,3.05,3.6711,3.0303,3.31,66969.0
2025-11-21,3.2324,3.9,3.21,3.8,24431.0
2025-11-24,3.6,4.1,3.6,3.89,41757.0
2025-11-25,3.92,4.36,3.88,4.34,24137.0
2025-11-26,4.38,4.4721,4.07,4.07,23408.0
2025-11-28,4.03,4.1399,3.9534,4.03,8659.0
2025-12-01,4.0,4.4995,4.0,4.2,127220.0
2025-12-02,4.22,4.42,3.96,4.11,49847.0
2025-12-03,4.17,4.57,4.17,4.18,93408.0
2025-12-04,4.2,4.7378,4.2,4.54,42610.0
2025-12-05,4.3,4.3,3.8001,4.2,38925.0
2025-12-08,4.18,4.2,3.79,3.84,117838.0
2025-12-09,3.85,4.035,3.71,3.8,15407.0
2025-12-10,3.72,3.9714,3.72,3.75,6324.0
2025-12-11,3.64,3.83,3.64,3.7,4613.0
2025-12-12,3.8098,3.8099,3.71,3.71,6123.0
2025-12-15,3.8,3.8,3.505,3.51,23219.0
2025-12-16,3.63,3.63,3.33,3.54,12723.0
2025-12-17,3.57,3.65,3.42,3.46,9906.0
2025-12-18,3.46,3.64,3.46,3.56,13577.0
2025-12-19,3.7,3.9,3.67,3.69,9506.0
2025-12-22,3.66,3.99,3.66,3.99,12114.0
2025-12-23,3.98,4.1,3.95,3.95,14149.0
2025-12-24,3.9,3.95,3.9,3.95,5714.0
2025-12-26,3.9,4.2794,3.9,4.22,34819.0
2025-12-29,4.0,4.69,4.0,4.68,46284.0
2025-12-30,4.51,5.0,4.34,5.0,59176.0
2025-12-31,4.78,5.0,4.33,4.9931,23658.0
2026-01-02,5.0,5.09,4.995,5.07,18066.0
