Date,Open,High,Low,Close,Volume
2024-01-02,30.0,30.0,29.345,29.62,15291.72
2024-01-03,30.0,30.35,28.5,29.88,33801.84
2024-01-04,31.0,31.04,29.25,30.64,42183.84
2024-01-05,31.75,35.765,31.4,32.005,89155.82
2024-01-08,34.64,34.975,30.795,31.225,35818.2
2024-01-09,30.795,31.225,29.51,30.315,20003.68
2024-01-10,30.5,30.5,29.0,29.5,20438.0
2024-01-11,29.5,29.75,27.67,28.0,25356.22
2024-01-12,29.18,29.25,27.67,27.92,12242.7
2024-01-16,28.5,28.5,25.79,26.405,25582.28
2024-01-17,26.5,27.45,25.0,25.87,18708.36
2024-01-18,26.43,26.945,23.515,24.995,32877.52
2024-01-19,25.5,25.995,25.05,25.765,14691.56
2024-01-22,26.625,28.0,26.05,26.125,16716.26
2024-01-23,26.16,28.95,26.13,28.395,28236.32
2024-01-24,29.56,29.995,27.0,27.375,17100.76
2024-01-25,28.735,32.0,27.42,31.66,53243.88
2024-01-26,30.38,31.745,29.56,30.25,19610.62
2024-01-29,30.0,30.25,28.75,29.0,17495.3
2024-01-30,29.99,30.0,28.78,29.095,11412.46
2024-01-31,28.895,29.995,28.75,28.9,27302.0
2024-02-01,29.5,30.0,28.655,29.465,13859.76
2024-02-02,29.0,29.5,28.125,28.505,13382.92
2024-02-05,28.17,28.75,25.5,25.95,33922.74
2024-02-06,25.5,26.765,25.02,26.0,17528.62
2024-02-07,25.5,26.995,25.0,25.31,25687.78
2024-02-08,25.3,26.245,25.0,26.145,12704.62
2024-02-09,25.9,26.975,25.5,26.705,12218.38
2024-02-12,26.945,28.0025,26.945,27.2,21103.02
2024-02-13,27.0,27.0,26.0,26.15,9277.96
2024-02-14,26.5,27.0,25.12,25.425,17583.08
2024-02-15,25.7,26.0,24.75,25.25,30163.04
2024-02-16,25.0,26.0,25.0,25.56,15941.94
2024-02-20,26.0,26.0,23.535,24.0,40196.14
2024-02-21,24.0,25.495,23.525,25.24,15802.54
2024-02-22,25.44,25.65,25.0,25.075,24658.1
2024-02-23,25.3,25.5,24.725,25.115,17365.94
2024-02-26,26.5,26.5,25.07,26.36,28391.92
2024-02-27,27.0,27.48,25.505,26.75,36556.64
2024-02-28,27.16,27.25,25.12,25.65,41458.14
2024-02-29,26.0,26.8745,25.775,26.075,17459.76
2024-03-01,26.0,26.0,19.5,24.0,105694.24
2024-03-04,25.19,25.495,24.0,24.38,31057.4
2024-03-05,23.75,23.75,22.075,22.63,32502.74
2024-03-06,23.495,25.0,23.495,23.845,39122.7
2024-03-07,25.0,25.0,24.025,24.135,22245.46
2024-03-08,24.565,24.75,22.75,23.25,21272.5
2024-03-11,23.815,23.95,22.055,22.75,32326.3
2024-03-12,22.83,23.0,21.17,21.255,29931.7
2024-03-13,21.68,22.5,21.285,21.61,20788.84
