Date,Open,High,Low,Close,Volume
2025-06-09,414.36,441.0,414.36,431.995,76.8711
2025-06-10,413.796,432.268,413.796,432.0,119.088
2025-06-11,427.545,427.545,400.5,427.365,335.362
2025-06-12,426.6,426.6,405.045,418.5,70.3533
2025-06-13,409.95,418.5,387.0,388.485,283.144
2025-06-16,396.0,400.5,387.18,396.0,112.613
2025-06-17,400.5,405.0,387.765,389.25,126.124
2025-06-18,387.0,394.56,375.75,380.835,102.626
2025-06-20,394.2,394.425,378.9,382.5,103.444
2025-06-23,386.55,394.335,378.09,388.395,245.424
2025-06-24,387.0,409.68,382.725,405.045,87.6022
2025-06-25,396.27,432.0,388.755,423.0,141.553
2025-06-26,423.0,423.022,409.5,423.0,81.2711
2025-06-27,422.775,423.0,405.0,405.045,137.384
2025-06-30,414.0,495.0,403.425,472.5,794.793
2025-07-01,472.5,472.5,402.795,405.18,492.839
2025-07-02,397.53,432.0,397.35,427.5,213.148
2025-07-03,424.8,435.285,418.545,428.715,97.5044
2025-07-07,427.5,427.5,406.017,427.5,189.124
2025-07-08,429.12,429.12,406.125,423.0,335.048
2025-07-09,409.5,450.0,398.263,431.995,154.433
2025-07-10,427.455,427.455,414.9,418.32,53.5355
2025-07-11,409.545,409.591,378.0,395.19,214.235
2025-07-14,405.0,409.5,396.45,400.995,75.9755
2025-07-15,400.5,414.0,387.0,394.2,321.244
2025-07-16,402.949,445.5,396.0,408.78,719.593
2025-07-17,413.955,436.5,405.9,416.295,106.039
2025-07-18,420.48,435.6,396.99,405.0,734.168
2025-07-21,399.6,410.445,369.0,380.655,690.597
2025-07-22,393.075,411.75,373.5,384.795,1205.23
2025-07-23,391.455,391.5,376.155,385.942,53.5688
2025-07-24,387.09,396.0,353.79,365.13,946.435
2025-07-25,367.065,382.185,365.13,367.74,121.671
2025-07-28,363.15,381.555,362.16,380.295,139.062
2025-07-29,380.295,383.535,366.66,373.5,193.904
2025-07-30,382.5,382.5,371.295,374.085,93.9155
2025-07-31,364.5,375.84,360.0,361.35,53.2044
2025-08-01,361.35,361.35,315.495,350.865,282.246
2025-08-04,348.682,350.775,343.726,345.015,28.3866
2025-08-05,352.345,357.75,337.5,351.0,67.4755
2025-08-06,350.955,402.75,349.2,384.75,374.686
2025-08-07,344.655,385.65,344.655,380.925,77.6199
2025-08-08,366.93,441.0,366.93,407.655,935.426
2025-08-11,409.365,463.5,382.635,456.75,1531.19
2025-08-12,438.39,438.39,365.85,395.775,1046.45
2025-08-13,367.2,387.534,297.0,328.5,2043.47
2025-08-14,332.55,355.5,306.45,315.63,488.931
2025-08-15,337.05,337.05,309.6,315.045,159.439
2025-08-18,321.772,324.0,310.5,321.66,122.853
2025-08-19,318.375,330.21,315.0,319.32,235.711
2025-08-20,319.32,337.005,312.03,332.995,99.7822
2025-08-21,328.5,333.0,314.1,324.0,149.608
2025-08-22,332.595,333.0,315.0,323.82,122.533
2025-08-25,330.795,346.23,314.955,328.5,549.717
2025-08-26,315.495,323.955,306.0,321.75,210.553
2025-08-27,320.085,333.0,311.4,331.11,287.573
2025-08-28,302.4,319.5,302.4,310.5,565.717
2025-08-29,310.5,319.86,285.75,289.8,258.259
2025-09-02,287.775,296.37,254.925,288.0,158.324
2025-09-03,286.695,294.369,274.5,288.0,61.2244
2025-09-04,283.5,300.24,263.655,268.65,110.984
2025-09-05,269.865,319.275,257.445,305.1,645.882
2025-09-08,295.965,332.955,278.535,318.42,539.693
2025-09-09,316.35,425.97,315.135,378.0,2728.58
2025-09-10,387.0,489.42,336.06,481.5,6209.86
2025-09-11,450.0,450.0,316.35,359.46,2112.4
2025-09-12,322.56,350.46,322.56,333.495,2206.71
2025-09-15,346.5,346.5,317.475,337.68,570.702
2025-09-16,326.7,369.0,325.485,361.53,596.317
2025-09-17,350.685,360.0,332.55,352.395,463.659
2025-09-18,342.0,355.095,333.0,346.5,220.195
2025-09-19,337.545,355.455,333.0,340.65,173.275
2025-09-22,350.55,350.995,327.69,333.0,162.924
2025-09-23,337.635,346.5,324.0,341.82,537.199
2025-09-24,350.28,350.28,330.345,334.305,409.068
2025-09-25,323.1,329.175,305.955,310.5,514.039
2025-09-26,308.25,324.0,306.09,319.5,114.479
2025-09-29,332.55,348.75,319.5,321.345,1027.23
2025-09-30,315.0,333.0,306.0,324.0,559.046
2025-10-01,313.02,327.195,297.0,315.0,755.955
2025-10-02,316.125,328.5,306.0,311.625,174.904
2025-10-03,314.1,327.87,308.025,314.055,343.137
2025-10-06,324.0,337.5,301.455,319.455,4158.29
2025-10-07,328.455,328.455,297.0,300.285,773.975
2025-10-08,297.9,305.955,292.635,297.405,295.506
2025-10-09,308.7,308.7,277.92,277.92,616.762
2025-10-10,279.54,296.46,262.125,267.885,533.982
2025-10-13,272.7,284.4,265.5,278.55,176.559
2025-10-14,276.75,287.55,266.944,287.55,205.408
2025-10-15,283.725,295.11,283.725,286.245,114.271
2025-10-16,300.15,326.25,283.815,286.335,687.524
2025-10-17,289.89,323.1,285.75,292.5,579.839
2025-10-20,297.0,463.5,297.0,409.5,13414.8
2025-10-21,324.99,458.91,324.99,454.5,5044.65
2025-10-22,391.005,434.79,364.5,373.455,1931.19
2025-10-23,380.655,405.0,380.655,386.91,2975.97
2025-10-24,405.0,405.0,373.455,373.5,745.508
2025-10-27,386.64,404.995,374.085,395.55,446.386
2025-10-28,400.275,423.0,364.5,386.055,1142.76
2025-10-29,404.55,408.15,373.5,373.5,525.242
2025-10-30,378.0,409.5,369.675,396.45,1538.71
2025-10-31,387.0,553.5,383.67,495.0,7734.58
2025-11-03,540.0,607.5,499.5,571.5,4099.2
2025-11-04,580.5,747.0,576.765,729.0,24851.6
2025-11-05,756.0,778.5,711.0,751.5,18029.6
2025-11-06,751.5,823.5,738.0,810.0,11834.6
2025-11-07,787.5,810.0,778.5,792.0,6259.86
2025-11-10,805.5,832.5,148.5,553.5,38196.1
2025-11-11,531.0,598.5,495.0,549.0,5191.65
2025-11-12,549.0,562.5,522.0,544.5,9632.42
2025-11-13,549.99,576.0,166.5,204.93,35105.4
2025-11-14,166.5,171.54,108.0,138.375,14478.1
2025-11-17,181.89,337.455,112.275,127.8,658589.0
2025-11-18,133.155,158.76,129.015,130.545,77227.2
2025-11-19,129.645,130.5,99.045,107.01,19960.1
2025-11-20,99.36,104.31,86.22,90.945,14381.5
2025-11-21,82.08,86.76,67.5,85.5,8350.97
2025-11-24,84.96,100.89,84.96,95.85,10298.2
2025-11-25,96.885,96.885,88.605,92.385,7834.0
2025-11-26,81.0,83.25,63.585,63.9,15019.0
2025-11-28,62.73,62.73,50.985,54.0,13522.5
2025-12-01,45.45,87.9,44.1,62.4,137159.0
2025-12-02,53.7,55.185,45.15,46.5,50995.2
2025-12-03,59.85,63.3,57.6,62.25,926284.0
2025-12-04,57.0,65.2485,56.1,61.8,26065.3
2025-12-05,60.3,78.0,60.3,73.65,26484.8
2025-12-08,71.55,81.0,70.203,75.9,38715.5
2025-12-09,74.55,80.31,73.95,78.3,13033.3
2025-12-10,76.65,76.65,63.0,63.0,10342.2
2025-12-11,62.4,67.2,52.9515,58.2,4806.93
2025-12-12,57.75,60.648,49.8,49.8,4849.26
2025-12-15,51.3,86.9985,51.3,66.6,153702.0
2025-12-16,66.3,72.0,56.4,60.3,15946.2
2025-12-17,59.85,59.85,53.25,54.75,5635.4
2025-12-18,54.75,57.2595,52.65,53.55,2512.6
2025-12-19,53.7,57.45,52.9665,53.7,14672.0
2025-12-22,54.0,60.954,54.0,56.7,5295.93
2025-12-23,55.5,73.95,55.5,66.6,16873.6
2025-12-24,66.75,71.205,62.1015,71.1,3690.13
2025-12-26,70.5,93.0,65.7,90.0,79247.5
2025-12-29,77.55,81.75,67.65,76.2,22838.8
2025-12-30,77.1,80.88,73.3515,74.85,7618.13
2025-12-31,74.4,80.25,73.05,77.85,3942.66
2026-01-02,78.6,93.45,76.35,89.25,9559.2
2026-01-05,91.8,103.65,90.0015,103.5,12596.5
2026-01-06,103.5,106.5,91.2,102.0,6091.8
2026-01-07,102.069,120.375,100.233,116.4,17724.0
2026-01-08,114.0,117.0,106.65,115.725,6654.73
2026-01-09,115.2,116.85,106.651,111.0,2817.13
2026-01-12,111.15,123.9,111.0,123.9,4318.53
2026-01-13,123.9,143.7,120.903,133.35,10278.4
2026-01-14,139.5,150.0,132.0,141.0,9452.86
2026-01-15,140.25,161.7,139.5,152.475,5961.73
2026-01-16,155.1,160.5,144.0,144.0,5371.86
2026-01-20,142.5,167.248,137.101,165.0,11168.2
2026-01-21,163.2,184.5,163.2,180.3,7897.73
2026-01-22,181.5,198.34,175.35,195.0,59277.0
2026-01-23,195.0,196.2,176.7,187.95,46577.6
2026-01-26,186.9,199.05,177.0,199.05,44321.0
2026-01-27,199.5,202.125,187.5,199.05,23735.4
2026-01-28,199.389,330.0,187.5,205.5,654345.0
2026-01-29,207.0,232.35,151.95,151.95,748318.0
2026-01-30,136.8,136.8,16.65,18.0,698876.0
2026-02-02,18.9,21.3,16.2,17.7,873740.0
2026-02-03,16.95,17.7,15.0,15.15,66234.9
2026-02-04,14.8215,14.8215,11.25,13.8705,84602.6
2026-02-05,13.35,13.35,10.9395,11.55,57607.7
2026-02-06,11.85,13.332,11.55,13.2,25424.9
2026-02-09,13.5,16.35,12.7665,15.75,50761.2
2026-02-10,15.0,15.3,13.62,13.8,22582.8
2026-02-11,14.85,19.2,7.3965,9.051,754408.0
2026-02-12,11.4,12.075,8.1,10.725,284216.0
2026-02-13,10.35,11.1,9.3,10.875,80104.6
2026-02-17,10.8,10.8,10.125,10.3905,27040.4
2026-02-18,10.173,10.173,8.85,9.3945,61165.0
2026-02-19,9.141,9.4395,8.85,9.015,18995.8
2026-02-20,9.15,9.15,8.1,8.274,103987.0
2026-02-23,8.346,10.35,8.346,9.18,95380.2
2026-02-24,9.3705,9.9,8.85,8.9625,31768.8
2026-02-25,8.91,9.3,8.8875,9.0225,16881.5
2026-02-26,8.8395,9.15,8.67,9.1245,14033.0
2026-02-27,8.9895,9.084,8.67,8.688,12690.0
2026-03-02,7.725,8.634,7.05,7.26,49941.1
2026-03-03,7.212,7.212,4.5,5.694,79629.2
2026-03-04,5.4975,6.2535,5.4975,5.78325,46826.0
2026-03-05,5.6385,6.15,5.6385,5.865,19339.4
2026-03-06,5.796,6.3,5.796,6.1485,14719.2
2026-03-09,6.27,6.29848,5.7015,6.12,16999.0
2026-03-10,6.3,6.525,5.853,5.865,12746.5
2026-03-11,5.508,6.075,5.4,5.85,27184.7
2026-03-12,5.7795,5.7795,5.1255,5.382,13823.2
2026-03-13,5.2,5.91,4.9233,5.07,41354.0
2026-03-16,5.08,5.0992,4.5145,4.6,50073.0
2026-03-17,4.52,4.8372,4.4001,4.54,64361.0
2026-03-18,4.52,4.66,4.4,4.66,33101.0
2026-03-19,4.49,4.88,4.1,4.78,40982.0
2026-03-20,4.87,4.87,4.5501,4.78,18307.0
2026-03-23,4.86,5.7243,4.695,5.6,45551.0
2026-03-24,5.6492,6.2099,5.405,5.8,21289.0
2026-03-25,5.98,6.325,5.6206,6.26,20305.0
2026-03-26,6.24,6.24,5.8,5.9,14603.0
2026-03-27,6.0302,6.0302,5.6,5.6,11583.0
2026-03-30,5.57,5.785,4.746813,4.8101,24996.0
2026-03-31,4.81,5.605,4.81,5.44,26412.0
2026-04-01,5.5382,6.9999,5.46,6.0,45859.0
2026-04-02,5.79,6.0,5.7502,5.94,5538.0
2026-04-06,5.9,6.4468,5.9,5.95,7535.0
2026-04-07,6.04,6.04,5.77,5.82,7699.0
2026-04-08,5.93,6.3,5.93,6.0,24082.0
2026-04-09,6.022,6.16,5.3,5.84,18318.0
2026-04-10,5.83,7.12,5.5272,6.28,50974.0
2026-04-13,6.3,6.5667,5.81,6.01,26117.0
2026-04-14,6.2,6.6378,6.1001,6.53,17833.0
2026-04-15,6.485,6.64,6.22,6.43,4935.0
2026-04-16,6.51,6.52,6.29,6.34,4441.0
2026-04-17,6.37,6.677,6.37,6.59,4117.0
2026-04-20,6.65,6.65,6.37,6.63,3230.0
2026-04-21,6.64,6.64,6.33,6.42,3062.0
2026-04-22,6.54,6.54,6.06,6.13,11517.0
2026-04-23,6.2,6.375,5.92,5.92,7613.0
2026-04-24,5.92,6.02,5.85,5.94,3553.0
2026-04-27,6.0,6.0,5.6,5.93,7364.0
2026-04-28,5.8,5.8,5.77,5.77,2523.0
2026-04-29,5.71,5.9,5.5,5.58,5320.0
2026-04-30,5.7,5.9,5.4847,5.58,4778.0
2026-05-01,5.57,5.57,4.5274,4.5274,11971.0
2026-05-04,4.51,4.88,4.5,4.74,24747.0
2026-05-05,4.6,4.6,4.2057,4.21,8322.0
2026-05-06,4.29,4.67,4.26,4.6,8859.0
2026-05-07,4.675,4.91,4.3,4.4965,902973.0
2026-05-08,4.4,4.69,4.21,4.53,832036.0
2026-05-11,4.42,4.9,4.31,4.89,1631840.0
2026-05-12,5.0,5.36,4.78,5.26,1750357.0
2026-05-13,5.5,6.06,5.401,5.71,1374829.0
2026-05-14,5.61,5.76,5.5,5.66,208883.0
2026-05-15,5.4,5.76,5.4,5.6,87315.0
2026-05-18,5.59,5.78,5.5,5.69,351962.0
2026-05-19,5.51,5.76,5.21,5.71,257730.0
2026-05-20,5.77,6.45,5.7014,5.98,241778.0
2026-05-21,5.88,6.21,5.8,6.01,381749.0
2026-05-22,6.010000228881836,6.349999904632568,5.5,6.309999942779541,447000.0
2026-05-26,6.25,6.400000095367432,6.020999908447266,6.329999923706055,238700.0
2026-05-27,6.170000076293945,6.436999797821045,6.010000228881836,6.070000171661377,10900.0
2026-05-28,6.401000022888184,6.401000022888184,5.550000190734863,6.010000228881836,8200.0
2026-05-29,6.070000171661377,6.389999866485596,5.800000190734863,5.879000186920166,7500.0
2026-06-01,5.880000114440918,6.300000190734863,5.869999885559082,6.25,9600.0
2026-06-02,6.239999771118164,6.385000228881836,6.171000003814697,6.189000129699707,7300.0
2026-06-03,6.199999809265137,6.260000228881836,5.925000190734863,6.0,6600.0
2026-06-04,5.960000038146973,6.429999828338623,5.960000038146973,6.24399995803833,33700.0
2026-06-05,5.980000019073486,6.3460001945495605,5.53000020980835,5.53000020980835,101600.0
2026-06-08,5.650000095367432,5.929999828338623,5.224999904632568,5.527999877929688,29100.0
2026-06-09,5.610000133514404,5.849999904632568,5.239999771118164,5.239999771118164,6900.0
2026-06-10,5.199999809265137,5.473999977111816,4.900000095367432,4.900000095367432,5100.0
2026-06-11,4.993000030517578,5.150000095367432,4.993000030517578,5.050000190734863,8200.0
2026-06-12,5.019999980926514,5.019999980926514,4.802999973297119,4.829999923706055,5800.0
2026-06-15,5.199999809265137,5.699999809265137,4.699999809265137,4.989999771118164,2501100.0
2026-06-16,5.119999885559082,5.119999885559082,4.559999942779541,4.699999809265137,82100.0
2026-06-17,4.820000171661377,4.889999866485596,4.599999904632568,4.849999904632568,31800.0
2026-06-18,4.739999771118164,4.800000190734863,4.369999885559082,4.400000095367432,50200.0
2026-06-22,4.309999942779541,4.650000095367432,4.300000190734863,4.519999980926514,67900.0
2026-06-23,4.420000076293945,4.800000190734863,4.420000076293945,4.590000152587891,27900.0
2026-06-24,4.550000190734863,4.565000057220459,4.38100004196167,4.400000095367432,21800.0
2026-06-25,4.320000171661377,4.440000057220459,4.21999979019165,4.21999979019165,9900.0
2026-06-26,4.039999961853027,4.400000095367432,4.03000020980835,4.349999904632568,29000.0
2026-06-29,4.300000190734863,4.400000095367432,4.150000095367432,4.289999961853027,33200.0
2026-06-30,4.0,4.5,3.9000000953674316,4.010000228881836,157600.0
2026-07-01,3.930000066757202,4.119999885559082,3.930000066757202,4.03000020980835,15300.0
