Date,Open,High,Low,Close,Volume
2024-01-02,8.13,8.46,8.09,8.43,851383
2024-01-03,8.39,8.43,7.68,7.77,846483
2024-01-04,6.96,6.966,5.0,5.28,7259049
2024-01-05,5.55,5.85,5.26,5.45,3418788
2024-01-08,6.1,6.1,5.68,5.83,2452620
2024-01-09,5.69,6.006,5.55,5.92,899493
2024-01-10,5.93,5.98,5.61,5.67,1528989
2024-01-11,5.85,6.1289,5.62,6.04,1111142
2024-01-12,6.1,6.48,6.0,6.16,898810
2024-01-16,6.15,6.35,5.84,5.9,1029728
2024-01-17,5.73,6.025,5.6904,5.94,598429
2024-01-18,5.97,6.08,5.8401,6.0,563753
2024-01-19,5.98,6.09,5.82,6.02,596742
2024-01-22,6.05,6.1532,5.904,6.08,682622
2024-01-23,5.96,6.185,5.96,6.16,731948
2024-01-24,6.21,6.3,6.045,6.08,484901
2024-01-25,6.06,6.24,5.79,5.94,674566
2024-01-26,5.94,6.03,5.855,5.87,314911
2024-01-29,5.77,5.92,5.58,5.87,917887
2024-01-30,5.83,5.89,5.46,5.56,750073
2024-01-31,5.51,5.84,5.5,5.59,629682
2024-02-01,5.62,5.8318,5.6,5.8,387399
2024-02-02,5.77,5.83,5.5329,5.69,499435
2024-02-05,5.62,5.6724,5.51,5.64,367814
2024-02-06,5.65,6.0,5.65,5.98,437052
2024-02-07,6.01,6.01,5.69,5.71,451773
2024-02-08,5.71,5.86,5.665,5.79,279677
2024-02-09,5.82,6.02,5.75,5.93,300351
2024-02-12,5.93,6.23,5.93,6.12,363855
2024-02-13,5.88,6.23,5.68,6.0,365724
2024-02-14,6.04,6.83,6.04,6.67,529242
2024-02-15,6.72,7.0,6.62,7.0,393929
2024-02-16,6.94,7.2,6.87,7.09,362213
2024-02-20,7.0,7.28,6.9391,7.19,276561
2024-02-21,7.1,7.2,6.87,7.12,289076
2024-02-22,7.17,7.35,6.64,6.7,473391
2024-02-23,6.71,7.39,6.6201,7.35,531070
2024-02-26,7.34,7.87,7.28,7.77,406657
2024-02-27,7.86,8.44,7.86,8.27,746316
2024-02-28,8.25,8.38,7.93,8.0,598277
