Date,Open,High,Low,Close,Volume
2025-06-09,36.01,37.4387,33.67,35.1,4774.7692293368
2025-06-10,35.36,37.7,35.36,36.53,2668.9999991993
2025-06-11,36.53,36.92,34.19,34.19,5631.3846136952
2025-06-12,35.1,35.88,34.58,35.8202,2517.5384607832
2025-06-13,35.62,38.22,34.71,38.09,4387.7692294529
2025-06-16,37.31,37.83,35.36,36.4,3430.9230758938
2025-06-17,36.4,37.96,35.295,36.14,882.8461535813
2025-06-18,58.63,62.9187,35.88,43.29,2591723.07614556
2025-06-20,47.32,47.32,37.96,41.21,84784.9999745645
2025-06-23,36.53,37.96,31.8708,35.23,49764.9999850705
2025-06-24,31.98,38.74,31.4262,35.62,23825.5384543908
2025-06-25,34.97,36.153,31.8526,33.41,25088.3076847812
2025-06-26,33.41,37.18,32.76,34.32,24171.0769158256
2025-06-27,38.74,39.0,34.71,38.74,89154.23074248449
2025-06-30,41.47,47.2017,38.35,45.24,159015.2307215262
2025-07-01,45.11,46.15,38.87,40.3,48256.3076778308
2025-07-02,35.1,39.2535,32.89,36.4,39390.0769112599
2025-07-03,36.79,42.5087,35.49,40.04,73400.9230549028
2025-07-07,39.0,39.0,35.75,37.7,33003.307682406696
2025-07-08,39.65,42.51,38.48,39.52,30163.6153755663
2025-07-09,38.61,40.3,36.556,40.04,18067.2307638106
2025-07-10,40.17,49.4,39.0,45.37,58921.923059246496
2025-07-11,46.8,50.31,44.85,49.14,55179.6922911384
2025-07-14,52.13,54.86,49.66,50.96,72533.3076705477
2025-07-15,49.14,50.96,44.2,44.33,30836.7692215182
2025-07-16,47.32,47.32,44.85,45.63,16479.3846104408
2025-07-17,48.1,52.91,46.8,50.83,51381.99998458539
2025-07-18,52.65,53.2285,46.8,49.79,33756.4615283346
2025-07-21,49.4,51.35,39.65,41.86,30195.6153755567
2025-07-22,43.03,45.474,40.43,44.2,12973.846149954
2025-07-23,45.63,47.32,40.3,40.43,34089.5384513116
2025-07-24,40.43,42.38,36.205,36.92,26355.9230690163
2025-07-25,36.79,37.2307,35.23,35.75,14339.0769187752
2025-07-28,37.18,40.69,36.79,39.13,21829.6153780665
2025-07-29,38.48,38.87,33.67,35.1,10749.7692275443
2025-07-30,35.75,37.18,33.813,34.45,10168.6153815648
2025-07-31,34.84,35.8722,30.94,31.85,20901.3076860373
2025-08-01,31.85,34.5618,30.16,30.29,14630.9999956107
2025-08-04,30.55,31.46,28.3673,30.03,21485.5384550928
2025-08-05,30.03,31.3287,29.25,30.29,7537.4615362003
2025-08-06,30.29,31.5887,28.6,31.33,15198.3846108251
2025-08-07,31.33,32.2881,28.6,28.6,12820.5384576923
2025-08-08,29.38,31.0687,27.69,29.77,14317.1538418587
2025-08-11,29.51,31.46,28.6,30.55,9482.0769202323
2025-08-12,30.55,31.174,29.12,30.095,6386.7692288532
2025-08-13,30.81,33.41,30.81,33.15,19403.3076864867
2025-08-14,33.28,34.45,29.9,30.55,7977.692305299
2025-08-15,31.85,31.85,29.38,30.03,8833.538458888399
2025-08-18,28.73,30.16,28.73,29.77,3051.2307683154
2025-08-19,29.77,29.9,24.05,25.48,20102.1538401232
2025-08-20,24.96,26.507,23.4,24.18,8552.999997434099
2025-08-21,23.14,24.18,18.72,23.53,13670.8461497449
2025-08-22,22.88,25.35,22.75,23.27,6386.4615365456
2025-08-25,23.92,25.0991,23.27,23.92,9186.9999972439
2025-08-26,23.79,24.7,23.4,24.05,4288.0769217905
2025-08-27,25.22,25.22,23.4,23.4,3797.6153834761
2025-08-28,30.94,31.2,21.32,23.92,1744073.69178447
2025-08-29,23.92,24.05,20.8,21.19,34628.461528073
2025-09-02,21.19,21.19,18.5887,19.89,19217.7692250039
2025-09-03,18.98,20.15,17.55,17.94,18638.9230713314
2025-09-04,15.99,17.29,15.34,16.51,23946.8461466621
2025-09-05,16.38,17.81,16.38,17.55,9616.923074038
2025-09-08,18.07,22.49,15.73,19.5,330816.8460546011
2025-09-09,29.12,35.2287,19.63,25.87,4190541.152588991
2025-09-10,27.69,31.07,24.31,26.0,1275330.0765404778
2025-09-11,24.7,26.65,21.58,22.49,203573.6153235433
2025-09-12,24.05,24.57,22.165,22.23,73212.0769011133
2025-09-15,19.37,20.8,19.37,19.5,79762.9230529942
2025-09-16,20.93,21.19,19.63,19.76,59654.1538282576
2025-09-17,20.54,21.19,19.89,20.54,51029.6153693065
2025-09-18,20.67,20.995,17.94,18.85,69638.1538252624
2025-09-19,18.85,20.54,18.85,19.24,27089.153838027098
2025-09-22,18.33,19.76,17.2315,17.94,43180.846140891896
2025-09-23,17.94,18.564,17.16,17.16,31391.7692213517
2025-09-24,17.03,18.2,17.03,17.55,19082.1538404292
2025-09-25,17.29,18.0726,16.25,16.25,28384.9230684076
2025-09-26,16.38,17.16,16.12,16.77,16172.6153797636
2025-09-29,16.9,18.59,16.38,16.9,25608.1538384714
2025-09-30,16.51,17.03,16.25,16.9,9453.5384587024
2025-10-01,17.94,18.59,17.55,18.07,15138.6153800738
2025-10-02,18.85,21.84,17.94,20.8,43681.923063818496
2025-10-03,19.89,20.41,18.85,19.5,20117.0769170418
2025-10-06,19.24,19.5494,17.81,17.81,17559.6923024244
2025-10-07,18.46,18.85,17.29,17.29,13462.0769190383
2025-10-08,17.81,20.1383,17.16,18.33,18213.5384560744
2025-10-09,18.59,18.59,17.55,17.81,11997.2307656316
2025-10-10,17.55,18.0024,15.99,16.12,19737.7692248479
2025-10-13,16.38,17.29,15.6,16.9,15867.4615337013
2025-10-14,16.64,17.7333,16.3007,17.095,9603.5384586574
2025-10-15,16.9,17.42,16.51,16.9,7538.0769208155
2025-10-16,17.03,17.42,15.86,15.86,15627.6153799271
