Date,Open,High,Low,Close,Volume
2025-06-09,3.94,4.20787,3.94,4.07387,12888.0
2025-06-10,4.0,4.222,3.93513,3.99333,7035.0
2025-06-11,3.94667,4.06,3.94667,3.99333,6784.5
2025-06-12,3.93333,4.03333,3.58667,3.58667,60618.0
2025-06-13,3.58667,3.61173,3.58667,3.60667,12274.5
2025-06-16,3.62,3.84,3.60487,3.64,6009.0
2025-06-17,3.71,3.73333,3.58667,3.66667,17827.5
2025-06-18,3.66667,3.81333,3.57333,3.7,46108.5
2025-06-20,3.71333,4.40667,2.99333,2.99333,199038.0
2025-06-23,3.13333,3.98667,3.0,3.76667,96864.0
2025-06-24,3.81333,3.96,3.51493,3.72667,30261.0
2025-06-25,3.79333,3.79333,3.47247,3.61333,62493.0
2025-06-26,3.73333,3.99333,3.608,3.96667,28509.0
2025-06-27,4.02,5.5,4.02,4.72,117499.0
2025-06-30,4.82667,5.09993,4.5,5.03333,94123.5
2025-07-01,5.1,5.56,4.44667,5.32667,414027.0
2025-07-02,5.01333,5.5666,5.00667,5.09333,68485.5
2025-07-03,5.26667,5.32,4.66667,4.66667,80893.5
2025-07-07,4.66667,5.389,4.62467,5.12,61108.5
2025-07-08,5.14667,5.26667,5.00667,5.00667,41569.5
2025-07-09,5.01333,5.38227,4.92,5.10667,14143.5
2025-07-10,5.12667,5.12667,4.42673,4.45333,26140.5
2025-07-11,4.66,4.76,4.47333,4.51333,14560.5
2025-07-14,4.85333,5.12667,4.68453,5.0,19801.5
2025-07-15,5.11333,5.23333,4.84007,4.86667,20640.0
2025-07-16,4.85333,5.3466,4.85333,5.17333,28006.5
2025-07-17,5.23333,5.33333,4.96667,5.22667,55540.5
2025-07-18,5.32,5.33333,4.96667,5.2,24685.5
2025-07-21,5.2,5.45333,4.88007,5.23333,86091.0
2025-07-22,5.4,5.4,4.96667,4.98667,14224.5
2025-07-23,5.16,5.38667,5.07333,5.34667,18138.0
2025-07-24,5.16667,5.34,4.85333,4.85333,23983.5
2025-07-25,4.86,5.12667,4.5334,4.666,24811.5
2025-07-28,4.66667,4.83387,4.5,4.52,30531.0
2025-07-29,4.52667,4.64,4.42667,4.46667,42508.5
2025-07-30,4.46667,4.63507,4.44,4.44667,11100.0
2025-07-31,4.35333,4.78667,4.34,4.35333,21774.0
2025-08-01,4.35333,4.68667,4.35333,4.68667,10359.0
2025-08-04,4.66667,4.7134,4.37333,4.41333,25240.5
2025-08-05,4.52,4.52,4.33333,4.33333,6270.0
2025-08-06,4.36667,4.45733,4.16667,4.33333,10699.5
2025-08-07,4.39333,4.45907,4.16,4.3322,10851.0
2025-08-08,4.12667,4.43333,4.12,4.23333,23353.5
2025-08-11,4.14667,4.53333,4.12,4.26,12151.5
2025-08-12,4.2,4.20454,3.77333,3.894,31752.0
2025-08-13,4.20667,4.6,3.89333,4.6,88644.0
2025-08-14,5.0,5.13333,4.66,4.95333,89502.0
2025-08-15,5.13333,5.13333,4.86667,4.88667,24364.5
2025-08-18,5.06667,5.12667,4.88913,4.98667,27142.5
2025-08-19,5.13333,5.13333,4.3734,4.46667,50781.0
2025-08-20,4.75333,5.13333,4.50667,5.0,62173.5
