Date,Open,High,Low,Close,Volume
2025-06-09,25.6,29.6,24.8,28.824,40808.875
2025-06-10,28.824,33.216,28.008,30.44,38544.125
2025-06-11,28.488,31.096,26.4,27.576,422857.875
2025-06-12,27.688,33.496,27.688,30.368,75032.75
2025-06-13,28.8,31.408,28.048,29.224,23908.625
2025-06-16,29.824,31.752,27.208,27.664,32516.375
2025-06-17,27.2,30.6552,25.6,28.76,18216.5
2025-06-18,28.0,29.2,26.8,27.472,12861.25
2025-06-20,28.0,30.7352,26.408,27.312,19955.125
2025-06-23,28.0,31.04,28.0,29.456,41280.875
2025-06-24,29.92,30.24,27.96,28.488,10204.5875
2025-06-25,28.84,29.512,27.56,28.616,10850.575
2025-06-26,29.6,29.608,27.2,27.928,9803.825
2025-06-27,27.2,27.8479,23.416,23.416,165724.375
2025-06-30,24.24,25.424,22.32,23.112,22646.625
2025-07-01,23.2,23.648,21.6,21.76,14895.75
2025-07-02,21.6,23.44,21.6,22.344,10299.8375
2025-07-03,23.048,23.2799,22.4,23.112,7781.05
2025-07-07,23.448,23.768,22.4,23.72,9756.9
2025-07-08,23.2,24.992,23.2,24.456,14693.75
2025-07-09,24.0,25.064,23.68,24.832,8180.6
2025-07-10,23.92,25.312,23.656,23.776,15070.0
2025-07-11,24.0,24.792,21.12,21.6,19989.25
2025-07-14,22.4,22.832,21.592,22.472,10435.2625
2025-07-15,22.4,23.624,22.4,22.44,11086.7125
2025-07-16,22.736,27.92,22.736,27.12,33995.0
2025-07-17,28.6,28.8,25.208,25.208,18412.25
2025-07-18,26.0,27.992,25.024,25.352,10414.75
2025-07-21,25.592,26.4,24.104,24.64,17054.375
2025-07-22,24.816,25.912,24.368,24.656,12043.9375
2025-07-23,24.8,27.84,24.8,27.208,17985.875
2025-07-24,25.6,26.936,24.2321,26.048,17388.875
2025-07-25,26.96,26.96,24.4,24.712,7446.225
2025-07-28,24.824,28.0,24.32,25.224,60924.125
2025-07-29,25.592,25.592,22.664,23.2,18397.25
2025-07-30,23.2,24.2559,22.0,22.336,11551.7125
2025-07-31,23.056,23.2,20.4,20.44,23878.375
2025-08-01,21.6,21.6,20.048,20.68,7230.75
2025-08-04,20.68,21.584,19.232,20.44,11252.075
2025-08-05,20.8,20.868,19.456,19.792,10774.25
2025-08-06,20.0,20.784,18.488,19.224,15007.875
2025-08-07,19.784,20.0,17.752,18.0,13245.75
2025-08-08,18.4,20.0,17.608,19.712,17232.5
