Date,Open,High,Low,Close,Volume
2025-07-11,2.43,2.49,2.36,2.45,607683
2025-07-14,2.44,2.52,2.375,2.5,627682
2025-07-15,2.53,2.53,2.365,2.4,852559
2025-07-16,2.43,2.49,2.33,2.48,549111
2025-07-17,2.4,2.59,2.38,2.55,1266682
2025-07-18,2.55,2.57,2.345,2.41,815524
2025-07-21,2.44,2.485,2.4,2.45,464778
2025-07-22,2.47,2.585,2.465,2.56,564205
2025-07-23,2.56,2.68,2.54,2.55,777317
2025-07-24,2.55,2.605,2.47,2.58,593615
2025-07-25,2.58,2.64,2.5,2.64,446162
2025-07-28,2.65,2.7,2.53,2.61,746431
2025-07-29,2.65,2.65,2.405,2.47,858247
2025-07-30,2.49,2.52,2.31,2.38,1325906
2025-07-31,2.36,2.36,2.1501,2.19,768558
2025-08-01,2.12,2.245,2.04,2.16,978212
2025-08-04,2.2,2.2,2.1,2.12,569010
2025-08-05,2.1,2.205,2.0333,2.12,693685
2025-08-06,2.12,2.19,2.015,2.14,1239554
2025-08-07,2.23,2.34,2.1,2.25,1197083
2025-08-08,2.27,2.51,2.21,2.23,1049635
2025-08-11,2.21,2.2453,2.14,2.14,601253
2025-08-12,2.17,2.235,2.05,2.08,1156385
2025-08-13,2.13,2.24,2.06,2.16,777734
2025-08-14,2.1,2.13,1.99,2.07,552426
2025-08-15,2.09,2.11,2.05,2.06,426811
2025-08-18,2.07,2.115,2.05,2.08,359025
2025-08-19,2.1,2.16,2.065,2.08,360812
2025-08-20,2.09,2.11,2.03,2.06,584621
2025-08-21,2.03,2.07,1.965,2.04,446774
2025-08-22,2.04,2.21,2.04,2.14,901411
2025-08-25,2.16,2.225,2.1,2.2,610686
2025-08-26,2.24,2.24,2.01,2.12,968782
2025-08-27,2.08,2.145,2.06,2.09,531645
2025-08-28,2.07,2.08,2.02,2.04,346737
2025-08-29,2.06,2.13,2.01,2.11,794529
2025-09-02,2.07,2.285,2.04,2.21,703432
2025-09-03,2.2,2.29,2.17,2.27,654884
2025-09-04,2.28,2.34,2.22,2.26,505523
2025-09-05,2.3,2.33,2.19,2.26,401958
2025-09-08,2.26,2.26,2.07,2.13,592748
2025-09-09,2.13,2.24,2.11,2.23,410616
2025-09-10,2.22,2.22,2.0909,2.14,336056
2025-09-11,2.14,2.22,2.13,2.2,328973
2025-09-12,2.2,2.2,2.11,2.13,396159
2025-09-15,2.15,2.19,2.105,2.16,324342
2025-09-16,2.17,2.17,2.07,2.1,499073
2025-09-17,2.11,2.23,2.0602,2.13,1141234
2025-09-18,2.18,2.26,2.11,2.26,608977
2025-09-19,2.32,2.32,2.12,2.25,1249250
2025-09-22,2.23,2.39,2.23,2.39,1158783
2025-09-23,2.42,2.46,2.31,2.37,1068132
2025-09-24,2.37,2.5,2.37,2.48,572817
2025-09-25,2.45,2.4788,2.31,2.33,472750
2025-09-26,2.33,2.35,2.18,2.2,352435
2025-09-29,2.22,2.22,2.16,2.17,313403
2025-09-30,2.19,2.19,2.02,2.11,561059
2025-10-01,2.11,2.125,2.03,2.04,533486
2025-10-02,2.05,2.085,2.03,2.06,417283
2025-10-03,2.09,2.15,2.025,2.1,789670
2025-10-06,2.11,2.13,2.03,2.05,500093
2025-10-07,2.08,2.11,1.98,2.02,653681
2025-10-08,2.02,2.095,1.9918,2.04,294373
2025-10-09,2.04,2.04,1.975,2.0,377012
2025-10-10,2.0,2.03,1.84,1.89,752874
2025-10-13,1.94,1.99,1.885,1.97,602202
2025-10-14,1.94,2.04,1.9006,2.02,664750
2025-10-15,2.05,2.1,1.91,1.92,647733
2025-10-16,1.95,1.955,1.85,1.86,1327584
2025-10-17,1.84,1.995,1.82,1.95,990101
2025-10-20,1.98,2.05,1.91,2.02,564765
2025-10-21,2.02,2.02,1.87,1.88,422368
2025-10-22,1.83,1.86,1.75,1.78,1333158
2025-10-23,1.78,1.87,1.74,1.83,540477
2025-10-24,1.83,1.976,1.83,1.91,794072
2025-10-27,1.91,1.91,1.82,1.83,816727
2025-10-28,1.83,1.86,1.78,1.8,440196
2025-10-29,1.79,1.95,1.79,1.81,935487
2025-10-30,1.84,2.005,1.795,1.84,933472
2025-10-31,1.9,2.0,1.805,1.9,937440
2025-11-03,1.9,1.95,1.79,1.81,728858
2025-11-04,1.8,1.8,1.7,1.73,442753
2025-11-05,1.73,1.785,1.7,1.76,554035
2025-11-06,1.76,1.76,1.585,1.61,887431
2025-11-07,1.58,1.64,1.35,1.45,1085326
2025-11-10,1.48,1.6,1.47,1.52,746631
2025-11-11,1.52,1.565,1.485,1.53,780527
2025-11-12,1.58,1.71,1.529,1.66,739654
2025-11-13,1.66,1.725,1.605,1.62,593026
2025-11-14,1.57,1.58,1.5,1.53,522556
2025-11-17,1.51,1.665,1.51,1.56,1318311
2025-11-18,1.55,1.55,1.495,1.53,357283
2025-11-19,1.53,1.545,1.45,1.49,715568
2025-11-20,1.52,1.61,1.49,1.53,1136612
2025-11-21,1.53,1.71,1.51,1.65,673206
2025-11-24,1.68,1.87,1.64,1.82,919975
2025-11-25,1.84,1.89,1.8,1.86,342677
2025-11-26,1.86,1.93,1.83,1.92,483425
2025-11-28,1.92,1.965,1.8653,1.91,370481
2025-12-01,1.86,1.86,1.765,1.81,312646
2025-12-02,1.83,1.875,1.78,1.85,353696
2025-12-03,1.85,1.89,1.8201,1.86,334038
2025-12-04,1.83,1.86,1.8008,1.85,199059
2025-12-05,1.87,1.87,1.78,1.83,289029
2025-12-08,1.85,1.85,1.72,1.74,387260
2025-12-09,1.69,1.77,1.65,1.67,678035
2025-12-10,1.67,1.74,1.65,1.73,543107
2025-12-11,1.76,1.805,1.71,1.76,381538
2025-12-12,1.76,1.77,1.69,1.69,517084
2025-12-15,1.73,1.73,1.645,1.69,376324
2025-12-16,1.68,1.78,1.67,1.78,497151
2025-12-17,1.77,1.87,1.73,1.74,957333
2025-12-18,1.77,1.795,1.67,1.69,489314
2025-12-19,1.68,1.705,1.58,1.61,1158503
2025-12-22,1.61,1.64,1.59,1.6,643317
2025-12-23,1.58,1.62,1.555,1.62,704273
2025-12-24,1.61,1.63,1.59,1.62,398460
2025-12-26,1.62,1.675,1.61,1.67,304364
2025-12-29,1.64,1.665,1.615,1.63,307744
2025-12-30,1.62,1.65,1.525,1.54,1105821
2025-12-31,1.54,1.585,1.505,1.55,1290507
2026-01-02,1.58,1.595,1.5,1.56,650766
2026-01-05,1.58,1.81,1.58,1.71,781226
2026-01-06,1.69,1.835,1.69,1.76,469767
2026-01-07,1.75,1.77,1.68,1.72,373294
2026-01-08,1.7,1.76,1.69,1.72,230979
2026-01-09,1.765,1.78,1.73,1.77,307334
2026-01-12,1.78,2.08,1.78,2.06,1447471
2026-01-13,2.07,2.35,2.02,2.17,2228155
2026-01-14,2.15,2.26,2.11,2.2,726585
2026-01-15,2.19,2.2998,2.16,2.2,730342
2026-01-16,2.2,2.22,2.105,2.11,545761
2026-01-20,2.06,2.1,1.96,1.99,1117457
2026-01-21,1.99,2.04,1.93,1.97,303126
2026-01-22,1.97,2.06,1.97,2.01,335261
2026-01-23,2.0,2.0,1.875,1.89,288708
2026-01-26,1.9,1.93,1.86,1.87,245971
2026-01-27,1.87,1.91,1.85,1.9,192920
2026-01-28,1.91,1.92,1.81,1.85,375912
2026-01-29,1.86,1.875,1.775,1.83,535792
2026-01-30,1.79,1.835,1.75,1.79,783572
2026-02-02,1.79,1.91,1.79,1.86,518237
2026-02-03,1.86,1.86,1.69,1.74,676530
2026-02-04,1.75,1.775,1.62,1.74,881870
2026-02-05,1.73,1.775,1.625,1.68,1687967
2026-02-06,1.71,1.75,1.665,1.69,936045
2026-02-09,1.7,1.71,1.62,1.67,339229
2026-02-10,1.66,1.695,1.59,1.61,180017
2026-02-11,1.62,1.62,1.485,1.51,315757
2026-02-12,1.54,1.54,1.35,1.355,362501
2026-02-13,1.4,1.42,1.305,1.36,343347
2026-02-17,1.36,1.47,1.33,1.4,523693
2026-02-18,1.4,1.46,1.365,1.37,351747
2026-02-19,1.35,1.43,1.3,1.42,540676
2026-02-20,1.42,1.48,1.395,1.46,593980
2026-02-23,1.47,1.505,1.4,1.415,541705
2026-02-24,1.4,1.49,1.374,1.4,1255820
2026-02-25,1.43,1.43,1.34,1.395,291200
2026-02-26,1.38,1.47,1.38,1.45,245564
2026-02-27,1.43,1.45,1.33,1.335,403069
2026-03-02,1.295,1.36,1.27,1.33,415731
2026-03-03,1.28,1.36,1.28,1.35,213
2026-03-04,1.36,1.45,1.35,1.42,327494
2026-03-05,1.42,1.45,1.35,1.385,347814
2026-03-06,1.37,1.37,1.2915,1.345,297775
2026-03-09,1.32,1.375,1.275,1.37,32
2026-03-10,1.33,1.4,1.29,1.345,21
2026-03-11,1.34,1.41,1.305,1.33,250126
2026-03-12,1.3,1.34,1.195,1.21,867218
2026-03-13,1.21,1.56,1.205,1.45,1674606
2026-03-16,1.48,1.58,1.3701,1.56,954105
2026-03-17,1.54,1.62,1.48,1.49,612171
2026-03-18,1.5,1.5,1.42,1.44,345595
2026-03-19,1.42,1.45,1.35,1.39,384851
2026-03-20,1.39,1.39,1.3,1.34,1131210
2026-03-23,1.36,1.405,1.315,1.37,667420
2026-03-24,1.35,1.35,1.22,1.26,633699
2026-03-25,1.28,1.29,1.19,1.25,652361
2026-03-26,1.28,1.28,1.195,1.21,301133
2026-03-27,1.2,1.225,1.175,1.21,507492
2026-03-30,1.23,1.27,1.195,1.23,1020192
2026-03-31,1.24,1.31,1.23,1.25,551170
2026-04-01,1.26,1.28,1.225,1.24,369486
2026-04-02,1.24,1.245,1.175,1.2,481027
2026-04-06,1.2,1.29,1.2,1.23,398628
2026-04-07,1.23,1.29,1.2,1.26,698998
2026-04-08,1.32,1.42,1.31,1.41,992736
2026-04-09,1.4,1.51,1.355,1.46,747805
2026-04-10,1.45,1.55,1.415,1.45,785983
2026-04-13,1.39,1.5688,1.39,1.54,759978
2026-04-14,1.58,1.64,1.559,1.61,568750
2026-04-15,1.6,1.695,1.6,1.68,403327
2026-04-16,1.67,1.7099,1.62,1.69,417824
2026-04-17,1.73,1.8,1.69,1.71,548142
2026-04-20,1.69,1.78,1.689,1.77,461682
2026-04-21,1.76,1.895,1.7,1.71,845749
2026-04-22,1.72,1.805,1.6701,1.75,728180
2026-04-23,1.74,1.75,1.63,1.67,650514
2026-04-24,1.68,1.78,1.65,1.77,345771
2026-04-27,1.75,1.82,1.73,1.755,397000
2026-04-28,1.75,1.8,1.665,1.79,361083
2026-04-29,1.78,1.805,1.72,1.77,332275
2026-04-30,1.74,1.77,1.695,1.76,339821
2026-05-01,1.77,1.81,1.73,1.77,496306
2026-05-04,1.74,1.795,1.67,1.77,813188
2026-05-05,1.8,1.82,1.67,1.68,1128511
2026-05-06,1.71,1.725,1.57,1.71,898819
2026-05-07,1.7,1.745,1.6,1.62,901752
2026-05-08,1.69,1.91,1.485,1.9,2432532
2026-05-11,1.9,1.962,1.785,1.85,632778
2026-05-12,1.86,1.92,1.78,1.85,833533
2026-05-13,1.82,1.89,1.76,1.85,986537
2026-05-14,1.84,1.89,1.74,1.83,1386499
2026-05-15,1.78,1.86,1.74,1.85,839923
2026-05-18,1.85,1.85,1.665,1.77,1075080
2026-05-19,1.78,1.885,1.74,1.8,556571
2026-05-20,1.78,1.87,1.76,1.8,390490
2026-05-21,1.76,2.01,1.74,1.94,1405849
2026-05-22,1.9900000095367432,2.180000066757202,1.9600000381469729,2.109999895095825,1313000
2026-05-26,2.119999885559082,2.2950000762939453,2.119999885559082,2.240000009536743,1530800
2026-05-27,2.2300000190734863,2.4600000381469727,2.2300000190734863,2.430000066757202,3990500
2026-05-28,2.450000047683716,2.450000047683716,2.2699999809265137,2.289999961853028,2073200
2026-05-29,2.289999961853028,2.3399999141693115,2.220000028610229,2.2799999713897705,681000
2026-06-01,2.25,2.299999952316284,2.164999961853028,2.2100000381469727,957900
2026-06-02,2.200000047683716,2.494999885559082,2.0899999141693115,2.4800000190734863,1960500
2026-06-03,2.4600000381469727,2.4800000190734863,2.150000095367432,2.180000066757202,1051100
2026-06-04,2.180000066757202,2.325000047683716,2.130000114440918,2.240000009536743,800100
2026-06-05,2.2100000381469727,2.2699999809265137,1.995000004768372,2.109999895095825,1637900
2026-06-08,2.109999895095825,2.1700000762939453,2.0299999713897705,2.109999895095825,1538900
2026-06-09,2.109999895095825,2.2149999141693115,2.0199999809265137,2.0999999046325684,1572300
2026-06-10,2.0899999141693115,2.140000104904175,2.062000036239624,2.119999885559082,441800
2026-06-11,2.119999885559082,2.1549999713897705,2.0450000762939453,2.130000114440918,549300
2026-06-12,2.130000114440918,2.234999895095825,2.130000114440918,2.180000066757202,1411100
2026-06-15,2.2300000190734863,2.2799999713897705,2.075000047683716,2.0999999046325684,1937000
2026-06-16,3.109999895095825,3.130000114440918,3.109999895095825,3.109999895095825,28218800
2026-06-17,3.109999895095825,3.119999885559082,3.0999999046325684,3.1050000190734863,26318800
2026-06-18,3.119999885559082,3.119999885559082,3.0999999046325684,3.109999895095825,7947800
2026-06-22,3.109999895095825,3.130000114440918,3.109999895095825,3.130000114440918,2961800
2026-06-23,3.119999885559082,3.130000114440918,3.109999895095825,3.119999885559082,4787400
2026-06-24,3.109999895095825,3.130000114440918,3.109999895095825,3.130000114440918,3213700
2026-06-25,3.119999885559082,3.130000114440918,3.109999895095825,3.119999885559082,4127700
2026-06-26,3.119999885559082,3.119999885559082,3.109999895095825,3.119999885559082,4150500
2026-06-29,3.109999895095825,3.119999885559082,3.109999895095825,3.119999885559082,3933400
2026-06-30,3.119999885559082,3.119999885559082,3.0999999046325684,3.109999895095825,4436000
2026-07-01,3.109999895095825,3.119999885559082,3.0999999046325684,3.109999895095825,5692700
2026-07-02,3.109999895095825,3.119999885559082,3.109999895095825,3.109999895095825,2728300
2026-07-06,3.115000009536743,3.130000114440918,3.109999895095825,3.130000114440918,4424800
2026-07-07,3.119999885559082,3.130000114440918,3.119999885559082,3.130000114440918,2345400
2026-07-08,3.119999885559082,3.140000104904175,3.119999885559082,3.140000104904175,1814900
2026-07-09,3.130000114440918,3.140000104904175,3.130000114440918,3.130000114440918,1405600
2026-07-10,3.130000114440918,3.140000104904175,3.119999885559082,3.119999885559082,2716100
2026-07-13,3.119999885559082,3.130000114440918,3.119999885559082,3.119999885559082,994300
2026-07-14,3.119999885559082,3.140000104904175,3.119999885559082,3.140000104904175,1945800
2026-07-15,3.130000114440918,3.140000104904175,3.130000114440918,3.130000114440918,2484800
2026-07-16,3.130000114440918,3.140000104904175,3.130000114440918,3.140000104904175,1348100
2026-07-17,3.130000114440918,3.140000104904175,3.130000114440918,3.140000104904175,1416400
