Date,Open,High,Low,Close,Volume
2025-06-09,11.664,12.24,11.5875,11.727,40164.666686749
2025-06-10,11.685,11.817,11.283,11.46,43405.2666883693
2025-06-11,11.4465,11.7015,11.2035,11.271,33826.9333502468
2025-06-12,10.995,11.1,10.5,10.635,75317.8667043256
2025-06-13,10.65,10.9485,10.212,10.2135,54390.4000271952
2025-06-16,10.8795,11.658,10.7025,11.5485,109085.6000545428
2025-06-17,11.472,11.9205,11.2215,11.3505,42076.7333543717
2025-06-18,11.5275,11.661,11.1,11.166,22112.000011056
2025-06-20,11.1675,11.5245,10.95,11.046,26402.6000132013
2025-06-23,11.0475,11.646,10.8435,11.55,60364.3333635155
2025-06-24,11.7,11.9865,11.214,11.5095,85028.0667091807
2025-06-25,11.421,13.14,10.995,12.663,156185.4667447594
2025-06-26,13.938,14.8035,13.7025,14.5545,323026.6001615133
2025-06-27,14.7,15.6,13.125,13.9515,230205.8001151029
2025-06-30,14.1,15.225,14.0145,15.15,128772.4000643862
2025-07-01,14.85,15.45,14.415,14.727,107625.1333871459
2025-07-02,14.6805,17.1,14.6175,16.05,206867.0667701002
2025-07-03,16.2,16.725,15.9,16.5,74647.00003732351
2025-07-07,16.65,17.625,15.6,16.2,167492.46675041292
2025-07-08,16.2,16.95,15.675,16.35,76423.8000382119
2025-07-09,16.5,16.5,15.45,15.75,91854.8000459274
2025-07-10,15.75,15.75,14.256,14.5755,110777.4000553887
2025-07-11,14.4,14.8755,13.4235,13.695,108676.6000543383
2025-07-14,13.65,15.0,13.65,14.2095,103711.6000518558
2025-07-15,14.2035,14.385,13.668,13.98,50682.666692008
2025-07-16,13.752,14.3775,13.752,14.3295,38174.9333524208
2025-07-17,14.184,15.825,14.184,15.15,108205.93338743632
2025-07-18,15.15,15.45,14.7015,14.8665,46655.0666899942
2025-07-21,14.949,15.15,14.1075,14.346,85542.3333761045
2025-07-22,14.4,15.3,13.9605,15.0,52363.6666928485
2025-07-23,15.15,15.7485,14.6505,15.0,64532.66669893301
2025-07-24,14.85,16.05,14.85,15.15,116452.5333915596
2025-07-25,15.3,15.45,14.25,15.3,63091.6000315458
2025-07-28,15.0,15.9,14.8515,15.6,90156.33337841152
2025-07-29,15.3,15.75,14.28,14.6895,68626.1333676464
