Date,Open,High,Low,Close,Volume
2024-01-02,5.76,5.94,5.75,5.85,101895
2024-01-03,5.8,5.96,5.8,5.86,115055
2024-01-04,5.91,6.08,5.84,5.9,252395
2024-01-05,5.9,6.03,5.73,5.94,261505
2024-01-08,6.0,6.11,5.9,6.06,159417
2024-01-09,6.05,6.1453,5.99,6.04,138651
2024-01-10,6.09,6.18,5.9612,6.1,171252
2024-01-11,6.13,6.2086,6.015,6.11,149876
2024-01-12,6.13,6.21,6.055,6.21,186997
2024-01-16,6.23,6.95,6.2,6.93,479912
2024-01-17,6.93,6.93,6.2801,6.36,262730
2024-01-18,6.38,6.4368,6.1216,6.24,167418
2024-01-19,6.29,6.48,6.14,6.48,153656
2024-01-22,6.53,6.87,6.4801,6.84,178822
2024-01-23,6.88,6.8984,6.59,6.59,126451
2024-01-24,6.65,6.66,6.5,6.53,80331
2024-01-25,6.46,6.55,6.386,6.52,108670
2024-01-26,6.57,6.64,6.43,6.47,69034
2024-01-29,6.49,6.6,6.4704,6.58,91268
2024-01-30,6.6,6.6,6.31,6.33,68212
2024-01-31,6.28,6.35,6.03,6.08,119681
2024-02-01,6.07,6.29,6.07,6.16,97396
2024-02-02,6.13,6.6,6.07,6.57,273942
2024-02-05,6.56,6.63,6.16,6.22,290460
2024-02-06,6.22,6.28,5.83,5.93,609680
2024-02-07,5.96,5.96,5.3001,5.83,464407
2024-02-08,5.85,5.97,5.67,5.81,423991
2024-02-09,4.78,5.0,3.86,3.92,2421700
2024-02-12,3.97,4.115,3.86,3.96,1078778
2024-02-13,3.87,3.965,3.77,3.88,753902
2024-02-14,4.0,4.3199,3.955,4.25,820197
2024-02-15,4.18,4.28,4.12,4.22,251930
2024-02-16,4.25,4.36,4.16,4.27,434942
2024-02-20,4.27,4.29,4.1,4.13,241636
2024-02-21,4.25,4.25,4.0201,4.07,208030
2024-02-22,4.07,4.1633,3.9601,4.04,224015
2024-02-23,4.08,4.17,3.99,4.09,160779
2024-02-26,4.09,4.2,4.05,4.11,182908
2024-02-27,4.11,4.16,4.08,4.11,205126
2024-02-28,4.12,4.14,3.95,4.05,226007
2024-02-29,3.93,4.08,3.93,4.05,456874
2024-03-01,4.09,4.15,4.0101,4.15,819028
2024-03-04,4.14,4.14,3.88,3.98,328417
2024-03-05,3.97,4.04,3.9,3.93,126500
2024-03-06,3.94,4.0,3.86,3.86,165706
2024-03-07,3.9,3.9699,3.86,3.91,163950
2024-03-08,3.91,3.95,3.77,3.81,252090
2024-03-11,3.78,3.93,3.53,3.755,429803
2024-03-12,3.79,3.825,3.6922,3.79,168355
2024-03-13,3.77,3.78,3.69,3.69,181971
2024-03-14,3.69,3.697,3.47,3.49,306502
2024-03-15,3.48,3.49,3.38,3.44,339442
2024-03-18,3.44,3.5305,3.4202,3.49,251543
2024-03-19,3.52,3.8,3.46,3.62,450775
2024-03-20,3.63,3.63,3.5,3.56,223057
2024-03-21,3.6,3.66,3.58,3.61,201006
2024-03-22,3.6,3.67,3.54,3.55,206830
2024-03-25,3.6,3.609,3.38,3.4,398509
2024-03-26,3.4,3.43,3.335,3.375,341002
2024-03-27,3.42,3.58,3.4,3.57,295607
2024-03-28,3.59,3.67,3.545,3.56,217177
2024-04-01,3.66,3.68,3.53,3.57,307425
2024-04-02,3.52,3.555,3.48,3.49,248657
2024-04-03,3.5,3.5231,3.285,3.36,443427
2024-04-04,3.38,3.4084,3.14,3.15,612616
2024-04-05,3.16,3.24,3.14,3.17,416159
2024-04-08,3.26,3.3,3.19,3.28,459495
2024-04-09,3.29,3.39,3.27,3.37,369461
2024-04-10,3.37,3.46,3.265,3.37,248041
2024-04-11,3.38,3.42,3.34,3.39,251928
2024-04-12,3.37,3.395,3.28,3.31,152004
2024-04-15,3.31,3.31,3.145,3.16,205741
2024-04-16,3.21,3.3174,3.135,3.23,225086
2024-04-17,3.24,3.24,3.11,3.11,178204
2024-04-18,3.12,3.16,3.0801,3.15,134694
2024-04-19,3.13,3.21,3.08,3.08,149461
2024-04-22,3.11,3.29,3.11,3.17,226364
2024-04-23,3.21,3.42,3.17,3.285,190395
2024-04-24,3.28,3.33,3.2,3.23,99780
2024-04-25,3.23,3.2401,3.18,3.2,117274
2024-04-26,3.2,3.32,3.17,3.27,136352
2024-04-29,3.32,3.53,3.32,3.46,484283
2024-04-30,3.81,4.05,3.68,3.76,709041
2024-05-01,3.72,3.82,3.52,3.69,470656
2024-05-02,3.73,3.73,3.5611,3.68,292454
2024-05-03,3.7,3.7,3.56,3.64,262437
2024-05-06,3.75,3.99,3.65,3.74,651258
2024-05-07,3.78,3.83,3.68,3.7,314108
2024-05-08,3.71,3.8,3.7,3.735,146749
2024-05-09,3.75,3.79,3.59,3.6,357851
2024-05-10,3.63,3.67,3.43,3.53,370716
2024-05-13,3.52,3.915,3.52,3.76,606965
2024-05-14,3.76,3.92,3.76,3.78,243274
2024-05-15,3.82,4.03,3.79,3.95,322758
2024-05-16,3.95,4.11,3.86,4.1,348921
2024-05-17,4.13,4.13,3.96,4.01,174470
2024-05-20,4.01,4.02,3.85,3.86,188247
2024-05-21,3.85,3.85,3.72,3.74,270248
2024-05-22,3.76,3.91,3.75,3.84,237070
2024-05-23,3.85,3.89,3.745,3.77,175837
2024-05-24,3.77,3.78,3.66,3.75,301442
2024-05-28,3.83,3.8999,3.71,3.74,280409
2024-05-29,3.71,3.87,3.68,3.77,215902
2024-05-30,3.78,3.9,3.695,3.87,221665
2024-05-31,3.89,3.99,3.8501,3.98,141834
2024-06-03,4.0,4.02,3.81,3.82,254916
2024-06-04,3.82,3.82,3.68,3.77,174502
2024-06-05,3.78,3.81,3.71,3.79,173334
2024-06-06,3.83,3.875,3.755,3.84,116266
2024-06-07,3.82,3.84,3.72,3.77,141052
2024-06-10,3.85,4.0,3.83,3.99,359632
2024-06-11,3.97,3.98,3.62,3.72,352997
2024-06-12,3.8,3.82,3.61,3.62,283161
2024-06-13,3.66,3.72,3.55,3.69,236604
2024-06-14,3.63,3.71,3.58,3.59,105195
2024-06-17,3.66,3.8,3.66,3.76,190967
2024-06-18,3.74,3.77,3.57,3.57,148462
2024-06-20,3.55,3.66,3.545,3.6,106608
2024-06-21,3.6,3.65,3.57,3.64,150415
2024-06-24,3.65,3.679,3.58,3.58,95627
2024-06-25,3.58,3.62,3.48,3.52,131922
2024-06-26,3.48,3.67,3.46,3.66,160491
2024-06-27,3.65,3.6994,3.54,3.56,170710
2024-06-28,3.58,3.62,3.53,3.55,388903
2024-07-01,3.55,3.65,3.52,3.61,290890
2024-07-02,3.61,3.63,3.55,3.6,171757
2024-07-03,3.61,3.7,3.61,3.61,68677
2024-07-05,3.62,3.665,3.53,3.58,121181
2024-07-08,3.58,3.685,3.58,3.67,219430
2024-07-09,3.68,3.71,3.62,3.64,230944
2024-07-10,3.62,3.79,3.62,3.75,169244
2024-07-11,3.76,3.8998,3.7427,3.8,186640
2024-07-12,3.8,3.86,3.71,3.73,190157
2024-07-15,3.75,3.897,3.74,3.79,175389
2024-07-16,3.81,4.02,3.81,3.93,278286
2024-07-17,3.87,3.91,3.77,3.84,231087
2024-07-18,3.84,3.99,3.8,3.87,226396
2024-07-19,3.88,3.9199,3.77,3.89,123128
2024-07-22,3.89,3.915,3.75,3.81,241885
2024-07-23,3.81,3.94,3.762,3.85,138060
2024-07-24,3.84,3.88,3.75,3.76,146372
2024-07-25,3.77,3.88,3.75,3.83,99032
2024-07-26,3.84,3.94,3.78,3.84,128686
2024-07-29,3.86,3.93,3.81,3.88,211812
2024-07-30,3.9,3.94,3.88,3.91,110677
2024-07-31,3.84,4.12,3.81,4.1,630604
