Date,Open,High,Low,Close,Volume
2024-01-02,2.2,2.2,1.86,2.08,228229
2024-01-03,1.98,2.0,1.86,1.88,155144
2024-01-04,1.86,1.95,1.86,1.89,118879
2024-01-05,1.91,1.96,1.8362,1.93,97203
2024-01-08,1.96,1.96,1.83,1.88,23947
2024-01-09,1.86,1.86,1.67,1.73,60210
2024-01-10,1.75,1.75,1.47,1.6,117324
2024-01-11,1.6,1.62,1.52,1.55,46981
2024-01-12,1.63,1.65,1.53,1.53,9884
2024-01-16,1.4456,1.5428,1.4456,1.49,3199
2024-01-17,1.49,1.69,1.45,1.58,15527
2024-01-18,1.57,1.68,1.55,1.65,3739
2024-01-19,1.6,1.6585,1.46,1.46,24748
2024-01-22,1.46,1.55,1.46,1.47,34424
2024-01-23,1.461,1.47,1.34,1.4,26209
2024-01-24,1.4,1.5299,1.4,1.5,30808
2024-01-25,1.58,1.585,1.5,1.55,45692
2024-01-26,1.55,1.5742,1.53,1.55,17548
2024-01-29,1.52,1.5338,1.44,1.4889,31478
2024-01-30,1.46,1.47,1.35,1.4,10664
2024-01-31,1.4,1.47,1.38,1.4,9051
2024-02-01,1.42,1.495,1.41,1.41,2001
2024-02-02,1.36,1.4,1.35,1.38,18666
2024-02-05,1.35,1.4,1.35,1.4,3544
2024-02-06,1.31,1.38,1.31,1.34,7732
2024-02-07,1.3458,1.3871,1.3458,1.37,3821
2024-02-08,1.38,1.4092,1.26,1.26,12763
2024-02-09,1.27,1.3399,1.27,1.32,8822
2024-02-12,1.28,1.4399,1.28,1.349,19039
2024-02-13,1.35,1.35,1.29,1.2901,7969
2024-02-14,1.31,1.4388,1.31,1.4195,4496
2024-02-15,1.45,1.4525,1.3914,1.4525,5060
2024-02-16,1.48,1.48,1.45,1.46,6009
2024-02-20,1.48,1.5999,1.47,1.59,24190
2024-02-21,1.6,1.92,1.6,1.8,105774
2024-02-22,1.87,1.87,1.715,1.8,24314
2024-02-23,1.73,1.86,1.72,1.84,13062
2024-02-26,1.82,1.83,1.75,1.75,13664
2024-02-27,1.76,1.84,1.76,1.78,21830
2024-02-28,1.9,1.9014,1.64,1.77,79876
2024-02-29,1.82,1.8222,1.75,1.8,22026
2024-03-01,1.77,1.77,1.71,1.71,1940
2024-03-04,1.7,1.86,1.7,1.78,36043
2024-03-05,1.74,1.86,1.7067,1.86,38955
2024-03-06,1.85,1.87,1.7079,1.8088,53258
2024-03-07,1.69,1.8004,1.5179,1.6701,14122
2024-03-08,1.56,1.7,1.56,1.6,13452
2024-03-11,1.74,1.812,1.68,1.7999,23789
2024-03-12,1.8,1.88,1.75,1.8,24659
2024-03-13,1.75,1.8,1.69,1.69,7190
2024-03-14,1.75,1.75,1.65,1.68,33008
2024-03-15,1.5308,1.793,1.5308,1.79,53314
2024-03-18,1.88,1.88,1.75,1.75,12144
2024-03-19,1.64,1.7,1.55,1.55,43593
2024-03-20,1.53,1.67,1.53,1.56,3947
2024-03-21,1.6,1.6998,1.46,1.48,35144
2024-03-22,1.57,1.57,1.47,1.47,9159
