Date,Open,High,Low,Close,Volume
2025-09-26,4.0,8.63,3.67,4.85,7979300
2025-09-29,3.8,4.0568,2.84,3.19,829901
2025-09-30,3.38,3.75,3.2,3.21,2197591
2025-10-01,2.98,3.19,2.91,3.1,297557
2025-10-02,3.05,3.6297,3.03,3.52,356364
2025-10-03,3.36,3.8163,3.34,3.36,236042
2025-10-06,3.19,3.24,2.7075,2.73,247193
2025-10-07,2.7,2.8,2.5,2.75,176700
2025-10-08,2.7,3.0,2.675541,2.98,115414
2025-10-09,3.02,3.02,2.75,2.88,311135
2025-10-10,2.88,2.93,2.62,2.645,142454
2025-10-13,2.74,2.74,2.525,2.6,84072
2025-10-14,2.56,2.62,2.37,2.51,49263
2025-10-15,2.44,2.6399,2.225,2.3,70336
2025-10-16,2.21,2.2698,2.0101,2.18,97698
2025-10-17,2.11,2.78,2.03,2.61,233060
2025-10-20,2.5,2.56,2.3456,2.41,86352
2025-10-21,2.42,2.45,2.2218,2.44,32106
2025-10-22,2.32,2.5899,2.0,2.14,4389221
2025-10-23,2.24,2.28,1.835,1.99,6959217
2025-10-24,1.76,1.88,1.6016,1.8,370233
2025-10-27,1.72,2.0637,1.72,1.9,181052
2025-10-28,1.85,1.92,1.77,1.86,84883
2025-10-29,1.76,1.85,1.73,1.76,74894
2025-10-30,1.72,1.79,1.62,1.63,73641
2025-10-31,1.65,1.79,1.64,1.71,34587
2025-11-03,1.6,1.7279,1.6,1.65,65885
2025-11-04,1.61,1.625,1.5,1.62,52274
2025-11-05,1.57,1.6423,1.5414,1.61,24752
2025-11-06,1.56,1.61,1.45,1.45,35099
2025-11-07,1.4,1.44,1.3,1.43,56582
2025-11-10,1.43,1.6,1.41,1.55,46601
2025-11-11,1.54,1.54,1.362,1.5,85964
2025-11-12,1.49,1.715,1.47,1.7,50224
2025-11-13,1.61,1.64,1.5,1.6,12716
2025-11-14,1.5366,1.5732,1.5,1.54,27539
2025-11-17,1.5,1.57,1.35,1.45,19871
2025-11-18,1.44,1.77,1.43,1.7298,131854
2025-11-19,1.68,1.68,1.5125,1.6,34241
2025-11-20,1.61,1.635,1.4,1.5,50494
2025-11-21,1.46,1.85,1.46,1.73,79681
2025-11-24,1.73,2.12,1.7,1.92,119075
2025-11-25,1.86,1.955,1.84,1.9,31269
2025-11-26,1.9,2.16,1.8518,2.0799,40625
2025-11-28,2.11,2.11,1.94,1.94,21605
2025-12-01,1.87,2.374,1.87,2.21,115544
2025-12-02,2.2509,2.26,2.0001,2.07,32415
2025-12-03,2.07,2.15,1.855,2.07,44312
2025-12-04,2.01,2.05,1.96,2.05,9150
2025-12-05,2.03,2.18,1.97,2.12,48328
2025-12-08,2.1,2.24,2.08,2.15,38014
2025-12-09,2.04,2.17,1.94,2.13,29234
2025-12-10,2.03,2.14,2.02,2.1,11988
2025-12-11,2.03,2.19,2.03,2.18,43176
2025-12-12,2.03,2.08,1.95,1.98,21049
2025-12-15,1.95,2.1005,1.835,2.07,40049
2025-12-16,1.95,1.97,1.851,1.89,13931
2025-12-17,1.87,1.87,1.61,1.75,41017
2025-12-18,1.75,1.9899,1.745,1.9,22969
2025-12-19,1.76,1.955,1.7501,1.9,33480
2025-12-22,1.9,1.9366,1.84,1.85,29900
2025-12-23,1.862,1.92,1.81,1.85,51954
2025-12-24,1.85,1.86,1.8,1.8,8453
2025-12-26,1.79,1.79,1.6505,1.67,7354
2025-12-29,1.67,1.67,1.5015,1.57,12920
2025-12-30,1.57,1.63,1.55,1.6,11394
2025-12-31,1.51,1.6155,1.51,1.54,6791
2026-01-02,1.52,1.7,1.52,1.66,181856
2026-01-05,1.57,1.605,1.445,1.59,129106
2026-01-06,1.67,2.15,1.5,1.52,392719
2026-01-07,1.5,1.555,1.4,1.5,36246
2026-01-08,1.5,1.65,1.5,1.64,24067
2026-01-09,1.8,1.98,1.7799,1.94,267210
2026-01-12,1.97,2.24,1.91,2.07,93150
2026-01-13,2.05,2.05,1.92,1.97,27120
2026-01-14,1.92,1.92,1.73,1.84,15635
2026-01-15,1.91,1.91,1.61,1.745,107654
2026-01-16,1.82,1.82,1.66,1.73,33662
2026-01-20,1.6964,1.8,1.63,1.725,73155
2026-01-21,1.73,1.9833,1.72,1.78,18873
2026-01-22,1.82,1.92,1.77,1.89,31260
2026-01-23,1.83,1.94,1.76,1.88,12316
2026-01-26,1.9,1.9106,1.83,1.88,16318
2026-01-27,1.88,1.885,1.7237,1.86,5441
2026-01-28,1.8145,1.825,1.702,1.71,6203
2026-01-29,1.7,1.79,1.6601,1.76,14758
2026-01-30,1.740756,1.765,1.69,1.69,5111
2026-02-02,1.8,1.89,1.7001,1.87,36169
2026-02-03,1.85,1.89,1.7,1.8399,21298
2026-02-04,1.8179,1.83,1.75,1.81,6459
2026-02-05,1.81,1.84,1.7116,1.83,13609
