Date,Open,High,Low,Close,Volume
2025-06-09,60.9,61.9,60.149,61.4,27445.9
2025-06-10,62.3,64.0,60.1,63.9,238060.8
2025-06-11,64.2,65.0,63.2,63.6,86765.0
2025-06-12,64.0,67.0,62.75,64.1,46314.600000000006
2025-06-13,64.0,65.0,63.2,64.4,31216.0
2025-06-16,64.4,66.6,63.7,64.5,30626.2
2025-06-17,64.1,69.2,63.7,67.6,260396.8
2025-06-18,67.1,68.8,66.5,68.8,32839.8
2025-06-20,69.0,70.7,67.3,70.5,59442.4
2025-06-23,70.3,70.5,66.1,70.0,157424.6
2025-06-24,69.8,73.5,67.8,68.0,106295.1
2025-06-25,68.3,70.745,67.5,70.5,91914.6
2025-06-26,69.8,72.0,68.1,69.5,70838.7
2025-06-27,70.1,72.9,68.5,70.6,71912.7
2025-06-30,70.0,70.4,50.4,66.2,75305.2
2025-07-01,67.3,67.5,62.5,66.0,55998.600000000006
2025-07-02,66.0,67.399,62.5,67.0,40657.9
2025-07-03,67.0,70.6,66.414,69.8,45397.7
2025-07-07,69.8,74.8,66.5,73.6,163472.2
2025-07-08,73.3,75.1,69.028,71.1,57179.100000000006
2025-07-09,72.0,73.5,69.956,72.1,16109.5
2025-07-10,73.5,73.5,70.5,71.2,13314.9
2025-07-11,71.2,71.9,67.823,71.4,26297.6
2025-07-14,70.6,72.5,68.0,71.0,183055.0
2025-07-15,71.7,72.4,61.1,72.0,131119.9
2025-07-16,71.6,72.0,67.1,68.6,84733.20000000001
2025-07-17,69.1,69.9,66.7,68.1,47921.3
2025-07-18,69.0,72.0,66.3,67.3,93014.4
2025-07-21,70.0,72.0,67.8,71.55,60238.600000000006
2025-07-22,72.6,76.6,72.6,74.0,187302.3
2025-07-23,74.8,75.895,73.5,74.6,40931.100000000006
2025-07-24,74.6,81.6,74.2,79.9,114382.2
2025-07-25,77.5,80.9,77.0,79.3,41877.8
2025-07-28,78.5,88.9,78.12,87.4,79642.6
2025-07-29,88.3,90.0,78.6,83.7,150939.4
2025-07-30,83.9,87.0,83.246,84.7,23259.5
2025-07-31,84.2,91.4,80.1,90.5,222465.8
2025-08-01,87.5,88.4,82.9,83.0,27323.1
2025-08-04,82.4,91.6,82.4,90.8,74981.8
2025-08-05,90.8,94.3,89.676,92.4,43671.4
2025-08-06,93.2,97.5,89.0,96.2,140946.9
2025-08-07,95.4,96.9,92.001,94.3,108686.1
2025-08-08,94.3,99.9,94.0,99.4,33413.700000000004
2025-08-11,97.0,97.0,83.0,84.7,209024.0
2025-08-12,82.5,83.5,38.1,56.6,288387.5
2025-08-13,54.6,67.8,46.601,63.2,91186.6
2025-08-14,65.5,79.9,65.5,79.7,55535.4
2025-08-15,81.6,82.5,75.7,76.4,28074.7
2025-08-18,78.1,79.3,72.2,79.3,12739.5
2025-08-19,79.0,88.8,72.29,74.2,70973.5
2025-08-20,74.5,85.7,74.5,85.4,27722.9
2025-08-21,85.4,91.599,80.0,90.8,30129.800000000003
2025-08-22,89.0,94.9,84.901,92.5,18668.6
2025-08-25,90.3,99.499,87.1,96.4,25157.4
2025-08-26,96.0,109.994,57.0,83.4,317837.30000000005
2025-08-27,85.6,95.0,76.4,80.4,74150.40000000001
2025-08-28,79.6,83.699,66.25,71.4,80454.6
2025-08-29,68.7,69.3,58.1,68.0,82733.1
2025-09-02,67.2,69.0,64.6,65.2,25715.2
2025-09-03,63.2,70.0,55.579,57.1,71199.0
2025-09-04,56.8,65.0,52.8,64.3,25567.2
