Date,Open,High,Low,Close,Volume
2025-06-09,1.42,1.42,1.28,1.29,316088
2025-06-10,1.29,1.3181,1.2,1.25,255167
2025-06-11,1.25,1.25,1.2089,1.21,65327
2025-06-12,1.21,1.26,1.21,1.24,70259
2025-06-13,1.23,1.28,1.2,1.21,79484
2025-06-16,1.24,1.255,1.21,1.25,79796
2025-06-17,1.25,1.28,1.2132,1.28,501803
2025-06-18,1.32,1.34,1.1901,1.23,385551
2025-06-20,1.28,1.28,1.2,1.22,85132
2025-06-23,1.22,1.22,1.15,1.165,131307
2025-06-24,1.17,1.3,1.17,1.29,196146
2025-06-25,1.28,1.29,1.22,1.25,196862
2025-06-26,1.24,1.28,1.205,1.21,161595
2025-06-27,1.22,1.25,1.22,1.245,76860
2025-06-30,1.25,1.26,1.18,1.21,519866
2025-07-01,1.2,1.22,1.18,1.21,125381
2025-07-02,1.2,1.25,1.2,1.24,15344489
2025-07-03,1.37,1.39,1.12,1.2,18912879
2025-07-07,1.18,1.28,1.13,1.15,3682509
2025-07-08,1.13,1.14,1.07,1.13,1781559
2025-07-09,1.12,1.225,1.0806,1.13,1583379
2025-07-10,1.13,1.23,1.125,1.2,1989910
2025-07-11,1.21,1.34,1.19,1.28,2296992
2025-07-14,1.29,1.68,1.28,1.54,11951427
2025-07-15,1.535,1.72,1.43,1.66,2883151
2025-07-16,1.68,1.905,1.66,1.87,2683725
2025-07-17,1.88,2.09,1.8701,2.02,2188302
2025-07-18,2.06,2.089,1.7603,1.8,2351525
2025-07-21,1.79,1.8764,1.65,1.68,1262416
2025-07-22,1.63,1.77,1.61,1.75,1075434
2025-07-23,1.742,1.8,1.66,1.8,502344
2025-07-24,1.78,1.8,1.71,1.74,453155
2025-07-25,1.79,1.79,1.72,1.73,406950
2025-07-28,1.72,1.75,1.6,1.72,980203
2025-07-29,1.77,1.77,1.63,1.66,920206
2025-07-30,1.65,1.73,1.64,1.67,436187
2025-07-31,1.67,1.7113,1.6266,1.65,246975
2025-08-01,1.65,1.65,1.53,1.54,348774
2025-08-04,1.55,1.5898,1.5262,1.57,150029
2025-08-05,1.55,1.57,1.5,1.53,202943
2025-08-06,1.52,1.5393,1.42,1.43,362355
2025-08-07,1.43,1.461007,1.37,1.37,376939
2025-08-08,1.37,1.4078,1.35,1.38,207590
2025-08-11,1.4,1.455,1.4,1.42,234949
2025-08-12,1.45,1.4999,1.38,1.47,373046
2025-08-13,1.44,1.5,1.44,1.49,212834
2025-08-14,1.48,1.4858,1.45,1.47,122641
2025-08-15,1.47,1.56,1.46,1.5,276713
2025-08-18,1.51,1.5355,1.46,1.48,108283
2025-08-19,1.49,1.5058,1.395,1.42,202788
2025-08-20,1.46,1.46,1.3601,1.42,170056
2025-08-21,1.37,1.4163,1.37,1.4,143920
2025-08-22,1.4,1.4554,1.39,1.43,171063
2025-08-25,1.43,1.44,1.39,1.42,142876
2025-08-26,1.4,1.42,1.39,1.39,167296
2025-08-27,1.39,1.3984,1.37,1.37,181589
2025-08-28,1.4,1.41,1.38,1.4,84970
2025-08-29,1.4098,1.4099,1.37,1.37,131636
2025-09-02,1.37,1.42,1.35,1.4,360808
2025-09-03,1.4,1.41,1.37,1.39,175363
2025-09-04,1.4,1.4,1.35,1.38,144655
2025-09-05,1.38,1.418,1.37,1.4,136322
2025-09-08,1.39,1.4099,1.37,1.38,126381
2025-09-09,1.38,1.41,1.37,1.41,98373
2025-09-10,1.41,1.58,1.41,1.52,414304
2025-09-11,1.55,1.68,1.55,1.66,571804
2025-09-12,1.72,1.72,1.4098,1.45,1159593
2025-09-15,1.46,1.47,1.36,1.38,8613916
2025-09-16,1.36,1.39,1.1936,1.31,2711119
2025-09-17,1.32,1.35,1.29,1.29,594175
2025-09-18,1.28,1.3146,1.26,1.27,360597
2025-09-19,1.29,1.29,1.24,1.25,395367
2025-09-22,1.28,1.38,1.25,1.33,809227
2025-09-23,1.33,1.3494,1.2801,1.3,172190
2025-09-24,1.31,1.37,1.29,1.35,316907
2025-09-25,1.35,1.3596,1.3,1.3,115888
2025-09-26,1.32,1.335,1.3,1.32,137973
2025-09-29,1.31,1.34,1.29,1.33,144836
2025-09-30,1.33,1.38,1.31,1.36,428579
2025-10-01,1.34,1.36,1.3,1.32,269675
2025-10-02,1.32,1.35,1.31,1.34,145468
2025-10-03,1.33,1.36,1.32,1.35,241932
2025-10-06,1.34,1.35,1.312,1.35,136027
2025-10-07,1.33,1.35,1.28,1.31,275050
2025-10-08,1.32,1.33,1.29,1.32,162687
2025-10-09,1.32,1.37,1.31,1.34,318403
2025-10-10,1.35,1.35,1.25,1.26,320994
2025-10-13,1.27,1.2999,1.26,1.285,201537
2025-10-14,1.27,1.33,1.25,1.31,134355
2025-10-15,1.33,1.345,1.3,1.32,46739538
2025-10-16,2.335,2.45,1.65,1.8,114201845
2025-10-17,1.69,1.83,1.35,1.62,5622426
2025-10-20,1.54,1.6,1.48,1.51,1500040
2025-10-21,1.51,1.55,1.44,1.45,1519751
2025-10-22,1.41,1.47,1.39,1.42,956786
2025-10-23,1.41,1.56,1.36,1.55,1158912
2025-10-24,1.6,1.6032,1.475,1.5,801795
2025-10-27,1.54,1.68,1.5002,1.67,1364579
2025-10-28,1.68,1.795,1.6301,1.7,1061627
2025-10-29,1.7,1.7,1.6,1.62,416946
2025-10-30,1.59,1.65,1.5706,1.65,229629
2025-10-31,1.63,1.69,1.592,1.67,303272
2025-11-03,1.65,1.75,1.59,1.7,555160
2025-11-04,1.69,1.725,1.56,1.57,437243
2025-11-05,1.55,1.5699,1.51,1.53,338191
2025-11-06,1.53,1.5585,1.43,1.44,208466
2025-11-07,1.43,1.4795,1.4,1.46,321894
2025-11-10,1.46,1.505,1.46,1.46,247700
2025-11-11,1.45,1.4753,1.4245,1.45,216414
2025-11-12,1.44,1.4691,1.41,1.43,255787
2025-11-13,1.39,1.425,1.33,1.34,618339
2025-11-14,1.27,1.45,1.27,1.38,403661
2025-11-17,1.33,1.39,1.31,1.36,233532
2025-11-18,1.34,1.4602,1.32,1.41,287800
2025-11-19,1.38,1.44,1.37,1.4,207932
2025-11-20,1.4,1.45,1.34,1.35,196578
2025-11-21,1.33,1.425,1.33,1.39,281295
2025-11-24,1.37,1.44,1.37,1.43,207809
2025-11-25,1.4,1.47,1.4,1.45,126141
2025-11-26,1.47,1.5,1.4345,1.47,184455
2025-11-28,1.48,1.5,1.45,1.48,124240
2025-12-01,1.44,1.47,1.39,1.4,152040
2025-12-02,1.4,1.47,1.4,1.44,211294
2025-12-03,1.44,1.4799,1.41,1.44,192720
2025-12-04,1.44,1.5,1.41,1.48,177276
2025-12-05,1.45,1.4999,1.44,1.46,160142
2025-12-08,1.47,1.47,1.41,1.44,178359
2025-12-09,1.44,1.46,1.4144,1.46,126096
2025-12-10,1.44,1.525,1.44,1.49,240007
2025-12-11,1.5,1.525,1.46,1.46,177606
2025-12-12,1.46,1.53,1.4507,1.49,328964
2025-12-15,1.48,1.52,1.44,1.44,210581
2025-12-16,1.45,1.5,1.45,1.45,226421
2025-12-17,1.45,1.55,1.45,1.48,418296
2025-12-18,1.49,1.68,1.49,1.61,653191
2025-12-19,1.63,1.69,1.61,1.63,926914
