Date,Open,High,Low,Close,Volume
2024-01-02,1.52,1.7,1.51,1.65,246018
2024-01-03,1.64,1.64,1.57,1.61,71141
2024-01-04,1.61,1.62,1.55,1.57,74849
2024-01-05,1.57,1.6,1.54,1.54,83527
2024-01-08,1.54,1.6025,1.54,1.565,18521
2024-01-09,1.55,1.57,1.52,1.53,49703
2024-01-10,1.53,1.54,1.45,1.495,94350
2024-01-11,1.43,1.51,1.43,1.46,78548
2024-01-12,1.5,1.56,1.49,1.5,99304
2024-01-16,1.5,1.56,1.5,1.52,27203
2024-01-17,1.52,1.53,1.49,1.5,36984
2024-01-18,1.53,1.5391,1.5103,1.52,17266
2024-01-19,1.51,1.52,1.48,1.5,11876
2024-01-22,1.5,1.52,1.47,1.5,43921
2024-01-23,1.5,1.53,1.48,1.48,11781
2024-01-24,1.5,1.5211,1.5,1.52,4235
2024-01-25,1.51,1.52,1.49,1.51,12152
2024-01-26,1.49,1.51,1.3,1.47,98046
2024-01-29,1.43,1.46,1.43,1.45,15480
2024-01-30,1.4481,1.45,1.41,1.41,22657
2024-01-31,1.41,1.45,1.4095,1.41,10451
2024-02-01,1.39,1.44,1.39,1.44,24121
2024-02-02,1.52,1.52,1.38,1.405,23773
2024-02-05,1.36,1.4,1.36,1.4,7294
2024-02-06,1.36,1.44,1.36,1.44,29329
2024-02-07,1.42,1.42,1.37,1.4,28875
2024-02-08,1.38,1.4,1.37,1.4,24077
2024-02-09,1.42,1.42,1.38,1.415,11247
2024-02-12,1.39,1.399,1.3454,1.36,47586
2024-02-13,1.37,1.38,1.33,1.35,49528
2024-02-14,1.31,1.4,1.31,1.38,56123
2024-02-15,1.38,1.41,1.32,1.35,158476
2024-02-16,1.36,1.4,1.2901,1.36,476935
2024-02-20,1.29,1.38,1.29,1.37,87119
2024-02-21,1.36,1.36,1.32,1.35,61993
2024-02-22,1.33,1.35,1.3,1.33,17864
2024-02-23,1.29,1.31,1.26,1.28,116816
2024-02-26,1.27,1.3,1.26,1.3,38553
2024-02-27,1.29,1.33,1.26,1.29,69840
2024-02-28,1.29,1.3792,1.29,1.36,46300
2024-02-29,1.37,1.37,1.31,1.35,21178
2024-03-01,1.36,1.39,1.33,1.35,80870
2024-03-04,1.38,1.42,1.372,1.38,15031
2024-03-05,1.41,1.42,1.38,1.41,30426
2024-03-06,1.38,1.41,1.34,1.38,19860
2024-03-07,1.34,1.397,1.33,1.33,19073
2024-03-08,1.31,1.43,1.31,1.4,51012
2024-03-11,1.39,1.43,1.3708,1.38,22325
2024-03-12,1.41,1.4399,1.39,1.4,33702
2024-03-13,1.39,1.44,1.35,1.35,34358
2024-03-14,1.3532,1.42,1.3532,1.36,17071
2024-03-15,1.36,1.37,1.3,1.3,74823
2024-03-18,1.31,1.42,1.31,1.35,37211
2024-03-19,1.405,1.405,1.32,1.32,11288
2024-03-20,1.33,1.4,1.33,1.38,34213
2024-03-21,1.4172,1.455,1.41,1.42,82754
2024-03-22,1.45,1.45,1.38,1.39,31908
2024-03-25,1.42,1.44,1.37,1.38,23572
2024-03-26,1.43,1.43,1.36,1.36,67515
2024-03-27,1.39,1.47,1.38,1.47,264298
2024-03-28,1.45,1.5,1.45,1.45,62995
2024-04-01,1.45,1.51,1.45,1.47,51807
2024-04-02,1.45,1.49,1.42,1.49,48962
2024-04-03,1.52,1.59,1.5,1.52,106993
2024-04-04,1.52,1.55,1.46,1.46,62730
2024-04-05,1.47,1.53,1.47,1.49,53258
2024-04-08,1.49,1.5282,1.49,1.49,26869
2024-04-09,1.49,1.54,1.49,1.49,16441
2024-04-10,1.5,1.57,1.49,1.52,19852
2024-04-11,1.56,1.59,1.53,1.56,23626
2024-04-12,1.6,1.6399,1.54,1.57,57720
2024-04-15,1.59,1.59,1.52,1.54,17020
2024-04-16,1.51,1.52,1.4803,1.52,24150
2024-04-17,1.46,1.48,1.42,1.43,40611
2024-04-18,1.42,1.5045,1.4,1.4,21358
2024-04-19,1.4,1.41,1.39,1.39,17687
2024-04-22,1.41,1.41,1.3,1.34,16822
2024-04-23,1.35,1.38,1.33,1.33,9433
2024-04-24,1.32,1.39,1.32,1.355,8032
2024-04-25,1.37,1.37,1.32,1.32,4466
2024-04-26,1.36,1.36,1.3,1.31,6519
2024-04-29,1.28,1.34,1.28,1.29,14478
2024-04-30,1.31,1.31,1.28,1.29,21881
2024-05-01,1.3213,1.3292,1.29,1.29,4984
2024-05-02,1.34,1.38,1.31,1.38,19794
2024-05-03,1.373,1.373,1.2901,1.31,19992
2024-05-06,1.31,1.38,1.31,1.32,15765
2024-05-07,1.34,1.4,1.33,1.33,40239
2024-05-08,1.35,1.42,1.35,1.35,10693
2024-05-09,1.38,1.49,1.38,1.46,47928
2024-05-10,1.48,1.55,1.4622,1.53,30504
2024-05-13,1.53,1.54,1.4801,1.52,35710
2024-05-14,1.53,1.53,1.45,1.48,41803
2024-05-15,1.47,1.49,1.46,1.49,3473
2024-05-16,1.47,1.47,1.3867,1.43,12450
2024-05-17,1.4,1.45,1.35,1.42,8950
2024-05-20,1.42,1.42,1.35,1.37,17832
2024-05-21,1.37,1.46,1.37,1.39,20078
2024-05-22,1.39,1.44,1.37,1.3944,2855
2024-05-23,1.38,1.39,1.35,1.35,5811
2024-05-24,1.34,1.36,1.32,1.34,6329
2024-05-28,1.32,1.38,1.3,1.3206,56975
2024-05-29,1.33,1.36,1.31,1.35,14102
2024-05-30,1.39,1.39,1.33,1.33,13996
