Date,Open,High,Low,Close,Volume
2025-06-09,7.0,7.399,6.6,6.855,11770.800000000005
2025-06-10,6.7,6.9,6.5,6.6,14309.4
2025-06-11,6.5,6.708,6.2,6.349,14119.2
2025-06-12,6.489,6.65,5.9,6.65,23792.800000000003
2025-06-13,6.451,6.932,6.451,6.8,23337.0
2025-06-16,6.8,8.5,6.78,7.37,58636.8
2025-06-17,8.2,9.299,7.45,7.663,71112.1
2025-06-18,7.5,8.2,7.5,7.9,15892.4
2025-06-20,7.8,8.4,7.131,7.131,28544.5
2025-06-23,7.1,7.49,6.887,6.887,15462.9
2025-06-24,6.704,7.25,6.704,6.732,16327.3
2025-06-25,6.919,7.214,6.41,6.71,24168.9
2025-06-26,7.055,7.5,6.713,7.43,23482.2
2025-06-27,7.5,8.4,7.201,7.61,32644.4
2025-06-30,8.19,8.413,7.6,7.653,19204.8
2025-07-01,7.661,8.118,7.2,7.898,21322.300000000003
2025-07-02,7.989,8.0,7.368,7.53,11243.2
2025-07-03,7.55,7.93,7.54,7.54,12503.800000000005
2025-07-07,7.5,7.7,7.2,7.33,17102.600000000002
2025-07-08,7.566,7.912,7.407,7.51,14967.6
2025-07-09,7.9,8.1,7.7,7.99,24169.10000000001
2025-07-10,8.1,8.4,7.908,8.198,13328.7
2025-07-11,8.4,8.75,7.899,8.23,23447.9
2025-07-14,8.145,8.4,7.735,7.985,10095.1
2025-07-15,8.213,8.27749,7.6,7.78,13098.800000000005
2025-07-16,7.687,8.04,7.6,7.67,8723.7
2025-07-17,7.711,8.451,7.6,8.02,49799.70000000001
2025-07-18,8.7,10.397,8.4,8.61,148939.6
2025-07-21,9.7,13.5,9.696,11.8,518279.4
2025-07-22,11.7,12.499,10.7,11.5,88054.1
2025-07-23,11.4,13.5,11.3,11.9,129568.7
2025-07-24,12.5,12.5,11.2,11.4,42921.0
2025-07-25,11.2,11.5,9.8,10.7,47912.20000000001
2025-07-28,10.9,11.1,10.2,10.5,19056.9
2025-07-29,10.6,10.849,9.42,9.75,37909.4
2025-07-30,9.5,9.8,9.401,9.591,11710.1
2025-07-31,9.5,10.0,8.46,8.83,22326.60000000001
2025-08-01,8.565,8.665,8.0,8.189,21983.2
2025-08-04,8.55,9.1,8.083,8.198,26649.9
2025-08-05,8.1,8.55,7.754,8.28,17378.7
2025-08-06,8.4,8.55,7.91,8.189,17975.600000000002
2025-08-07,8.14,8.7,8.0904,8.7,12919.5
2025-08-08,8.7,9.7,8.6,9.57,16499.8
2025-08-11,9.386,9.9,8.748,9.098,24115.10000000001
2025-08-12,8.8,9.0,8.391,8.549,31246.5
2025-08-13,8.7,9.128,8.4,8.861,28764.800000000003
2025-08-14,8.713,9.0,8.501,8.99,17964.5
2025-08-15,9.0,9.5,9.0,9.5,20192.9
2025-08-18,9.4,9.9,8.884,9.079,15850.5
2025-08-19,9.22,9.45,8.325,8.9,15137.5
2025-08-20,8.6,8.764,7.92,8.301,24131.10000000001
2025-08-21,8.21,8.934,8.2,8.704,17883.8
2025-08-22,8.7,8.99999,8.15,8.41,18950.2
2025-08-25,8.5,9.376,8.4,8.738,53983.8
2025-08-26,8.735,10.7,8.7,9.4,138011.1
2025-08-27,9.8,10.3,9.4,9.5,46257.5
2025-08-28,10.0,13.5,10.0,11.0,796447.0
2025-08-29,11.2,12.2,10.6,11.8,195929.5
2025-09-02,13.5,14.4,11.9,12.1,503304.6
2025-09-03,11.0,12.1,10.0,10.75,341603.0
2025-09-04,11.1,12.2,10.5,10.6,377348.3000000001
2025-09-05,11.2,11.5,10.3,10.6,209709.9
2025-09-08,10.7,11.9,10.2,11.2,197921.4
2025-09-09,11.2,11.399,10.0,10.2,125036.1
2025-09-10,10.2,10.7,10.1,10.4,100758.2
2025-09-11,10.2,10.699,10.1,10.3,81772.1
2025-09-12,10.2,10.4,9.18,9.25,165315.1
2025-09-15,9.416,9.761,8.601,8.845,105443.7
2025-09-16,8.9,8.9,7.6,8.572,150502.7
2025-09-17,8.46,9.075,8.35,8.899,39746.100000000006
2025-09-18,8.81,9.1,8.595,8.989,65061.2
2025-09-19,8.8,9.4,8.7,9.333,66184.8
2025-09-22,9.4,9.5,8.918,9.4,42222.9
2025-09-23,9.3,9.9,8.7,9.268,41303.100000000006
2025-09-24,8.8,9.4,8.406,8.51,55229.7
2025-09-25,8.511,8.59,8.044,8.045,41822.8
2025-09-26,8.685,8.78,8.099,8.325,20046.800000000003
2025-09-29,8.4,8.72,8.006,8.197,34762.1
2025-09-30,8.659,8.715,7.9,8.061,83340.8
2025-10-01,8.1,8.659,8.0,8.659,56999.4
2025-10-02,8.7,9.742,8.5,8.981,158045.6
2025-10-03,9.64,11.2,9.129,9.35,1323853.9000000004
2025-10-06,10.2,11.2,10.0,11.0,718184.6000000001
2025-10-07,10.95,11.2,9.5,10.1,368553.9
2025-10-08,10.1,10.1,9.0,9.16,209402.7
2025-10-09,9.089,9.764,9.05,9.124,116077.2
2025-10-10,9.011,9.3,8.364,8.57,147890.30000000002
2025-10-13,8.4,9.06638,8.306,8.758,80458.90000000002
2025-10-14,8.5,8.75,8.115,8.57,85725.3
2025-10-15,8.53,9.493,8.53,8.932,129207.2
2025-10-16,9.328,9.359,8.115,8.183,113351.8
2025-10-17,8.348,8.70799,8.019,8.344,110616.2
2025-10-20,8.79,8.8,8.171,8.269,56280.7
2025-10-21,8.1,8.276,7.8,7.933,104748.0
2025-10-22,8.202,8.295,7.526,8.065,265835.4
2025-10-23,8.2,8.2,7.79,8.001,93444.90000000002
2025-10-24,8.054,8.5,7.99901,8.266,123395.9
2025-10-27,8.3,8.467,7.6,7.737,137012.30000000002
2025-10-28,7.95,7.95,7.1,7.34,181836.1
2025-10-29,7.05,7.21,6.501,6.59,155535.80000000002
2025-10-30,6.784,7.5,6.7,6.929,206987.9
2025-10-31,7.1,7.25449,6.685,6.822,144198.2
2025-11-03,7.15,7.2,6.67,6.76,206959.0
2025-11-04,7.5,8.299,7.2,7.694,767750.6000000001
2025-11-05,8.0,8.088,6.8,6.95,394647.9
2025-11-06,7.1,7.1,6.6,6.606,136950.4
2025-11-07,6.745,6.753,6.02301,6.382,156575.9
2025-11-10,6.605,6.66199,6.25,6.378,102803.40000000002
2025-11-11,6.551,7.049,6.25,6.752,302772.60000000003
2025-11-12,7.218,7.218,6.313,6.414,202801.4
2025-11-13,6.3,6.49,5.77,5.964,162521.2
2025-11-14,5.651,5.95499,5.611,5.796,97540.5
2025-11-17,5.71,5.778,4.6,4.795,222145.5
2025-11-18,4.75,5.3,4.603,5.132,109865.0
2025-11-19,5.45,5.469,4.75,4.84,81215.0
2025-11-20,4.9,5.19799,4.3,4.426,98426.3
2025-11-21,4.261,4.595,4.0,4.595,112286.4
2025-11-24,4.488,4.696,4.331,4.542,44559.100000000006
2025-11-25,4.5,4.5459,4.28,4.524,31885.2
2025-11-26,4.6,4.889,4.532,4.75,36433.0
2025-11-28,4.797,5.0,4.501,4.588,39006.3
2025-12-01,4.649,4.953,4.303,4.499,114602.4
2025-12-02,4.8,4.84,4.459,4.667,77628.6
2025-12-03,4.625,5.2,4.556,5.19,113129.9
2025-12-04,5.053,5.465,4.828,5.421,107180.2
2025-12-05,5.644,5.75,5.341,5.438,59770.600000000006
2025-12-08,5.499,5.853,5.2,5.4,66744.0
2025-12-09,5.3,5.7,5.22101,5.7,45746.8
2025-12-10,5.4,5.70699,5.225,5.327,43212.600000000006
2025-12-11,5.227,6.149,5.227,5.801,282954.0
2025-12-12,5.927,5.976,5.24,5.395,100937.6
2025-12-15,5.3,5.501,4.805,4.933,67130.6
2025-12-16,4.801,4.951,4.65,4.686,73898.2
2025-12-17,4.6,4.712,4.213,4.416,106515.0
2025-12-18,4.3,4.63,3.878,3.923,157840.80000000005
2025-12-19,3.88,4.1969,3.72,3.769,177775.1
2025-12-22,3.69,4.215,3.605,3.785,167992.6
2025-12-23,3.701,3.85051,3.5,3.658,103198.1
2025-12-24,3.446,3.65,3.306,3.478,126786.7
2025-12-26,3.2,3.569,3.2,3.569,109168.8
2025-12-29,3.364,3.8,3.364,3.71,136609.0
2025-12-30,3.62,3.7,3.15,3.16,206762.0
2025-12-31,3.1,3.158,2.6,2.673,272578.2
2026-01-02,2.71,2.833,2.653,2.7,151149.9
2026-01-05,3.97,4.039,3.018,3.281,19608441.0
2026-01-06,2.062,2.165,1.701,1.965,6760985.9
2026-01-07,2.045,2.58,1.965,2.442,4128603.3
2026-01-08,2.5,2.7,2.124,2.698,1936871.7
2026-01-09,2.628,2.733,2.311,2.409,970357.9
2026-01-12,2.5,2.775,2.1,2.573,1077596.5
2026-01-13,2.581,2.665,2.4,2.4,682870.6000000001
2026-01-14,2.218,2.366,2.149,2.254,544999.9
2026-01-15,2.3,2.3255,2.163,2.221,322295.2
2026-01-16,2.248,2.45,2.208,2.368,467177.2
2026-01-20,2.368,2.368,2.09901,2.21,602986.5
2026-01-21,2.24,2.428,2.227,2.292,480738.5
2026-01-22,2.377,2.45,2.2,2.284,536537.5
2026-01-23,2.245,2.35,2.1945,2.21,346144.5
2026-01-26,2.25,2.339,2.137,2.261,481351.6
2026-01-27,2.288,2.288,2.2,2.23,317750.4
2026-01-28,2.29,2.35,2.245,2.301,291826.8
2026-01-29,2.28,2.29,2.1255,2.16,312140.4
2026-01-30,2.19,2.19,1.9555,1.988,623552.4
2026-02-02,1.963,1.963,1.811,1.88,403647.2
2026-02-03,1.94,1.94,1.797,1.829,197338.2
2026-02-04,3.158,3.372,2.112,2.31,42271040.80000001
2026-02-05,2.25,2.59,2.006,2.394,2945559.8000000007
2026-02-06,2.24,2.455,2.109,2.4,894990.6000000001
2026-02-09,2.302,2.32,2.107,2.292,602939.4
2026-02-10,2.23,2.25,2.018,2.196,378840.0
2026-02-11,2.168,2.179,1.937,2.1,338969.5
2026-02-12,2.07,2.089,1.89,1.943,333215.4
2026-02-13,1.932,2.0,1.833,1.941,361280.5
2026-02-17,1.89,1.91099,1.305,1.46,709414.1000000001
2026-02-18,1.475,1.69,1.46,1.657,332520.9
2026-02-19,1.657,1.82,1.535,1.78,311185.5
2026-02-20,1.75,1.884,1.673,1.71,243656.2
2026-02-23,1.693,1.693,1.555,1.555,150651.9
2026-02-24,1.49,1.63201,1.45,1.553,168231.7
2026-02-25,1.58,1.75,1.52,1.7,199980.0
2026-02-26,1.704,1.704,1.586,1.653,142589.4
2026-02-27,1.6365,1.812,1.6105,1.65,252833.7
2026-03-02,1.66,1.875,1.611,1.77,366767.7
2026-03-03,4.578,12.395,3.85,11.2,138633131.3
2026-03-04,12.2,12.2,7.6,8.18524,45407086.900000006
2026-03-05,9.999,11.2,8.379,8.6925,34587834.800000004
2026-03-06,10.3,13.3,8.86,10.3,28770179.700000003
2026-03-09,10.2,10.3,8.002,8.103,8364048.7
2026-03-10,8.0,9.1,7.306,7.551,5960826.7
2026-03-11,7.59,7.772,6.5,6.715,4915286.8
2026-03-12,6.813,8.37,6.801,7.301,6008442.2
2026-03-13,6.978,7.02,6.225,6.302,2287878.2
2026-03-16,6.2,6.299,5.175,5.707,2752093.2
2026-03-17,5.14,5.53,4.988,5.116,1473500.6
2026-03-18,5.01,5.49,4.58,4.592,1673291.7000000002
2026-03-19,6.0,6.897,5.327,5.64,28532518.3
2026-03-20,5.381,5.394,4.778,4.817,2521919.9000000004
2026-03-23,5.0,5.299,4.9,5.042,1836746.1
2026-03-24,5.0,5.03,4.3295,4.588,2108293.9
2026-03-25,4.2,4.528,4.129,4.4,977989.9
2026-03-26,4.004,4.2,3.71,3.831,1200057.8
2026-03-27,3.62,3.9799,3.3995,3.783,776165.9
2026-03-30,3.708,3.75,3.3,3.406,535669.4
2026-03-31,3.385,3.66,3.2995,3.341,870938.8
2026-04-01,3.298,3.339,2.777,2.796,1035590.3
2026-04-02,2.66,3.615,2.55,3.604,5134139.1000000015
2026-04-06,3.891,3.999,3.24,3.5,3409973.4000000004
2026-04-07,3.7,3.87,3.27,3.35,2014896.0
2026-04-08,3.22,3.31,2.66,3.04,1701955.0
2026-04-09,2.89,2.9563,2.56,2.67,766814.0
2026-04-10,2.63,2.7,2.22,2.41,1034448.0
2026-04-13,2.4,2.745,2.22,2.72,943054.0
2026-04-14,2.63,2.71,2.44,2.63,641054.0
2026-04-15,2.63,2.94,2.5,2.89,757873.0
2026-04-16,2.83,2.85,2.64,2.75,595527.0
2026-04-17,2.67,2.72,2.54,2.55,282323.0
2026-04-20,2.57,2.94,2.4401,2.82,671731.0
2026-04-21,2.8,3.2254,2.7,3.07,1170826.0
2026-04-22,3.14,3.2799,2.84,2.93,1006570.0
2026-04-23,2.86,2.92,2.6309,2.74,505219.0
2026-04-24,2.72,3.02,2.71,2.92,366372.0
2026-04-27,2.95,3.0413,2.78,2.81,322660.0
2026-04-28,2.64,2.675,2.41,2.54,699419.0
2026-04-29,2.5,2.5,2.38,2.41,338002.0
2026-04-30,2.4,2.51,2.26,2.42,453248.0
2026-05-01,2.37,2.5,2.32,2.33,486319.0
2026-05-04,2.34,2.48,2.3107,2.33,312043.0
2026-05-05,2.38,2.44,2.3,2.34,279260.0
2026-05-06,2.32,2.36,2.11,2.21,506530.0
2026-05-07,2.2,2.2799,2.08,2.14,454164.0
2026-05-08,2.12,2.18,1.95,2.0,682327.0
2026-05-11,1.94,2.34,1.94,2.24,1184268.0
2026-05-12,2.2,2.42,1.875,1.93,4287021.0
2026-05-13,1.955,1.97,1.695,1.74,1140926.0
2026-05-14,2.92,4.25,2.48,3.11,158810953.0
2026-05-15,2.57,2.74,2.15,2.25,8331496.0
2026-05-18,2.4,2.52,2.14,2.48,2964338.0
2026-05-19,2.235,2.56,2.14,2.16,2052833.0
2026-05-20,2.16,2.2352,2.04,2.04,1221122.0
2026-05-21,2.0,2.0,1.75,1.9,2087099.0
2026-05-22,1.870000004768372,2.200000047683716,1.8600000143051147,2.140000104904175,1435300.0
2026-05-26,2.1600000858306885,2.3550000190734863,2.109999895095825,2.190000057220459,1600000.0
2026-05-27,2.220000028610229,2.3499999046325684,2.140000104904175,2.25,1648300.0
2026-05-28,2.240000009536743,2.515000104904175,2.200000047683716,2.430000066757202,1757400.0
2026-05-29,2.450000047683716,2.4800000190734863,2.309999942779541,2.400000095367432,672500.0
2026-06-01,2.3499999046325684,2.549999952316284,2.309999942779541,2.319999933242798,757700.0
2026-06-02,2.2799999713897705,2.470000028610229,2.25,2.4100000858306885,891500.0
2026-06-03,2.3499999046325684,2.3989999294281006,2.2300000190734863,2.2300000190734863,801900.0
2026-06-04,3.0199999809265137,3.059999942779541,2.1549999713897705,2.2100000381469727,45862700.0
2026-06-05,2.1600000858306885,2.299999952316284,2.065000057220459,2.1600000858306885,2933600.0
2026-06-08,2.130000114440918,2.450000047683716,2.0999999046325684,2.309999942779541,2066500.0
2026-06-09,2.2799999713897705,2.4600000381469727,2.1700000762939453,2.2699999809265137,1219800.0
2026-06-10,2.2799999713897705,2.3299999237060547,2.1449999809265137,2.220000028610229,642600.0
2026-06-11,2.190000057220459,2.190000057220459,2.0350000858306885,2.150000095367432,721400.0
2026-06-12,2.119999885559082,2.130000114440918,1.940000057220459,1.9800000190734863,1006300.0
2026-06-15,2.0,2.0350000858306885,1.9199999570846558,1.9700000286102295,665200.0
2026-06-16,1.9199999570846558,2.1700000762939453,1.850000023841858,2.0999999046325684,1319800.0
2026-06-17,2.049999952316284,2.140000104904175,2.009999990463257,2.0299999713897705,445100.0
2026-06-18,2.0399999618530273,2.180000066757202,2.0299999713897705,2.0999999046325684,697300.0
2026-06-22,2.0299999713897705,2.0859999656677246,1.899999976158142,1.9850000143051147,947100.0
2026-06-23,1.899999976158142,2.0350000858306885,1.899999976158142,1.9500000476837158,231300.0
2026-06-24,1.9700000286102295,2.009999990463257,1.9220000505447388,1.9600000381469727,506500.0
2026-06-25,1.9800000190734863,1.9900000095367432,1.840000033378601,1.9299999475479126,454500.0
2026-06-26,1.899999976158142,2.0350000858306885,1.899999976158142,2.0299999713897705,633000.0
2026-06-29,1.9800000190734863,2.0199999809265137,1.8799999952316284,2.009999990463257,380500.0
