Date,Open,High,Low,Close,Volume
2024-01-02,3.01,3.08,2.575,2.915,35766.0
2024-01-03,2.63,2.76,2.63,2.76,2404.0
2024-01-04,2.81,2.81,2.7,2.765,8781.0
2024-01-05,2.7582,2.84,2.6335,2.71,2842.0
2024-01-08,2.77,2.9599,2.6352,2.865,6490.0
2024-01-09,2.8,3.0352,2.7,3.0352,3015.0
2024-01-10,3.11,3.11,2.73,2.83,10233.0
2024-01-11,2.84,2.84,2.64,2.75,15464.0
2024-01-12,2.5821,2.78,2.56,2.78,8172.0
2024-01-16,2.6,3.05,2.59,2.77,3685.0
2024-01-17,2.5641,2.625,2.5,2.5,8205.0
2024-01-18,2.5,2.59,2.41,2.5,13859.0
2024-01-19,2.62,2.74,2.5,2.5,6887.0
2024-01-22,2.74,2.74,2.62,2.645,3854.0
2024-01-23,2.74,2.87,2.54,2.7591,3398.0
2024-01-24,2.6,2.8823,2.5,2.7313,10107.0
2024-01-25,2.5,2.705,2.4,2.69,15725.0
2024-01-26,2.67,2.8556,2.5073,2.565,3889.0
2024-01-29,2.5,2.6,2.5,2.5801,1800.0
2024-01-30,2.48,2.82,2.42,2.44,11094.0
2024-01-31,2.7177,2.7469,2.42,2.451,6719.0
2024-02-01,2.5,2.55,2.5,2.55,2999.0
2024-02-02,2.66,2.68,2.48,2.5,2512.0
2024-02-05,2.56,2.58,2.4268,2.58,2197.0
2024-02-06,2.84,2.84,2.43,2.46,2650.0
2024-02-07,2.83,2.83,2.32,2.55,27446.0
2024-02-08,2.45,2.6,2.3,2.33,29955.0
2024-02-09,2.3104,2.33,2.275,2.33,19458.0
2024-02-12,2.48,2.48,2.25,2.31,24761.0
2024-02-13,2.4,2.4,2.25,2.27,8350.0
2024-02-14,2.25,2.31,2.23,2.29,15962.0
2024-02-15,2.4,3.05,2.295,2.57,116714.0
2024-02-16,2.63,2.8457,2.52,2.54,8410.0
2024-02-20,2.59,3.0,2.56,2.6,65185.0
2024-02-21,2.62,2.87,2.61,2.77,10449.0
2024-02-22,2.67,2.71,2.52,2.5901,14988.0
2024-02-23,2.73,2.74,2.36,2.41,19582.0
2024-02-26,2.39,2.4402,2.39,2.43,5566.0
2024-02-27,2.35,2.527,2.2301,2.3297,33070.0
