Date,Open,High,Low,Close,Volume
2025-06-09,2.4,2.55,2.36,2.45,43462
2025-06-10,2.4051,2.5848,2.39,2.5848,31226
2025-06-11,2.59,2.59,2.46,2.525,25468
2025-06-12,2.45,2.75,2.39,2.5,141540
2025-06-13,2.72,3.14,2.45,3.06,942301
2025-06-16,3.15,3.1791,2.65,2.99,337185
2025-06-17,2.865,3.21,2.7,2.84,177897
2025-06-18,2.99,3.015,2.7005,2.93,134428
2025-06-20,3.03,3.7824,2.78,3.43,453777
2025-06-23,3.45,3.56,2.9,3.055,230890
2025-06-24,2.95,3.3299,2.75,2.81,180497
2025-06-25,2.87,3.02,2.65,2.81,155037
2025-06-26,2.81,3.0391,2.8,2.98,59710
2025-06-27,2.99,3.32,2.95,3.15,116047
2025-06-30,3.16,3.2128,2.979,3.2,51794
2025-07-01,3.25,3.4399,3.15,3.21,90156
2025-07-02,3.1226,3.19,3.01,3.19,23319
2025-07-03,3.1,3.1394,3.01,3.02,13082
2025-07-07,3.01,3.2166,3.0,3.17,56344
2025-07-08,3.22,3.28,3.181,3.27,35524
2025-07-09,3.25,3.33,3.2004,3.33,47506
2025-07-10,3.36,3.42,3.26,3.36,50515
2025-07-11,3.4,3.4199,3.245,3.26,54458
2025-07-14,3.3,3.54,3.2101,3.46,73617
2025-07-15,3.44,3.59,3.14,3.37,103511
2025-07-16,3.33,3.56,3.27,3.38,55862
2025-07-17,3.42,3.4772,3.31,3.4,44914
2025-07-18,3.35,3.56,3.33,3.45,30899
2025-07-21,3.46,3.56,3.36,3.46,59605
2025-07-22,3.46,3.46,3.34,3.36,17683
2025-07-23,3.35,3.49,3.3,3.37,85785
2025-07-24,3.37,3.48,3.31,3.39,26069
2025-07-25,3.39,3.446,3.3,3.315,12636
2025-07-28,3.29,3.44,3.12,3.21,91061
2025-07-29,3.16,3.28,3.11,3.12,28992
2025-07-30,3.13,3.2,2.97,3.02,51329
2025-07-31,3.02,3.165,2.85,2.875,60462
2025-08-01,2.82,2.895,2.57,2.68,48818
2025-08-04,2.7,2.84,2.65,2.68,39096
2025-08-05,2.7,2.87,2.55,2.69,91867
2025-08-06,2.68,2.77,2.6,2.6,24575
2025-08-07,2.55,2.7763,2.55,2.65,44082
2025-08-08,2.66,2.72,2.65,2.65,11136
2025-08-11,2.64,2.7,2.35,2.3539,119186
2025-08-12,2.32,2.6,2.32,2.5,16323
2025-08-13,2.46,2.59,2.4001,2.5614,48816
2025-08-14,2.55,2.55,2.37,2.41,22168
