Date,Open,High,Low,Close,Volume
2025-06-09,5.19,5.37,5.15,5.19,2157587
2025-06-10,5.19,5.32,5.095,5.23,1668292
2025-06-11,5.27,5.34,5.055,5.18,1236235
2025-06-12,5.14,5.26,5.06,5.19,1247664
2025-06-13,5.15,5.2,5.03,5.03,1304023
2025-06-16,5.04,5.08,4.855,4.92,1673821
2025-06-17,4.9,5.24,4.78,4.98,1908731
2025-06-18,4.96,5.29,4.91,5.07,1987468
2025-06-20,5.14,5.14,4.9,4.92,3159244
2025-06-23,4.86,4.95,4.76,4.86,1282477
2025-06-24,4.93,5.1,4.93,5.05,1222781
2025-06-25,5.03,5.2,4.9,5.12,1049187
2025-06-26,5.09,5.35,5.09,5.33,1046750
2025-06-27,5.35,5.5,5.165,5.25,1881102
2025-06-30,5.23,5.375,5.205,5.31,907164
2025-07-01,5.26,5.7401,5.23,5.53,1432696
2025-07-02,5.55,5.715,5.465,5.63,1386226
2025-07-03,5.63,5.7,5.54,5.6,463756
2025-07-07,5.58,5.61,5.25,5.29,1381960
2025-07-08,5.29,5.56,5.25,5.55,980955
2025-07-09,5.6,5.72,5.485,5.72,963757
2025-07-10,5.71,5.83,5.425,5.5,1381830
2025-07-11,5.45,5.585,5.32,5.34,888124
2025-07-14,5.29,5.35,5.18,5.22,810525
2025-07-15,5.28,5.37,4.975,5.0,1654518
2025-07-16,5.07,5.195,4.99,5.06,2925985
2025-07-17,5.04,5.1,4.78,4.82,1125640
2025-07-18,4.88,4.92,4.455,4.47,1362033
2025-07-21,4.5,4.595,4.425,4.45,871367
2025-07-22,4.5,4.6599,4.47,4.59,1224351
2025-07-23,4.69,4.83,4.59,4.74,1070293
2025-07-24,4.7,4.78,4.575,4.65,929426
2025-07-25,4.69,4.7366,4.45,4.45,1257064
2025-07-28,4.5,4.52,4.36,4.38,1303496
2025-07-29,4.38,4.38,4.1,4.1,1306466
2025-07-30,4.16,4.215,4.04,4.05,1540972
2025-07-31,4.05,4.07,3.83,3.84,2525107
2025-08-01,3.76,3.93,3.76,3.91,1404710
2025-08-04,3.96,4.09,3.85,3.98,924909
2025-08-05,3.98,4.05,3.85,3.87,2889400
2025-08-06,5.185,5.75,4.99,5.67,15654797
2025-08-07,5.76,6.1288,5.44,6.1,4443098
2025-08-08,6.22,6.4,6.05,6.32,2411112
2025-08-11,6.3,6.5199,6.065,6.19,1770028
2025-08-12,6.23,6.375,6.03,6.03,1546011
2025-08-13,5.97,6.16,5.86,5.87,1946767
2025-08-14,5.78,5.99,5.7,5.89,2175995
2025-08-15,5.98,6.07,5.695,5.71,1205510
2025-08-18,5.71,5.935,5.69,5.71,1570999
2025-08-19,5.75,5.825,5.5,5.51,1245567
2025-08-20,5.44,5.57,5.225,5.53,1529846
2025-08-21,5.51,5.9399,5.47,5.83,988316
2025-08-22,5.85,6.105,5.805,6.02,1009368
2025-08-25,5.92,5.98,5.84,5.89,935249
2025-08-26,5.88,6.055,5.79,5.81,952884
2025-08-27,5.81,5.965,5.78,5.93,596422
2025-08-28,5.93,6.24,5.93,6.22,1198351
2025-08-29,6.25,6.56,6.21,6.37,2580605
2025-09-02,6.42,7.05,6.31,6.9,2163032
2025-09-03,6.9,7.02,6.6,6.8,1280552
2025-09-04,6.8,6.8,6.625,6.79,870166
2025-09-05,6.83,6.99,6.55,6.61,1263301
2025-09-08,6.65,6.935,6.4002,6.91,1547406
2025-09-09,6.97,7.045,6.77,6.97,1781219
2025-09-10,6.99,6.99,6.73,6.9,1160500
2025-09-11,6.91,7.71,6.8631,7.68,2254291
2025-09-12,7.64,7.8,7.22,7.24,2000477
2025-09-15,7.28,7.455,7.13,7.31,1322499
2025-09-16,7.34,7.65,7.14,7.5,1217153
2025-09-17,7.42,7.685,7.2835,7.4,1761586
2025-09-18,7.61,7.715,7.49,7.68,2146042
2025-09-19,7.71,7.835,7.605,7.77,2719061
2025-09-22,7.75,8.039,7.675,7.84,1644790
2025-09-23,7.91,8.035,7.69,7.7,1829649
2025-09-24,7.66,7.77,7.47,7.72,1274899
2025-09-25,7.68,7.97,7.5,7.76,1485370
2025-09-26,7.79,7.83,7.57,7.7,1354095
