Date,Open,High,Low,Close,Volume
2025-06-09,1.47,1.52,1.46,1.5,259325
2025-06-10,1.51,1.535,1.48,1.5,164875
2025-06-11,1.49,1.55,1.47,1.5,301437
2025-06-12,1.47,1.58,1.47,1.5,449096
2025-06-13,1.45,1.5188,1.45,1.46,188231
2025-06-16,1.45,1.48,1.39,1.42,408137
2025-06-17,1.4,1.46,1.39,1.4,166372
2025-06-18,1.4,1.445,1.4,1.43,168534
2025-06-20,1.45,1.45,1.38,1.4,346452
2025-06-23,1.39,1.43,1.32,1.37,195357
2025-06-24,1.4,1.4,1.295,1.38,491432
2025-06-25,1.38,1.4,1.33,1.38,208125
2025-06-26,1.37,1.3788,1.295,1.33,449093
2025-06-27,1.33,1.36,1.29,1.3,640462
2025-06-30,1.32,1.355,1.29,1.31,485205
2025-07-01,1.32,1.375,1.3,1.37,608395
2025-07-02,1.36,1.375,1.33,1.34,136958
2025-07-03,1.34,1.34,1.28,1.3,118349
2025-07-07,1.32,1.32,1.19,1.22,469598
2025-07-08,1.23,1.25,1.19,1.19,275915
2025-07-09,1.21,1.27,1.19,1.26,273729
2025-07-10,1.25,1.2799,1.2,1.24,295570
2025-07-11,1.23,1.28,1.21,1.24,299191
2025-07-14,1.22,1.26,1.21,1.23,204693
2025-07-15,1.23,1.23,1.17,1.19,225273
2025-07-16,1.19,1.22,1.1644,1.21,143775
2025-07-17,1.21,1.24,1.1701,1.19,235000
2025-07-18,1.21,1.21,1.17,1.17,193267
2025-07-21,1.17,1.26,1.17,1.23,386658
2025-07-22,1.22,1.31,1.22,1.25,614015
2025-07-23,1.27,1.29,1.2,1.28,234016
2025-07-24,1.28,1.2897,1.23,1.25,145669
2025-07-25,1.25,1.25,1.18,1.22,170317
2025-07-28,1.22,1.25,1.2082,1.22,122679
2025-07-29,1.23,1.25,1.175,1.19,133331
2025-07-30,1.19,1.21,1.15,1.16,163133
2025-07-31,1.16,1.24,1.15,1.15,265041
2025-08-01,1.15,1.185,1.08,1.09,296487
2025-08-04,1.11,1.13,1.09,1.1,320683
2025-08-05,1.08,1.1,1.05,1.08,361814
2025-08-06,1.08,1.13,1.05,1.09,198719
2025-08-07,1.09,1.125,1.055,1.07,194450
2025-08-08,1.09,1.1,1.05,1.05,84430
2025-08-11,1.05,1.055,0.9999,1.03,750989
2025-08-12,1.04,1.06,1.02,1.04,172692
2025-08-13,1.05,1.0736,1.03,1.05,265241
2025-08-14,1.03,1.0401,1.03,1.04,130908
2025-08-15,1.05,1.05,1.01,1.02,116919
2025-08-18,1.01,1.03,0.9112,0.9184,675998
2025-08-19,0.91,0.96,0.9,0.9578,268671
2025-08-20,0.9538,0.9691,0.932,0.9494,181933
2025-08-21,0.9351,0.9649,0.935,0.9403,156551
2025-08-22,0.95,1.0,0.95,0.9942,369912
2025-08-25,1.0,1.025,0.981801,1.02,196227
2025-08-26,1.02,1.05,1.005,1.03,148925
2025-08-27,1.02,1.06,1.0,1.005,143274
2025-08-28,1.02,1.02,0.9523,0.9528,248806
2025-08-29,0.9709,0.98565,0.96,0.9666,195992
2025-09-02,0.95,0.9698,0.9475,0.9617,111031
2025-09-03,0.95,0.9795,0.9393,0.9426,290426
2025-09-04,0.9448,0.9744,0.9448,0.9657,150270
2025-09-05,0.968,0.9775,0.947,0.9698,189411
2025-09-08,0.97,0.979,0.9461,0.9688,204395
2025-09-09,0.9644,0.9644,0.9521,0.9574,159585
2025-09-10,0.9585,0.9585,0.9503,0.9549,201720
2025-09-11,0.945,0.9591,0.9426,0.9563,273357
2025-09-12,0.9474,0.9729,0.9474,0.965,303949
2025-09-15,0.96,0.9712,0.9439,0.959,153065
2025-09-16,0.95,0.9652,0.95,0.9581,298273
2025-09-17,0.954,0.957,0.94005,0.9522,392505
2025-09-18,0.95,0.9895,0.925,0.9895,250350
2025-09-19,0.9927,1.01,0.9511,0.9947,849472
2025-09-22,0.9749,1.02,0.965,1.02,276228
2025-09-23,1.01,1.08,1.000718,1.06,328572
2025-09-24,1.05,1.0697,0.97,0.9763,197993
2025-09-25,0.965,0.986,0.955,0.9581,160853
2025-09-26,0.9501,0.9854,0.95,0.9679,150609
2025-09-29,0.95,0.98165,0.95,0.9659,164817
