Date,Open,High,Low,Close,Volume
2024-01-02,6.98,6.98,6.5343,6.5343,826
2024-01-03,6.5239,6.5239,6.48,6.48,946
2024-01-04,6.774,6.78,6.46,6.61,6961
2024-01-05,6.51,6.51,6.07,6.07,6173
2024-01-08,6.33,6.33,6.07,6.08,7250
2024-01-09,6.09,6.14,6.09,6.12,1324
2024-01-10,6.0901,6.1,6.0901,6.1,460
2024-01-11,6.11,6.44,6.1,6.15,2888
2024-01-12,6.15,6.39,6.15,6.39,1364
2024-01-16,6.39,6.39,6.2997,6.3,4041
2024-01-17,6.29,6.29,6.2,6.26,14695
2024-01-18,6.2201,6.26,6.2201,6.25,12111
2024-01-19,6.2501,6.3,6.22,6.3,3277
2024-01-22,6.2964,6.2964,6.24,6.24,1092
2024-01-23,6.24,6.24,6.15,6.15,3753
2024-01-24,6.16,6.1601,6.0,6.09,5599
2024-01-25,6.08,6.29,6.05,6.29,7641
2024-01-26,6.2,6.2,6.02,6.08,6874
2024-01-29,6.2,6.3,6.0,6.25,24259
2024-01-30,6.24,6.325,6.2,6.305,5765
2024-01-31,6.22,6.33,6.21,6.21,3920
2024-02-01,6.21,6.21,5.9625,6.14,7575
2024-02-02,6.12,6.12,6.065,6.12,983
2024-02-05,6.06,6.06,6.05,6.05,1145
2024-02-06,6.087,6.145,6.08,6.12,5202
2024-02-08,6.165,6.165,6.12,6.15,1700
2024-02-09,6.15,6.2,6.06,6.2,1608
2024-02-12,6.15,6.1501,6.13,6.13,3310
2024-02-13,6.17,6.4,6.17,6.3999,12067
2024-02-14,6.2,6.295,6.05,6.25,15241
2024-02-15,6.25,6.2537,6.08,6.111,9003
2024-02-16,6.13,6.275,6.13,6.16,1047
2024-02-20,6.08,6.16,6.05,6.05,4276
2024-02-21,6.07,6.07,6.05,6.05,1064
2024-02-22,6.05,6.14,6.05,6.14,1778
2024-02-23,6.05,6.14,6.05,6.06,4905
2024-02-26,6.06,6.07,6.06,6.07,765
2024-02-27,6.06,6.08,6.05,6.055,5750
2024-02-28,6.05,6.05,6.05,6.05,292
2024-02-29,6.08,6.105,6.04,6.04,9448
2024-03-01,6.01,6.01,5.96,5.96,986
2024-03-04,5.9,6.05,5.9,5.94,6987
2024-03-05,6.0,6.0,5.7493,5.9,2269
2024-03-06,6.0863,6.0863,5.95,5.95,1907
2024-03-07,6.0,6.0,5.95,5.95,3375
2024-03-08,6.0,6.0,5.865,5.95,6395
2024-03-11,5.9,5.9401,5.82,5.8231,15345
2024-03-12,6.11,6.11,5.71,5.71,16268
2024-03-13,5.8819,5.8819,5.66,5.71,8796
2024-03-14,5.7011,5.9028,5.7011,5.73,8173
2024-03-15,5.65,5.715,5.65,5.66,2804
2024-03-18,5.66,5.825,5.66,5.72,6604
2024-03-19,5.96,5.99,5.75,5.75,5895
2024-03-20,5.83,5.99,5.83,5.99,4300
2024-03-21,5.99,6.0,5.9101,5.95,7566
2024-03-22,6.0,6.09,5.96,6.0,6093
2024-03-25,6.0881,6.0919,6.0,6.01,5943
2024-03-26,5.97,6.1,5.97,6.1,1565
2024-03-27,6.0801,6.1,6.08,6.08,4334
2024-03-28,6.0,6.09,6.0,6.09,2103
2024-04-01,6.145,6.145,6.06,6.06,1785
2024-04-02,6.15,7.0499,6.1499,6.76,15881
2024-04-03,6.8187,7.0276,6.7601,6.86,4603
