Date,Open,High,Low,Close,Volume
2025-07-11,548.0,548.0,488.0,492.0,8642.975
2025-07-14,510.8,530.0,474.4,483.6,8951.975
2025-07-15,490.0,496.0,460.4,470.8,6341.5
2025-07-16,476.0,488.0,456.0,456.4,11919.45
2025-07-17,456.4,467.4,440.4,457.2,6100.375
2025-07-18,458.4,461.0,427.2,440.8,6189.325000000001
2025-07-21,444.4,447.944,427.6,438.0,4311.400000000001
2025-07-22,448.0,465.2,414.0,446.8,6524.825000000001
2025-07-23,447.6,464.0,436.004,462.4,6447.25
2025-07-24,460.8,462.4,435.6,436.0,2406.6
2025-07-25,435.6,446.0,426.0,438.8,2532.3500000000004
2025-07-28,445.6,450.0,422.4,423.6,2811.65
2025-07-29,422.0,426.0,316.8,336.4,15200.1
2025-07-30,340.8,355.6,318.0,319.2,8219.15
2025-07-31,317.2,325.2,285.6,288.8,8907.6
2025-08-01,281.2,286.0,232.404,254.0,14238.45
2025-08-04,258.0,315.2,240.0,303.2,12351.5
2025-08-05,289.6,302.728,280.4,289.6,5783.05
2025-08-06,288.0,315.2,276.0,304.4,7624.925
2025-08-07,311.2,314.8,290.0,300.0,5357.125
2025-08-08,300.0,406.728,293.6,382.8,16417.55
2025-08-11,412.0,659.2,388.004,571.2,87113.25
2025-08-12,517.2,522.4,406.4,443.6,30314.1
2025-08-13,461.6,565.6,452.0,530.0,28504.525
2025-08-14,474.8,614.4,462.0,600.8,22431.725
2025-08-15,624.0,624.0,520.572,546.8,15128.45
2025-08-18,520.8,528.0,470.0,480.8,9656.975
2025-08-19,506.4,524.0,400.0,424.8,15288.075
2025-08-20,410.8,430.572,372.412,403.6,18964.6
2025-08-21,400.4,432.4,379.2,425.2,8525.525
2025-08-22,419.2,422.4,376.0,405.2,11794.975
2025-08-25,389.0,414.4,362.0,366.8,10746.8
2025-08-26,389.2,389.2,317.2,322.8,20161.6
2025-08-27,316.8,316.8,238.4,252.8,64832.0
2025-08-28,252.8,264.0,230.824,237.2,36643.35
2025-08-29,230.8,236.0,192.0,217.6,46507.350000000006
2025-09-02,209.6,215.6,173.2,185.2,37881.875
2025-09-03,187.2,187.6,151.6,168.8,71219.77500000001
2025-09-04,165.6,168.4,130.4,131.2,59715.100000000006
2025-09-05,139.6,170.8,138.904,163.2,140440.45
