Date,Open,High,Low,Close,Volume
2024-12-06,4.25,7.75,4.01,4.44,2687919
2024-12-09,4.0,4.72,3.9,4.32,532623
2024-12-10,4.3,4.98,4.01,4.21,261779
2024-12-11,4.3,4.53,4.2,4.22,140493
2024-12-12,4.22,4.35,4.01,4.02,142792
2024-12-13,4.07,4.1899,3.75,3.92,176352
2024-12-16,3.86,4.5,3.7821,4.2,105443
2024-12-17,3.95,5.17,3.95,5.17,218168
2024-12-18,5.28,6.0,5.03,5.31,250750
2024-12-19,5.25,5.26,4.2,4.43,190495
2024-12-20,4.25,5.16,4.25,4.56,143377
2024-12-23,4.63,4.93,4.3925,4.49,46138
2024-12-24,4.81,4.81,4.33,4.371,22340
2024-12-26,4.5,4.75,4.35,4.38,25488
2024-12-27,4.38,4.58,4.001,4.18,39453
2024-12-30,4.06,4.36,3.7,4.3,89605
2024-12-31,4.33,4.8,4.08,4.08,72963
2025-01-02,4.21,4.27,4.0,4.0,151607
2025-01-03,4.12,4.4,3.87,4.025,91552
2025-01-06,4.05,4.2493,3.97,4.07,86258
2025-01-07,4.08,4.58,4.04,4.08,132182
2025-01-08,4.15,4.33,3.93,3.97,254002
2025-01-10,3.992,4.46,3.992,4.12,68738
2025-01-13,4.12,4.38,4.0,4.19,56782
2025-01-14,4.4,4.799,4.3,4.721,137099
2025-01-15,4.76,4.8,4.1,4.22,97854
2025-01-16,4.16,4.28,3.88,4.02,56427
2025-01-17,4.1,4.19,3.4,3.79,84690
2025-01-21,3.76,3.8,3.32,3.33,199789
2025-01-22,3.35,3.36,2.255,2.49,206167
2025-01-23,2.52,2.9799,2.52,2.86,143964
2025-01-24,2.88,3.36,2.88,3.1,30040
2025-01-27,3.11,3.44,2.7001,2.95,195854
2025-01-28,2.92,3.15,2.695,2.9,58284
2025-01-29,2.9999,3.0,2.61,2.61,26887
2025-01-30,2.81,3.0136,2.53,2.55,74225
2025-01-31,2.63,2.81,2.56,2.56,9274
2025-02-03,2.5,2.55,2.35,2.41,22690
2025-02-04,2.4901,2.89,2.4901,2.868,53123
2025-02-05,2.98,3.1761,2.684,2.908,104926
2025-02-06,2.9073,3.31,2.85,3.1392,21698
2025-02-07,3.22,3.96,3.22,3.96,79384
2025-02-10,4.13,4.2,3.4085,3.7,66225
2025-02-11,3.87,3.905,3.17,3.53,48373
2025-02-12,3.63,4.1998,3.09,3.22,190026
2025-02-13,3.35,3.97,3.35,3.75,89346
2025-02-14,3.76,4.12,3.76,4.05,59932
2025-02-18,4.41,4.608,3.96,3.98,79426
2025-02-19,3.98,4.2749,2.61,3.62,438584
2025-02-20,3.68,3.7,2.91,3.35,183986
2025-02-21,3.59,3.63,3.12,3.25,34479
2025-02-24,3.1,3.1455,2.7,2.83,109857
2025-02-25,3.1762,3.29,2.7,3.06,74577
2025-02-26,3.22,3.475,2.83,2.9,146684
2025-02-27,2.9,3.1,2.7115,2.9,62476
2025-02-28,2.94,2.94,2.6004,2.61,62986
2025-03-03,2.86,3.9,2.82,3.27,1209490
2025-03-04,3.18,3.35,2.96,3.2,173882
2025-03-05,3.18,3.69,3.1,3.51,168678
2025-03-06,3.61,3.9,3.55,3.68,92783
2025-03-07,3.4016,3.58,3.27,3.4,34616
2025-03-10,3.23,3.23,2.75,2.75,54502
2025-03-11,2.7404,3.22,2.7404,3.012,161645
2025-03-12,3.1107,3.1107,2.8,2.81,39171
2025-03-13,2.84,2.911,2.6815,2.89,17632
2025-03-14,2.91,2.92,2.68,2.768,41931
2025-03-17,2.8013,3.192,2.8,3.192,25057
2025-03-18,3.2,3.4979,3.06,3.2,66365
2025-03-19,3.21,3.26,3.0181,3.04,11870
2025-03-20,2.91,3.04,2.7751,2.83,8974
2025-03-21,3.015,3.09,2.81,2.908,25280
2025-03-24,2.84,3.0638,2.8,2.895,9929
2025-03-25,3.0226,3.0226,2.8,2.91,49983
2025-03-26,3.0572,3.13,2.85,3.0,26081
2025-03-27,2.89,2.99,2.83,2.94,29432
2025-03-28,2.82,2.92,2.7,2.912,47087
2025-03-31,2.92,3.2,2.775,2.78,491685
2025-04-01,2.78,2.91,2.44,2.5,71381
2025-04-02,2.6591,2.95,2.65,2.95,52625
2025-04-03,2.94,2.95,2.62,2.85,42015
2025-04-04,2.57,2.9788,2.52,2.92,39906
2025-04-07,2.74,2.96,2.74,2.943,33449
2025-04-08,2.9,3.11,2.845,2.85,76529
2025-04-09,2.95,3.13,2.81,3.01,80050
2025-04-10,3.0,3.13,2.7,2.7,17612
2025-04-11,2.97,3.0,2.76,2.87,28137
2025-04-14,2.98,3.05,2.8386,3.03,16908
2025-04-15,2.8515,3.0,2.83,2.9,9179
2025-04-16,2.95,3.105,2.81,3.09,23346
2025-04-17,3.06,3.6,3.06,3.59,74923
2025-04-21,3.5,3.8573,3.4,3.42,95450
2025-04-22,3.46,3.59,3.19,3.54,92560
2025-04-23,3.6,3.85,3.4518,3.8,119542
2025-04-24,3.8,4.59,3.13,3.18,354973
2025-04-25,3.0,3.4,2.94,2.94,187805
2025-04-28,2.94,3.1,2.88,3.1,16155
2025-04-29,3.16,3.23,2.97,3.09,38062
2025-04-30,2.9,3.357,2.8953,3.31,169026
2025-05-01,3.14,3.3,3.08,3.19,7948
2025-05-02,3.19,3.33,3.0,3.1402,32969
2025-05-05,3.11,3.41,2.76,2.82,57533
2025-05-06,2.9002,2.98,2.8,2.81,14927
2025-05-07,2.82,2.94,2.71,2.94,39126
2025-05-08,2.91,3.23,2.88,2.96,29870
2025-05-09,3.07,3.08,2.9,2.908,4813
2025-05-12,2.94,3.2,2.8401,2.85,33969
2025-05-13,2.82,2.9768,2.79,2.93,12731
2025-05-14,2.9217,2.9217,2.68,2.7,41734
2025-05-15,2.74,2.79,2.2901,2.55,49841
2025-05-16,2.56,2.6895,2.56,2.66,9077
2025-05-19,2.55,2.6999,2.55,2.57,8599
2025-05-20,2.7,3.98,2.51,3.52,1040630
2025-05-21,3.08,3.5,2.84,3.08,257047
2025-05-22,3.17,3.25,2.8,3.2,241289
2025-05-23,3.26,3.335,2.64,2.83,665186
2025-05-27,2.79,2.79,2.55,2.71,88726
2025-05-28,2.72,3.35,2.71,2.87,220870
2025-05-29,2.894,3.1,1.11,1.33,2555290
2025-05-30,1.29,1.29,1.12,1.15,613415
2025-06-02,1.11,1.2601,1.11,1.17,264339
2025-06-03,1.13,1.22,1.12,1.2,175861
2025-06-04,1.18,1.26,1.16,1.21,105115
2025-06-05,1.21,1.261,1.15,1.21,78994
2025-06-06,1.23,1.39,1.23,1.351,220583
2025-06-09,1.34,1.35,1.24,1.29,63354
2025-06-10,1.21,1.3,1.2,1.2949,49305
2025-06-11,1.33,1.33,1.26,1.28,14684
2025-06-12,1.3044,1.33,1.25,1.33,44454
2025-06-13,1.26,1.29,1.24,1.24,27063
2025-06-16,1.23,1.25,1.16,1.23,66735
2025-06-17,1.21,1.24,1.2,1.23,42337
2025-06-18,1.23,1.23,1.12,1.14,38028
2025-06-20,1.14,1.1889,1.06,1.1,37550
2025-06-23,1.2877,1.2877,1.03,1.03,35840
2025-06-24,1.05,1.14,1.02,1.14,114408
2025-06-25,1.08,1.1299,1.03,1.046,21381
2025-06-26,1.0513,1.085,1.05,1.08,10156
2025-06-27,1.1,1.1,1.02,1.0493,29307
2025-06-30,1.01,1.0901,0.97,1.04,53032
2025-07-01,1.0002,1.04,1.0001,1.0212,16430
2025-07-02,1.03,1.09,1.0201,1.062,17688
2025-07-03,1.05,1.26,1.044,1.1,54493
2025-07-07,1.2,1.2,1.0606,1.11,8587
2025-07-08,1.01,1.11,1.01,1.1,26265
2025-07-09,1.11,1.11,1.06,1.1,4024
2025-07-10,1.06,1.1999,1.06,1.1404,76918
2025-07-11,1.14,1.14,1.1019,1.12,49549
2025-07-14,1.1,1.1,1.0772,1.1,15546
2025-07-15,1.1,1.1,0.99,1.0245,41628
2025-07-16,1.0399,1.06,1.03,1.04,27950
2025-07-17,1.06,1.06,1.03,1.03,8133
2025-07-18,1.05,1.085,1.03,1.07,12553
2025-07-21,1.1,1.1,1.015,1.03,44949
2025-07-22,1.0311,1.06,1.0,1.04,41141
2025-07-23,1.0568,1.06,1.03,1.04,27845
2025-07-24,1.035,1.04,1.0099,1.02,36196
2025-07-25,0.9999,1.02,0.97,1.01,45902
2025-07-28,0.97,1.01,0.96,1.0,23756
2025-07-29,0.99,1.0,0.9356,0.9356,28052
2025-07-30,0.93,0.93,0.86,0.8701,24348
2025-07-31,0.936,0.9663,0.929,0.929,1143
2025-08-01,0.9291,0.959,0.8623,0.89,5859
2025-08-04,0.88,0.9,0.8449,0.86,16201
2025-08-05,0.94,0.982,0.86,0.88,18195
2025-08-06,0.9,0.98,0.9,0.92,32125
2025-08-07,0.89,0.97,0.89,0.9405,6748
2025-08-08,0.9553,1.0499,0.93,0.9801,47874
2025-08-11,1.07,1.16,1.03,1.12,128280
2025-08-12,1.14,1.15,0.9968,1.03,59871
2025-08-13,1.02,1.02,0.9114,0.9695,32893
2025-08-14,0.92,1.05,0.92,1.04,17097
2025-08-15,1.0545,1.08,1.03,1.05,17009
2025-08-18,1.01,1.0531,1.01,1.04,10177
2025-08-19,1.014,1.05,0.962,1.02,15281
2025-08-20,0.99,1.01,0.9,0.98,17816
2025-08-21,0.948,0.9765,0.93,0.9501,5449
2025-08-22,0.9499,0.96495,0.9301,0.964799,8195
2025-08-25,1.01,1.03,0.9418,1.03,11131
2025-08-26,1.04,1.04,1.0052,1.03,6533
2025-08-27,1.01,2.05,1.01,1.37,46250990
2025-08-28,1.33,1.48,1.1093,1.45,1313151
2025-08-29,1.34,1.39,1.22,1.23,349591
2025-09-02,1.13,1.23,1.02,1.16,283993
2025-09-03,1.13,1.18,1.07,1.085,111464
2025-09-04,1.06,1.16,1.0,1.08,166836
2025-09-05,1.0401,1.08,1.03,1.08,51633
2025-09-08,1.14,1.1499,0.9612,0.97,163265
2025-09-09,0.97,1.03,0.9323,1.02,180436
2025-09-10,1.01,1.19,1.01,1.15,264806
2025-09-11,1.1,1.18,1.062,1.11,180229
2025-09-12,1.14,1.18,1.09,1.13,51507
2025-09-15,1.11,1.14,1.032,1.11,122449
2025-09-16,1.08,1.13,1.08,1.0902,23430
2025-09-17,1.09,1.13,1.0701,1.08,69830
2025-09-18,1.09,1.12,1.08,1.08,72027
2025-09-19,1.08,1.11,1.07,1.09,70604
2025-09-22,1.09,1.1399,1.09,1.1113,24455
2025-09-23,1.13,1.1384,1.1,1.11,27208
2025-09-24,1.12,1.14,1.09,1.14,51709
2025-09-25,1.11,1.12,1.0601,1.0897,59825
2025-09-26,1.07,1.1025,1.05,1.0594,54480
2025-09-29,1.05,1.09,1.05,1.08,66577
2025-09-30,1.0501,1.07,0.95,1.02,74034
2025-10-01,1.0,1.056,0.98,0.9839,70114
2025-10-02,0.9996,0.9996,0.96,0.9633,14297
2025-10-03,0.9506,0.995,0.93,0.98,43786
2025-10-06,1.01,1.01,0.9301,0.9439,33957
2025-10-07,0.93,0.9439,0.91,0.935,59502
2025-10-08,0.95,1.0098,0.9233,0.98,15825
2025-10-09,0.9776,0.9776,0.95,0.9501,45490
2025-10-10,0.9502,0.97,0.9,0.9201,39003
2025-10-13,0.9899,0.9899,0.9005,0.9596,18950
2025-10-14,0.9513,0.9513,0.8907,0.900101,24117
2025-10-15,0.885,0.9596,0.885,0.9299,33145
2025-10-16,0.9027,0.98,0.9027,0.91,14755
2025-10-17,0.881,0.9099,0.853,0.9,15090
2025-10-20,0.935,0.9849,0.8779,0.8895,6586
2025-10-21,0.9638,0.97,0.855,0.9093,13599
2025-10-22,0.92,0.969,0.87,0.9595,70815
2025-10-23,0.9157,0.95,0.8928,0.9198,27243
2025-10-24,0.924632,0.9399,0.8896,0.9,15510
2025-10-27,0.9,0.94308,0.772949,0.82,99678
2025-10-28,0.84,0.95,0.8273,0.94,48090
2025-10-29,0.955,0.955,0.91,0.94,24094
2025-10-30,0.902401,1.02,0.8701,1.01,97106
2025-10-31,0.96,0.979999,0.918,0.975,59851
2025-11-03,0.9738,0.975,0.93,0.93,26747
2025-11-04,0.9,0.9428,0.8601,0.880751,3512
2025-11-05,0.87,0.92,0.86,0.86,11131
2025-11-06,0.88,0.946,0.783,0.8321,54879
2025-11-07,0.8,0.8378,0.722,0.786,31414
2025-11-10,0.82,0.82,0.75,0.7695,12325
2025-11-11,0.7299,0.789,0.7299,0.75,10414
2025-11-12,0.7889,0.7889,0.735408,0.7699,6062
2025-11-13,0.7311,0.7311,0.66,0.6938,51393
2025-11-14,0.69,0.7599,0.67783,0.7245,25043
2025-11-17,0.699,0.77,0.699,0.72,10602
2025-11-18,0.705,0.75,0.68,0.7202,6116
2025-11-19,0.72,0.72,0.61,0.7068,62887
2025-11-20,0.709,0.709999,0.6,0.629999,37319
2025-11-21,0.6,0.7489,0.5601,0.6,51009
2025-11-24,0.5972,0.63,0.562,0.63,11883
2025-11-25,0.643,0.69,0.6,0.62,8456
2025-11-26,0.6696,0.6696,0.598,0.6358,38541
2025-11-28,0.6141,0.6994,0.6141,0.6775,7983
2025-12-01,0.699,0.748,0.6624,0.702,15810
2025-12-02,0.7,0.749,0.6443,0.6712,9159
2025-12-03,0.699,0.72,0.6805,0.6805,5283
2025-12-04,0.6999,0.6999,0.66,0.6999,7127
2025-12-05,0.6999,0.6999,0.66,0.67505,7113
2025-12-08,0.699,0.699,0.6559,0.67495,5836
2025-12-09,0.6501,0.68,0.65,0.65,13237
2025-12-10,0.65,0.68,0.6122,0.6461,12541
2025-12-11,0.67,0.924,0.5801,0.881,174943
2025-12-12,0.82,1.07,0.729201,1.045,161744
2025-12-15,0.8869,0.9949,0.81,0.82,1318073
2025-12-16,0.7076,0.7462,0.65,0.735,86605
2025-12-17,0.7716,0.7947,0.74,0.790599,31974
2025-12-18,0.74,0.74,0.71,0.74,12411
2025-12-19,0.725,0.72505,0.6701,0.6701,22089
2025-12-22,0.669,0.6903,0.6226,0.6609,36773
2025-12-23,0.657,0.91,0.657,0.8098,137231
2025-12-24,0.8123,0.8123,0.7103,0.789,9889
2025-12-26,0.715346,0.8099,0.7,0.7372,10280
2025-12-29,0.7558,0.8218,0.7558,0.82,56067
2025-12-30,0.74,0.82,0.7,0.82,37370
2025-12-31,0.837999,0.856,0.7,0.7643,70790
2026-01-02,0.764,0.780001,0.7252,0.7599,11662
2026-01-05,0.728,0.7705,0.705801,0.7404,21528
2026-01-06,0.73,0.799,0.73,0.799,8665
2026-01-07,0.732601,0.7758,0.71,0.7385,26979
2026-01-08,0.742,0.742,0.71,0.719,9473
2026-01-09,0.72,0.73,0.69,0.73,43177
2026-01-12,0.68,0.73,0.68,0.707,10051
2026-01-13,0.707,0.7684,0.685,0.686,18321
2026-01-14,0.6901,0.6964,0.69,0.69,9460
2026-01-15,0.69,0.69,0.6706,0.6801,9640
2026-01-16,0.68,0.699,0.66,0.699,9634
2026-01-20,0.67,0.699,0.66,0.66,19116
