Date,Open,High,Low,Close,Volume
2025-07-11,7.08,8.0,7.08,7.78,116605
2025-07-14,7.72,8.6238,7.58,8.51,123585
2025-07-15,8.59,8.59,7.65,7.91,98428
2025-07-16,7.85,8.07,7.6,7.87,43446
2025-07-17,7.76,8.145,7.602,7.88,56117
2025-07-18,7.86,8.6,7.67,8.6,94044
2025-07-21,8.58,8.94,8.3032,8.59,53594
2025-07-22,8.2001,8.61,8.2001,8.5,22240
2025-07-23,8.33,8.409,7.83,7.96,29121
2025-07-24,8.0,8.0,6.35,6.5,140689
2025-07-25,6.75,6.98,6.0903,6.24,88723
2025-07-28,6.23,6.594,4.92,5.0,196253
2025-07-29,5.02,5.18,4.38,4.5,136837
2025-07-30,4.48,4.89,4.0,4.02,137281
2025-07-31,4.08,4.16,3.655,3.96,1227517
2025-08-01,5.7,5.8,3.98,4.26,19990678
2025-08-04,4.02,4.0276,3.53,3.54,778400
2025-08-05,3.36,3.5,3.1,3.19,532197
2025-08-06,3.1,3.5,3.1,3.18,277999
2025-08-07,3.13,3.17,2.71,2.75,326993
2025-08-08,2.71,2.92,2.70005,2.71,199980
2025-08-11,2.71,2.8,2.6131,2.74,142278
2025-08-12,2.79,3.38,2.77,2.92,393485
2025-08-13,2.82,3.089,2.78,2.93,162289
2025-08-14,2.88,3.2,2.85,2.93,214993
2025-08-15,2.88,2.94,2.8001,2.84,111996
2025-08-18,2.8,2.8767,2.65,2.81,94633
2025-08-19,2.75,2.7999,2.7059,2.79,71610
2025-08-20,2.79,2.79,2.58,2.64,89695
2025-08-21,2.66,2.91,2.56,2.84,144437
2025-08-22,2.82,2.8989,2.72,2.77,78341
2025-08-25,2.76,3.105,2.76,2.9,134432
2025-08-26,2.99,3.0,2.81,2.93,66362
2025-08-27,2.951,3.1399,2.89252,2.92,144665
2025-08-28,3.0,3.05,2.86,2.9,77977
2025-08-29,3.0,3.0,2.72,2.82,116683
2025-09-02,2.85,3.135,2.82,3.03,421859
2025-09-03,3.48,3.75,3.12,3.2,4598943
2025-09-04,3.05,3.33,2.97,3.27,376083
2025-09-05,3.22,3.35,3.08,3.24,261263
2025-09-08,3.2,3.2823,3.05,3.08,189626
2025-09-09,3.07,3.16,2.8101,2.93,145986
2025-09-10,2.91,2.9899,2.82,2.97,101827
2025-09-11,2.88,3.065,2.84,3.0,107980
2025-09-12,2.97,3.18,2.97,3.15,98697
2025-09-15,3.2,3.55,3.2,3.44,272732
2025-09-16,3.49,3.49,3.16,3.22,96996
2025-09-17,3.2,3.53,3.0202,3.11,669476
2025-09-18,3.17,3.23,3.0653,3.08,132592
2025-09-19,3.07,3.1499,2.95,2.99,232236
2025-09-22,3.09,3.35,3.0,3.21,172421
2025-09-23,3.19,3.35,3.05,3.14,170362
2025-09-24,3.1,3.45,3.05,3.34,405523
2025-09-25,3.31,3.3919,3.12,3.16,138245
2025-09-26,3.17,3.4,3.1,3.16,116435
2025-09-29,3.18,3.39,3.18,3.3,299389
2025-09-30,3.27,3.346,3.21,3.29,92848
2025-10-01,3.26,3.3099,3.132,3.16,102242
2025-10-02,3.17,3.2945,3.14,3.14,90972
2025-10-03,3.14,3.27,3.14,3.21,113548
2025-10-06,3.24,3.33,3.18,3.26,177334
2025-10-07,3.25,3.28,3.0706,3.12,173024
2025-10-08,3.15,3.2599,3.1,3.13,126729
2025-10-09,3.22,3.3499,3.1201,3.18,270766
2025-10-10,3.24,3.29,3.12,3.16,225090
2025-10-13,3.78,4.95,3.65,4.17,24826720
2025-10-14,3.42,3.42,3.14,3.18,2035778
2025-10-15,3.22,3.23,2.75,2.88,1290370
2025-10-16,2.88,3.03,2.81,2.84,379029
2025-10-17,2.77,2.83,2.605,2.63,385945
2025-10-20,2.69,2.75,2.62,2.64,305810
2025-10-21,2.6,2.6388,2.45,2.51,428271
2025-10-22,2.5,2.58,2.28,2.35,562972
2025-10-23,2.2,2.35,2.2,2.29,239812
2025-10-24,2.22,2.28,2.115,2.15,237803
2025-10-27,2.12,2.19,2.04,2.07,262029
2025-10-28,2.01,2.16,2.01,2.14,160792
2025-10-29,2.15,2.1675,2.035,2.05,94849
2025-10-30,2.08,2.1,1.8,1.92,339349
2025-10-31,1.89,1.93,1.85,1.865,104537
2025-11-03,1.83,1.87,1.7401,1.78,116145
2025-11-04,1.7,1.78,1.66,1.68,134463
2025-11-05,1.65,1.67,1.54,1.59,124849
2025-11-06,1.56,1.7,1.555,1.56,84460
2025-11-07,1.55,1.56,1.45,1.5,144609
2025-11-10,1.48,1.7385,1.4703,1.66,336158
2025-11-11,1.64,1.64,1.39,1.42,271065
2025-11-12,1.43,1.45,1.36,1.41,119017
2025-11-13,1.39,1.405,1.29,1.34,183955
2025-11-14,1.3,1.57,1.3,1.55,2268417
2025-11-17,1.54,1.69,1.41,1.54,568518
2025-11-18,1.5,1.6,1.47,1.58,137680
2025-11-19,1.59,1.7993,1.5719,1.74,204295
2025-11-20,1.76,1.8,1.57,1.72,166316
2025-11-21,1.68,1.76,1.6218,1.68,152434
2025-11-24,1.65,1.658,1.46,1.5,252711
2025-11-25,1.51,1.5551,1.5,1.5,35003
2025-11-26,1.52,1.53,1.46,1.51,55658
2025-11-28,1.42,1.485,1.33,1.33,538842
2025-12-01,1.4,1.42,1.36,1.37,199776
2025-12-02,1.39,1.39,1.33,1.34,155701
2025-12-03,1.36,1.36,1.3,1.32,124018
2025-12-04,1.34,1.3497,1.29,1.31,198998
2025-12-05,1.32,1.34,1.26,1.29,194708
2025-12-08,1.33,1.33,1.2,1.2,190892
2025-12-09,1.25,1.26,1.22,1.26,61221
2025-12-10,1.23,1.24,1.2,1.22,120507
2025-12-11,1.2,1.21,1.16,1.19,108008
2025-12-12,1.2,1.2,1.15,1.18,125691
2025-12-15,1.19,1.19,1.1,1.12,107701
2025-12-16,1.11,1.18,1.05,1.1,137949
2025-12-17,1.08,1.1,1.0387,1.04,229312
2025-12-18,1.08,1.08,1.01,1.04,118573
2025-12-19,1.04,1.08,1.0106,1.04,58303
2025-12-22,1.05,1.2,1.05,1.11,480532
2025-12-23,1.11,1.13,1.04,1.04,113026
2025-12-24,1.05,1.1178,1.04,1.07,46782
2025-12-26,1.09,1.09,0.9649,0.98,259262
2025-12-29,1.03,1.06,0.98501,1.04,197815
2025-12-30,1.04,1.1178,1.0204,1.05,107232
2025-12-31,1.05,1.05,0.98,1.01,92945
2026-01-02,1.07,1.0799,0.97,0.976,211519
2026-01-05,0.99,1.05,0.99,1.0,221119
2026-01-06,1.01,1.02,0.98,0.9999,302623
2026-01-07,1.02,1.0299,0.97,0.98,160418
2026-01-08,0.9902,1.021,0.97,0.98,88941
2026-01-09,1.0,1.0,0.9518,0.9627,89915
2026-01-12,0.99,1.0,0.962,0.9922,491930
2026-01-13,0.98,0.9922,0.9645,0.9665,132090
2026-01-14,1.0,1.0,0.9138,0.945,220117
2026-01-15,0.9555,0.9851,0.930101,0.94,139510
2026-01-16,0.94,0.97,0.92,0.92,103265
2026-01-20,1.0,1.0,0.953,0.98,264508
