Date,Open,High,Low,Close,Volume
2025-06-09,2.77,3.4,2.5625,3.23,1453645.0
2025-06-10,3.2,3.2,2.7,2.805,405163.0
2025-06-11,2.84,2.876,2.7,2.8204,100990.0
2025-06-12,2.83,3.1,2.39,2.47,1224772.0
2025-06-13,2.5,2.775,2.5,2.66,319600.0
2025-06-16,2.67,3.94,2.5886,3.63,1286216.0
2025-06-17,3.6,3.6823,3.1185,3.24,300449.0
2025-06-18,3.29,3.98,3.29,3.87,260278.0
2025-06-20,4.03,5.75,4.01,4.13,2029178.0
2025-06-23,4.27,4.5782,3.82,4.25,557187.0
2025-06-24,4.21,4.3806,4.06,4.08,296332.0
2025-06-25,4.05,5.06,3.9,4.93,620728.0
2025-06-26,4.9,4.94,4.3,4.73,399003.0
2025-06-27,4.65,5.74,4.4301,5.68,903716.0
2025-06-30,5.77,7.5499,5.74,6.86,1101784.0
2025-07-01,6.87,8.74,6.55,8.64,629003.0
2025-07-02,8.55,8.75,7.7,8.45,333403.0
2025-07-03,6.1,7.1315,5.25,6.7,3818538.0
2025-07-07,6.66,7.31,6.2,7.0,1856226.0
2025-07-08,6.7,6.82,5.7,6.58,549232.0
2025-07-09,6.36,7.25,6.36,6.55,336408.0
2025-07-10,6.51,7.37,6.32,6.91,553539.0
2025-07-11,7.07,7.3999,6.57,6.86,315505.0
2025-07-14,6.86,7.06,4.04,4.7,2635647.0
2025-07-15,4.54,5.07,4.27,4.55,575808.0
2025-07-16,4.63,5.1393,3.13,3.21,2221234.0
2025-07-17,3.21,3.21,2.85,2.97,734726.0
2025-07-18,2.97,3.36,2.95,3.24,656659.0
2025-07-21,3.2,3.3,2.95,3.01,351368.0
2025-07-22,3.01,3.2,2.9214,3.12,203845.0
2025-07-23,3.12,3.29,3.04,3.18,161120.0
2025-07-24,3.22,3.4289,3.21,3.27,143319.0
2025-07-25,3.2,3.27,3.0661,3.19,139736.0
2025-07-28,3.37,3.63,3.3,3.53,277735.0
2025-07-29,3.45,3.506,3.19,3.29,176698.0
2025-07-30,3.16,3.55,3.16,3.32,134068.0
2025-07-31,3.32,3.445,3.2113,3.39,70360.0
2025-08-01,3.39,3.45,3.2,3.44,62970.0
2025-08-04,3.37,3.415,3.07,3.21,200107.0
2025-08-05,3.33,3.35,3.07,3.285,196402.0
2025-08-06,3.23,3.296,3.0,3.04,141558.0
2025-08-07,3.04,3.1626,2.81,2.87,183146.0
2025-08-08,3.03,3.14,2.915,3.12,105058.0
2025-08-11,3.12,3.1835,2.26,2.49,647289.0
2025-08-12,2.49,2.8698,2.49,2.62,517090.0
2025-08-13,2.57,2.6887,2.0,2.07,639773.0
2025-08-14,2.03,2.13,1.86,2.04,316510.0
2025-08-15,1.98,2.08,1.9101,1.985,127916.0
2025-08-18,2.05,2.2356,1.95,2.17,191845.0
2025-08-19,2.2,2.21,1.92,1.96,254381.0
2025-08-20,2.0,2.0411,1.87,2.01,115260.0
2025-08-21,1.96,2.114861,1.95,2.02,1089491.0
2025-08-22,1.99,2.15,1.95,2.09,234309.0
2025-08-25,2.09,2.15,2.0598,2.09,66859.0
2025-08-26,2.12,2.2,2.08,2.18,120138.0
2025-08-27,2.19,2.21,2.08,2.1,43525.0
2025-08-28,2.1,2.13,2.02,2.06,82747.0
2025-08-29,2.02,2.1,1.91,2.0,199778.0
2025-09-02,1.96,2.04,1.95,1.98,55480.0
2025-09-03,1.97,2.02,1.9,1.92,122747.0
2025-09-04,1.92,1.96,1.77,1.9,169287.0
2025-09-05,1.89,1.8999,1.78,1.85,109318.0
2025-09-08,1.9,2.2,1.877,2.04,353038.0
2025-09-09,2.01,2.34,2.0,2.17,403646.0
2025-09-10,2.19,2.3,2.1151,2.28,152668.0
2025-09-11,2.22,2.3889,2.1301,2.18,169664.0
2025-09-12,2.16,2.54,2.16,2.34,351052.0
2025-09-15,2.37,2.38,2.28,2.34,91237.0
2025-09-16,2.27,2.37,2.2503,2.34,21245.0
2025-09-17,2.3,2.4,2.27,2.3,85841.0
2025-09-18,2.3,2.4377,2.25,2.38,46309.0
2025-09-19,2.36,2.42,2.31,2.42,107233.0
2025-09-22,2.43,2.43,2.3649,2.39,749553.0
2025-09-23,2.47,2.51,2.35,2.35,76849.0
2025-09-24,2.39,2.4712,2.32,2.41,92823.0
2025-09-25,2.47,2.57,2.3503,2.37,135791.0
2025-09-26,2.37,2.4036,2.18,2.24,185530.0
2025-09-29,2.21,2.44,2.21,2.38,43415.0
2025-09-30,2.42,2.42,2.35,2.4,35689.0
2025-10-01,2.42,2.45,2.3542,2.44,28389.0
2025-10-02,2.499,2.53,2.4274,2.47,37454.0
2025-10-03,2.48,2.5898,2.45,2.53,86797.0
2025-10-06,2.6,2.6,2.48,2.54,58378.0
2025-10-07,2.75,2.75,2.26,2.285,154748.0
2025-10-08,2.33,2.3896,2.2801,2.34,82021.0
2025-10-09,2.35,2.5301,2.34,2.48,147589.0
2025-10-10,2.5,2.57,2.28,2.31,63888.0
2025-10-13,2.32,2.38,2.29,2.357,25881.0
2025-10-14,2.41,2.41,2.2,2.31,113190.0
2025-10-15,2.31,2.35,2.23,2.295,55108.0
2025-10-16,2.3,2.31,2.22,2.24,37864.0
2025-10-17,2.25,2.25,2.2,2.24,27059.0
2025-10-20,2.21,2.31,2.21,2.31,27824.0
2025-10-21,2.27,2.51,2.27,2.4,101371.0
2025-10-22,2.35,2.52,2.33,2.48,78792.0
2025-10-23,2.47,2.54,2.33,2.38,103853.0
2025-10-24,2.4,2.4491,2.325,2.39,47780.0
2025-10-27,2.347,2.395,2.305,2.37,41115.0
2025-10-28,2.36,2.37,2.18,2.18,79977.0
2025-10-29,2.19,2.215,1.89,1.99,228292.0
2025-10-30,2.04,2.1,2.0302,2.08,46734.0
2025-10-31,2.05,2.2,2.05,2.17,38082.0
2025-11-03,2.15,2.1992,2.01,2.08,66727.0
2025-11-04,2.02,2.1051,1.94,1.94,69986.0
2025-11-05,1.95,2.0399,1.95,2.0,24316.0
2025-11-06,1.98,2.0055,1.84,1.87,79505.0
2025-11-07,1.85,1.9999,1.7501,1.9,78688.0
2025-11-10,1.9,2.09,1.9,1.95,33413.0
2025-11-11,1.91,2.0,1.9,1.95,13508.0
2025-11-12,1.94,2.0,1.89,1.92,34140.0
2025-11-13,1.89,1.93,1.7801,1.87,71098.0
2025-11-14,1.81,1.8899,1.8,1.81,16835.0
2025-11-17,1.85,1.8899,1.66,1.737,81771.0
2025-11-18,1.66,1.7628,1.66,1.67,53279.0
2025-11-19,1.68,1.68,1.03,1.05,789732.0
2025-11-20,1.06,1.07,0.63,0.69,1763974.0
2025-11-21,0.719,0.9487,0.6878,0.8273,1422313.0
2025-11-24,0.8406,0.97,0.812601,0.9269,222203.0
2025-11-25,0.91,1.09,0.91,1.065,221781.0
2025-11-26,1.11,1.3,0.9512,0.998,494523.0
2025-11-28,0.97,0.99,0.92,0.9201,140596.0
2025-12-01,0.914,1.26,0.914,1.19,889065.0
2025-12-02,1.2,1.2,0.8128,1.005,846998.0
2025-12-03,1.03,1.15,0.9631,0.9896,401346.0
2025-12-04,1.03,1.045,0.8853,0.9101,226567.0
2025-12-05,0.9134,0.976,0.8251,0.8413,219306.0
2025-12-08,0.839,0.84,0.62,0.6589,13557755.0
2025-12-09,1.04,1.94,1.03,1.4,283775290.0
2025-12-10,1.18,1.38,1.01,1.16,7681475.0
2025-12-11,1.07,1.17,0.9651,1.06,2209817.0
2025-12-12,1.07,1.67,1.055,1.09,14293892.0
2025-12-15,1.16,1.23,1.0803,1.12,1349447.0
2025-12-16,1.09,1.2799,1.09,1.09,960739.0
2025-12-17,1.08,1.1288,1.0,1.0,489752.0
2025-12-18,1.0,1.01,0.8574,0.8662,793902.0
2025-12-19,0.8482,0.9231,0.8482,0.9141,233658.0
2025-12-22,0.9145,0.9599,0.8513,0.8865,643467.0
2025-12-23,0.8742,0.8742,0.77,0.824,329927.0
2025-12-24,0.8,0.8089,0.7801,0.7882,136677.0
2025-12-26,0.8055,0.81,0.76,0.7676,264532.0
2025-12-29,0.7694,0.7694,0.69,0.6951,379876.0
2025-12-30,0.68,0.722681,0.68,0.705,141252.0
2025-12-31,0.7,0.704,0.6521,0.6597,235919.0
2026-01-02,0.6613,0.6771,0.6427,0.6587,89769.0
2026-01-05,0.647,0.6825,0.635,0.66,248120.0
2026-01-06,0.6402,0.6811,0.6101,0.6811,8631992.0
2026-01-07,0.8362,0.84,0.6912,0.7405,25093132.0
2026-01-08,0.717,0.888,0.7104,0.79,2152645.0
2026-01-09,0.796,0.87,0.7911,0.838,854848.0
2026-01-12,0.8,0.8369,0.7627,0.8,486911.0
2026-01-13,0.7701,0.78817,0.7201,0.7491,475611.0
2026-01-14,0.728,0.76,0.7216,0.7556,164509.0
2026-01-15,0.7362,0.7549,0.7031,0.7298,143448.0
2026-01-16,0.7079,0.7079,0.665,0.6892,329703.0
2026-01-20,0.6764,0.7,0.6101,0.677,338341.0
2026-01-21,0.6696,0.69,0.66,0.664,216215.0
2026-01-22,0.69,0.727,0.6722,0.7047,280129.0
2026-01-23,0.7331,0.7673,0.7054,0.754,359241.0
2026-01-26,0.8,0.8,0.69,0.7498,1023194.0
2026-01-27,0.726,0.77,0.7147,0.77,149039.0
2026-01-28,0.7825,0.7826,0.7382,0.7779,425214.0
2026-01-29,0.765,0.765,0.7,0.7389,195423.0
2026-01-30,0.72,0.738,0.7,0.7119,113102.0
2026-02-02,0.7,0.7337,0.6901,0.6961,87877.0
2026-02-03,0.6862,0.6999,0.6601,0.6899,126937.0
2026-02-04,0.68,0.6894,0.6401,0.6445,100510.0
2026-02-05,0.64,0.643937,0.5703,0.5703,261616.0
2026-02-06,0.5887,0.644,0.58,0.612,202671.0
2026-02-09,0.6579,0.6579,0.6067,0.6067,88975.0
2026-02-10,0.6214,0.6214,0.5701,0.5701,121898.0
2026-02-11,0.5898,0.59,0.5408,0.545,124141.0
2026-02-12,0.5751,0.58,0.5302,0.562,80064.0
2026-02-13,0.5445,0.555,0.521,0.5448,90130.0
2026-02-17,0.5358,0.5358,0.5005,0.5188,59420.0
2026-02-18,0.553,0.5617,0.54,0.5416,74272.0
2026-02-19,0.551224,0.6199,0.5311,0.619,179645.0
2026-02-20,0.6128,0.6128,0.578,0.5831,55485.0
2026-02-23,0.5571,0.5653,0.5143,0.5383,76045.0
2026-02-24,0.527,0.56,0.51,0.537,45600.0
2026-02-25,0.5209,0.5834,0.5185,0.54,103200.0
2026-02-26,0.52,0.5555,0.52,0.5378,77809.0
2026-02-27,0.5236,0.549,0.5121,0.5121,50351.0
2026-03-02,0.5,0.5,0.4515,0.4546,159082.0
2026-03-03,0.45,0.4501,0.3705,0.42,183502.0
2026-03-04,0.4294,0.4699,0.4201,0.4589,201927.0
2026-03-05,0.433,0.5899,0.4201,0.4666,1050421.0
2026-03-06,0.465,0.514,0.4587,0.49,125301.0
2026-03-09,0.4856,0.49,0.4504,0.4715,53007.0
2026-03-10,0.4876,0.5188,0.4622,0.49,128366.0
2026-03-11,0.49,0.51,0.455,0.4701,44387.0
2026-03-12,0.46,0.49,0.4558,0.465,41573.0
2026-03-13,0.451,0.4817,0.4501,0.4521,32900.0
2026-03-16,0.5,0.5445,0.4835,0.51,2221675.0
2026-03-17,0.4956,0.5299,0.4795,0.5084,283550.0
2026-03-18,0.4995,0.535,0.4944,0.5344,107617.0
2026-03-19,0.5237,0.53,0.4901,0.5179,66391.0
2026-03-20,0.4951,0.4986,0.45,0.4856,149738.0
2026-03-23,0.4759,0.485,0.45,0.4732,49913.0
2026-03-24,0.4597,0.4597,0.4302,0.4573,25339.0
2026-03-25,0.424,0.4492,0.390101,0.408,170679.0
2026-03-26,0.4076,0.4149,0.38,0.3835,69058.0
2026-03-27,0.396,0.396,0.3405,0.35,90297.0
2026-03-30,0.36,0.36,0.314001,0.323,66292.0
2026-03-31,0.342,0.342,0.3142,0.3226,84857.0
2026-04-01,0.3295,0.3298,0.3203,0.3208,46231.0
2026-04-02,0.32,0.332,0.3115,0.332,85962.0
2026-04-06,0.3455,0.4,0.33,0.379,407659.0
2026-04-07,0.3714,0.4013,0.3359,0.4013,272953.0
2026-04-08,0.3997,0.42,0.39,0.3932,175352.0
2026-04-09,0.401,0.401,0.36,0.3664,408304.0
2026-04-10,0.349,0.379899,0.347,0.356,63939.0
2026-04-13,0.345,0.3967,0.345,0.3884,225004.0
2026-04-14,0.4042,0.437499,0.3925,0.421,370761.0
2026-04-15,0.44,0.4685,0.43,0.4593,297881.0
2026-04-16,0.4501,0.4525,0.4166,0.4413,456284.0
2026-04-17,0.4224,0.4485,0.39,0.4241,685085.0
2026-04-20,0.4115,0.443274,0.4115,0.4281,237745.0
2026-04-21,0.4195,0.4279,0.3999,0.4089,182009.0
2026-04-22,0.418,0.4294,0.3875,0.409,362155.0
2026-04-23,0.404,0.409,0.3536,0.371,328580.0
2026-04-24,0.3699,0.38,0.366101,0.38,191049.0
2026-04-27,0.38,0.398,0.3701,0.3957,306882.0
2026-04-28,0.3954,0.419899,0.3872,0.395,315939.0
2026-04-29,0.3861,0.39,0.378999,0.3802,95529.0
2026-04-30,0.3709,0.3962,0.360701,0.3755,99355.0
2026-05-01,0.376,0.3864,0.374,0.374,110303.0
2026-05-04,0.3835,0.388,0.375,0.3771,132183.0
2026-05-05,0.38465,0.3967,0.375101,0.3878,139391.0
2026-05-06,0.3756,0.4198,0.375,0.397,331446.0
2026-05-07,0.3792,0.4048,0.37,0.3816,883645.0
2026-05-08,0.381,0.397,0.351,0.397,1075653.0
2026-05-11,0.39855,0.4399,0.3984,0.4399,618267.0
2026-05-12,0.4332,0.4332,0.404,0.407,188262.0
2026-05-13,0.4048,0.408,0.3811,0.386,220770.0
2026-05-14,0.3844,0.3984,0.36695,0.3801,164422.0
2026-05-15,0.3808,0.3886,0.3687,0.3763,171443.0
2026-05-18,0.37,0.3867,0.37,0.376,58408.0
2026-05-19,0.3832,0.3991,0.366,0.366,195763.0
2026-05-20,0.38,0.4642,0.3678,0.4539,13926521.0
2026-05-21,0.54195,0.955,0.521101,0.82,140867893.0
2026-05-22,0.7799999713897705,0.8669999837875366,0.7139999866485596,0.8190000057220459,7629500.0
2026-05-26,0.8299999833106995,1.1200000047683716,0.7409999966621399,1.0700000524520874,8046400.0
2026-05-27,1.2949999570846558,1.6100000143051147,1.2949999570846558,1.5750000476837158,28460200.0
2026-05-28,1.350000023841858,1.870000004768372,1.309999942779541,1.7899999618530271,6333100.0
2026-05-29,1.2699999809265137,1.350000023841858,0.9300000071525574,1.100000023841858,3906100.0
2026-06-01,0.8450000286102295,1.0789999961853027,0.8349999785423279,0.8999999761581421,1813500.0
2026-06-02,0.8999999761581421,1.1699999570846558,0.8999999761581421,0.9020000100135803,1636500.0
2026-06-03,0.949999988079071,1.149999976158142,0.9010000228881836,1.0099999904632568,1663700.0
2026-06-04,0.9879999756813049,1.059999942779541,0.9330000281333923,1.0199999809265137,984300.0
2026-06-05,1.0099999904632568,1.0099999904632568,0.8820000290870667,0.9319999814033508,672600.0
2026-06-08,0.949999988079071,0.9879999756813049,0.949999988079071,0.9850000143051147,296000.0
2026-06-09,0.9100000262260437,0.9380000233650208,0.8230000138282776,0.875,614600.0
2026-06-10,0.8650000095367432,0.8930000066757202,0.828000009059906,0.8930000066757202,216800.0
2026-06-11,0.843999981880188,0.8859999775886536,0.7839999794960022,0.8240000009536743,278400.0
