Date,Open,High,Low,Close,Volume
2025-07-11,9.72,10.15,9.49,9.57,92738.0
2025-07-14,10.2,10.41,9.5,9.9,112221.0
2025-07-15,10.05,10.27,9.24,9.38,37335.0
2025-07-16,9.5,10.054,9.5,9.97,63885.0
2025-07-17,9.93,10.2,9.51,9.51,88620.0
2025-07-18,9.93,10.185,9.5644,10.11,137688.0
2025-07-21,10.15,10.35,9.38,9.39,93501.0
2025-07-22,9.56,9.56,9.13,9.49,15308.0
2025-07-23,9.49,9.64,9.35,9.595,9733.0
2025-07-24,9.675,9.82,9.37,9.76,32006.0
2025-07-25,9.61,9.61,9.13,9.13,18111.0
2025-07-28,9.3,9.6333,9.2,9.55,20106.0
2025-07-29,9.35,9.35,8.85,8.9,28605.0
2025-07-30,8.88,9.31,8.805,9.05,28874.0
2025-07-31,8.79,8.89,8.37,8.62,25333.0
2025-08-01,8.58,8.89,8.395,8.6,57654.0
2025-08-04,8.64,8.97,8.64,8.9,10615.0
2025-08-05,9.02,9.1799,8.7,8.72,22664.0
2025-08-06,8.99,8.99,8.55,8.66,17515.0
2025-08-07,8.71,9.305,8.33,8.63,16779.0
2025-08-08,9.19,9.19,8.3,8.58,100856.0
2025-08-11,8.41,8.58,7.62,7.69,84773.0
2025-08-12,7.7,8.085,7.41,7.78,32151.0
2025-08-13,7.78,8.27,7.78,8.27,27797.0
2025-08-14,8.05,8.42,7.9029,8.18,23014.0
2025-08-15,8.18,8.38,7.48,7.54,72723.0
2025-08-18,7.675,8.1153,7.33,8.06,67831.0
2025-08-19,7.93,7.93,7.35,7.45,32298.0
2025-08-20,7.4411,7.7,7.0658,7.61,22055.0
2025-08-21,7.47,7.9,7.47,7.78,25152.0
2025-08-22,7.89,8.56,7.7,8.45,124067.0
2025-08-25,8.5,8.7999,8.239,8.315,37793.0
2025-08-26,8.31,8.9374,8.11,8.9374,35081.0
2025-08-27,8.7,8.8917,8.55,8.65,27941.0
2025-08-28,8.7,9.34,8.63,9.34,18365.0
2025-08-29,9.25,9.26,8.572,9.155,22609.0
2025-09-02,8.8504,9.3003,8.7,8.895,51100.0
2025-09-03,8.99,9.39,8.6,9.32,69691.0
2025-09-04,8.8598,9.31,8.8598,9.06,21829.0
2025-09-05,9.3202,9.75,8.9,9.655,53374.0
2025-09-08,9.75,10.88,9.75,10.32,134919.0
2025-09-09,10.43,10.8,10.1212,10.26,72744.0
2025-09-10,10.27,10.27,9.06,9.51,48364.0
2025-09-11,9.98,10.2,9.61,10.16,112800.0
2025-09-12,10.06,10.4,10.02,10.31,76692.0
2025-09-15,10.54,11.03,10.447,10.92,102945.0
2025-09-16,11.08,11.2,10.6,10.75,44557.0
2025-09-17,10.92,10.98,9.9851,10.02,101187.0
2025-09-18,10.515,10.6768,9.91,10.42,62217.0
2025-09-19,10.43,10.75,9.6,9.91,158972.0
2025-09-22,9.45,10.5,9.32,10.29,105002.0
2025-09-23,9.95,10.72,9.94,10.63,63703.0
2025-09-24,10.44,10.5,9.8998,10.21,45568.0
2025-09-25,10.15,10.42,9.995,10.01,55509.0
2025-09-26,10.01,10.34,10.01,10.1,32650.0
2025-09-29,10.28,10.4,10.06,10.28,63221.0
2025-09-30,10.26,10.685,10.145,10.63,79843.0
2025-10-01,10.6697,11.4539,10.5,10.62,74754.0
2025-10-02,10.62,10.87,10.0,10.33,414000.0
2025-10-03,10.08,10.67,10.02,10.29,83936.0
2025-10-06,10.27,10.67,10.27,10.43,74887.0
2025-10-07,10.31,10.82,10.2,10.72,123243.0
2025-10-08,10.82,11.6,10.565,11.43,159697.0
2025-10-09,11.11,11.45,10.8,11.08,73853.0
2025-10-10,11.21,11.21,9.2,9.25,124332.0
2025-10-13,9.52,10.0,9.095,9.73,155361.0
2025-10-14,9.34,9.995,8.94,9.665,91250.0
2025-10-15,9.845,10.0,9.15,9.28,138202.0
2025-10-16,9.1,9.295,8.96,8.96,47306.0
2025-10-17,8.77,8.9999,8.5,8.52,49784.0
2025-10-20,8.83,9.3,8.57,9.16,146205.0
2025-10-21,9.1,9.3,8.85,8.96,124441.0
2025-10-22,8.9,9.29,8.62,8.94,52988.0
2025-10-23,9.03,9.43,8.97,9.43,109149.0
2025-10-24,9.43,9.85,9.335,9.77,136273.0
2025-10-27,9.94,10.5,9.56,10.19,155381.0
2025-10-28,10.17,10.5429,9.9,9.99,156212.0
2025-10-29,9.97,10.11,9.36,9.38,67884.0
2025-10-30,9.14,9.48,9.14,9.26,74547.0
2025-10-31,9.3712,9.76,9.21,9.58,97063.0
2025-11-03,9.61,9.61,8.74,8.75,45053.0
2025-11-04,8.6,9.0079,8.095,8.11,55591.0
2025-11-05,8.03,8.47,8.0,8.26,44466.0
2025-11-06,8.35,8.4,7.97,8.055,20933.0
2025-11-07,7.88,8.0,7.4,7.55,37141.0
2025-11-10,7.75,8.36,7.75,7.88,79465.0
2025-11-11,7.78,7.8385,7.45,7.68,46691.0
2025-11-12,7.97,7.97,7.28,7.34,16928.0
2025-11-13,7.32,7.35,6.49,6.85,39569.0
2025-11-14,6.51,7.1326,6.465,6.54,68441.0
2025-11-17,6.41,7.295,6.2911,6.48,33426.0
2025-11-18,6.34,6.57,6.255,6.36,16785.0
2025-11-19,6.26,6.4599,5.9481,6.21,39737.0
2025-11-20,6.5,6.93,6.25,6.34,72776.0
2025-11-21,6.32,7.14,6.24,7.01,100933.0
2025-11-24,7.36,7.52,6.9,7.41,36538.0
