Date,Open,High,Low,Close,Volume
2024-01-02,25.2,26.4,24.6,25.2,30735.0
2024-01-03,25.2,25.6,22.6,22.7,52009.7
2024-01-04,23.0,23.6,22.802,23.3,19271.15
2024-01-05,23.0,23.414,22.2,23.2,26214.8
2024-01-08,23.0,24.4,22.8,22.8,34975.95
2024-01-09,22.4,23.0,21.6,22.2,26761.1
2024-01-10,22.0,22.4,21.2,21.4,21693.4
2024-01-11,21.0,21.8,20.4,21.2,24990.9
2024-01-12,21.0,21.6,20.2,20.2,18974.75
2024-01-16,20.2,20.2,17.802,17.842,55289.85
2024-01-17,18.38,18.38,16.0,16.56,34245.3
2024-01-18,16.808,16.854,16.0,16.4,19586.25
2024-01-19,16.604,16.998,15.246,16.998,23674.0
2024-01-22,17.0,17.782,16.052,16.4,19088.3
2024-01-23,16.94,16.996,16.0,16.71,17063.5
2024-01-24,17.0,17.222,16.0,16.0,19579.1
2024-01-25,16.738,16.738,15.6,16.3,15141.65
2024-01-26,16.0,16.632,16.0,16.16,8230.6
2024-01-29,16.04,17.0,16.0,17.0,13052.75
2024-01-30,16.954,16.958,16.242,16.29,8520.65
2024-01-31,16.56,16.632,15.648,15.762,11831.45
2024-02-01,15.8,16.356,14.69,15.706,32091.75
2024-02-02,15.2,15.4203,13.002,13.806,85717.9
2024-02-05,14.002,14.002,13.2,13.996,15244.2
2024-02-06,13.96,14.4,13.4,14.296,14398.75
2024-02-07,14.2,14.562,13.522,14.344,14673.2
2024-02-08,13.86,16.596,13.86,15.906,30091.95
2024-02-09,16.2,17.3,15.2,16.662,28746.55
2024-02-12,16.8,19.784,16.6,18.51,40149.45
2024-02-13,18.044,18.8,17.2,18.348,24030.7
2024-02-14,17.838,20.2,17.804,19.53,29773.65
2024-02-15,19.5,21.6,19.468,21.4,33300.85
2024-02-16,21.2,21.4,19.022,19.326,22017.7
2024-02-20,19.0,19.2,17.01,17.532,18786.5
2024-02-21,17.202,17.448,16.064,16.8,14183.25
2024-02-22,17.2,17.8,16.24,17.8,24817.3
2024-02-23,17.266,17.584,16.4,16.54,12325.35
2024-02-26,16.498,18.8,16.498,18.5,24014.85
2024-02-27,18.8,20.2,18.46,20.0,23952.6
2024-02-28,20.0,20.8,19.4,19.772,19161.85
2024-02-29,19.6,20.8,19.406,19.506,12264.1
2024-03-01,20.0,20.6,19.602,20.6,13437.3
2024-03-04,20.0,20.6,19.222,20.0,24202.3
2024-03-05,19.6,20.2,19.4,19.7,16294.65
2024-03-06,19.7,20.6,19.492,20.6,21925.3
2024-03-07,19.62,20.598,19.62,19.92,15745.25
2024-03-08,20.0,21.6,19.622,20.4,37756.95
2024-03-11,20.0,21.6,20.0,21.2,29287.1
2024-03-12,20.6,22.8,20.4,22.2,37561.15
2024-03-13,22.0,22.6,21.6,22.0,12689.75
2024-03-14,21.8,22.4,21.24,22.4,18939.1
2024-03-15,21.6,22.6,21.6,21.8,10943.9
2024-03-18,21.2,22.2,21.2,22.0,13059.5
2024-03-19,21.8,22.0,21.6,22.0,6657.4
2024-03-20,22.0,22.6,21.4,22.6,18824.4
2024-03-21,22.6,24.4,22.4,23.0,43265.5
2024-03-22,22.8,23.0,21.2,22.0,19014.0
2024-03-25,21.8,22.8,21.2,21.2,17447.95
2024-03-26,21.2,21.6,18.22,18.402,27535.35
2024-03-27,19.0,19.0,17.2,17.518,25114.35
2024-03-28,17.644,18.786,17.4,18.484,14996.75
2024-04-01,18.43,18.798,17.486,17.694,11868.75
2024-04-02,17.6,18.06,16.602,17.0,20651.2
2024-04-03,16.962,17.4,16.702,16.98,12468.5
2024-04-04,17.0,17.434,16.65,16.8,10890.45
2024-04-05,16.634,17.596,16.4,17.05,13510.45
2024-04-08,17.222,17.4,16.602,16.8,8947.3
2024-04-09,17.15,17.793,16.644,17.02,11302.0
2024-04-10,16.702,16.874,15.8,16.248,16248.55
2024-04-11,16.114,17.0,16.0,16.628,10190.5
2024-04-12,16.4,16.822,16.0,16.04,8424.95
2024-04-15,15.758,16.336,15.0,15.04,16790.65
2024-04-16,15.0,15.35,14.4,14.504,13135.25
2024-04-17,14.6,15.186,14.4,14.496,9453.65
2024-04-18,14.63,15.0,14.4,14.584,5509.5
2024-04-19,14.5,15.18,14.4,15.126,9490.05
2024-04-22,15.02,15.396,14.606,15.248,7605.45
2024-04-23,15.376,16.48,15.122,16.056,9501.1
2024-04-24,16.688,16.688,15.2,15.674,11454.35
2024-04-25,15.0,16.0,15.0,15.724,6121.3
2024-04-26,15.8,16.798,15.2,16.62,11559.85
2024-04-29,16.61,16.72,15.7,16.466,17025.75
2024-04-30,15.972,16.4,15.7,15.896,10521.5
2024-05-01,15.7,16.36,15.62,16.2,9016.4
2024-05-02,16.6,17.332,15.62,16.9,20129.4
2024-05-03,17.1,17.998,16.6,17.476,36567.7
2024-05-06,17.46,17.968,16.84,17.04,28054.45
2024-05-07,17.0,17.406,16.2,16.8,14558.15
2024-05-08,16.6,17.6,16.236,17.264,11300.5
2024-05-09,17.076,17.6,16.6,17.544,17764.6
2024-05-10,17.208,17.5438,16.426,16.598,14937.65
2024-05-13,16.874,21.6,16.874,21.0,178427.15
2024-05-14,23.2,24.0,19.4,20.2,185145.5
2024-05-15,19.898,21.6,18.824,21.0,46382.95
2024-05-16,20.4,22.998,19.4,22.4,42076.35
2024-05-17,21.6,21.8,20.0,20.6,31663.35
2024-05-20,20.0,24.0,20.0,22.6,49500.45
2024-05-21,22.2,22.6,20.8,21.4,32022.55
2024-05-22,21.0,22.2,20.8,21.8,38372.55
2024-05-23,21.4,21.798,20.0,20.4,36654.55
2024-05-24,20.4,21.1,19.842,20.4,32226.55
2024-05-28,20.0,20.4,19.6,19.98,22611.25
2024-05-29,18.858,19.8,18.2,18.8,23896.85
2024-05-30,18.236,18.88,17.422,17.63,36440.2
2024-05-31,17.6,17.99,17.202,17.622,11305.4
2024-06-03,18.6,19.6,17.264,18.2,25724.2
2024-06-04,18.084,18.2,17.12,17.5,12363.85
2024-06-05,17.6,18.8,16.8,18.738,32013.65
2024-06-06,18.37,19.944,17.876,19.092,42073.55
2024-06-07,19.03,20.54,17.656,18.19,38163.35
2024-06-10,18.2,18.2,17.2,17.662,11651.75
2024-06-11,17.7,18.354,17.0,18.354,25410.6
2024-06-12,18.156,19.032,18.0,18.058,19396.6
2024-06-13,18.0,18.266,17.22,17.622,12262.75
2024-06-14,17.6,17.902,16.802,17.05,21785.9
2024-06-17,17.452,17.68,16.8,17.178,12555.45
2024-06-18,17.2,17.398,16.738,17.214,12042.15
