Date,Open,High,Low,Close,Volume
2025-06-09,5.33,5.62,5.27,5.52,5323312
2025-06-10,5.64,6.0991,5.575,5.84,4791860
2025-06-11,5.84,5.855,5.47,5.705,3725488
2025-06-12,5.69,5.785,5.58,5.62,5210720
2025-06-13,5.47,5.655,5.44,5.53,3982338
2025-06-16,5.59,5.715,5.45,5.64,3986230
2025-06-17,5.56,5.62,5.25,5.28,3302535
2025-06-18,5.25,5.365,4.975,4.99,6482799
2025-06-20,5.02,5.08,4.93,4.94,6103681
2025-06-23,4.88,5.01,4.7,4.77,7011312
2025-06-24,4.77,4.94,4.745,4.93,10056261
2025-06-25,4.86,4.965,4.795,4.87,5982263
2025-06-26,4.83,4.91,4.77,4.79,5151487
2025-06-27,4.76,4.815,4.59,4.73,9283088
2025-06-30,4.69,4.89,4.655,4.78,8688343
2025-07-01,4.74,5.14,4.625,5.08,15743149
2025-07-02,5.11,5.33,4.9001,5.23,10876843
2025-07-03,5.24,5.4,5.205,5.33,4019215
2025-07-07,5.29,5.33,4.96,4.98,6456235
2025-07-08,4.98,5.27,4.94,5.24,6946783
2025-07-09,5.24,5.505,5.105,5.5,6150724
2025-07-10,5.53,5.74,5.4974,5.58,4998909
2025-07-11,5.52,5.61,5.375,5.39,3122210
2025-07-14,5.34,5.37,5.075,5.22,3468648
2025-07-15,5.32,5.38,4.96,4.97,3807768
2025-07-16,4.98,5.05,4.845,4.92,4786424
2025-07-17,4.91,5.0,4.845,4.86,3442499
2025-07-18,4.92,4.96,4.71,4.74,5363292
2025-07-21,4.73,4.84,4.715,4.78,5614547
2025-07-22,4.82,5.045,4.81,5.02,3988643
2025-07-23,5.07,5.195,5.0,5.06,4813032
2025-07-24,5.01,5.21,5.01,5.12,4200763
2025-07-25,5.17,5.28,5.115,5.22,4148452
2025-07-28,5.23,5.47,5.14,5.42,5431260
2025-07-29,4.96,5.015,4.69,4.83,8184529
2025-07-30,4.81,4.945,4.64,4.695,8704169
2025-07-31,4.64,4.81,4.6,4.65,6749778
2025-08-01,4.64,4.77,4.5601,4.66,6055646
2025-08-04,4.69,4.85,4.65,4.68,4712984
2025-08-05,4.69,4.79,4.625,4.68,5564502
2025-08-06,4.65,4.78,4.63,4.77,6849467
2025-08-07,4.88,5.01,4.78,5.0,4610646
2025-08-08,5.03,5.09,4.89,5.08,5799582
2025-08-11,5.1,5.205,5.02,5.11,8386576
2025-08-12,5.16,5.29,5.12,5.23,6320503
2025-08-13,5.23,5.57,5.16,5.54,4423348
2025-08-14,5.47,5.52,5.39,5.5,2352504
2025-08-15,5.55,5.575,5.36,5.43,3427984
2025-08-18,5.44,5.61,5.34,5.54,10494259
2025-08-19,5.58,5.68,5.485,5.61,2937142
2025-08-20,5.53,5.59,5.385,5.57,9851191
2025-08-21,5.48,5.65,5.47,5.6,6102580
2025-08-22,5.68,5.845,5.62,5.64,2900316
2025-08-25,5.63,5.74,5.465,5.6,4988646
2025-08-26,5.56,5.71,5.51,5.63,5490136
2025-08-27,5.64,5.785,5.6,5.74,2953378
2025-08-28,5.72,5.77,5.63,5.75,6390933
2025-08-29,5.76,5.855,5.735,5.75,2719977
2025-09-02,5.7,5.72,5.49,5.64,3222510
2025-09-03,5.57,5.73,5.51,5.72,2911565
2025-09-04,5.7,5.76,5.38,5.74,5286585
2025-09-05,5.74,5.92,5.67,5.75,3009526
2025-09-08,5.79,5.83,5.595,5.66,8681765
2025-09-09,5.68,5.78,5.57,5.73,2051226
2025-09-10,5.69,5.76,5.52,5.59,5196764
2025-09-11,5.62,5.84,5.62,5.74,15387870
2025-09-12,5.74,5.77,5.455,5.5,8191780
2025-09-15,5.51,5.61,5.405,5.47,4161946
2025-09-16,5.41,5.41,4.9,5.27,7186365
2025-09-17,5.29,5.71,5.255,5.46,11378216
2025-09-18,5.5,5.775,5.42,5.67,5418019
2025-09-19,5.7,5.775,5.515,5.61,12191017
2025-09-22,5.64,5.75,5.4,5.74,7364666
2025-09-23,5.79,5.855,5.54,5.6,6727736
2025-09-24,5.59,5.73,5.275,5.42,6289484
2025-09-25,5.33,5.39,5.095,5.36,6733807
2025-09-26,5.38,5.7,5.32,5.67,4253148
2025-09-29,5.66,5.69,5.46,5.59,22194403
2025-09-30,5.64,5.815,5.59,5.71,7429133
2025-10-01,5.75,5.98,5.69,5.8,4173236
2025-10-02,5.8,5.845,5.685,5.795,5121954
2025-10-03,5.82,6.07,5.815,6.06,7200291
2025-10-06,6.02,6.1,5.57,5.63,6723295
2025-10-07,5.6,5.735,5.55,5.59,6461013
2025-10-08,5.6,5.82,5.57,5.82,6954595
2025-10-09,6.6,7.17,6.45,6.78,12464377
2025-10-10,6.88,6.885,5.74,6.04,9241421
2025-10-13,6.09,6.21,5.92,5.95,4474326
2025-10-14,5.87,6.08,5.77,5.91,3729763
2025-10-15,5.96,6.06,5.81,5.95,3909995
2025-10-16,6.08,6.195,5.83,5.93,4093926
2025-10-17,5.86,5.915,5.78,5.88,3158425
2025-10-20,5.96,6.07,5.85,5.89,2752094
2025-10-21,5.94,5.98,5.835,5.9,2764488
2025-10-22,5.92,6.2265,5.835,6.14,4724422
2025-10-23,6.13,6.26,5.98,6.07,2851654
2025-10-24,6.12,6.205,6.04,6.19,2635059
2025-10-27,6.21,6.4,6.125,6.21,3163885
2025-10-28,6.2,6.275,6.12,6.16,2907913
2025-10-29,6.11,6.445,6.075,6.23,3471668
