Date,Open,High,Low,Close,Volume
2024-01-02,2.32,2.52,2.229,2.31,100171
2024-01-03,2.31,2.34,2.11,2.13,67597
2024-01-04,2.15,2.32,2.15,2.27,47386
2024-01-05,2.27,2.36,2.2,2.22,33560
2024-01-08,2.22,2.2902,2.1507,2.27,35276
2024-01-09,2.29,2.47,2.29,2.35,58958
2024-01-10,2.36,2.36,2.1201,2.25,53881
2024-01-11,2.25,2.25,2.06,2.14,47758
2024-01-12,2.13,2.19,2.06,2.12,33384
2024-01-16,2.11,2.11,1.96,2.04,60388
2024-01-17,2.0,2.0,1.854,1.94,47606
2024-01-18,1.94,1.95,1.82,1.86,25654
2024-01-19,1.86,2.09,1.8007,1.97,35858
2024-01-22,1.98,2.1098,1.97,2.03,36274
2024-01-23,2.05,2.1,1.91,1.99,42911
2024-01-24,1.99,2.0075,1.86,1.94,34215
2024-01-25,1.9,1.98,1.83,1.89,32604
2024-01-26,1.89,1.89,1.82,1.82,35051
2024-01-29,1.82,1.83,1.66,1.66,55883
2024-01-30,1.66,1.8065,1.64,1.67,22863
2024-01-31,1.67,1.79,1.66,1.71,24702
2024-02-01,1.73,1.8,1.73,1.76,27219
2024-02-02,1.75,1.75,1.68,1.68,15174
2024-02-05,1.67,1.67,1.61,1.63,32798
2024-02-06,1.62,1.6652,1.6,1.61,22433
2024-02-07,1.61,1.7,1.61,1.655,28834
2024-02-08,1.69,1.79,1.61,1.73,20968
2024-02-09,1.7,1.77,1.655,1.69,27551
2024-02-12,1.67,1.72,1.61,1.67,23425
2024-02-13,1.65,1.67,1.63,1.65,9759
2024-02-14,1.63,1.8,1.63,1.73,19553
2024-02-15,1.73,1.7981,1.71,1.71,7104
2024-02-16,1.71,1.71,1.65,1.7,23693
2024-02-20,1.66,1.66,1.51,1.55,86963
2024-02-21,1.55,1.55,1.5101,1.53,17682
2024-02-22,1.52,1.52,1.46,1.5,29585
2024-02-23,1.51,1.6799,1.51,1.54,22286
2024-02-26,1.54,1.68,1.54,1.643,24997
2024-02-27,1.7,1.7,1.65,1.65,18995
2024-02-28,1.69,1.69,1.5,1.55,43726
2024-02-29,1.55,1.55,1.47,1.5,43822
2024-03-01,1.48,1.48,1.4,1.42,48996
2024-03-04,1.42,1.4825,1.4,1.44,30304
2024-03-05,1.43,1.5,1.31,1.34,47495
2024-03-06,1.34,1.43,1.34,1.43,35318
2024-03-07,1.41,1.44,1.3501,1.37,90955
2024-03-08,1.37,1.37,1.34,1.34,27444
2024-03-11,1.34,1.36,1.25,1.28,36816
2024-03-12,1.27,1.33,1.25,1.28,24981
2024-03-13,1.28,1.34,1.27,1.295,40612
2024-03-14,1.29,1.29,1.23,1.255,36635
2024-03-15,1.24,1.3491,1.24,1.25,14027
2024-03-18,1.27,1.34,1.27,1.28,15631
2024-03-19,1.28,1.29,1.24,1.24,11968
2024-03-20,1.26,1.29,1.25,1.28,16067
2024-03-21,1.29,1.29,1.2501,1.26,9467
2024-03-22,1.26,1.27,1.24,1.26,16127
2024-03-25,1.26,1.41,1.25,1.33,36445
2024-03-26,1.31,1.36,1.31,1.31,15627
2024-03-27,1.31,1.4,1.25,1.36,18825
2024-03-28,1.36,1.47,1.35,1.4,36767
2024-04-01,1.44,1.59,1.4295,1.56,55108
2024-04-02,1.58,1.58,1.42,1.44,30310
2024-04-03,1.44,1.4638,1.38,1.43,18596
2024-04-04,1.43,1.5,1.37,1.375,10576
2024-04-05,1.37,1.49,1.37,1.42,24347
2024-04-08,1.4199,1.5,1.4199,1.5,8625
2024-04-09,1.45,1.53,1.43,1.43,31631
2024-04-10,1.42,1.45,1.4,1.45,25706
2024-04-11,1.44,1.52,1.44,1.48,10983
2024-04-12,1.49,1.5,1.45,1.47,15194
2024-04-15,1.48,1.5,1.4,1.46,37706
2024-04-16,1.45,1.46,1.41,1.42,22778
2024-04-17,1.41,1.415,1.37,1.37,32675
2024-04-18,1.38,1.68,1.38,1.63,167596
2024-04-19,1.62,1.85,1.55,1.8,68510
2024-04-22,1.84,2.0,1.8201,1.91,95422
2024-04-23,1.94,1.9901,1.69,1.7,95240
2024-04-24,1.69,1.7,1.62,1.65,23384
2024-04-25,1.65,1.8789,1.65,1.83,52823
2024-04-26,1.85,2.05,1.85,1.97,66984
2024-04-29,1.97,2.38,1.97,2.2,149747
2024-04-30,2.21,2.4,2.21,2.39,126874
2024-05-01,2.42,2.59,2.35,2.43,178611
2024-05-02,2.44,2.5,2.1,2.15,112709
2024-05-03,2.23,2.245,2.01,2.08,40124
2024-05-06,2.08,2.298,2.0,2.27,74933
2024-05-07,2.3,2.53,2.3,2.42,84821
2024-05-08,2.42,2.62,2.31,2.42,70359
2024-05-09,2.5,2.65,2.42,2.61,129843
2024-05-10,2.63,2.7,2.501,2.685,71130
2024-05-13,2.62,2.65,2.26,2.44,114707
2024-05-14,2.44,2.45,2.2,2.36,60201
2024-05-15,2.37,2.372,2.17,2.31,53159
2024-05-16,2.28,2.33,2.22,2.25,20521
2024-05-17,2.25,2.31,2.19,2.2,36763
2024-05-20,2.21,2.44,2.21,2.37,17540
2024-05-21,2.38,2.44,2.257,2.4,19179
2024-05-22,2.38,2.51,2.3,2.45,43855
2024-05-23,2.4,2.448,2.36,2.39,46353
2024-05-24,2.41,2.45,2.35,2.44,33122
2024-05-28,2.44,3.08,2.44,2.9,255191
2024-05-29,3.0,3.589,3.0,3.35,315778
2024-05-30,3.35,3.45,2.87,2.98,163842
2024-05-31,2.96,3.55,2.89,3.19,198162
2024-06-03,3.12,3.15,2.8,2.8,101608
2024-06-04,2.8,3.0,2.706,2.72,57326
2024-06-05,2.74,2.84,2.34,2.595,161604
2024-06-06,2.6,2.8,2.175,2.59,200411
2024-06-07,2.6,2.6892,2.21,2.23,99358
2024-06-10,2.38,2.5992,2.38,2.46,66175
2024-06-11,2.47,2.5,1.9,2.29,342077
2024-06-12,2.37,2.47,2.2,2.25,60754
2024-06-13,2.25,2.29,2.115,2.2,29518
2024-06-14,2.28,2.31,2.22,2.27,22186
2024-06-17,2.24,2.3,2.1,2.12,39034
2024-06-18,2.14,2.29,1.935,2.0,51919
2024-06-20,2.03,2.05,1.94,2.05,70536
2024-06-21,2.08,2.27,2.07,2.27,30134
2024-06-24,2.23,2.29,2.15,2.247,19186
2024-06-25,2.24,2.28,2.21,2.22,14711
2024-06-26,2.19,2.21,2.1,2.18,15999
2024-06-27,2.17,2.27,2.17,2.2,37683
2024-06-28,2.15,2.18,2.02,2.07,69769
2024-07-01,2.06,2.15,2.02,2.05,16143
2024-07-02,2.06,2.18,2.06,2.16,16948
2024-07-03,2.18,2.33,2.17,2.215,21497
2024-07-05,2.23,2.27,2.16,2.225,19938
2024-07-08,2.25,2.45,2.25,2.38,80046
2024-07-09,2.39,2.47,2.39,2.45,10027
2024-07-10,2.45,2.57,2.41,2.41,27042
2024-07-11,2.37,2.4198,2.26,2.26,13469
