Date,Open,High,Low,Close,Volume
2024-01-02,4.81,4.82,4.635,4.68,807676
2024-01-03,4.71,4.7305,4.44,4.54,907446
2024-01-04,4.6,4.78,4.465,4.63,1181776
2024-01-05,4.58,4.67,4.45,4.49,1227596
2024-01-08,4.46,4.645,4.32,4.59,767487
2024-01-09,4.56,4.56,4.4025,4.43,769662
2024-01-10,4.4,4.405,4.255,4.35,941698
2024-01-11,4.33,4.52,4.32,4.35,810856
2024-01-12,4.46,4.68,4.46,4.65,957235
2024-01-16,4.64,4.77,4.63,4.65,965900
2024-01-17,4.57,4.65,4.47,4.54,671803
2024-01-18,4.54,4.54,4.43,4.47,794362
2024-01-19,4.51,4.58,4.41,4.58,934901
2024-01-22,4.58,4.735,4.52,4.71,956452
2024-01-23,4.75,4.875,4.64,4.72,785087
2024-01-24,4.77,4.79,4.69,4.77,593164
2024-01-25,4.83,4.87,4.6525,4.79,663615
2024-01-26,4.82,4.93,4.755,4.9,940515
2024-01-29,4.95,5.11,4.7911,5.1,1229557
2024-01-30,5.04,5.32,5.005,5.26,1793045
2024-01-31,5.26,5.29,5.065,5.09,1235645
2024-02-01,5.14,5.28,5.0,5.09,875957
2024-02-02,5.02,5.105,4.91,5.01,779716
2024-02-05,4.94,4.94,4.68,4.86,890665
2024-02-06,4.87,4.95,4.79,4.8,722182
2024-02-07,4.8,4.885,4.735,4.82,569687
2024-02-08,4.83,4.99,4.795,4.98,718807
2024-02-09,5.0,5.21,4.99,5.13,1304607
2024-02-12,5.13,5.31,4.965,5.03,1543446
2024-02-13,4.94,4.98,4.835,4.93,1021391
2024-02-14,4.96,5.005,4.9,4.96,730264
2024-02-15,5.01,5.35,4.99,5.3,2038902
2024-02-16,5.25,5.44,5.15,5.39,1255089
2024-02-20,5.33,5.44,5.23,5.32,905907
2024-02-21,5.32,5.37,5.225,5.36,934323
2024-02-22,5.32,5.38,5.15,5.15,744201
2024-02-23,5.1,5.2138,4.98,5.08,681343
2024-02-26,5.03,5.2,4.9801,5.11,966701
2024-02-27,5.17,5.2,4.92,4.95,714800
2024-02-28,4.91,4.945,4.66,4.67,1594402
2024-02-29,4.73,4.94,4.58,4.59,2268214
2024-03-01,4.63,4.865,4.525,4.85,3929563
2024-03-04,4.87,4.95,4.64,4.79,1146283
2024-03-05,4.73,4.855,4.7,4.77,862830
2024-03-06,4.99,5.42,4.97,5.27,2383859
2024-03-07,5.27,5.49,5.155,5.21,1337311
2024-03-08,5.28,5.31,5.05,5.14,1181909
2024-03-11,5.09,5.15,5.05,5.12,905458
2024-03-12,5.05,5.18,4.9518,5.1,1246301
2024-03-13,5.11,5.32,5.1,5.18,1363100
2024-03-14,5.19,5.46,5.125,5.31,1672217
2024-03-15,5.33,5.55,5.33,5.42,2544522
2024-03-18,5.48,5.52,5.35,5.43,1064513
2024-03-19,5.42,5.56,5.42,5.5,978722
2024-03-20,5.48,5.695,5.41,5.64,1275702
2024-03-21,5.7,5.74,5.51,5.52,636784
2024-03-22,5.51,5.58,5.4349,5.53,702953
2024-03-25,5.5,5.65,5.42,5.46,672672
2024-03-26,5.5,5.555,5.42,5.5,738141
2024-03-27,5.5,5.55,5.305,5.39,703984
2024-03-28,5.4,5.79,5.4,5.68,1190777
2024-04-01,5.74,5.7472,5.485,5.53,1504406
2024-04-02,5.49,5.575,5.295,5.37,1149538
2024-04-03,5.34,5.57,5.34,5.55,857215
2024-04-04,5.6,5.73,5.405,5.51,809142
2024-04-05,5.51,5.59,5.415,5.53,542476
2024-04-08,5.57,5.6373,5.48,5.6,494294
2024-04-09,5.63,5.9975,5.625,5.98,938020
2024-04-10,5.82,6.05,5.7501,6.03,900411
2024-04-11,6.06,6.25,6.02,6.23,1811267
2024-04-12,6.55,6.7,6.12,6.22,1542728
2024-04-15,6.1,6.36,6.1,6.22,963810
2024-04-16,6.13,6.1621,5.965,6.05,712082
2024-04-17,6.05,6.175,5.97,5.99,662758
2024-04-18,5.95,6.08,5.88,5.94,906088
2024-04-19,5.948,6.21,5.88,6.11,1603094
2024-04-22,6.06,6.26,6.01,6.2,783473
2024-04-23,6.2,6.35,6.08,6.33,966299
2024-04-24,6.28,6.31,6.16,6.29,746451
2024-04-25,6.27,6.37,6.17,6.26,774069
2024-04-26,6.28,6.435,6.2,6.4,765705
2024-04-29,6.45,6.695,6.39,6.65,1695739
