Date,Open,High,Low,Close,Volume
2024-07-26,13.11,13.1199,8.04,9.02,1072700
2024-07-29,10.09,16.75,10.0,16.5,7038493
2024-07-30,15.55,17.76,10.78,12.3,2529344
2024-07-31,11.19,11.74,10.5103,10.81,937559
2024-08-01,11.6,11.95,10.59,10.9,631156
2024-08-02,10.8,10.8,8.6,9.1,725110
2024-08-05,7.32,10.27,7.0601,9.24,685345
2024-08-06,9.2,9.6,8.67,9.15,381675
2024-08-07,9.06,9.36,7.73,8.15,326805
2024-08-08,8.25,8.45,7.98,8.09,153350
2024-08-09,8.28,8.45,7.95,8.24,160680
2024-08-12,8.11,8.43,7.8008,8.08,197644
2024-08-13,8.07,8.07,7.3,7.45,259533
2024-08-14,7.43,7.53,6.6,6.73,516414
2024-08-15,6.95,7.64,6.95,7.52,266934
2024-08-16,7.6,8.77,7.5,8.59,406181
2024-08-19,8.48,9.09,8.09,8.38,282832
2024-08-20,8.38,8.71,7.94,8.62,223893
2024-08-21,8.55,8.71,8.18,8.43,159772
2024-08-22,8.5333,8.5333,8.0001,8.26,99884
2024-08-23,8.19,8.44,7.94,8.1,52712
2024-08-26,8.31,8.31,7.75,7.955,129233
2024-08-27,7.95,7.99,7.65,7.8,94483
2024-08-28,7.9,8.0,7.55,7.8,206546
2024-08-29,7.96,8.1,7.67,7.76,137522
2024-08-30,7.85,7.99,7.58,7.98,78761
2024-09-03,8.0,8.04,7.65,7.75,71011
2024-09-04,7.65,7.89,7.0,7.05,234395
2024-09-05,7.19,7.6,6.88,7.13,227365
2024-09-06,7.12,7.18,6.71,6.99,166134
2024-09-09,6.96,7.5024,6.96,7.26,74942
2024-09-10,7.01,7.28,6.93,7.17,31708
2024-09-11,7.1488,7.47,7.08,7.39,20270
2024-09-12,7.47,7.47,7.181,7.46,34059
2024-09-13,7.35,7.392,7.121,7.17,30017
2024-09-16,7.2,7.32,7.08,7.154,24892
2024-09-17,7.24,7.3762,7.07,7.14,41054
2024-09-18,7.06,7.32,7.06,7.21,25392
2024-09-19,7.07,7.33,7.04,7.05,44436
2024-09-20,7.3,7.3,7.0,7.0,28473
2024-09-23,7.15,7.23,7.01,7.08,22731
2024-09-24,7.3,7.3,7.07,7.15,69740
2024-09-25,7.17,7.19,7.05,7.05,38758
2024-09-26,7.12,7.25,7.04,7.2,126985
2024-09-27,7.11,7.29,7.03,7.06,88012
2024-09-30,7.17,8.28,7.15,7.8,271577
2024-10-01,7.71,8.4,7.5245,7.909,136454
2024-10-02,7.85,7.9,7.335,7.5,100664
2024-10-03,7.45,7.55,7.23,7.23,66556
2024-10-04,7.49,7.5728,7.24,7.25,32872
2024-10-07,7.26,7.43,7.08,7.1,115655
2024-10-08,7.06,7.27,7.06,7.14,75778
2024-10-09,7.16,7.33,7.14,7.17,34650
2024-10-10,7.2,7.3789,7.2,7.239,20010
