Date,Open,High,Low,Close,Volume
2025-06-09,651.0,664.5,567.0,573.0,2602.7933330730543
2025-06-10,612.0,617.972,570.0,582.0,2089.749999791025
2025-06-11,576.0,617.972,555.0,594.0,2194.196666447247
2025-06-12,591.0,597.0,519.0,537.0,52271.39666143953
2025-06-13,498.0,510.0,474.0,510.0,2563.629999743637
2025-06-16,480.0,492.0,411.0,414.0,3722.919999627709
2025-06-17,417.0,420.0,372.0,375.0,1645.579999835442
2025-06-18,351.0,387.0,351.0,372.0,1715.86666649508
2025-06-20,375.0,375.0,348.0,360.0,1157.243333217609
2025-06-23,354.0,354.0,318.0,327.0,1069.4266665597245
2025-06-24,324.0,339.0,318.0,324.0,877.2333332456101
2025-06-25,321.0,324.0,300.0,312.0,7104.919999289508
2025-06-26,348.0,351.0,306.0,339.0,36529.52999634705
2025-06-27,321.0,335.94,303.0,309.0,3813.593332951974
2025-06-30,303.0,369.0,303.0,312.0,7376.136665929053
2025-07-01,357.0,372.0,255.0,297.0,110230.4133223103
2025-07-02,300.0,318.0,288.0,297.0,6055.563332727777
2025-07-03,288.0,295.17,270.9,277.65,2489.136666417753
2025-07-07,276.0,282.0,255.0,260.4,3772.689999622731
2025-07-08,246.0,246.0,186.9,198.03,6888.019999311198
2025-07-09,190.5,194.4,182.7,183.87,2570.9499997429048
2025-07-10,188.04,191.91,181.5,187.8,1718.6566664948014
2025-07-11,190.89,195.48,183.63,188.16,1690.306666497636
2025-07-14,194.4,208.2,186.6,190.23,4512.303332882103
2025-07-15,190.5,192.0,174.12,176.34,2035.979999796402
2025-07-16,175.95,177.27,166.68,169.02,2254.0099997745992
2025-07-17,172.35,183.0,169.5,182.4,2540.039999745996
2025-07-18,176.94,182.4,164.22,170.4,3291.246666337542
2025-07-21,174.0,180.3,156.0,161.7,4974.013332835932
2025-07-22,159.27,168.6,159.0,166.23,749.879999925012
2025-07-23,171.0,172.77,162.9,165.84,2124.393333120894
2025-07-24,163.05,171.463,162.0,164.4,968.026666569864
2025-07-25,150.0,157.2,150.0,156.0,2117.76666645489
2025-07-28,165.0,165.0,153.224,156.03,721.1299999278871
2025-07-29,181.02,189.51,127.05,138.0,88802.61999111975
2025-07-30,126.72,132.66,120.0,126.3,4750.769999524923
2025-07-31,120.9,136.5,120.9,130.5,2136.483333119685
2025-08-01,117.0,126.0,105.0,120.06,3589.5799996410424
2025-08-04,127.2,153.0,124.8,141.6,18396.716664827
2025-08-05,136.8,145.248,123.0,134.4,11263.533332206978
2025-08-06,129.0,129.0,109.8,114.6,3871.149999612885
2025-08-07,114.0,118.2,107.4,111.0,1490.716666517595
2025-08-08,109.812,112.8,102.0,112.2,1791.09999982089
2025-08-11,106.8,112.8,106.2,111.6,1138.383333219495
2025-08-12,107.4,123.6,105.0,117.6,13637.783331969556
2025-08-13,116.4,118.8,107.4,114.0,4090.6333329242702
2025-08-14,113.4,116.4,111.6,115.2,782.216666588445
