Date,Open,High,Low,Close,Volume
2025-06-09,1.14,1.34,1.08,1.09,3256769
2025-06-10,1.09,1.145,1.01,1.02,900998
2025-06-11,1.05,1.05,0.9069,0.9217,1123373
2025-06-12,0.93,0.9915,0.8977,0.8978,570000
2025-06-13,0.875,0.886451,0.8052,0.8445,592105
2025-06-16,0.84,0.8775,0.8202,0.8636,483110
2025-06-17,0.84,0.8527,0.79,0.793,788850
2025-06-18,0.7835,0.8228,0.77,0.78,499893
2025-06-20,0.77,0.8087,0.7611,0.7857,875032
2025-06-23,0.78,0.839999,0.745,0.746,579302
2025-06-24,0.75,0.8499,0.75,0.8084,716788
2025-06-25,0.8106,0.83275,0.784,0.8079,405921
2025-06-26,0.809,0.8483,0.7821,0.7994,673391
2025-06-27,0.7911,0.8174,0.7569,0.7569,10854038
2025-06-30,0.78,0.78,0.7158,0.7333,1021636
2025-07-01,0.7528,0.83,0.7333,0.7963,955736
2025-07-02,0.79,0.8349,0.771,0.7822,1136629
2025-07-03,0.81,0.838,0.78,0.8216,389866
2025-07-07,0.8074,0.9332,0.7911,0.8953,1160935
2025-07-08,0.9,0.95,0.8539,0.9017,750605
2025-07-09,0.9,1.18,0.9,1.02,3168037
2025-07-10,1.04,1.13,1.0,1.06,1466139
2025-07-11,1.05,1.41,1.013,1.29,5317015
2025-07-14,1.33,1.34,1.14,1.27,2287119
2025-07-15,1.29,1.5,1.25,1.45,2020594
2025-07-16,1.53,1.58,1.31,1.4,1600759
2025-07-17,1.4,1.75,1.4,1.71,2467083
2025-07-18,1.81,2.17,1.73,1.85,5293664
2025-07-21,1.8668,2.0653,1.85,1.96,2191844
2025-07-22,1.95,1.98,1.8,1.89,1390466
2025-07-23,1.89,1.9299,1.7,1.85,1314634
2025-07-24,1.89,2.35,1.85,2.29,2998166
2025-07-25,2.38,2.85,2.22,2.35,4272422
2025-07-28,2.36,2.3992,2.115,2.28,2564121
2025-07-29,2.24,2.35,2.09,2.19,1835617
2025-07-30,2.22,2.22,1.99,2.08,1007343
2025-07-31,2.06,2.115,1.95,1.96,850982
2025-08-01,1.88,1.92,1.515,1.56,2115722
2025-08-04,1.67,1.79,1.62,1.65,1153607
2025-08-05,1.7,1.72,1.59,1.66,1212538
2025-08-06,1.66,1.66,1.54,1.59,1060585
2025-08-07,1.66,1.6994,1.5899,1.65,1282796
2025-08-08,1.65,1.69,1.43,1.46,800188
2025-08-11,1.49,1.49,1.4102,1.44,340480
2025-08-12,1.42,1.54,1.39,1.5,601310
2025-08-13,1.5,1.6,1.5,1.56,483873
2025-08-14,1.56,1.6,1.49,1.58,598532
2025-08-15,1.58,1.78,1.575,1.63,888895
2025-08-18,1.66,1.6791,1.6,1.64,359980
2025-08-19,1.63,1.655,1.56,1.61,332146
2025-08-20,1.6,1.645,1.565,1.61,590762
2025-08-21,1.59,1.65,1.5706,1.64,323512
2025-08-22,1.66,1.7,1.61,1.62,339391
2025-08-25,1.61,1.67,1.6,1.63,359055
2025-08-26,1.63,1.78,1.6,1.74,528689
2025-08-27,1.75,1.795,1.71,1.76,279953
2025-08-28,1.79,1.82,1.735,1.76,303772
2025-08-29,1.75,1.7597,1.71,1.73,236540
2025-09-02,1.74,1.835,1.6911,1.74,377354
2025-09-03,1.73,1.82,1.7,1.75,465803
2025-09-04,1.74,1.765,1.615,1.63,484878
2025-09-05,1.62,1.7,1.6,1.68,218791
2025-09-08,1.71,1.71,1.62,1.66,275773
2025-09-09,1.62,1.68,1.62,1.67,319053
2025-09-10,1.68,1.7,1.63,1.63,228537
