Date,Open,High,Low,Close,Volume
2025-06-09,7.35,7.39,6.9,6.9,53148
2025-06-10,6.9,7.2855,6.61,6.92,21224
2025-06-11,7.2,7.2,6.61,6.61,8249
2025-06-12,6.6,6.8,6.4,6.4,27734
2025-06-13,6.875,6.875,5.6,5.61,20014
2025-06-16,6.23,6.23,5.52,5.68,9851
2025-06-17,5.588,5.865,5.22,5.3,14848
2025-06-18,5.33,5.641,4.68,4.76,44212
2025-06-20,4.76,4.76,4.255,4.255,17554
2025-06-23,4.335,4.4999,4.08,4.48,20087
2025-06-24,4.29,4.31,3.51,3.7,46961
2025-06-25,3.75,4.09,3.69,3.72,28114
2025-06-26,3.81,4.2,3.81,3.99,26490
2025-06-27,4.12,4.12,3.5,3.68,22143
2025-06-30,3.635,3.68,3.535,3.57,11978
2025-07-01,3.53,3.53,3.2001,3.35,114616
2025-07-02,3.4,5.68,3.2,5.29,282114
2025-07-03,5.01,6.59,4.8,5.83,167454
2025-07-07,6.15,6.15,5.4101,5.8,30636
2025-07-08,6.1,6.7,5.48,6.01,121814
2025-07-09,6.09,6.425,5.955,5.955,24459
2025-07-10,7.5,7.6976,4.31,4.88,4255334
2025-07-11,4.55,5.0,4.54,4.59,170247
2025-07-14,4.31,4.44,4.0,4.05,95243
2025-07-15,3.84,4.25,3.69,4.16,88022
2025-07-16,4.02,4.45,3.91,4.31,34261
2025-07-17,4.42,4.5993,4.41,4.41,48704
2025-07-18,4.39,4.51,4.2669,4.4,19326
2025-07-21,4.49,4.77,4.16,4.77,44267
2025-07-22,4.6111,5.06,4.58,4.84,65477
2025-07-23,5.0,5.08,4.5625,4.95,28219
2025-07-24,4.6909,5.07,4.5189,4.7,31698
2025-07-25,4.62,5.1972,4.62,5.1,32932
2025-07-28,5.44,5.78,5.02,5.41,55652
2025-07-29,5.77,5.95,4.8,4.99,5199406
2025-07-30,4.66,5.0,4.0,4.97,218383
2025-07-31,4.75,5.17,4.5446,4.9,69273
2025-08-01,4.81,4.89,4.6,4.75,36015
2025-08-04,4.88,5.04,4.64,4.9,71775
2025-08-05,4.73,4.87,4.63,4.715,34806
2025-08-06,4.79,4.95,4.5,4.95,37316
2025-08-07,4.8,4.92,4.6,4.8,38504
2025-08-08,4.7,4.82,4.5962,4.79,28636
2025-08-11,4.99,5.37,4.66,5.11,114643
2025-08-12,5.29,5.59,4.9501,5.43,77351
2025-08-13,5.26,5.7,5.0201,5.32,133740
2025-08-14,5.37,5.37,5.06,5.19,16102
2025-08-15,4.94,5.45,4.94,5.12,66668
2025-08-18,5.13,5.5,4.9702,5.37,26142
2025-08-19,5.4,5.5,5.07,5.2,45564
2025-08-20,5.15,5.42,4.92,5.335,39435
2025-08-21,5.2202,5.93,5.14,5.77,44868
2025-08-22,5.81,5.9,5.68,5.82,45530
2025-08-25,5.69,6.1,5.4,5.795,32720
2025-08-26,5.62,6.416,5.62,6.1,66467
2025-08-27,6.23,6.59,6.0648,6.45,30915
2025-08-28,6.2927,6.99,6.24,6.98,62029
2025-08-29,6.98,7.48,6.74,7.415,101117
2025-09-02,7.42,7.42,6.7625,7.08,48913
2025-09-03,6.95,7.23,6.91,7.2,30918
2025-09-04,7.06,7.5,6.99,7.47,38602
2025-09-05,7.61,8.76,7.29,8.06,173288
2025-09-08,8.22,8.75,7.52,8.26,91356
2025-09-09,8.3,8.5,8.1429,8.48,98412
2025-09-10,8.4,10.21,8.25,9.93,310809
2025-09-11,9.7,9.99,9.51,9.76,99953
2025-09-12,9.85,10.6882,9.7,10.49,192489
2025-09-15,10.5,10.9236,9.97,9.97,109855
2025-09-16,9.96,10.595,8.3475,10.14,84463
2025-09-17,9.95,10.851,9.95,10.61,77710
2025-09-18,10.76,12.25,10.51,12.09,200883
2025-09-19,12.2,12.435,11.1001,11.99,659882
2025-09-22,12.25,12.915,11.605,11.94,195703
2025-09-23,11.97,12.26,11.12,11.88,119521
2025-09-24,12.0,12.2,11.3,12.0,92579
2025-09-25,11.95,11.95,10.37,10.37,81876
2025-09-26,10.17,10.47,9.84,10.1,67331
2025-09-29,10.28,10.28,8.8201,8.95,75504
2025-09-30,8.74,9.22,8.53,9.08,44697
2025-10-01,8.79,9.88,8.6,9.87,24422
2025-10-02,9.99,11.57,9.8,11.39,39728
2025-10-03,11.66,11.8,10.72,11.53,43922
2025-10-06,11.5,12.2847,11.2755,11.96,38734
2025-10-07,11.98,12.21,10.615,12.09,38739
2025-10-08,12.25,12.99,11.93,12.09,56407
2025-10-09,12.09,12.1,11.7601,11.98,27167
2025-10-10,12.09,12.09,11.5,11.67,67923
2025-10-13,12.09,12.09,11.01,11.305,38311
2025-10-14,11.42,11.42,10.61,10.99,21260
2025-10-15,10.98,11.01,10.55,10.84,35365
2025-10-16,10.97,11.2,10.2,10.48,25617
2025-10-17,10.48,10.78,10.0601,10.35,41459
2025-10-20,10.25,10.25,9.8251,9.9,30289
2025-10-21,9.99,9.99,9.04,9.47,27699
2025-10-22,9.19,9.5,8.7,9.0,38714
2025-10-23,9.235,9.235,8.2,8.35,37625
2025-10-24,8.73,9.0,8.305,8.86,27494
2025-10-27,8.81,9.22,8.15,8.24,26559
2025-10-28,8.35,9.145,8.1,8.81,58140
2025-10-29,9.11,10.0375,8.59,9.673,142830
2025-10-30,9.68,10.7738,9.68,10.17,31906
2025-10-31,10.17,10.29,9.8,9.8,27452
2025-11-03,9.99,10.5,9.905,10.19,37192
2025-11-04,10.0,10.5,10.0,10.49,29287
2025-11-05,10.63,11.47,10.27,11.01,31628
2025-11-06,11.17,11.17,9.85,9.85,34236
2025-11-07,9.6,10.19,8.93,10.12,120998
2025-11-10,10.12,10.575,9.84,10.14,76870
2025-11-11,10.34,11.5,10.0,11.42,147763
2025-11-12,11.5,12.0,11.03,11.83,90040
2025-11-13,11.805,11.805,8.85,8.98,99773
2025-11-14,8.73,9.27,8.56,9.08,69119
2025-11-17,9.1,9.5734,7.68,7.96,97450
2025-11-18,7.87,7.92,7.03,7.06,43830
2025-11-19,7.11,7.3764,6.7,6.73,46842
2025-11-20,6.91,7.0945,5.92,5.93,38069
2025-11-21,5.95,6.5,5.58,5.86,85289
2025-11-24,5.97,7.41,5.83,7.32,88159
2025-11-25,7.5,9.4532,7.5,8.84,207696
2025-11-26,8.84,9.188,8.45,8.575,91916
2025-11-28,8.57,9.42,8.57,8.95,39022
2025-12-01,8.69,8.8,8.4585,8.53,30674
2025-12-02,8.55,9.13,8.46,8.72,42151
2025-12-03,8.67,9.47,8.67,8.96,87650
2025-12-04,9.02,9.53,8.96,9.35,53064
2025-12-05,9.35,9.75,9.09,9.17,75319
2025-12-08,9.35,9.52,8.95,9.09,38673
2025-12-09,9.2,9.3252,8.7,8.96,50430
2025-12-10,8.85,9.595,8.63,9.45,91006
2025-12-11,8.84,9.62,8.79,9.37,39454
2025-12-12,9.17,10.37,9.17,10.21,43941
2025-12-15,10.21,10.44,9.82,9.88,45138
2025-12-16,9.9,10.08,9.22,9.44,112856
2025-12-17,9.55,9.81,7.71,7.83,60995
2025-12-18,7.9,8.4375,6.75,7.02,113290
2025-12-19,7.03,7.32,6.4,7.01,90761
2025-12-22,7.01,7.9,7.01,7.71,176297
2025-12-23,7.58,8.45,7.58,8.36,40734
2025-12-24,8.37,8.54,8.22,8.35,16008
2025-12-26,8.35,8.69,8.2,8.57,26046
2025-12-29,8.74,8.84,8.16,8.64,50661
2025-12-30,8.71,9.125,8.105,8.21,41970
2025-12-31,8.29,8.7007,8.123,8.27,34332
2026-01-02,8.47,8.96,8.37,8.88,28860
2026-01-05,9.02,9.81,8.5,9.15,66135
2026-01-06,9.22,9.28,8.74,8.93,26022
2026-01-07,9.05,9.49,8.7812,9.07,75395
2026-01-08,9.04,10.71,8.89,9.83,143592
2026-01-09,9.99,10.182,9.3188,10.0,72158
2026-01-12,10.0,10.19,9.42,9.65,48147
2026-01-13,10.1,10.1,9.42,9.58,61763
2026-01-14,9.56,9.93,9.06,9.34,69987
2026-01-15,9.29,9.47,8.5,8.7,66131
2026-01-16,8.63,9.21,8.46,8.73,77220
2026-01-20,8.54,8.54,8.0,8.36,20679
2026-01-21,8.3,8.38,7.99,8.06,35004
2026-01-22,8.08,8.83,8.08,8.75,40843
2026-01-23,8.68,9.07,8.6,8.95,24713
2026-01-26,8.95,9.47,8.51,8.9,43880
2026-01-27,8.99,9.675,8.79,9.13,59857
2026-01-28,9.12,10.255,9.12,9.76,64657
2026-01-29,9.71,9.95,8.7,8.75,57747
2026-01-30,8.7,11.3,8.7,9.27,279028
2026-02-02,9.16,10.41,9.16,9.27,82342
2026-02-03,9.23,9.66,9.05,9.4,84269
2026-02-04,9.39,10.045,9.19,9.71,45068
2026-02-05,9.53,10.0,9.2,9.24,86647
2026-02-06,9.53,10.36,9.22,9.77,76117
2026-02-09,9.83,11.3059,9.37,10.32,77074
2026-02-10,10.27,11.25,9.8,10.72,72632
2026-02-11,10.78,11.3765,10.6,10.75,56784
2026-02-12,10.76,10.76,10.25,10.465,59962
2026-02-13,10.32,10.4871,10.03,10.24,43859
2026-02-17,10.21,10.395,9.035,9.26,52580
2026-02-18,9.16,9.4,8.62,8.98,75796
2026-02-19,8.765,9.2,8.5,8.6,44638
2026-02-20,8.795,10.28,8.7725,9.95,53417
2026-02-23,9.92,9.92,9.3425,9.625,22049
2026-02-24,9.59,9.97,9.01,9.7,35020
2026-02-25,9.86,10.1799,9.69,10.07,33133
2026-02-26,10.07,10.09,9.79,10.09,7578
2026-02-27,10.0,10.39,9.99,10.14,20671
2026-03-02,10.29,10.42,9.755,9.9,29410
2026-03-03,9.72,9.84,8.99,9.02,29868
2026-03-04,9.3,10.1,9.18,9.63,36483
2026-03-05,9.9,9.9,9.31,9.43,29831
2026-03-06,9.52,9.5699,9.05,9.46,55569
2026-03-09,9.41,10.12,9.21,9.71,42803
2026-03-10,9.72,10.08,9.27,9.28,28212
2026-03-11,9.39,9.615,9.295,9.41,13768
2026-03-12,9.41,9.6542,8.57,9.0,70814
2026-03-13,8.95,9.495,8.48,8.65,70150
2026-03-16,8.91,9.67,8.625,8.97,53538
2026-03-17,8.91,9.25,8.85,8.86,17043
2026-03-18,9.0,9.0,7.96,8.11,44480
2026-03-19,8.0,8.37,8.0,8.0,35086
2026-03-20,7.88,8.15,7.28,7.31,56791
2026-03-23,7.22,8.0399,7.22,7.88,30449
2026-03-24,7.71,8.065,7.53,7.53,17419
2026-03-25,7.75,7.99,7.08,7.08,25446
2026-03-26,7.24,7.735,6.89,7.28,26987
2026-03-27,7.01,7.54,7.01,7.27,23587
2026-03-30,7.18,7.365,6.87,7.0,25675
2026-03-31,6.89,7.12,6.85,7.01,42193
2026-04-01,6.995,7.05,6.09,6.09,21288
2026-04-02,5.96,6.23,5.48,5.95,99558
2026-04-06,6.41,6.41,5.7,5.74,37752
2026-04-07,5.93,6.04,5.3594,5.82,63710
2026-04-08,6.0,6.2409,5.37,5.37,70423
2026-04-09,5.4,5.4,4.965,5.12,55497
2026-04-10,5.2,5.51,4.49,5.44,97270
2026-04-13,5.5,5.515,4.99,5.3,73373
2026-04-14,5.3,5.49,5.17,5.39,34970
2026-04-15,5.48,5.71,5.0,5.16,31988
2026-04-16,5.11,5.11,4.882,5.02,38476
2026-04-17,4.96,5.572,4.96,5.34,23356
2026-04-20,5.19,5.4,5.0401,5.165,32795
2026-04-21,5.16,5.26,5.06,5.13,27460
2026-04-22,5.13,5.13,4.93,4.95,26569
2026-04-23,4.95,4.97,4.51,4.79,69374
2026-04-24,5.3,5.3,4.61,4.78,148919
2026-04-27,5.07,5.22,4.51,4.61,110895
2026-04-28,4.58,4.7,4.15,4.31,129742
2026-04-29,4.4,4.59,3.87,4.3,109154
2026-04-30,4.45,4.72,4.19,4.42,92562
2026-05-01,4.42,4.465,4.03,4.06,60257
2026-05-04,4.01,4.22,4.0,4.14,60307
2026-05-05,4.42,6.11,4.32,4.99,475034
2026-05-06,5.01,5.38,4.7,5.31,86533
2026-05-07,5.5,6.84,5.5,6.49,229001
2026-05-08,6.5,6.7928,5.35,5.45,245155
2026-05-11,5.45,5.75,5.0,5.5,121901
2026-05-12,5.5,5.65,5.3,5.51,71892
2026-05-13,5.47,5.61,5.11,5.42,77027
2026-05-14,5.35,5.8,5.35,5.46,78567
2026-05-15,5.62,5.7018,5.33,5.5,52042
2026-05-18,5.59,5.9,5.275,5.34,39335
2026-05-19,5.26,5.605,5.17,5.48,72740
2026-05-20,5.49,5.55,5.345,5.42,50941
2026-05-21,5.33,5.42,5.16,5.36,18457
2026-05-22,5.320000171661377,5.659999847412109,5.289999961853027,5.340000152587891,82000
2026-05-26,5.429999828338623,5.429999828338623,5.090000152587891,5.139999866485596,12300
2026-05-27,5.139999866485596,5.193999767303467,4.809999942779541,4.835000038146973,66300
2026-05-28,4.809999942779541,4.920000076293945,4.71999979019165,4.789999961853027,54500
2026-05-29,4.889999866485596,4.889999866485596,4.610000133514404,4.639999866485596,27900
2026-06-01,4.730000019073486,4.994999885559082,4.400000095367432,4.539999961853027,31600
2026-06-02,4.570000171661377,5.117000102996826,4.420000076293945,4.579999923706055,69900
2026-06-03,4.619999885559082,4.894999980926514,4.159999847412109,4.349999904632568,49300
2026-06-04,4.409999847412109,4.650000095367432,4.289999961853027,4.565000057220459,35400
2026-06-05,4.639999866485596,4.940000057220459,4.389999866485596,4.420000076293945,52200
2026-06-08,4.440000057220459,4.940000057220459,4.409999847412109,4.489999771118164,66600
2026-06-09,4.550000190734863,4.630000114440918,4.239999771118164,4.420000076293945,27300
2026-06-10,4.289999961853027,4.849999904632568,4.289999961853027,4.550000190734863,42300
2026-06-11,4.610000133514404,4.616000175476074,4.400000095367432,4.5,26400
2026-06-12,4.489999771118164,5.21999979019165,4.349999904632568,4.75,641000
