Date,Open,High,Low,Close,Volume
2024-01-02,2.93,3.2609,2.8697,2.9,1810069.0
2024-01-03,4.69,5.7,3.75,4.0,14054143.0
2024-01-04,4.12,4.3378,3.8,4.15,427812.0
2024-01-05,4.1,4.5687,3.98,4.53,215234.0
2024-01-08,4.63,4.9,3.9214,4.08,482753.0
2024-01-09,3.93,4.0681,3.84,4.0,65487.0
2024-01-10,3.86,4.0397,3.75,3.88,68081.0
2024-01-11,3.77,3.855,3.62,3.65,76636.0
2024-01-12,3.54,3.69,3.1682,3.41,56235.0
2024-01-16,3.355,3.9615,3.355,3.84,46701.0
2024-01-17,3.78,3.88,3.52,3.62,43044.0
2024-01-18,3.55,3.7,3.39,3.54,18555.0
2024-01-19,3.476,3.5957,3.4213,3.55,33458.0
2024-01-22,3.44,3.65,3.44,3.65,18259.0
2024-01-23,3.65,3.7505,3.4,3.58,38864.0
2024-01-24,3.74,3.74,3.519,3.57,17567.0
2024-01-25,3.615,3.71,3.46,3.67,14102.0
2024-01-26,3.5031,3.73,3.5031,3.6,15814.0
2024-01-29,3.48,3.66,3.42,3.52,13194.0
2024-01-30,3.43,3.5704,3.2586,3.47,6401.0
2024-01-31,3.47,3.57,3.38,3.38,42795.0
2024-02-01,3.35,3.36,3.09,3.15,38335.0
2024-02-02,3.11,3.26,3.0001,3.0601,15317.0
2024-02-05,3.15,3.3481,3.15,3.3,4254.0
2024-02-06,3.31,3.34,3.255,3.255,4987.0
2024-02-07,3.18,3.3,3.18,3.27,1662.0
2024-02-08,3.346,3.5,3.33,3.4,21823.0
2024-02-09,3.4707,3.48,3.3101,3.39,9487.0
2024-02-12,3.3528,3.45,3.2301,3.26,13161.0
2024-02-13,3.25,3.25,2.85,2.87,51500.0
2024-02-14,2.9901,3.0499,2.88,2.89,8147.0
2024-02-15,3.0195,3.03,2.86,2.91,8705.0
2024-02-16,2.83,3.02,2.83,2.99,6480.0
2024-02-20,2.85,3.02,2.81,3.02,9796.0
2024-02-21,2.95,3.1399,2.9,2.99,2903.0
2024-02-22,2.8862,3.13,2.8862,2.9,7480.0
2024-02-23,2.85,3.04,2.85,2.99,4179.0
2024-02-26,2.98,3.0,2.9,2.91,8583.0
2024-02-27,2.9999,3.0773,2.85,3.044,14998.0
2024-02-28,3.1,3.13,2.8997,2.95,18331.0
2024-02-29,2.93,2.99,2.93,2.99,3143.0
2024-03-01,3.05,3.05,2.51,2.89,38344.0
2024-03-04,2.9698,3.08,2.63,2.77,43351.0
2024-03-05,2.92,2.92,2.7301,2.8499,5764.0
2024-03-06,2.8,2.899,2.775,2.8539,339131.0
2024-03-07,3.34,3.56,3.1,3.32,107505.0
2024-03-08,3.36,3.775,3.3401,3.7568,57441.0
