Date,Open,High,Low,Close,Volume
2024-01-02,4.4,4.875,4.31,4.81,1627206
2024-01-03,4.75,4.8,4.49,4.54,1405929
2024-01-04,4.6,4.6299,4.3884,4.41,1031303
2024-01-05,4.37,4.435,4.1814,4.4,1063247
2024-01-08,4.35,4.825,4.29,4.74,1068288
2024-01-09,4.7,4.78,4.6185,4.72,600580
2024-01-10,4.68,4.84,4.5,4.6,1606314
2024-01-11,4.55,4.63,4.18,4.41,1835240
2024-01-12,4.45,4.57,4.355,4.385,1769274
2024-01-16,4.36,4.445,4.09,4.2,1417168
2024-01-17,4.15,4.18,3.9403,4.15,1243464
2024-01-18,4.15,4.16,3.89,3.93,995709
2024-01-19,3.97,4.0,3.7599,3.85,2197986
2024-01-22,3.87,4.12,3.85,4.07,1408922
2024-01-23,4.19,4.195,3.92,4.14,921326
2024-01-24,4.2,4.28,4.01,4.01,453371
2024-01-25,4.13,4.5099,4.11,4.29,1269471
2024-01-26,4.45,4.68,4.3,4.66,1769869
2024-01-29,4.67,5.135,4.6,5.11,1729644
2024-01-30,5.08,5.1293,4.7,4.92,1385636
2024-01-31,4.92,5.0665,4.8,4.86,1173482
2024-02-01,4.95,5.4,4.84,5.25,1433868
2024-02-02,5.17,5.32,5.04,5.18,1018588
2024-02-05,5.04,5.1,4.72,4.95,1350674
2024-02-06,4.9,5.105,4.83,5.04,661288
2024-02-07,5.07,5.075,4.96,5.0,545385
2024-02-08,5.02,5.27,4.96,5.03,683861
2024-02-09,5.5,5.85,5.21,5.68,3692307
2024-02-12,5.79,6.07,5.62,5.88,2386573
2024-02-13,5.77,5.78,5.54,5.62,1332750
2024-02-14,5.68,6.515,5.68,6.46,1898773
2024-02-15,6.68,6.915,6.371,6.86,2470659
2024-02-16,7.0,7.715,6.675,7.58,3191597
2024-02-20,7.78,7.78,7.17,7.52,2631044
2024-02-21,7.35,7.71,7.3,7.52,1668453
2024-02-22,9.08,9.91,8.83,9.7,11046587
2024-02-23,9.46,10.0,9.31,9.86,3960724
2024-02-26,10.0,10.5499,9.56,9.9,3155254
2024-02-27,10.0,10.285,9.73,9.9,2744682
2024-02-28,10.12,10.48,9.76,9.95,2836171
2024-02-29,10.15,10.36,9.72,10.06,3224176
2024-03-01,10.15,10.91,10.03,10.75,2614113
2024-03-04,11.05,11.29,10.3,10.88,2371042
2024-03-05,10.81,11.02,10.5472,10.93,1912756
2024-03-06,11.03,11.31,10.6203,10.83,2999987
2024-03-07,10.84,10.96,10.274,10.37,1938821
2024-03-08,10.27,10.65,9.88,9.98,2042487
2024-03-11,9.85,10.02,9.66,9.73,2137819
2024-03-12,9.79,10.34,8.83,9.29,3318048
2024-03-13,9.61,10.05,9.43,9.59,3135358
2024-03-14,9.54,9.67,9.02,9.26,2191977
2024-03-15,9.24,9.865,9.24,9.46,9656667
2024-03-18,9.46,9.63,8.96,9.44,1760406
2024-03-19,9.25,9.72,9.25,9.7,1517672
2024-03-20,9.75,9.97,9.48,9.9,1325481
2024-03-21,9.98,10.28,9.59,10.15,1682320
2024-03-22,10.25,10.25,9.475,9.49,1417937
2024-03-25,9.55,9.7859,9.265,9.41,936320
2024-03-26,9.45,9.5895,8.97,9.2,1392487
2024-03-27,9.32,9.55,9.125,9.31,1067466
2024-03-28,9.3,9.495,9.06,9.1,2199081
2024-04-01,9.1,9.1012,8.5636,8.69,1722570
2024-04-02,8.52,8.675,8.33,8.48,1072599
2024-04-03,8.51,8.55,8.31,8.45,814711
2024-04-04,8.62,8.94,8.385,8.47,1069599
2024-04-05,8.51,8.74,8.31,8.44,1418607
2024-04-08,8.81,8.86,7.93,7.99,2129122
2024-04-09,7.99,8.185,7.945,8.17,1315415
2024-04-10,7.83,8.02,7.5809,7.91,2211904
2024-04-11,8.02,8.29,7.83,8.28,1208400
2024-04-12,8.25,8.345,7.875,7.99,1037521
2024-04-15,7.79,7.96,7.575,7.8,1496201
2024-04-16,7.66,7.94,7.52,7.79,1343559
2024-04-17,7.97,8.148,7.58,7.58,983500
2024-04-18,7.6,7.61,5.85,5.86,6074050
2024-04-19,5.9,5.9,4.985,5.22,9122633
2024-04-22,5.24,5.4699,4.98,5.075,3745815
2024-04-23,5.12,5.15,4.96,5.0,2278666
2024-04-24,5.0,5.01,4.56,4.645,3954779
2024-04-25,4.44,4.525,4.16,4.2,4707729
2024-04-26,4.14,4.79,4.06,4.745,3883481
2024-04-29,4.73,5.19,4.71,4.8,3796005
2024-04-30,4.72,4.995,4.6201,4.74,2000147
2024-05-01,4.87,5.43,4.84,5.02,3033532
2024-05-02,5.06,5.95,4.93,5.87,3479674
2024-05-03,6.06,6.395,6.03,6.17,4643067
2024-05-06,5.972,6.305,5.57,5.8,5676152
2024-05-07,5.8,6.07,5.67,5.93,2436694
2024-05-08,5.5,5.99,5.44,5.75,2676953
2024-05-09,5.71,6.08,5.6549,5.84,1718298
2024-05-10,5.9,5.95,5.35,5.66,2175270
2024-05-13,5.68,5.93,5.56,5.64,2314820
2024-05-14,5.83,6.16,5.811,6.05,1987990
2024-05-15,6.23,6.5999,6.225,6.29,3678465
2024-05-16,6.3,6.45,5.93,6.27,3945010
2024-05-17,6.25,6.26,6.05,6.17,1186468
2024-05-20,6.15,6.415,6.05,6.29,1815334
2024-05-21,6.22,6.31,5.97,6.1,1534579
2024-05-22,6.1,6.28,6.0,6.0,1005738
2024-05-23,6.02,6.02,5.73,5.8,1594550
2024-05-24,5.83,5.89,5.7112,5.795,1277079
2024-05-28,5.87,6.02,5.74,5.93,1712862
2024-05-29,5.74,5.94,5.62,5.87,1484600
2024-05-30,6.0,6.0,5.71,5.8,1422283
2024-05-31,5.94,6.01,5.62,5.7,4217394
2024-06-03,5.78,6.05,5.43,5.51,1711839
2024-06-04,5.47,5.5,5.22,5.3,1782647
2024-06-05,5.35,5.58,5.19,5.49,1670338
2024-06-06,5.46,5.5,5.105,5.2,1481137
2024-06-07,5.11,5.28,4.92,4.94,2130029
2024-06-10,4.9,5.14,4.79,4.98,1722636
2024-06-11,4.91,5.085,4.84,5.02,1262215
2024-06-12,5.32,5.36,4.93,4.93,1708213
2024-06-13,4.93,5.44,4.83,5.04,2951075
2024-06-14,5.15,6.08,5.11,5.75,4783577
2024-06-17,5.84,5.9,5.38,5.5,2967933
2024-06-18,5.42,5.75,5.34,5.49,2350863
2024-06-20,5.89,6.445,5.89,6.08,5186681
2024-06-21,6.06,6.26,5.96,6.25,6988401
2024-06-24,6.28,6.76,6.27,6.53,2384239
2024-06-25,6.41,6.71,6.39,6.56,1413496
2024-06-26,6.5,6.66,6.23,6.63,2575869
2024-06-27,6.68,6.789,6.51,6.76,2026963
2024-06-28,6.74,6.95,6.66,6.84,7712415
2024-07-01,6.85,6.94,6.62,6.66,1939322
2024-07-02,6.65,6.79,6.51,6.68,2418037
2024-07-03,6.69,6.915,6.6,6.69,867201
2024-07-05,6.68,6.74,6.43,6.67,1128627
2024-07-08,6.74,6.87,6.61,6.66,1366251
