Date,Open,High,Low,Close,Volume
2024-12-31,4.0,4.05,3.0,3.0,1750202
2025-01-02,3.2,3.45,3.0,3.45,334108
2025-01-03,3.45,3.47,3.2,3.24,104932
2025-01-06,3.15,3.39,3.1,3.21,70865
2025-01-07,3.0771,3.2,3.0614,3.19,15551
2025-01-08,3.115,3.1982,3.115,3.1839,25693
2025-01-10,3.1844,3.1844,3.08,3.13,11800
2025-01-13,2.8845,3.1065,2.8581,3.01,43519
2025-01-14,3.043,3.043,2.73,2.91,30834
2025-01-15,2.57,2.78,2.25,2.675,30529
2025-01-16,2.89,3.02,2.58,2.67,25813
2025-01-17,2.4134,2.67,2.33,2.67,10758
2025-01-21,2.5,2.9,2.2936,2.5,72431
2025-01-22,2.5,2.62,2.27,2.4,24784
2025-01-23,2.5,3.0327,2.5,2.86,74556
2025-01-24,2.7,2.77,2.46,2.73,53119
2025-01-27,2.43,3.0,2.1338,2.49,56469
2025-01-28,2.5685,2.8999,2.5,2.64,21642
2025-01-29,2.56,2.601,2.5,2.52,32065
2025-01-30,2.6332,2.82,2.5201,2.82,8917
2025-01-31,2.56,2.8,2.12,2.31,53477
2025-02-03,2.33,2.4727,2.28,2.28,14721
2025-02-04,2.4,2.41,2.07,2.23,18247
2025-02-05,2.2,2.42,2.2,2.35,7512
2025-02-06,2.35,2.35,2.35,2.35,1354
2025-02-07,2.26,2.51,2.23,2.3,7290
2025-02-10,2.26,2.2999,2.23,2.23,9753
2025-02-11,2.2,2.5,2.0,2.09,28695
2025-02-12,2.14,2.35,2.02,2.06,8637
2025-02-13,2.22,2.33,1.96,1.99,4795
2025-02-14,1.97,2.33,1.97,2.3,18758
2025-02-18,2.15,2.4674,2.15,2.3,2322
2025-02-19,2.2957,2.38,2.27,2.3,10225
2025-02-20,2.4,2.4459,2.32,2.35,2104
2025-02-21,2.36,2.36,2.36,2.36,410
2025-02-24,2.38,2.75,2.34,2.45,33207
2025-02-25,2.77,2.79,2.22,2.38,6239
2025-02-26,2.57,2.58,2.43,2.43,14067
2025-02-27,2.43,2.43,2.43,2.43,1115
2025-02-28,2.04,2.4299,2.03,2.03,3481
2025-03-03,2.15,2.66,2.03,2.3998,30079
2025-03-04,2.24,2.7,2.12,2.18,44170
2025-03-05,2.3,2.61,2.3,2.386,9739
2025-03-06,2.55,2.9152,2.21,2.32,35871
2025-03-07,2.5,2.6,2.23,2.365,7413
2025-03-10,2.3,2.9768,2.21,2.25,35654
2025-03-11,2.21,2.3,1.99,2.25,5408
2025-03-12,2.32,2.58,2.2,2.34,6961
2025-03-13,2.15,2.46,2.15,2.29,14877
2025-03-14,2.04,2.72,2.04,2.16,15047
2025-03-17,2.11,2.185,2.11,2.11,3395
2025-03-18,2.15,2.7,2.15,2.59,35581
2025-03-19,2.42,2.5,2.26,2.34,16759
2025-03-20,2.35,2.94,2.35,2.45,17859
2025-03-21,2.34,3.0999,2.34,2.94,72218
2025-03-24,3.2013,3.2013,2.4,2.57,17748
2025-03-25,2.74,2.92,2.58,2.68,8886
2025-03-26,2.74,2.81,2.5,2.57,18742
2025-03-27,2.49,2.7,2.3201,2.66,21533
2025-03-28,2.95,3.32,2.7901,3.18,74507
2025-03-31,3.34,3.38,2.1,2.27,119814
2025-04-01,2.4,2.6168,2.06,2.45,46532
2025-04-02,2.18,2.32,2.1247,2.18,7611
2025-04-03,2.35,2.41,2.0,2.09,29504
2025-04-04,2.03,2.13,1.59,1.61,76953
2025-04-07,1.55,1.95,1.53,1.5499,53316
2025-04-08,1.55,1.85,1.55,1.73,69957
2025-04-09,1.54,2.01,1.48,1.95,144312
2025-04-10,1.75,1.82,1.5,1.76,54755
2025-04-11,1.71,1.95,1.49,1.75,94354
2025-04-14,1.7,1.94,1.67,1.705,34357
2025-04-15,1.68,1.98,1.68,1.72,17603
2025-04-16,1.7742,2.0064,1.67,2.0052,38023
2025-04-17,2.1,2.1,1.8101,1.97,28677
2025-04-21,1.7,2.0,1.7,1.9906,7846
2025-04-22,2.01,2.135,1.73,2.02,26686
2025-04-23,2.18,2.28,2.04,2.16,12131
2025-04-24,2.08,2.19,1.9299,2.1,8213
2025-04-25,1.91,2.13,1.87,2.02,18748
2025-04-28,1.97,2.15,1.64,1.8,288141
2025-04-29,1.7,1.74,1.7,1.74,1260
2025-04-30,1.73,2.0,1.61,1.69,10978
2025-05-01,1.81,1.95,1.72,1.8,5747
2025-05-02,2.0432,2.19,1.71,1.8343,13109
2025-05-05,1.69,1.91,1.58,1.64,13546
2025-05-06,1.6199,2.35,1.55,2.02,74237
2025-05-07,2.25,3.1599,2.15,2.8783,150505
2025-05-08,2.93,3.19,2.3002,3.0415,58455
2025-05-09,2.954,3.2999,2.68,3.2999,32461
2025-05-12,3.27,3.39,3.03,3.21,15539
2025-05-13,3.42,3.69,3.3072,3.5184,73613
2025-05-14,3.72,3.72,3.07,3.24,16236
2025-05-15,3.2,3.26,3.16,3.24,6866
2025-05-16,3.005,3.47,3.005,3.27,20449
2025-05-19,3.44,3.54,3.12,3.23,10768
2025-05-20,3.1178,3.31,3.1178,3.3,7179
2025-05-21,3.03,3.3999,3.0,3.12,26787
2025-05-22,3.09,3.13,3.09,3.13,1441
2025-05-23,3.08,3.23,3.05,3.05,9589
2025-05-27,2.93,3.56,2.93,3.33,92336
2025-05-28,3.11,3.59,3.11,3.3,18807
2025-05-29,2.89,3.51,2.89,3.0,25388
2025-05-30,3.0,3.43,3.0,3.43,17881
2025-06-02,3.06,3.59,3.02,3.58,22480
2025-06-03,3.27,3.59,3.27,3.37,17999
2025-06-04,3.3,3.55,3.3,3.5,22588
2025-06-05,3.41,3.59,3.41,3.53,10722
2025-06-06,3.54,3.59,3.32,3.5101,8397
2025-06-09,3.42,3.65,3.33,3.55,8309
2025-06-10,3.35,3.46,3.25,3.45,16655
2025-06-11,3.35,3.5,3.08,3.34,55181
2025-06-12,3.4,3.645,3.4,3.6,16089
2025-06-13,3.87,3.9,3.45,3.83,13175
2025-06-16,3.49,4.37,3.49,4.37,15838
2025-06-17,4.5,4.5,4.05,4.15,6022
2025-06-18,5.08,5.6094,4.61,4.822,65465
2025-06-20,4.87,5.7799,4.87,5.0,63842
2025-06-23,5.05,5.44,4.8,5.44,1036664
2025-06-24,5.35,5.3964,4.0748,4.71,1094521
2025-06-25,4.7101,5.31,4.6,5.28,6031190
2025-06-26,5.05,5.29,4.75,4.8,1052693
2025-06-27,4.84,5.1,4.84,4.95,88717
2025-06-30,4.89,10.8,4.7701,7.8,1281468
2025-07-01,7.67,9.4709,7.26,7.45,405510
2025-07-02,7.31,7.825,6.4,6.94,149367
2025-07-03,7.0,7.45,6.9043,7.4,21359
2025-07-07,7.16,7.63,6.75,6.945,54641
2025-07-08,6.93,7.47,6.35,7.44,94596
2025-07-09,7.45,7.45,6.84,6.99,90301
2025-07-10,6.87,7.36,6.87,7.21,41114
2025-07-11,7.26,7.2647,6.6,6.6,35148
2025-07-14,6.47,6.89,6.0222,6.24,43909
2025-07-15,6.16,6.35,5.63,6.31,24354
2025-07-16,6.21,6.35,5.53,6.01,31992
2025-07-17,5.81,6.26,5.77,5.79,10499
2025-07-18,6.26,6.26,5.705,5.95,21626
2025-07-21,5.96,6.02,5.04,5.93,22820
2025-07-22,5.7148,6.08,5.16,5.97,10072
2025-07-23,5.99,6.35,5.702,6.02,7482
2025-07-24,5.93,6.84,5.93,6.66,62086
2025-07-25,6.13,6.7,5.83,5.89,37853
2025-07-28,5.89,6.2728,5.495,5.66,27860
2025-07-29,6.01,6.12,5.2808,5.668,53976
2025-07-30,5.68,6.02,5.65,5.87,22302
2025-07-31,6.38,6.43,5.7,5.8,18031
2025-08-01,6.09,6.09,5.48,5.57,7071
2025-08-04,6.0,6.01,5.51,5.87,19314
2025-08-05,5.8,6.1,5.37,5.82,15269
2025-08-06,5.8,5.9,5.8,5.805,4241
2025-08-07,5.96,6.28,5.85,6.28,11673
2025-08-08,6.18,6.8,6.12,6.45,22714
2025-08-11,7.0,9.75,6.74,8.9,519263
2025-08-12,9.09,11.0,9.0783,10.7,327629
2025-08-13,10.51,10.74,9.77,9.85,254601
2025-08-14,9.85,10.175,8.26,9.75,221508
2025-08-15,10.11,11.39,8.48,10.0,216340
2025-08-18,10.8,11.18,9.95,10.2201,93269
2025-08-19,10.0,10.58,9.2,9.52,113044
2025-08-20,9.98,9.98,9.5,9.71,17167
2025-08-21,9.51,10.64,9.51,10.5899,66257
2025-08-22,10.6,11.45,10.01,11.07,608088
2025-08-25,11.38,11.61,10.86,11.21,112146
2025-08-26,10.61,11.58,10.05,11.32,109289
2025-08-27,11.11,12.04,10.8345,11.41,563088
2025-08-28,11.08,12.18,10.75,11.74,246022
2025-08-29,11.7,12.1025,11.25,11.95,230962
2025-09-02,11.49,12.47,11.3,12.06,351556
2025-09-03,11.98,12.4,11.85,12.25,214172
2025-09-04,12.0,12.495,11.4,12.24,303537
2025-09-05,12.1,12.4,11.95,12.22,269813
2025-09-08,12.2,12.31,12.06,12.18,172138
2025-09-09,12.05,12.8,11.7,12.8,158948
2025-09-10,12.5,13.5,12.05,12.85,592850
2025-09-11,12.5,12.9499,12.3,12.68,154945
2025-09-12,12.6,12.92,12.2,12.92,224620
2025-09-15,12.6,12.7,12.3,12.62,115615
2025-09-16,12.81,13.01,12.31,12.9,72539
2025-09-17,12.7,13.07,12.3,12.99,352299
2025-09-18,12.73,12.99,12.4,12.74,354032
2025-09-19,12.41,12.72,11.92,12.04,259625
2025-09-22,12.04,12.07,10.8368,10.85,114041
2025-09-23,10.68,11.2,10.08,10.66,151878
2025-09-24,10.89,11.71,10.3,11.2,279352
2025-09-25,11.19,11.3,10.71,11.29,145554
2025-09-26,11.25,11.82,10.93,11.36,689315
2025-09-29,11.26,11.66,10.91,11.5,731374
2025-09-30,11.59,11.627,11.2,11.3,121566
2025-10-01,11.31,11.5194,11.15,11.4,124099
2025-10-02,11.11,12.0,11.0,11.75,489763
2025-10-03,11.6,12.2394,11.41,11.79,285241
2025-10-06,11.7,12.25,11.2,12.15,661188
2025-10-07,11.94,12.5,11.49,11.77,521602
2025-10-08,11.59,12.16,11.29,11.93,616040
2025-10-09,11.8,12.12,11.4077,11.99,332813
2025-10-10,12.03,12.2,11.6101,12.15,271270
2025-10-13,12.1,12.49,11.82,12.27,647247
2025-10-14,11.83,12.2699,11.83,12.16,302449
2025-10-15,12.24,12.8599,11.95,12.51,307611
2025-10-16,12.39,12.8,12.06,12.58,457580
2025-10-17,12.5,12.87,12.21,12.68,446265
2025-10-20,12.68,13.25,12.25,12.7,526125
2025-10-21,12.64,12.73,12.33,12.35,370195
2025-10-22,12.35,12.45,11.0,12.12,316151
2025-10-23,12.03,12.0358,11.03,11.21,306852
2025-10-24,11.21,11.62,11.08,11.22,191924
2025-10-27,11.2,11.49,10.5,11.01,200840
2025-10-28,10.69,11.11,10.0,10.1,325243
2025-10-29,10.1,10.7,9.67,10.22,432559
2025-10-30,10.31,10.94,10.31,10.68,164000
2025-10-31,10.7,11.3099,10.2,10.76,408333
2025-11-03,10.83,11.0,10.36,10.51,156617
2025-11-04,10.29,10.7799,10.0167,10.37,229235
2025-11-05,10.4,10.4,9.0,9.0,407756
2025-11-06,9.5,10.45,9.1,9.61,332688
2025-11-07,9.26,10.06,9.26,9.76,425081
2025-11-10,9.76,11.57,9.36,10.08,256157
2025-11-11,10.1,10.5,9.6,10.15,491580
2025-11-12,10.02,10.2999,9.86,10.08,185638
2025-11-13,10.06,10.82,9.29,10.26,555362
2025-11-14,10.01,10.2486,4.2,5.14,3083930
2025-11-17,2.57,3.08,2.02,2.18,1715873
2025-11-18,1.69,2.15,1.51,1.51,1123351
