Date,Open,High,Low,Close,Volume
2024-01-02,5.52,5.5358,5.28,5.35,121968
2024-01-03,5.25,5.43,5.25,5.36,49851
2024-01-04,5.32,5.43,5.26,5.39,61440
2024-01-05,5.41,5.46,5.32,5.32,37750
2024-01-08,5.3,5.38,5.22,5.26,46053
2024-01-09,5.3499,5.35,5.26,5.28,13775
2024-01-10,5.25,5.3,5.01,5.05,155425
2024-01-11,5.04,5.14,4.98,5.02,101023
2024-01-12,5.08,5.11,4.98,5.0,32738
2024-01-16,4.99,5.0681,4.83,4.86,87196
2024-01-17,4.84,4.96,4.81,4.92,73954
2024-01-18,4.91,5.0,4.84,4.85,141719
2024-01-19,4.78,4.965,4.77,4.9,113751
2024-01-22,4.89,5.0965,4.86,5.01,39200
2024-01-23,5.06,5.085,4.92,4.96,273497
2024-01-24,4.96,5.04,4.9001,4.94,17931
2024-01-25,4.99,5.09,4.92,4.98,53172
2024-01-26,4.95,5.0,4.95,4.97,26607
2024-01-29,4.97,5.04,4.9194,5.015,67273
2024-01-30,5.0,5.0,4.95,4.95,18866
2024-01-31,4.95,4.97,4.83,4.84,50777
2024-02-01,4.83,4.86,4.72,4.76,97687
2024-02-02,4.76,4.77,4.56,4.64,93909
2024-02-05,4.65,4.84,4.56,4.68,55149
2024-02-06,4.684,4.9,4.67,4.82,59471
2024-02-07,4.82,4.89,4.66,4.69,97191
2024-02-08,4.76,4.81,4.65,4.68,62416
2024-02-09,4.64,4.735,4.64,4.7,131124
2024-02-12,4.71,4.965,4.69,4.89,71208
2024-02-13,4.82,4.9999,4.74,4.74,56297
2024-02-14,4.75,4.9,4.715,4.9,28168
2024-02-15,4.85,5.02,4.85,4.96,31367
2024-02-16,4.98,5.08,4.93,4.99,68373
2024-02-20,5.02,5.0799,4.9,4.91,20129
2024-02-21,4.89,4.99,4.82,4.91,57340
2024-02-22,4.935,4.95,4.87,4.87,13106
2024-02-23,4.91,4.91,4.85,4.85,25236
2024-02-26,4.88,4.88,4.8,4.83,20582
2024-02-27,4.81,4.83,4.75,4.78,20435
2024-02-28,4.75,4.85,4.75,4.8,13681
2024-02-29,4.83,4.87,4.78,4.78,31769
2024-03-01,4.82,4.83,4.76,4.76,37691
2024-03-04,4.77,4.79,4.7239,4.76,56218
2024-03-05,4.73,4.81,4.7,4.76,141245
2024-03-06,4.8,4.87,4.72,4.72,27719
2024-03-07,4.7,4.79,4.7,4.72,45339
2024-03-08,4.73,4.82,4.73,4.8,34668
2024-03-11,4.8,4.9225,4.74,4.8,56685
2024-03-12,4.8,4.86,4.745,4.75,34686
2024-03-13,4.76,4.93,4.75,4.91,64131
2024-03-14,4.69,4.85,4.43,4.84,237432
2024-03-15,4.88,4.9,4.76,4.9,134521
2024-03-18,4.83,4.88,4.55,4.82,111218
2024-03-19,4.76,4.88,4.72,4.76,104897
2024-03-20,4.84,4.99,4.76,4.96,74287
2024-03-21,4.9,4.975,4.72,4.92,78246
2024-03-22,4.98,4.98,4.82,4.96,59532
2024-03-25,4.99,4.99,4.83,4.83,109781
2024-03-26,4.89,4.9161,4.75,4.8,39060
2024-03-27,4.82,4.905,4.78,4.81,141500
2024-03-28,4.85,5.045,4.78,5.02,110375
2024-04-01,5.03,5.05,4.89,4.91,54566
2024-04-02,4.99,4.99,4.74,4.87,147667
2024-04-03,4.87,4.91,4.78,4.81,37642
2024-04-04,4.77,4.94,4.77,4.86,42198
2024-04-05,4.91,4.9899,4.81,4.9,51193
2024-04-08,4.95,4.95,4.89,4.91,14712
2024-04-09,4.91,4.99,4.8,4.96,31249
2024-04-10,4.98,4.98,4.88,4.94,24298
2024-04-11,4.9,4.9382,4.86,4.88,43046
2024-04-12,4.85,4.99,4.73,4.77,86577
2024-04-15,4.78,4.8899,4.74,4.75,50131
2024-04-16,4.74,4.8,4.73,4.74,39563
2024-04-17,4.78,4.84,4.72,4.73,31953
