Date,Open,High,Low,Close,Volume
2025-06-09,1.37,1.37,1.28,1.3,407731.0
2025-06-10,1.3,1.3101,1.27,1.28,104469.0
2025-06-11,1.28,1.2981,1.26,1.26,107286.0
2025-06-12,1.26,1.31,1.26,1.29,86129.0
2025-06-13,1.25,1.29,1.24,1.24,150941.0
2025-06-16,1.28,1.283,1.21,1.22,261465.0
2025-06-17,1.25,1.25,1.155,1.18,212569.0
2025-06-18,1.18,1.24,1.16,1.21,148477.0
2025-06-20,1.19,1.23,1.17,1.19,114071.0
2025-06-23,1.18,1.2,1.155,1.18,104731.0
2025-06-24,1.2,1.275,1.15,1.25,110609.0
2025-06-25,1.25,1.31,1.25,1.26,104046.0
2025-06-26,1.25,1.275,1.23,1.25,91328.0
2025-06-27,1.2736,1.28,1.22,1.23,94673.0
2025-06-30,1.23,1.2991,1.23,1.26,190959.0
2025-07-01,1.23,1.28,1.17,1.21,279007.0
2025-07-02,3.48,3.83,2.32,2.57,267085045.0
2025-07-03,2.43,2.67,2.04,2.2,13049659.0
2025-07-07,2.17,2.18,1.96,1.99,2511286.0
2025-07-08,1.94,2.11,1.85,1.96,1946381.0
2025-07-09,1.9,1.98886,1.85,1.87,1593507.0
2025-07-10,1.87,2.08,1.87,2.03,1678469.0
2025-07-11,2.12,2.12,2.0,2.0,4920788.0
2025-07-14,1.99,1.9999,1.9,1.96,1095099.0
2025-07-15,1.98,1.98,1.8705,1.91,796403.0
2025-07-16,1.925,2.01,1.87,1.99,785386.0
2025-07-17,2.01,2.01,1.9455,1.97,428757.0
2025-07-18,1.97,1.9806,1.91,1.91,427584.0
2025-07-21,1.95,2.11,1.93,2.02,2447372.0
2025-07-22,2.02,2.055,1.9,2.04,809085.0
2025-07-23,2.04,2.06,1.93,1.96,579829.0
2025-07-24,1.94,1.9599,1.89,1.91,500099.0
2025-07-25,1.89,1.9,1.8,1.81,499755.0
2025-07-28,1.81,1.83,1.71,1.71,375355.0
2025-07-29,1.69,1.7196,1.6,1.6,478387.0
2025-07-30,1.71,1.71,1.62,1.62,515179.0
2025-07-31,1.6,1.65,1.6,1.61,216146.0
2025-08-01,1.58,1.62,1.55,1.55,216131.0
2025-08-04,1.55,1.6474,1.55,1.6,136889.0
2025-08-05,1.6,1.65,1.56,1.61,182062.0
2025-08-06,1.6,1.67,1.595,1.64,285778.0
2025-08-07,1.67,1.77,1.64,1.72,525656.0
2025-08-08,1.66,1.74,1.65,1.65,202660.0
2025-08-11,1.71,1.7499,1.68,1.68,214096.0
2025-08-12,1.69,1.78,1.67,1.75,336202.0
2025-08-13,1.73,1.7995,1.73,1.78,310180.0
2025-08-14,1.77,1.77,1.69,1.75,190704.0
2025-08-15,1.76,1.76,1.67,1.69,234618.0
2025-08-18,1.68,1.81,1.68,1.74,398684.0
2025-08-19,1.71,1.76,1.675,1.68,238594.0
2025-08-20,1.68,1.73,1.63,1.72,177160.0
2025-08-21,1.72,1.72,1.69,1.69,96131.0
2025-08-22,1.72,1.7994,1.69,1.79,339350.0
2025-08-25,1.82,1.94,1.775,1.87,495525.0
2025-08-26,1.86,1.88,1.821,1.85,201177.0
2025-08-27,1.88,1.95,1.8475,1.92,432689.0
2025-08-28,1.92,1.92,1.855,1.86,233531.0
2025-08-29,1.87,1.87,1.765,1.82,253345.0
2025-09-02,1.77,1.83,1.75,1.81,152293.0
2025-09-03,1.79,1.85,1.79,1.81,224055.0
2025-09-04,1.83,1.83,1.75,1.76,114528.0
2025-09-05,1.8,1.84,1.72,1.83,254037.0
2025-09-08,1.8,1.8451,1.755,1.79,298408.0
2025-09-09,1.79,1.82,1.76,1.77,284837.0
2025-09-10,1.77,1.79,1.75,1.77,255972.0
2025-09-11,1.8,1.86,1.7513,1.84,446480.0
2025-09-12,1.86,1.92,1.8101,1.92,273078.0
2025-09-15,1.87,1.9,1.79,1.8,359381.0
2025-09-16,1.79,1.85,1.78,1.84,191422.0
2025-09-17,1.84,1.9,1.84,1.86,168096.0
2025-09-18,1.88,2.0,1.835,1.93,604825.0
2025-09-19,1.94,1.995,1.9001,1.98,222178.0
2025-09-22,1.95,1.99,1.88,1.92,272986.0
2025-09-23,1.91,1.96,1.825,1.84,271493.0
2025-09-24,1.87,1.9,1.845,1.88,182288.0
2025-09-25,1.86,1.885,1.785,1.82,219311.0
2025-09-26,1.86,1.86,1.77,1.78,139566.0
2025-09-29,1.79,1.87,1.775,1.84,194775.0
2025-09-30,1.84,1.886,1.78,1.81,155327.0
2025-10-01,1.84,1.91,1.82,1.87,208733.0
2025-10-02,1.87,2.01,1.85,1.99,382319.0
2025-10-03,1.98,2.04,1.94,1.99,237912.0
2025-10-06,2.04,2.07,2.0,2.02,318854.0
2025-10-07,2.02,2.04,1.92,1.96,389381.0
2025-10-08,1.97,1.99,1.93,1.94,185632.0
2025-10-09,1.93,1.96,1.865,1.91,193269.0
2025-10-10,1.91,1.915,1.8,1.82,266508.0
2025-10-13,1.82,1.88,1.8,1.86,127797.0
2025-10-14,1.81,1.8878,1.78,1.85,124139.0
2025-10-15,1.88,1.8899,1.815,1.85,116189.0
2025-10-16,1.85,1.87,1.7606,1.82,241891.0
2025-10-17,1.81,1.81,1.73,1.75,194190.0
2025-10-20,1.78,1.79,1.74,1.77,104636.0
2025-10-21,1.76,1.78,1.72,1.76,106086.0
2025-10-22,1.75,1.76,1.655,1.68,249672.0
2025-10-23,1.66,1.7397,1.66,1.7,76151.0
2025-10-24,1.75,1.75,1.7,1.73,122913.0
2025-10-27,1.73,1.731,1.68,1.68,175130.0
2025-10-28,1.69,1.69,1.61,1.65,176571.0
2025-10-29,1.64,1.67,1.59,1.6,141539.0
2025-10-30,1.58,1.6,1.54,1.56,109051.0
2025-10-31,1.54,1.5983,1.54,1.56,137404.0
2025-11-03,1.57,1.59,1.53,1.56,120330.0
2025-11-04,1.52,1.55,1.465,1.48,88199.0
2025-11-05,1.52,1.54,1.4801,1.53,110840.0
2025-11-06,1.55,1.55,1.41,1.42,148372.0
2025-11-07,1.365,1.45,1.31,1.4,244152.0
2025-11-10,1.38,1.4,1.31,1.34,297695.0
2025-11-11,1.335,1.34,1.3042,1.34,131948.0
2025-11-12,1.34,1.38,1.31,1.34,146217.0
2025-11-13,1.32,1.36,1.24,1.25,214725.0
2025-11-14,1.2,1.28,1.2,1.23,163176.0
2025-11-17,1.22,1.26,1.18,1.2,111473.0
2025-11-18,1.23,1.25,1.175,1.25,105194.0
2025-11-19,1.23,1.255,1.16,1.17,126524.0
2025-11-20,1.21,1.24,1.09,1.11,261954.0
2025-11-21,1.13,1.19,1.12,1.16,170062.0
2025-11-24,1.13,1.23,1.11,1.22,121391.0
2025-11-25,1.22,1.25,1.18,1.21,77357.0
2025-11-26,1.21,1.2987,1.21,1.27,72238.0
2025-11-28,1.29,1.3,1.27,1.285,68192.0
2025-12-01,1.26,1.26,1.19,1.19,38475.0
2025-12-02,1.22,1.23,1.1812,1.22,53813.0
2025-12-03,1.21,1.25,1.2,1.245,53601.0
2025-12-04,1.21,1.24,1.2034,1.21,61494.0
2025-12-05,1.21,1.23,1.19,1.19,47152.0
2025-12-08,1.2,1.2101,1.15,1.18,137503.0
2025-12-09,1.16,1.22,1.15,1.21,136153.0
2025-12-10,1.19,1.215,1.14,1.19,206376.0
2025-12-11,1.2,1.2,1.16,1.16,179120.0
2025-12-12,1.19,1.19,1.15,1.15,148298.0
2025-12-15,1.15,1.165,1.1,1.1,88302.0
2025-12-16,1.1,1.1389,1.09,1.12,69845.0
2025-12-17,1.11,1.16,1.1,1.1,156149.0
2025-12-18,1.12,1.145,1.095,1.11,97531.0
2025-12-19,1.11,1.13,1.095,1.11,64744.0
2025-12-22,1.11,1.145,1.11,1.13,183652.0
2025-12-23,1.11,1.135,1.1,1.1,135101.0
2025-12-24,1.11,1.13,1.1,1.1,48360.0
2025-12-26,1.09,1.09,1.02,1.04,192156.0
2025-12-29,1.04,1.1,1.03,1.03,154560.0
2025-12-30,1.02,1.07,1.0086,1.03,212005.0
2025-12-31,1.03,1.1,1.03,1.07,161453.0
2026-01-02,1.11,1.115,0.93,1.01,139500.0
2026-01-05,1.04,1.07,1.0,1.04,176700.0
2026-01-06,1.06,1.0813,1.02,1.06,101500.0
2026-01-07,1.06,1.1,1.0377,1.06,64907.0
2026-01-08,1.06,1.18,1.0448,1.11,125240.0
2026-01-09,1.14,1.22,1.1113,1.19,199574.0
2026-01-12,1.21,1.23,1.14,1.17,95288.0
2026-01-13,1.22,1.22,1.16,1.17,71211.0
2026-01-14,1.17,1.22,1.17,1.19,34215.0
2026-01-15,1.16,1.274,1.16,1.22,61095.0
2026-01-16,1.19,1.23,1.18,1.19,85874.0
2026-01-20,1.14,1.19,1.09,1.11,100011.0
2026-01-21,1.09,1.15,1.08,1.13,46200.0
2026-01-22,1.12,1.24,1.12,1.18,222590.0
2026-01-23,1.17,1.24,1.16,1.24,86129.0
2026-01-26,1.23,1.25,1.16,1.24,98437.0
2026-01-27,1.229,1.38,1.229,1.31,205115.0
2026-01-28,1.33,1.4,1.27,1.37,124563.0
2026-01-29,1.36,1.38,1.23,1.3235,125211.0
2026-01-30,1.28,1.35,1.23,1.27,101110.0
2026-02-02,1.27,1.28,1.185,1.19,114793.0
2026-02-03,1.2,1.24,1.145,1.18,143104.0
2026-02-04,1.17,1.2,1.125,1.14,14548.0
2026-02-05,1.11,1.16,1.07,1.08,101183.0
2026-02-06,1.08,1.17,1.08,1.13,39982.0
2026-02-09,1.08,1.23,1.08,1.15,216405.0
2026-02-10,1.15,1.2,1.12,1.14,94597.0
2026-02-11,1.14,1.17,1.11,1.13,173101.0
2026-02-12,1.14,1.14,1.08,1.11,35095.0
2026-02-13,1.09,1.17,1.09,1.16,194913.0
2026-02-17,1.16,1.16,1.1,1.12,38649.0
2026-02-18,1.12,1.13,1.1,1.1,20287.0
2026-02-19,1.09,1.12,1.09,1.11,13408.0
2026-02-20,1.13,1.1654,1.09,1.11,35611.0
2026-02-23,1.08,1.11,1.07,1.08,37700.0
2026-02-24,1.0671,1.11,1.0567,1.08,14072.0
2026-02-25,1.1,1.198,1.09,1.12,101200.0
