Date,Open,High,Low,Close,Volume
2024-01-02,2.86,2.9,2.85,2.88,361066.0
2024-01-03,2.9,2.91,2.87,2.91,377905.0
2024-01-04,2.89,2.93,2.89,2.93,231766.0
2024-01-05,2.93,2.97,2.912,2.96,318745.0
2024-01-08,2.97,3.0,2.96,2.99,396095.0
2024-01-09,2.98,3.02,2.98,3.0,260789.0
2024-01-10,3.02,3.03,3.0002,3.01,214904.0
2024-01-11,3.04,3.04,3.0,3.02,289715.0
2024-01-12,3.01,3.03,3.01,3.03,366428.0
2024-01-16,3.02,3.03,2.99,3.0,294968.0
2024-01-17,3.0,3.02,2.96,2.97,288777.0
2024-01-18,3.0,3.0,2.97,2.99,126726.0
2024-01-19,2.98,3.02,2.98,3.01,219729.0
2024-01-22,3.01,3.1,3.0099,3.04,335211.0
2024-01-23,3.04,3.07,3.02,3.05,184695.0
2024-01-24,3.06,3.06,3.01,3.02,119467.0
2024-01-25,3.06,3.06,3.0,3.01,150360.0
2024-01-26,3.04,3.06,3.0399,3.05,150566.0
2024-01-29,3.07,3.0882,3.04,3.06,250923.0
2024-01-30,3.06,3.065,3.03,3.05,179990.0
2024-01-31,3.04,3.07,3.03,3.05,183519.0
2024-02-01,3.06,3.07,3.0399,3.06,314927.0
2024-02-02,3.06,3.06,3.03,3.05,222998.0
2024-02-05,3.03,3.04,3.01,3.04,255986.0
2024-02-06,3.02,3.04,3.02,3.03,178667.0
2024-02-07,3.02,3.04,3.02,3.04,160201.0
2024-02-08,3.04,3.06,3.03,3.03,195584.0
2024-02-09,3.04,3.07,3.02,3.07,239086.0
2024-02-12,3.09,3.13,3.0662,3.13,364518.0
2024-02-13,3.13,3.14,3.08,3.11,221491.0
2024-02-14,3.1,3.13,3.08,3.09,207144.0
2024-02-15,3.14,3.14,3.0999,3.12,163587.0
2024-02-16,3.13,3.13,3.11,3.13,135493.0
2024-02-20,3.12,3.14,3.087,3.09,252890.0
2024-02-21,3.11,3.11,3.06,3.07,116096.0
2024-02-22,3.07,3.12,3.06,3.07,184752.0
2024-02-23,3.07,3.11,3.07,3.09,103346.0
2024-02-26,3.09,3.11,3.06,3.06,197852.0
2024-02-27,3.05,3.11,3.05,3.08,165057.0
2024-02-28,3.08,3.11,3.07,3.07,102083.0
2024-02-29,3.1,3.11,3.08,3.09,146416.0
2024-03-01,3.11,3.11,3.075,3.08,193702.0
2024-03-04,3.11,3.14,3.09,3.1,322018.0
2024-03-05,3.09,3.148,3.08,3.11,194152.0
2024-03-06,3.11,3.15,3.1099,3.12,208853.0
2024-03-07,3.13,3.16,3.12,3.12,136719.0
2024-03-08,3.13,3.15,3.125,3.14,139561.0
2024-03-11,3.14,3.17,3.135,3.14,157141.0
2024-03-12,3.16,3.2,3.15,3.19,251266.0
2024-03-13,3.19,3.2199,3.18,3.21,181910.0
2024-03-14,3.16,3.19,3.06,3.09,334105.0
2024-03-15,3.06,3.0799,3.02,3.05,369974.0
2024-03-18,3.03,3.04,3.01,3.01,217600.0
2024-03-19,3.04,3.07,3.02,3.06,195206.0
2024-03-20,3.06,3.0699,3.02,3.05,167085.0
2024-03-21,3.07,3.07,3.03,3.04,130607.0
2024-03-22,3.04,3.05,3.03,3.03,147772.0
2024-03-25,3.06,3.08,3.04,3.06,274485.0
